input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,tech_,lines,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,tls_expired,cdn,tls_self_signed
govexec.zoomgov.com,Welcome to Zoom for Government,,6567,443,https://govexec.zoomgov.com:443,https,nginx,text/html,GET,160.1.56.158,hCaptcha,195,govexec.zoomgov.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,"CN=*.zoomgov.com, O=Zoom Video Communications\, Inc., L=San Jose, ST=California, C=US",*.zoomgov.com,"Zoom Video Communications, Inc.","CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,govexec.zoomgov.com,,,
gps.zoom.us,Global Physicians Solutions,,25004,80,http://gps.zoom.us:80,http,cloudflare,text/html,GET,170.114.52.6,hCaptcha,586,gps.zoom.us,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,"CN=*.zoom.us, O=Zoom Video Communications\, Inc., L=San Jose, ST=California, C=US",*.zoom.us,"Zoom Video Communications, Inc.","CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,gps.zoom.us,,,
grafana.monitoring.bness-02.keyserver.zoomdev.us,403 Forbidden,,548,443,https://grafana.monitoring.bness-02.keyserver.zoomdev.us:443,https,nginx,text/html,GET,34.216.176.197,Nginx,14,grafana.monitoring.bness-02.keyserver.zoomdev.us,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T00:00:00Z,"CN=grafana.monitoring.bness-02.keyserver.zoomdev.us, O=Zoom Video Communications\, Inc., L=San Jose, ST=California, C=US",grafana.monitoring.bness-02.keyserver.zoomdev.us,"Zoom Video Communications, Inc.","CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,grafana.monitoring.bness-02.keyserver.zoomdev.us,,,
grafana.monitoring.bness-03.keyserver.zoomdev.us,403 Forbidden,,146,443,https://grafana.monitoring.bness-03.keyserver.zoomdev.us:443,https,nginx,text/html,GET,3.20.114.44,Nginx,8,grafana.monitoring.bness-03.keyserver.zoomdev.us,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,"CN=grafana.monitoring.bness-03.keyserver.zoomdev.us, O=Zoom Video Communications\, Inc., L=San Jose, ST=California, C=US",grafana.monitoring.bness-03.keyserver.zoomdev.us,"Zoom Video Communications, Inc.","CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,grafana.monitoring.bness-03.keyserver.zoomdev.us,,,
grafana.monitoring.keydev-01.keyserver.zoomdev.us,403 Forbidden,,548,443,https://grafana.monitoring.keydev-01.keyserver.zoomdev.us:443,https,nginx,text/html,GET,35.82.249.211,Nginx,14,grafana.monitoring.keydev-01.keyserver.zoomdev.us,443,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,"CN=grafana.monitoring.keydev-01.keyserver.zoomdev.us, O=Zoom Video Communications\, Inc., L=San Jose, ST=California, C=US",grafana.monitoring.keydev-01.keyserver.zoomdev.us,"Zoom Video Communications, Inc.","CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,grafana.monitoring.keydev-01.keyserver.zoomdev.us,,,
grafana.monitoring.keydev-02.keyserver.zoomdev.us,403 Forbidden,,548,443,https://grafana.monitoring.keydev-02.keyserver.zoomdev.us:443,https,nginx,text/html,GET,18.189.74.13,Nginx,14,grafana.monitoring.keydev-02.keyserver.zoomdev.us,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-03T00:00:00Z,"CN=grafana.monitoring.keydev-02.keyserver.zoomdev.us, O=Zoom Video Communications\, Inc., L=San Jose, ST=California, C=US",grafana.monitoring.keydev-02.keyserver.zoomdev.us,"Zoom Video Communications, Inc.","CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,grafana.monitoring.keydev-02.keyserver.zoomdev.us,,,
grafana.monitoring.keyserver-au-01.zoom.us,403 Forbidden,,548,443,https://grafana.monitoring.keyserver-au-01.zoom.us:443,https,nginx,text/html,GET,134.224.245.251,Nginx,14,grafana.monitoring.keyserver-au-01.zoom.us,443,tls13,TLS_AES_128_GCM_SHA256,2022-11-13T00:00:00Z,"CN=grafana.monitoring.keyserver-au-01.zoom.us, O=Zoom Video Communications\, Inc., L=San Jose, ST=California, C=US",grafana.monitoring.keyserver-au-01.zoom.us,"Zoom Video Communications, Inc.","CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,grafana.monitoring.keyserver-au-01.zoom.us,,,
grafana.monitoring.keyserver-go-01.zoom.us,403 Forbidden,,146,443,https://grafana.monitoring.keyserver-go-01.zoom.us:443,https,nginx,text/html,GET,34.239.52.230,Nginx,8,grafana.monitoring.keyserver-go-01.zoom.us,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T00:00:00Z,"CN=grafana.monitoring.keyserver-go-01.zoom.us, O=Zoom Video Communications\, Inc., L=San Jose, ST=California, C=US",grafana.monitoring.keyserver-go-01.zoom.us,"Zoom Video Communications, Inc.","CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,grafana.monitoring.keyserver-go-01.zoom.us,,,
grafana.monitoring.keyserver-in-01.zoom.us,403 Forbidden,,146,443,https://grafana.monitoring.keyserver-in-01.zoom.us:443,https,nginx,text/html,GET,134.224.143.251,Nginx,8,grafana.monitoring.keyserver-in-01.zoom.us,443,tls13,TLS_AES_128_GCM_SHA256,2022-11-13T00:00:00Z,"CN=grafana.monitoring.keyserver-in-01.zoom.us, O=Zoom Video Communications\, Inc., L=San Jose, ST=California, C=US",grafana.monitoring.keyserver-in-01.zoom.us,"Zoom Video Communications, Inc.","CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,grafana.monitoring.keyserver-in-01.zoom.us,,,
grafana.monitoring.keyserver-locator-us-03.zoom.us,403 Forbidden,,548,443,https://grafana.monitoring.keyserver-locator-us-03.zoom.us:443,https,nginx,text/html,GET,134.224.227.88,Nginx,14,grafana.monitoring.keyserver-locator-us-03.zoom.us,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T00:00:00Z,"CN=grafana.monitoring.keyserver-locator-us-03.zoom.us, O=Zoom Video Communications\, Inc., L=San Jose, ST=California, C=US",grafana.monitoring.keyserver-locator-us-03.zoom.us,"Zoom Video Communications, Inc.","CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,grafana.monitoring.keyserver-locator-us-03.zoom.us,,,
grafana.monitoring.keyserver-us-03.zoom.us,403 Forbidden,,146,443,https://grafana.monitoring.keyserver-us-03.zoom.us:443,https,nginx,text/html,GET,134.224.227.87,Nginx,8,grafana.monitoring.keyserver-us-03.zoom.us,443,tls13,TLS_AES_128_GCM_SHA256,2022-11-13T00:00:00Z,"CN=grafana.monitoring.keyserver-us-03.zoom.us, O=Zoom Video Communications\, Inc., L=San Jose, ST=California, C=US",grafana.monitoring.keyserver-us-03.zoom.us,"Zoom Video Communications, Inc.","CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,grafana.monitoring.keyserver-us-03.zoom.us,,,
