new,host,a,soa,status_code,aaaa,cname,ns,mx,txt,caa,cdn,cdn-name,has_internal_ips,internal_ips
[x],api.casinohuone.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,"www.casinohuone.com, casinohuone.com","global.excedodns.com, dns-ext1.northdev.net, sto.excedodns.se, world.excedodns.org, emea.excedodns.eu, dns-ext2.northdev.net",casinohuone-com.mail.protection.outlook.com,"4997950d-74dd-42d5-b5ad-8aafbff29669, cf9a16ea-5384-4b2c-9b2b-bfb44fd15279, google-site-verification=mqsrDjCeevVOr2U8BLeZWPareN7qdaVEY2VTuRdE5lU, ce336eab-60c3-48a3-90c6-4e0f0385ef54, v=spf1 mx ip4:208.73.5.5 a:relay.unibet.com include:_spf.google.com include:sp.unibet.com include:spf.protection.outlook.com ~all, facebook-domain-verification=y1sgz906zugtw54hh5jmiuw6883kex, MS=ms63026824, 540af50a-eb7f-4816-825c-287e4623b008, google-site-verification=KUjGk_E-UlssNUUDs4T57ApY4ACc1aod0pTEiZh5v_Y","trustwave.com, letsencrypt.org",,,,
[x],api.ia.unibet.com,192.16.81.132,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],api.igame.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,24hbet.com,"dns-ext2.northdev.net, sto.excedodns.se, emea.excedodns.eu, world.excedodns.org, global.excedodns.com, dns-ext1.northdev.net",24hbet-com.mail.protection.outlook.com,"v=spf1 mx ip4:208.73.5.5 a:relay.unibet.com include:_spf.google.com include:sp.unibet.com include:spf.protection.outlook.com ~all, MS=ms91072806, google-site-verification=yLeI3WYKUElvxuC-28EddgnKKKOUB-elUclaVGmkSLk",,,,,
[x],api.il.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],api.in.unibet.com,192.16.80.132,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"global.excedodns.com, world.excedodns.org, emea.excedodns.eu, sto.excedodns.se, dns-ext1.northdev.net, dns-ext2.northdev.net",,,,,,,
[x],api.kolikkopelit.com,95.211.164.5,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"dns-ext2.northdev.net, global.excedodns.com, world.excedodns.org, sto.excedodns.se, emea.excedodns.eu, dns-ext1.northdev.net",,,,,,,
[x],api.mariacasino.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www.mariacasino.com,,,,,,,,
[x],api.ottokasino.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www.ottokasino.com,,,,,,,,
[x],api.pa.unibet.com,50.229.39.211,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],api.storspiller.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www.storspiller.com,,,,,,,,
[x],api.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],api.unibet.fr,,,NOERROR,2602:fcbc:0:3::11,,,,,,,,,
[x],api.va.unibet.com,130.254.51.132,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],api.vladcazino.ro,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www.vladcazino.ro,"sto.excedodns.se, emea.excedodns.eu, world.excedodns.org, global.excedodns.com, dns-ext1.northdev.net, dns-ext2.northdev.net",,,,,,,
[x],api8.gameassists.32red.com,185.9.103.139,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api8eu.32red.com,185.9.103.129,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],aposta.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],app.dicegames.unibet.com,,,NOERROR,,,,,,,,,,
[x],ar0.deu1.unibet.com,85.184.104.254,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],ar0.gib1.unibet.com,,,NOERROR,,,,,,,,,,
[x],ar0.swe2.unibet.com,,,NOERROR,,,,,,,,,,
[x],ar1.deu1.unibet.com,85.184.104.253,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],arizona.unibet.fr,,,NOERROR,2602:fcbc:0:3::11,,,,,,,,,
[x],as.cwa.unibet.com,217.158.179.90,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,cwa.unibet.com,,,,,,,,
[x],assets.32red.com,217.158.122.118,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],at.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],au.32red.com,"104.17.116.43, 104.16.185.79","cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,True,cloudflare,,
[x],au.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],auth-qa1.kindredext.net,85.184.97.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],auth-qa1.unibet.com,85.184.97.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],auth-si1.unibet.com,85.184.97.4,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],auth.kindredext.net,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],auth.kolikkopelit.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],auth.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],autodiscover.32red.com,"40.99.150.120, 52.98.175.24, 52.98.243.40, 52.98.171.248","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:20::8, 2603:1026:c0d:71::8, 2603:1026:c0d:73::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.az.unibet.com,"40.99.150.72, 52.98.241.200, 52.98.152.168, 52.98.175.8, 52.97.135.104, 52.98.241.184, 52.98.242.248, 40.99.150.88","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:82e::8, 2603:1026:c0d:c2f::8, 2603:1026:c0d:c2c::8, 2603:1026:c0d:82a::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.bingo.com,"52.98.240.88, 52.98.229.120, 52.98.240.104","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0e:864::8, 2603:1026:c0e:20::8, 2603:1026:c0e:868::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.brand.bingo.com,"40.99.150.24, 40.99.222.184, 40.99.150.120, 40.99.149.216","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:6b::8, 2603:1026:c0d:76::8, 2603:1026:c0d:75::8, 2603:1026:c0d:77::8, 2603:1026:c0d:70::8, 2603:1026:c0d:20::8, 2603:1026:c0d:6a::8, 2603:1026:c0d:74::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.casinohuone.com,"52.98.240.88, 52.98.240.104, 52.98.229.120","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0e:864::8, 2603:1026:c0e:868::8, 2603:1026:c0e:20::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.cms.32red.com,,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],autodiscover.ia.unibet.com,"40.99.150.40, 52.98.171.248, 52.98.171.232, 52.98.175.24","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:82e::8, 2603:1026:c0d:829::8, 2603:1026:c0d:806::8, 2603:1026:c0d:82d::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.il.unibet.com,,,NOERROR,,autodiscover.outlook.com,,,,,,,,
[x],autodiscover.in.unibet.com,"40.99.205.24, 40.101.83.24, 40.101.12.40, 52.97.163.8, 52.97.200.136, 40.101.121.40, 52.97.201.88, 40.101.81.168","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c03:3000::8, 2603:1026:c03:7070::8, 2603:1026:206:1::8, 2603:1026:c03:5818::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.kolikkopelit.com,"52.96.87.200, 52.96.90.40, 52.96.9.184, 52.96.88.56","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1036:302:4154::8, 2603:1036:206:41::8, 2603:1036:302:4050::8, 2603:1036:302:4840::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.mariacasino.com,"52.98.243.8, 40.99.150.56, 40.99.150.120, 52.98.152.248","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:c03::8, 2603:1026:c0d:c1e::8, 2603:1026:c0d:c29::8, 2603:1026:c0d:82b::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.pa.unibet.com,"40.99.150.88, 52.98.243.40, 52.98.175.8, 52.98.152.168, 52.98.243.24, 40.99.150.104, 40.99.150.56, 40.99.149.216","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:802::8, 2603:1026:c0d:807::8, 2603:1026:c0d:c06::8, 2603:1026:c0d:82b::8, 2603:1026:c0d:c1f::8, 2603:1026:c0d:82a::8, 2603:1026:c0d:829::8, 2603:1026:c0d:82c::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.storspiller.com,,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.unibet.com,"52.98.243.56, 52.98.243.24, 52.98.241.168, 40.99.150.40, 52.98.152.168, 52.98.228.56, 52.98.171.232, 52.98.241.200","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:6a::8, 2603:1026:c0d:77::8, 2603:1026:c0d:76::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.unibet.fr,"52.97.189.72, 40.99.155.232, 40.99.157.8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:82d::8, 2603:1026:c0d:c1f::8, 2603:1026:c0d:c2d::8, 2603:1026:c0d:c07::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.va.unibet.com,"52.97.200.184, 40.99.204.216, 52.98.232.40, 40.101.80.184","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:803::8, 2603:1026:c0d:c29::8, 2603:1026:c0d:82b::8, 2603:1026:c0d:82f::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.vladcazino.ro,"40.99.149.152, 40.99.155.232, 52.97.188.72, 40.99.149.136, 40.99.157.56, 40.99.149.184, 52.97.189.72, 40.99.149.168","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:82c::8, 2603:1026:c0d:c1e::8, 2603:1026:c0d:c1c::8, 2603:1026:c0d:c30::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],az.unibet.com,192.124.249.54,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"sto.excedodns.se, emea.excedodns.eu, world.excedodns.org, global.excedodns.com, dns-ext1.northdev.net, dns-ext2.northdev.net",az-unibet-com.mail.protection.outlook.com,v=spf1 mx include:spf.protection.outlook.com include:mail.zendesk.com include:sp.unibet.com -all,,,,,
[x],b1.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,"wildcard01.unibet.com, www.unibet.com",,,,,,,,
[x],b2.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,"wildcard01.unibet.com, www.unibet.com",,,,,,,,
[x],b3.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,"wildcard01.unibet.com, www.unibet.com",,,,,,,,
[x],baker.unibet.fr,,,NOERROR,,,,,,,,,,
[x],bank8eu.32red.com,185.9.103.164,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],bankingclient8.32red.com,185.9.103.151,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],banner.casino.unibet.com,87.252.210.10,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],banners.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,trustwave.com,,,,
[x],be-fr.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],be-nl.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],be.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www.unibet.com,,,,,,,,
[x],bel1.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"world.excedodns.org, global.excedodns.com, dns-ext1.northdev.net, dns-ext2.northdev.net, sto.excedodns.se, emea.excedodns.eu",,,letsencrypt.org,,,,
[x],belladia.unibet.fr,54.144.128.85,,NOERROR,2602:fcbc:0:3::11,,,,,,,,,
[x],bestel.unibet.fr,,,NOERROR,,,,,,,,,,
[x],bestptc.unibet.fr,54.144.128.85,,NOERROR,2602:fcbc:0:3::11,,,,,,,,,
[x],bet.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"dns-ext1.northdev.net, global.excedodns.com, emea.excedodns.eu, sto.excedodns.se, world.excedodns.org, dns-ext2.northdev.net",,,,,,,
[x],beta.connect.unibet.com,,,NOERROR,,,,,,,,,,
[x],beta13.unibet.fr,,,NOERROR,,,,,,,,,,
[x],beva.unibet.fr,,,NOERROR,,,,,,,,,,
[x],bg.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],bhishma.unibet.fr,,,NOERROR,,,,,,,,,,
[x],biblioenba.unibet.fr,,,NOERROR,,,,,,,,,,
[x],bimp1234.unibet.fr,,,NOERROR,,,,,,,,,,
[x],bingo.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"emea.excedodns.eu, world.excedodns.org, global.excedodns.com, dns-ext1.northdev.net, dns-ext2.northdev.net, sto.excedodns.se",bingo-com.mail.protection.outlook.com,"facebook-domain-verification=lppn3kjki78nyfi5uxnva8ypo1ngn4, MS=ms44757756, v=spf1 mx ip4:66.150.108.0/24 ip4:64.74.103.0/24 ip4:63.251.34.0/24 ip4:66.150.108.0/24 ip4:69.25.247.0/24 include:sp.unibet.com include:spf.protection.outlook.com include:spf.mandrillapp.com include:custhelp.com -all, google-site-verification=m0BCAxF9TtZ565Wgss1bKa9_GDvNIyKea6Kqvbi5bng, d738c231-2e90-4d58-a56f-eda6e327f304, google-site-verification=UfpTilZr6xyExWkLOpx2b2XpG2w0VVElJfpodhG5m_E, 19b382b3-055c-4563-91aa-346dd1158e66, S/ui88PEDmFfuuY4Sl7RL8JweTg5nII9g7y5Z3m56n1h7KjbtVQw+Gn3ggQwjRThi8993sjd+7fw/9B3QNOMqQ==, 0d1cc225-fdd7-49de-8b9a-fff714f84ffd","letsencrypt.org, trustwave.com",,,,
[x],bitbucket.unibet.fr,,,NOERROR,,,,,,,,,,
[x],blog.32red.com,"104.17.116.43, 104.16.185.79","cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,True,cloudflare,,
[x],blog.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],blogs.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],bnl-pb2.unibet.fr,,,NOERROR,2602:fcbc:0:3::11,,,,,,,,,
[x],bostaging.igame.com,,,NOERROR,,,,,,,,,,
[x],bounce.communication.unibet.fr,51.68.117.237,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,bounce.communication.unibet.fr,v=spf1 include:spf.communication.unibet.fr -all,,,,,
[x],bounce.nl1.unibet.fr,51.68.117.237,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,bounce.nl1.unibet.fr,v=spf1 include:spf.nl1.unibet.fr -all,,,,,
[x],bounce.nl2.unibet.fr,51.68.117.237,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"global.excedodns.com, sto.excedodns.se, emea.excedodns.eu, world.excedodns.org, dns-ext1.northdev.net, dns-ext2.northdev.net",bounce.nl2.unibet.fr,v=spf1 include:spf.nl2.unibet.fr -all,,,,,
[x],bounce.transact.nj.unibet.com,74.112.68.24,"ns1.silverpop.com, dnsadmin.silverpop.com",NOERROR,,,,bounce.transact.nj.unibet.com,v=spf1 a ip4:129.41.173.116 -all,,,,,
[x],brand.bingo.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,v=spf1 mx include:sp.unibet.com include:spf.protection.outlook.com -all,,,,,
[x],brand.mariacasino.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,brand-mariacasino-com.mail.protection.outlook.com,v=spf1 mx include:sp.unibet.com include:spf.protection.outlook.com -all,,,,,
[x],brand.storspiller.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,brand-storspiller-com.mail.protection.outlook.com,v=spf1 mx include:sp.unibet.com include:spf.protection.outlook.com -all,,,,,
[x],brand.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],bulletins.unibet.fr,,,NOERROR,,,,,,,,,,
[x],c-212.unibet.fr,,,NOERROR,,,,,,,,,,
