new,host,a,soa,status_code,aaaa,cname,ns,has_internal_ips,internal_ips,cdn,cdn-name,ptr,txt,mx,caa
[x],bus.makemytrip.com,"2.19.120.83, 2.19.120.88","n0cn.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19c, 2a02:26f0:480:c::210:f19d","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net, e38444.dscj.akamaiedge.net.0.1.cn.akamaiedge.net",,,,,,,,,
[x],bustickets.makemytrip.com,"13.126.1.111, 13.127.63.123","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,mmt-301-1242032409.ap-south-1.elb.amazonaws.com,,,,,,,,,
[x],c-securepay.makemytrip.com,2.17.182.50,"n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:6c00:198::86e, 2a02:26f0:6c00:186::86e","c-securepay.makemytrip.com.edgekey.net, e2158.dscj.akamaiedge.net",,,,,,,,,
[x],cabs-test.makemytrip.com,54.144.128.85,,NOERROR,,,,,,,,,,,
[x],cabs.makemytrip.com,"2.16.187.58, 2.16.187.154","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:6c00::210:bb9a, 2a02:26f0:6c00::210:bb3a","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],careers.makemytrip.com,"62.115.252.19, 80.239.137.144","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:21::50ef:8990, 2001:2030:21::3e73:fc13","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],carrental.makemytrip.com,"62.115.252.19, 80.239.137.144","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:21::50ef:8990, 2001:2030:21::3e73:fc13","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],cbdom.makemytrip.com,"23.53.42.147, 23.53.42.195","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],cbintl.makemytrip.com,"23.53.42.195, 23.53.42.147","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:1c::1724:a372, 2a02:26f0:3500:1c::1724:a36e","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],cbother.makemytrip.com,"2.16.187.154, 2.16.187.58","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19c, 2a02:26f0:480:c::210:f19d","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],ccb.makemytrip.com,"2.16.187.58, 2.16.187.154","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19d, 2a02:26f0:480:c::210:f19c","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],cdf.makemytrip.com,,"n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net","pdns6.ultradns.co.uk, pdns3.ultradns.org, pdns2.ultradns.net, pdns5.ultradns.info, pdns4.ultradns.org, pdns1.ultradns.net",,,,,,,,
[x],chatsupport.makemytrip.com,43.204.81.115,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,bot-framework-mmtv2-ECS-455859850.ap-south-1.elb.amazonaws.com,"ns-1498.awsdns-59.org, ns-1568.awsdns-04.co.uk, ns-329.awsdns-41.com, ns-836.awsdns-40.net",,,,,,,,
[x],cheapfaresindia.makemytrip.com,,"n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19c, 2a02:26f0:480:c::210:f19d","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],citrix.makemytrip.com,"125.20.38.104, 202.54.232.142","citrix.makemytrip.com, administrator.citrix.makemytrip.com",NOERROR,,,,,,,,,,,
[x],click.makemytrip.com,"13.126.179.12, 52.66.25.51","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,"e-in21.gtolink.in, prod-tracker-mxradon-private-1-1925945509.ap-south-1.elb.amazonaws.com",,,,,,,,,
[x],compay.makemytrip.com,"23.38.98.208, 23.38.98.235","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19d, 2a02:26f0:480:c::210:f19c","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],connect.makemytrip.com,"2.18.29.208, 2.18.29.160","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:d200::6855:f92a, 2a02:26f0:d200::6855:f93a","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],consentmgmt.makemytrip.com,"2.16.241.156, 2.16.241.157","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19d, 2a02:26f0:480:c::210:f19c","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],corpflights.makemytrip.com,"23.53.42.147, 23.53.42.195","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19d, 2a02:26f0:480:c::210:f19c","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],cp3o.makemytrip.com,"2.18.29.208, 2.18.29.160","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],customer-experience.makemytrip.com,"95.101.74.149, 95.101.74.142","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a8e, 2a02:26f0:c900:9::5f65:4a95","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],domainpswd.makemytrip.com,115.111.170.12,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],drive.makemytrip.com,142.250.184.243,"ns1.google.com, dns-admin.google.com",NOERROR,2a00:1450:4001:831::2013,ghs.googlehosted.com,,,,,,,,,
[x],experiences.makemytrip.com,"23.3.88.177, 23.3.88.211","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3100::1735:2ac3, 2a02:26f0:3100::1735:2a93","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],explore.makemytrip.com,"2.19.120.134, 2.19.120.138","n0b.akamai.net, hostmaster.akamai.com",NOERROR,,"explore.make.edgesuite.net, a1390.b.akamai.net",,,,,,,,,
[x],extservices.makemytrip.com,"23.213.203.83, 23.213.203.97","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2600:1405:9000::6878:8aa1, 2600:1405:9000::6878:8aa8","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],flightplushotels.makemytrip.com,115.114.53.63,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],flights-cb.makemytrip.com,,"n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],flights-meta.makemytrip.com,"2.16.187.154, 2.16.187.58","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:6c00::210:bb3a, 2a02:26f0:6c00::210:bb9a","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],flights.makemytrip.com,,"n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],flyfish.makemytrip.com,"2.16.187.154, 2.16.187.58","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:6c00::210:bb3a, 2a02:26f0:6c00::210:bb9a","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],ftp.makemytrip.com,122.15.80.212,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,"pdns6.ultradns.co.uk, pdns3.ultradns.org, pdns2.ultradns.net, pdns5.ultradns.info, pdns4.ultradns.org, pdns1.ultradns.net",,,,,,,,
[x],gc.makemytrip.com,"2.16.187.154, 2.16.187.58","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19d, 2a02:26f0:480:c::210:f19c","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],gia.makemytrip.com,23.37.32.244,"n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:1700:794::19f8, 2a02:26f0:1700:786::19f8","gia.makemytrip.com.edgekey.net, e6648.dscj.akamaiedge.net",,,,,,,,,
[x],giftcard.makemytrip.com,"23.38.98.235, 23.38.98.208","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:64::214:8487, 2a02:26f0:64::214:847f","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],ground-auto-suggest.makemytrip.com,"23.38.98.235, 23.38.98.208","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:64::214:8487, 2a02:26f0:64::214:847f","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],gtm2.makemytrip.com,115.114.54.7,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],hcs-promo.makemytrip.com,"23.38.98.235, 23.38.98.208","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:1c::1724:a36e, 2a02:26f0:3500:1c::1724:a372","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],hcs.makemytrip.com,"23.38.98.235, 23.38.98.208","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:1c::1724:a372, 2a02:26f0:3500:1c::1724:a36e","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],help.makemytrip.com,"125.20.38.96, 115.111.170.11","help.makemytrip.com, administrator.help.makemytrip.com",NOERROR,,,,,,,,,,,
[x],hindi.makemytrip.com,"23.38.98.208, 23.38.98.235","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19d, 2a02:26f0:480:c::210:f19c","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],holidayambassador.makemytrip.com,13.234.198.204,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],holidayprojecttracker.makemytrip.com,"2.16.241.157, 2.16.241.156","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19d, 2a02:26f0:480:c::210:f19c","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],holidayservice.makemytrip.com,,"n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:d200::6855:f93a, 2a02:26f0:d200::6855:f92a","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],holidayz.makemytrip.com,"95.101.74.149, 95.101.74.142","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a8e, 2a02:26f0:c900:9::5f65:4a95","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],homestays.makemytrip.com,"13.126.1.111, 13.127.63.123","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,mmt-301-1242032409.ap-south-1.elb.amazonaws.com,,,,,,,,,
[x],homestaysawards.makemytrip.com,139.59.8.179,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],hotels.makemytrip.com,115.114.53.63,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],hs.makemytrip.com,"2.16.187.154, 2.16.187.58","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19d, 2a02:26f0:480:c::210:f19c","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],hubble.makemytrip.com,"95.101.74.149, 95.101.74.142","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a95, 2a02:26f0:c900:9::5f65:4a8e","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],hybrid.makemytrip.com,"122.15.80.217, 202.54.232.153","hybrid.makemytrip.com, administrator.hybrid.makemytrip.com",NOERROR,,,,,,,,,,,
[x],idea.makemytrip.com,"13.126.1.111, 13.127.63.123","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,"m.makemytrip.com, mmt-301-1242032409.ap-south-1.elb.amazonaws.com",,,,,,,,,
[x],images.makemytrip.com,"2.19.122.223, 2.19.122.222","n0g.akamai.net, hostmaster.akamai.com",NOERROR,,"images.makemytrip.com.edgesuite.net, a990.g.akamai.net",,,,,,,,,
[x],indigo.makemytrip.com,,"n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2600:1405:9000::6878:8aa1, 2600:1405:9000::6878:8aa8","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],investors.makemytrip.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,"webfarm-50.q4web.com, webfarm-31004.q4web.com, webfarm-300.q4web.com, cloudflare.cdn.web.prd.q4inc.com, cloudflare.cdn.web.prd.q4inc.com.cdn.cloudflare.net",,,,True,cloudflare,,,,
[x],ironport2.makemytrip.com,"125.20.38.76, 202.54.232.129","ironport2.makemytrip.com, administrator.ironport2.makemytrip.com",NOERROR,,,,,,,,,,,
[x],ironport3.makemytrip.com,"202.54.232.145, 125.20.38.81","ironport3.makemytrip.com, administrator.ironport3.makemytrip.com",NOERROR,,,,,,,,,,,
[x],ironport4.makemytrip.com,"125.20.38.75, 202.54.232.147","ironport4.makemytrip.com, administrator.ironport4.makemytrip.com",NOERROR,,,,,,,,,,,
[x],ironport5.makemytrip.com,"125.20.38.76, 202.54.232.129","ironport5.makemytrip.com, administrator.ironport5.makemytrip.com",NOERROR,,,,,,,,,,,
[x],jarvis.makemytrip.com,"2.16.241.157, 2.16.241.156","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19c, 2a02:26f0:480:c::210:f19d","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],juggler.makemytrip.com,"23.38.98.235, 23.38.98.208","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19c, 2a02:26f0:480:c::210:f19d","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],legacy.makemytrip.com,"125.20.38.83, 202.54.232.146",,NOERROR,,,,,,,,,,,
[x],loyaltywebservices.makemytrip.com,"23.53.42.147, 23.53.42.195","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19d, 2a02:26f0:480:c::210:f19c","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],lpairn.makemytrip.com,125.20.33.150,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],lpvoda.makemytrip.com,118.185.136.166,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],lpvsn.makemytrip.com,14.142.226.62,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],lwac.makemytrip.com,"125.20.38.93, 202.54.232.148","lwac.makemytrip.com, administrator.lwac.makemytrip.com",NOERROR,,,,,,,,,,,
[x],lyncdiscover.makemytrip.com,52.112.192.11,"admin.nsatc.net, dns.level3.net",NOERROR,2603:1027:0:48::20,sipdir.online.lync.com,,,,,,,,,
[x],m-securepay.makemytrip.com,104.102.20.169,"n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3100:3aa::86e, 2a02:26f0:3100:3ad::86e","m-securepay.makemytrip.com.edgekey.net, e2158.dscj.akamaiedge.net",,,,,,,,,
[x],m.makemytrip.com,"13.127.63.123, 13.126.1.111","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,mmt-301-1242032409.ap-south-1.elb.amazonaws.com,,,,,,,,,
[x],mail.makemytrip.com,,,NOERROR,,,,,,,,,,,
[x],mailmktg.makemytrip.com,"62.115.252.19, 80.239.137.144","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:21::50ef:8990, 2001:2030:21::3e73:fc13","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],makemytrip.com,"3.33.210.219, 15.197.238.104","pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,"pdns6.ultradns.co.uk, pdns3.ultradns.org, pdns2.ultradns.net, pdns5.ultradns.info, pdns4.ultradns.org, pdns1.ultradns.net",,,,,,"MS=ms98864892, amazonses:iFJOj26cEzmf9oWGHAJr06tosXDpJBCbSacF5cA8iZ4=, g64jbnkr3s87e9aad77kitmu7f, atlassian-domain-verification=3bTq6BtgaXQyZS2SAT+Rmm4bo/E1GPKLWdz0ovvCpEfohTnUNYGKmqPoN3q6ufNU, z6x+qdL9032JntRsigxoSrrt88tK6LBAM0KwlWT1sg6CqLDTzalDqJVfs7FMIt67Xz4LvidzxmTURi64AA14XQ==, TOKoVSVN7bWkXM253hKEc3Xo5ZiTW0UFVGNgcty5UTIe9apQkyIAu9VauZPqQBbHOsC4zgbSW5lY/nEI2R09Gg==, 22sa5h5mfhlhg2hcnnb625g4c3, v=spf2.0/pra a:rntgb80.rnmk.com  include:spf.mandrillapp.com include _spf.q4press.com include:amazonses.com ~all, gt2vbunp9vs7glpn00ur8rgsif, v=spf1 ip4:202.54.232.144/29 ip4:125.20.38.72/29 ip4:122.15.80.195 ip4:115.114.55.46 ip4:122.15.80.201  ip4:115.114.55.48/31 ip4:65.1.209.68 ip4:43.205.153.167 ip4:13.126.83.17 include:spf.protection.outlook.com include:spf.mandrillapp.com include:amazons, es.com  ~all, apple-domain-verification=2sGqhREFpqr7Dn7d, m3u0g7p5g8i6md95u0jtdlv0bb, MS=ms43481687","ironport2.makemytrip.com, ironport.makemytrip.com, mx1.hc802-25.ap.iphmx.com, ironport4.makemytrip.com, ironport5.makemytrip.com, mx2.hc802-25.ap.iphmx.com, ironport3.makemytrip.com",
[x],mapi.makemytrip.com,"2.16.187.58, 2.16.187.154","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19d, 2a02:26f0:480:c::210:f19c","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],mbus.makemytrip.com,"23.38.98.235, 23.38.98.208","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:64::214:8487, 2a02:26f0:64::214:847f","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],metrics.makemytrip.com,0.0.0.0,"fake-for-negative-caching.adguard.com, hostmaster.metrics.makemytrip.com",NOERROR,::,,,True,0.0.0.0,,,,,,
