new,host,cname,mx,soa,ns,txt,status_code,a,cdn,cdn-name,aaaa,caa
,ops.cuvva.com,,,"ns-125.awsdns-15.com, awsdns-hostmaster.amazon.com",,,NOERROR,"18.154.63.35, 18.154.63.125, 18.154.63.22, 18.154.63.23",True,cloudfront,"2600:9000:243d:1800:9:ddeb:8800:93a1, 2600:9000:243d:600:9:ddeb:8800:93a1, 2600:9000:243d:bc00:9:ddeb:8800:93a1, 2600:9000:243d:5800:9:ddeb:8800:93a1, 2600:9000:243d:3c00:9:ddeb:8800:93a1, 2600:9000:243d:3400:9:ddeb:8800:93a1, 2600:9000:243d:5600:9:ddeb:8800:93a1, 2600:9000:243d:7200:9:ddeb:8800:93a1",
,static.cuvva.com,,,"ns-125.awsdns-15.com, awsdns-hostmaster.amazon.com",,,NOERROR,"65.9.66.90, 65.9.66.28, 65.9.66.56, 65.9.66.59",True,cloudfront,"2600:9000:206f:2600:1b:ac9f:e0c0:93a1, 2600:9000:206f:e00:1b:ac9f:e0c0:93a1, 2600:9000:206f:4e00:1b:ac9f:e0c0:93a1, 2600:9000:206f:da00:1b:ac9f:e0c0:93a1, 2600:9000:206f:5c00:1b:ac9f:e0c0:93a1, 2600:9000:206f:7600:1b:ac9f:e0c0:93a1, 2600:9000:206f:c000:1b:ac9f:e0c0:93a1, 2600:9000:206f:2a00:1b:ac9f:e0c0:93a1",
,status.cuvva.com,hkt9kxdklmms.stspg-customer.com,,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,52.215.192.131,,,,"letsencrypt.org, globalsign.com;"
,support.cuvva.co,,,"ns-1876.awsdns-42.co.uk, awsdns-hostmaster.amazon.com","ns-1453.awsdns-53.org, ns-1876.awsdns-42.co.uk, ns-218.awsdns-27.com, ns-585.awsdns-09.net",,NOERROR,"216.137.44.77, 216.137.44.34, 216.137.44.73, 216.137.44.25",True,cloudfront,"2600:9000:225c:f000:1d:6265:b680:93a1, 2600:9000:225c:6400:1d:6265:b680:93a1, 2600:9000:225c:4a00:1d:6265:b680:93a1, 2600:9000:225c:8e00:1d:6265:b680:93a1, 2600:9000:225c:1a00:1d:6265:b680:93a1, 2600:9000:225c:3000:1d:6265:b680:93a1, 2600:9000:225c:ea00:1d:6265:b680:93a1, 2600:9000:225c:b600:1d:6265:b680:93a1",
,support.cuvva.com,,,"ns-125.awsdns-15.com, awsdns-hostmaster.amazon.com",,,NOERROR,"18.173.233.11, 18.173.233.60, 18.173.233.8, 18.173.233.57",True,cloudfront,"2600:9000:2440:f400:3:3d08:8200:93a1, 2600:9000:2440:8800:3:3d08:8200:93a1, 2600:9000:2440:4a00:3:3d08:8200:93a1, 2600:9000:2440:2200:3:3d08:8200:93a1, 2600:9000:2440:8600:3:3d08:8200:93a1, 2600:9000:2440:3c00:3:3d08:8200:93a1, 2600:9000:2440:4800:3:3d08:8200:93a1, 2600:9000:2440:a600:3:3d08:8200:93a1",
,underwriter.partner.cuvva.com,,,"ns-125.awsdns-15.com, awsdns-hostmaster.amazon.com",,,NOERROR,"18.65.39.44, 18.65.39.128, 18.65.39.52, 18.65.39.9",True,cloudfront,"2600:9000:238d:4000:1d:6265:b680:93a1, 2600:9000:238d:a800:1d:6265:b680:93a1, 2600:9000:238d:fa00:1d:6265:b680:93a1, 2600:9000:238d:de00:1d:6265:b680:93a1, 2600:9000:238d:b600:1d:6265:b680:93a1, 2600:9000:238d:e800:1d:6265:b680:93a1, 2600:9000:238d:7000:1d:6265:b680:93a1, 2600:9000:238d:5200:1d:6265:b680:93a1",
,underwriter.prod.cuv-prod.app,,,"ns-1851.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"108.156.60.93, 108.156.60.37, 108.156.60.69, 108.156.60.116",True,cloudfront,"2600:9000:2394:e400:17:f6ef:c7c0:93a1, 2600:9000:2394:fc00:17:f6ef:c7c0:93a1, 2600:9000:2394:d400:17:f6ef:c7c0:93a1, 2600:9000:2394:1800:17:f6ef:c7c0:93a1, 2600:9000:2394:1e00:17:f6ef:c7c0:93a1, 2600:9000:2394:7c00:17:f6ef:c7c0:93a1, 2600:9000:2394:c600:17:f6ef:c7c0:93a1, 2600:9000:2394:8a00:17:f6ef:c7c0:93a1",
,wood.prod.ext.cuvva.co,,,,,,NOERROR,,,,,
,www.cuvva.co,,,"ns-1876.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"13.32.99.75, 13.32.99.40, 13.32.99.66, 13.32.99.119",True,cloudfront,"2600:9000:2251:9800:1d:6265:b680:93a1, 2600:9000:2251:6e00:1d:6265:b680:93a1, 2600:9000:2251:3800:1d:6265:b680:93a1, 2600:9000:2251:9a00:1d:6265:b680:93a1, 2600:9000:2251:400:1d:6265:b680:93a1, 2600:9000:2251:1a00:1d:6265:b680:93a1, 2600:9000:2251:5000:1d:6265:b680:93a1, 2600:9000:2251:d200:1d:6265:b680:93a1",
,www.cuvva.com,,,"ns-125.awsdns-15.com, awsdns-hostmaster.amazon.com","ns-125.awsdns-15.com, ns-1331.awsdns-38.org, ns-2040.awsdns-63.co.uk, ns-661.awsdns-18.net",,NOERROR,"52.84.93.64, 52.84.93.15, 52.84.93.47, 52.84.93.59",True,cloudfront,"2600:9000:2046:4c00:1f:1a1f:2900:93a1, 2600:9000:2046:ae00:1f:1a1f:2900:93a1, 2600:9000:2046:8800:1f:1a1f:2900:93a1, 2600:9000:2046:3000:1f:1a1f:2900:93a1, 2600:9000:2046:e800:1f:1a1f:2900:93a1, 2600:9000:2046:d800:1f:1a1f:2900:93a1, 2600:9000:2046:2000:1f:1a1f:2900:93a1, 2600:9000:2046:0:1f:1a1f:2900:93a1",
