input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,tech_,lines,failed,cdn,final_url,chain_status_codes_,csp_domains_,tls_mismatched,tls_subject_org_
https://cdnjs.cloudflare.com/ajax/libs/tether/,,404,18,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8789a4791c80fe9fc769847a7ba6e4b5,9454c62828b954228efbbb6b7e3865ae64ba54e5a4ccdd89936d068e2ac94dd3,True,ctls,cdnjs.cloudflare.com,cloudflare,443,https://cdnjs.cloudflare.com:443/ajax/libs/tether/,https,cloudflare,text/plain,GET,104.17.24.14,/ajax/libs/tether/,2023033722,HTTP/3,1,False,True,,,,,"Cloudflare, Inc."
https://code.jquery.com/,jQuery CDN,200,21134,releases.jquery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-07-14T23:59:59Z,CN=*.jquery.com,*.jquery.com,jquery.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4f869c14d53cb08402ae3baeb42934a0,8801277d4bd87748bed90a1d51b19b98f27872075cae82c6082a4f9919029a05,True,ctls,releases.jquery.com,,443,https://code.jquery.com:443,https,nginx,text/html,GET,69.16.175.10,/,299032747,WordPress:4.5.2,473,False,,https://releases.jquery.com/,200,,,
https://cuvva-file-uploads.s3-eu-west-1.amazonaws.com/,,403,243,cuvva-file-uploads.s3-eu-west-1.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-23T23:59:59Z,CN=*.s3-eu-west-1.amazonaws.com,*.s3-eu-west-1.amazonaws.com,s3-deprecated.eu-west-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dba3bcc77feab1ffec648cb31369669c,91394148d95c68f2025f01cd351e5417fcae30a7a1538465a84f6fc036f41ccc,True,ctls,cuvva-file-uploads.s3-eu-west-1.amazonaws.com,,443,https://cuvva-file-uploads.s3-eu-west-1.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.218.46.114,/,-1867151089,Amazon Web Services,2,False,,,,,,
https://cuvva-file-uploads.s3.eu-west-1.amazonaws.com/,,403,243,cuvva-file-uploads.s3.eu-west-1.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-23T23:59:59Z,CN=*.s3-eu-west-1.amazonaws.com,*.s3-eu-west-1.amazonaws.com,s3-deprecated.eu-west-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dba3bcc77feab1ffec648cb31369669c,91394148d95c68f2025f01cd351e5417fcae30a7a1538465a84f6fc036f41ccc,True,ctls,cuvva-file-uploads.s3.eu-west-1.amazonaws.com,,443,https://cuvva-file-uploads.s3.eu-west-1.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.218.116.130,/,993715420,Amazon Web Services,2,False,,,,,,
https://fast.wistia.net,Sign in to your Wistia account,200,7159,auth.wistia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.wistia.com,*.wistia.com,wistia.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2c9abe91ca067cc6704840d4dd3ed0ab,efed0a3cb3b70c0d3eee3bcb7a563412d55d3249f4f404c0b75bd943e1216e1e,True,ctls,auth.wistia.com,fastly,443,https://fast.wistia.net:443,https,,text/html,GET,151.101.130.110,/,837614330,HSTS,130,False,True,https://auth.wistia.com/session/new?app=wistia,200,,,
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:25:28Z,2023-07-10T08:25:27Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bb36f87d729ede8efe168280c9c2aee1,74ee4c566e7c3dd19d6cf88e68fcee26785d38f6addec51c1b8b1b8d8b63cc4e,True,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.186.138,/,-606046040,HTTP/3,1,False,,,,,,
https://fonts.gstatic.com/,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:25:28Z,2023-07-10T08:25:27Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,81839f47edbd03642f8f4b3ee59db80d,f799daee5cbea78d253b04e621997f1c61c16d277837fa307f721ec5565ff0a5,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,172.217.18.99,/,302920777,HTTP/3,12,False,,,,,,
https://hooks.stripe.com,Stripe: Page not found,404,129,hooks.stripe.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-14T00:00:00Z,2023-06-13T23:59:59Z,"CN=*.stripe.com, O=Stripe\, Inc, L=San Francisco, ST=California, C=US",*.stripe.com,stripe.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,1d38a68771b5943677324c9e26a0ae0e,7be0dd39c5fb02fa2bbee315b1dad3794a3e4e29959a7375f16bce5fa7759283,True,ctls,hooks.stripe.com,,443,https://hooks.stripe.com:443,https,nginx,text/html,GET,54.228.85.11,/,-53539204,Nginx,1,False,,,,url=https://stripe.com/404,,"Stripe, Inc"
https://js.intercomcdn.com,,403,243,js.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,js.intercomcdn.com,cloudfront,443,https://js.intercomcdn.com:443,https,AmazonS3,application/xml,GET,18.66.147.43,/,-1463630469,HTTP/3,2,False,True,,,,,
https://js.intercomcdn.com/,,403,243,js.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,js.intercomcdn.com,cloudfront,443,https://js.intercomcdn.com:443,https,AmazonS3,application/xml,GET,18.66.147.43,/,325984487,HTTP/3,2,False,True,,,,,
https://js.stripe.com,,404,243,js.stripe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2023-08-05T23:59:59Z,"CN=a.stripecdn.com, O=Stripe\, Inc, L=San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",a.stripecdn.com,edge-invoice.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7a7b4fb8a891721cb0d0f58df07c0b93,467cc8ee0a9623374649b9a4473f0312885b8e9617a9b81fb1f04b61da6db08a,,ctls,js.stripe.com,cloudfront,443,https://js.stripe.com:443,https,Cloudfront,application/xml,GET,99.86.4.122,/,1644943676,Amazon Web Services,2,False,True,,,,,"Stripe, Inc"
https://maps.googleapis.com/,Google Maps Platform  |  Google Developers,200,206587,developers.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:16:32Z,2023-07-10T08:16:31Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,1dd5583ef1a56e3e3a26ca47ffcf4ebd,9234848f3f6315ac6c531fe30b337a4e4a885cba513c90eec6e6a0986c3a5efb,True,ctls,developers.google.com,,443,https://maps.googleapis.com:443,https,Google Frontend,text/html,GET,142.250.186.106,/,302920777,HTTP/3,8982,False,,https://developers.google.com/maps/,200,http:,,
https://maxcdn.bootstrapcdn.com/,The Tudors,200,204,maxcdn.bootstrapcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-30T00:00:00Z,2023-12-30T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bootstrapcdn.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",43bf2e015428996a5a19a3bc0dcf7608,a90dcbfa8b2740d5693f93ad771ea7f8fa9afe2e756304e912f763ddb0c287f5,True,ctls,maxcdn.bootstrapcdn.com,cloudflare,443,https://maxcdn.bootstrapcdn.com:443,https,cloudflare,text/html,GET,104.18.11.207,/,453686924,HTTP/3,9,False,True,,,URL='https://www.bootstrapcdn.com/',,"Cloudflare, Inc."
https://maxcdn.bootstrapcdn.com/bootstrap/,404 Not Found,404,555,maxcdn.bootstrapcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-30T00:00:00Z,2023-12-30T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bootstrapcdn.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",43bf2e015428996a5a19a3bc0dcf7608,a90dcbfa8b2740d5693f93ad771ea7f8fa9afe2e756304e912f763ddb0c287f5,True,ctls,maxcdn.bootstrapcdn.com,cloudflare,443,https://maxcdn.bootstrapcdn.com:443/bootstrap/,https,cloudflare,text/html,GET,104.18.11.207,/bootstrap/,453686924,HTTP/3,21,False,True,,,,,"Cloudflare, Inc."
https://player.vimeo.com,Features and Tools | Vimeo,200,139087,vimeo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-21T00:00:00Z,2023-09-20T23:59:59Z,"CN=vimeo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",vimeo.com,vimeo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",abfbe98ee21ae761e7c907a2c2b11739,194c25b1c83430e1b8571f3a61c8671e0c371c345f741e485c2458d8b9e2a85b,True,ctls,vimeo.com,cloudflare,443,https://player.vimeo.com:443,https,cloudflare,text/html,GET,162.159.138.60,/,1154390870,Varnish,1061,False,True,https://vimeo.com/features,200,https:,,"Cloudflare, Inc."
https://static.intercomassets.com,,403,243,static.intercomassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-07-16T23:59:59Z,CN=intercomassets.com,intercomassets.com,*.intercomassets.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ccc98dd379dd0e5de6309fd576d45bc4,d89cf4bbb1f40cb5578f6fa2fcb11d1d79006714e85fd69777cc5a8e702b9d55,True,ctls,static.intercomassets.com,cloudfront,443,https://static.intercomassets.com:443,https,AmazonS3,application/xml,GET,13.225.78.32,/,638674504,HTTP/3,2,False,True,,,,,
https://twemoji.maxcdn.com/,"twemoji CDN by jsDelivr - A free, fast, and reliable Open Source CDN",200,22954,twemoji.maxcdn.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-15T18:09:14Z,2023-07-14T18:09:13Z,CN=twemoji.maxcdn.com,twemoji.maxcdn.com,twemoji.maxcdn.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d56fc60304e11c0faa331dbb8e4f945d,f52fad4023838359343a86130c91dee35f3ca1e12b09cc7bae4c8bd2e194acaf,,ctls,twemoji.maxcdn.com,,443,https://twemoji.maxcdn.com:443,https,BunnyCDN-DE1-863,text/html,GET,138.199.37.231,/,2049363819,HTTP/3,560,False,,,,,,
https://uploads.intercomcdn.com,,403,255,uploads.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,uploads.intercomcdn.com,cloudfront,443,https://uploads.intercomcdn.com:443,https,AmazonS3,application/xml,GET,13.32.121.57,/,600946051,HTTP/3,2,False,True,,,,,
https://www.google-analytics.com/,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:16:32Z,2023-07-10T08:16:31Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,1dd5583ef1a56e3e3a26ca47ffcf4ebd,9234848f3f6315ac6c531fe30b337a4e4a885cba513c90eec6e6a0986c3a5efb,True,ctls,marketingplatform.google.com,,443,https://www.google-analytics.com:443,https,sffe,text/html,GET,142.250.74.206,/,302920777,HTTP/3,1831,False,,https://marketingplatform.google.com/about/analytics/,200,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,
https://www.youtube.com,YouTube,200,819875,www.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:16:32Z,2023-07-10T08:16:31Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,1dd5583ef1a56e3e3a26ca47ffcf4ebd,9234848f3f6315ac6c531fe30b337a4e4a885cba513c90eec6e6a0986c3a5efb,True,ctls,www.youtube.com,,443,https://www.youtube.com:443,https,ESF,text/html,GET,142.250.185.206,/,1179099333,HTTP/3,23,False,,,,,True,
links.cuvva.com,The car insurance app | Cuvva,200,4173355,www.cuvva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-02T23:59:59Z,CN=cuvva.com,cuvva.com,*.cuvva.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,46b390a43740dd617611a78fd573ced1,8c5e8cb140a989fcfe6bc9266b409c5252f2cc5aa98e6e9d4054bfd5a924b39f,True,ctls,www.cuvva.com,cloudfront,443,https://links.cuvva.com:443,https,AmazonS3,text/html,GET,13.32.121.15,/,-896268986,Typekit,500,False,True,https://www.cuvva.com/,200,https://twemoji.maxcdn.com/,,
links1.cuvva.com,404 Not Found,404,552,links1.cuvva.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-11-23T23:59:59Z,CN=spgo.io,spgo.io,spgo1.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b48d2faa8da96be2c64964e60e5b333f,24aec451a732f9ce5cc82cdefd7dd980c9959bcba2bbe70c2fb5803680f2528b,True,ctls,links1.cuvva.com,,443,https://links1.cuvva.com:443,https,msys-http,text/plain,GET,54.187.134.7,/,-1840324437,,14,False,,,,,True,
magic.cuvva.com,,200,262,magic.cuvva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-02T23:59:59Z,CN=cuvva.com,cuvva.com,*.cuvva.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,46b390a43740dd617611a78fd573ced1,8c5e8cb140a989fcfe6bc9266b409c5252f2cc5aa98e6e9d4054bfd5a924b39f,True,ctls,magic.cuvva.com,cloudfront,443,https://magic.cuvva.com:443,https,AmazonS3,text/html,GET,13.32.99.34,/,595186039,Amazon Web Services,15,False,True,,,,,
ops.cuvva.com,Cuvva,200,5971,ops.cuvva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-02T23:59:59Z,CN=cuvva.com,cuvva.com,*.cuvva.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,46b390a43740dd617611a78fd573ced1,8c5e8cb140a989fcfe6bc9266b409c5252f2cc5aa98e6e9d4054bfd5a924b39f,True,ctls,ops.cuvva.com,cloudfront,443,https://ops.cuvva.com:443,https,AmazonS3,text/html,GET,18.66.147.92,/,1338178039,HSTS,83,False,True,,,,,
static.cuvva.com,,403,243,static.cuvva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-02T23:59:59Z,CN=cuvva.com,cuvva.com,*.cuvva.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,46b390a43740dd617611a78fd573ced1,8c5e8cb140a989fcfe6bc9266b409c5252f2cc5aa98e6e9d4054bfd5a924b39f,True,ctls,static.cuvva.com,cloudfront,443,https://static.cuvva.com:443,https,AmazonS3,application/xml,GET,65.9.66.59,/,2048682505,Amazon Web Services,2,False,True,,,,,
status.cuvva.com,Cuvva Status,200,48563,status.cuvva.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-22T07:43:54Z,2023-07-21T07:43:53Z,CN=apistatus.chorus.co.nz,apistatus.chorus.co.nz,www.githubstatus.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba597573d90bf57cd7e9b9e2d299d910,c5637019972997373031cb77015e38379d697d4fac129f4c469d4f5b4acc7af3,,ctls,status.cuvva.com,,443,https://status.cuvva.com:443,https,,text/html,GET,52.215.192.131,/,-1840324437,HSTS,1184,False,,,,,,
support.cuvva.co,Cuvva Help Center,200,42483,support.cuvva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-02T23:59:59Z,CN=cuvva.com,cuvva.com,*.cuvva.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,46b390a43740dd617611a78fd573ced1,8c5e8cb140a989fcfe6bc9266b409c5252f2cc5aa98e6e9d4054bfd5a924b39f,True,ctls,support.cuvva.com,cloudfront,443,https://support.cuvva.co:443,https,nginx,text/html,GET,13.32.99.66,/,-1840324437,Nginx,22,False,True,https://support.cuvva.com/en/,200,https://intercom.skilljar.com,,
