input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,tls_expired,cdn
custom.intendia.com,,,324,custom.intendia.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T15:36:21Z,CN=flota.buscaman.com,flota.buscaman.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,custom.intendia.com,443,https://custom.intendia.com:443,https,Apache,text/html,GET,34.107.117.60,Apache,6,,True
datik.custom.intendia.com,,,324,datik.custom.intendia.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T15:36:21Z,CN=flota.buscaman.com,flota.buscaman.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,datik.custom.intendia.com,443,https://datik.custom.intendia.com:443,https,Apache,text/html,GET,34.107.117.60,Apache,6,,True
demo.mobicorp.com,Missing cookie,,2005,idp.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,idp.mobicorp.com,443,https://demo.mobicorp.com:443,https,,text/html,GET,34.138.0.45,PHP:5.4.16,43,,True
demoapi.mobicorp.com,401 Authorization Required,,192,demoapi.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,demoapi.mobicorp.com,443,https://demoapi.mobicorp.com:443,https,,text/html,GET,34.148.189.141,Basic,8,,True
geo.mobicorp.com,Missing cookie,,2005,idp.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,idp.mobicorp.com,443,https://geo.mobicorp.com:443,https,,text/html,GET,34.138.0.45,PHP:5.4.16,43,,True
geotab.ca,Not Found,,162,geotab.ca,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,"CN=*.geotab.com, O=GEOTAB INC., L=Las Vegas, ST=Nevada, C=US",*.geotab.com,GEOTAB INC.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,geotab.ca,443,https://geotab.ca:443,https,UploadServer,text/html,GET,34.95.97.185,HTTP/3,10,,True
idp.mobicorp.com,SimpleSAMLphp installation page,,3374,idp.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,idp.mobicorp.com,443,https://idp.mobicorp.com:443,https,,text/html,GET,34.138.0.45,PHP:5.4.16,61,,True
igp.intendia.com,,,324,igp.intendia.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T06:28:56Z,CN=igp.intendia.com,igp.intendia.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,igp.intendia.com,443,https://igp.intendia.com:443,https,Apache,text/html,GET,34.107.117.60,Apache,6,,True
intendia.com,Intendia Partner  | Fleet Telematics | Geotab,,110735,www.geotab.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,"CN=*.geotab.com, O=GEOTAB INC., L=Las Vegas, ST=Nevada, C=US",*.geotab.com,GEOTAB INC.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.geotab.com,443,https://intendia.com:443,https,,text/html,GET,34.149.109.44,React,141,,True
jetfoo.custom.intendia.com,,,324,jetfoo.custom.intendia.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T15:36:21Z,CN=flota.buscaman.com,flota.buscaman.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,jetfoo.custom.intendia.com,443,https://jetfoo.custom.intendia.com:443,https,Apache,text/html,GET,34.107.117.60,Apache,6,,True
lat-lon-admin.test.geotabinc.com,Sign in - Google Accounts,,620880,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://lat-lon-admin.test.geotabinc.com:443,https,ESF,text/html,GET,34.160.235.245,HTTP/3,46,,True
lat-lon.com,Lat-Lon Home - Solar Powered GPS Asset Tracking and Monitoring,,70151,www.lat-lon.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T00:00:00Z,CN=*.lat-lon.com,*.lat-lon.com,,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,ctls,www.lat-lon.com,443,https://lat-lon.com:443,https,Apache,text/html,GET,107.180.2.40,wpBakery,360,,
lb2.test2.geotabinc.com,Anmelden – Google Konten,,107897,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://lb2.test2.geotabinc.com:443,https,GSE,text/html,GET,34.102.211.210,OpenGSE,1890,,True
lets.geotab.ca,404 Page not found,,272,lets.geotab.ca,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T19:21:23Z,CN=lets.geotab.ca,lets.geotab.ca,,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,ctls,lets.geotab.ca,443,https://lets.geotab.ca:443,https,,text/html,GET,142.250.184.211,,11,,
login.lat-lon.com,Lat-Lon Login Page,,25370,login.lat-lon.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-10T00:00:00Z,CN=*.lat-lon.com,*.lat-lon.com,,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,ctls,login.lat-lon.com,443,https://login.lat-lon.com:443,https,,text/html,GET,34.120.184.100,Microsoft ASP.NET:4.0.30319,482,,True
login.mobicorp.com,Missing cookie,,2005,idp.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,idp.mobicorp.com,443,https://login.mobicorp.com:443,https,,text/html,GET,34.138.0.45,PHP:5.4.16,43,,True
mobilefleet.custom.intendia.com,,,324,mobilefleet.custom.intendia.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T15:36:21Z,CN=flota.buscaman.com,flota.buscaman.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,mobilefleet.custom.intendia.com,443,https://mobilefleet.custom.intendia.com:443,https,Apache,text/html,GET,34.107.117.60,Apache,6,,True
monitoring.mobicorp.com,,,19208,monitoring.mobicorp.com,443,tls13,TLS_AES_128_GCM_SHA256,2021-10-07T00:00:00Z,CN=mobile.ldtfp.com,mobile.ldtfp.com,,"CN=TrustAsia TLS RSA CA, OU=Domain Validated SSL, O=TrustAsia Technologies\, Inc., C=CN",TrustAsia TLS RSA CA,"TrustAsia Technologies, Inc.",ctls,monitoring.mobicorp.com,443,https://monitoring.mobicorp.com:443,https,X,text/html,GET,34.102.228.226,HTTP/3,543,True,True
movertis.custom.intendia.com,,,324,movertis.custom.intendia.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T15:36:21Z,CN=flota.buscaman.com,flota.buscaman.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,movertis.custom.intendia.com,443,https://movertis.custom.intendia.com:443,https,Apache,text/html,GET,34.107.117.60,Apache,6,,True
neutralvehicle.com,Neutral Vehicle,,45558,www.neutralvehicle.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-11-29T00:00:00Z,"CN=www.neutralvehicle.com, O=GEOTAB INC., L=Las Vegas, ST=Nevada, C=US",www.neutralvehicle.com,GEOTAB INC.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.neutralvehicle.com,443,https://neutralvehicle.com:443,https,UploadServer,text/html,GET,34.160.61.32,jQuery,990,,True
oss.custom.intendia.com,,,324,oss.custom.intendia.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T15:36:21Z,CN=flota.buscaman.com,flota.buscaman.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,oss.custom.intendia.com,443,https://oss.custom.intendia.com:443,https,Apache,text/html,GET,34.107.117.60,Apache,6,,True
pda.webtechwireless.com,Not Found,,315,,,,,,,,,,,,,,80,http://pda.webtechwireless.com:80,http,Microsoft-HTTPAPI/2.0,text/html,GET,66.199.131.188,Microsoft HTTPAPI:2.0,7,,
rs2.webtechwireless.com,Not Found,,315,,,,,,,,,,,,,,80,http://rs2.webtechwireless.com:80,http,Microsoft-HTTPAPI/2.0,text/html,GET,66.199.131.188,Microsoft HTTPAPI:2.0,7,,
safety.mobicorp.com,Missing cookie,,2005,idp.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,idp.mobicorp.com,443,https://safety.mobicorp.com:443,https,,text/html,GET,34.138.0.45,PHP:5.4.16,43,,True
secure.mobicorp.com,Missing cookie,,2005,idp.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,idp.mobicorp.com,443,https://secure.mobicorp.com:443,https,,text/html,GET,34.138.0.45,PHP:5.4.16,43,,True
services.lat-lon.com,403 - Forbidden: Access is denied.,,1233,services.lat-lon.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-10T00:00:00Z,CN=*.lat-lon.com,*.lat-lon.com,,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,ctls,services.lat-lon.com,443,https://services.lat-lon.com:443,https,,text/html,GET,34.120.184.100,HTTP/3,30,,True
sip.bsmtechnologies.com,,,75,sip.bsmtechnologies.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,Microsoft Corporation,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,ctls,sip.bsmtechnologies.com,443,https://sip.bsmtechnologies.com:443,https,RTC/7.0,text/plain,GET,52.112.192.11,HSTS,4,,
sip.bsmwireless.com,,,75,sip.bsmwireless.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,Microsoft Corporation,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,ctls,sip.bsmwireless.com,443,https://sip.bsmwireless.com:443,https,RTC/7.0,text/plain,GET,52.112.193.13,HSTS,4,,
sip.lat-lon.com,,,75,sip.lat-lon.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,Microsoft Corporation,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,ctls,sip.lat-lon.com,443,https://sip.lat-lon.com:443,https,RTC/7.0,text/plain,GET,52.112.196.46,HSTS,4,,
stage-api.mobicorp.com,,,9,stage-api.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,stage-api.mobicorp.com,443,https://stage-api.mobicorp.com:443,https,,text/html,GET,34.74.216.235,,1,,True
stagesecure.mobicorp.com,Missing cookie,,2016,stage-idp.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,stage-idp.mobicorp.com,443,https://stagesecure.mobicorp.com:443,https,,text/html,GET,34.148.195.134,PHP:5.4.16,43,,True
status.mobicorp.com,Missing cookie,,2005,idp.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,idp.mobicorp.com,443,https://status.mobicorp.com:443,https,,text/html,GET,34.138.0.45,PHP:5.4.16,43,,True
tech.bsmwireless.com,Not Found,,2556,tech.bsmwireless.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-06T03:22:08Z,CN=tech.bsmwireless.com,tech.bsmwireless.com,,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,ctls,tech.bsmwireless.com,443,https://tech.bsmwireless.com:443,https,cloudflare,text/html,GET,199.60.103.254,HTTP/3,91,,
test.mobicorp.com,Missing cookie,,2005,idp.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,idp.mobicorp.com,443,https://test.mobicorp.com:443,https,,text/html,GET,34.138.0.45,PHP:5.4.16,43,,True
uat.autovision.bsmwireless.com,ERROR: The request could not be satisfied,,919,uat.autovision.bsmwireless.com,443,tls13,TLS_AES_128_GCM_SHA256,2018-04-11T20:13:05Z,"CN=autovision.bsmwireless.com, OU=Domain Control Validated",autovision.bsmwireless.com,,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",ctls,uat.autovision.bsmwireless.com,443,https://uat.autovision.bsmwireless.com:443,https,CloudFront,text/html,GET,13.32.99.58,Amazon Web Services,20,True,True
webscripts.test.geotabinc.com,Anmelden – Google Konten,,104553,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://webscripts.test.geotabinc.com:443,https,GSE,text/html,GET,35.190.52.39,OpenGSE,1885,,True
wowapi.mobicorp.com,401 Authorization Required,,192,wowapi.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,wowapi.mobicorp.com,443,https://wowapi.mobicorp.com:443,https,,text/html,GET,34.148.189.141,Basic,8,,True
wowtestapi.mobicorp.com,401 Authorization Required,,594,wowtestapi.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,wowtestapi.mobicorp.com,443,https://wowtestapi.mobicorp.com:443,https,,text/html,GET,34.74.216.235,Basic,14,,True
www.bsmtechnologies.com,BSM Technologies - A Geotab Company | Geotab,,216040,www.geotab.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,"CN=*.geotab.com, O=GEOTAB INC., L=Las Vegas, ST=Nevada, C=US",*.geotab.com,GEOTAB INC.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.geotab.com,443,https://www.bsmtechnologies.com:443,https,,text/html,GET,34.149.0.149,React,132,,True
www.geotab.ca,Not Found,,162,www.geotab.ca,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,"CN=*.geotab.com, O=GEOTAB INC., L=Las Vegas, ST=Nevada, C=US",*.geotab.com,GEOTAB INC.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.geotab.ca,443,https://www.geotab.ca:443,https,UploadServer,text/html,GET,34.95.97.185,HTTP/3,10,,True
www.intendia.com,Intendia Partner  | Fleet Telematics | Geotab,,128302,www.geotab.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,"CN=*.geotab.com, O=GEOTAB INC., L=Las Vegas, ST=Nevada, C=US",*.geotab.com,GEOTAB INC.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.geotab.com,443,https://www.intendia.com:443,https,,text/html,GET,34.149.109.44,React,131,,True
www.lat-lon.com,Lat-Lon Home - Solar Powered GPS Asset Tracking and Monitoring,,70151,www.lat-lon.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T00:00:00Z,CN=*.lat-lon.com,*.lat-lon.com,,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,ctls,www.lat-lon.com,443,https://www.lat-lon.com:443,https,Apache,text/html,GET,107.180.2.40,wpBakery,360,,
www.neutralvehicle.com,Neutral Vehicle,,45558,www.neutralvehicle.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-11-29T00:00:00Z,"CN=www.neutralvehicle.com, O=GEOTAB INC., L=Las Vegas, ST=Nevada, C=US",www.neutralvehicle.com,GEOTAB INC.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.neutralvehicle.com,443,https://www.neutralvehicle.com:443,https,UploadServer,text/html,GET,34.160.61.32,jQuery,990,,True
