input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_
eml.postmates.com,404 Not Found,404,162,eml.postmates.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,eml.postmates.com,,443,https://eml.postmates.com:443,https,nginx,text/html,GET,167.89.118.83,/,190856733,,167.89.118.52,Nginx,8,False,,True,
help.postmates.com,,404,9,help.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,help.uber.com,google,443,https://help.postmates.com:443,https,ufe,text/plain,GET,34.98.127.226,/,-738705486,https://help.uber.com/postmates,34.98.127.226,HTTP/3,1,False,True,,
https://csp.uber.com/csp?a=uber-blog&ro=true,,405,,csp.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,csp.uber.com,,443,https://csp.uber.com:443/csp?a=uber-blog&ro=true,https,ufe,,GET,104.36.192.148,/csp?a=uber-blog&ro=true,-1840324437,,104.36.192.148,HSTS,1,False,,,
image.messages.postmates.com,Access Denied,403,281,image.messages.postmates.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,"Akamai Technologies, Inc.",*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,True,ctls,image.messages.postmates.com,,443,https://image.messages.postmates.com:443,https,AkamaiGHost,text/html,GET,23.32.238.155,/,1249425551,,23.32.238.137,,10,False,,True,
join.postmates.com,,406,13,www.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,www.uber.com,google,443,https://join.postmates.com:443,https,ufe,text/plain,GET,34.98.127.226,/,813701505,https://www.uber.com/us/en/careers/teams/eats/,34.98.127.226,HTTP/3,1,False,True,,
merchants.postmates.com,,406,14,merchants.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,merchants.postmates.com,google,443,https://merchants.postmates.com:443,https,ufe,text/plain,GET,34.98.127.226,/,611515849,,34.98.127.226,HTTP/3,1,False,True,,
payments.postmates.com,,404,9,payments.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,payments.postmates.com,google,443,https://payments.postmates.com:443,https,ufe,text/plain,GET,34.98.127.226,/,-738705486,https://payments.postmates.com/not-found,34.98.127.226,HTTP/3,1,False,True,,
postmates.com,"Postmates: Food Delivery, Groceries, Alcohol - Anything from Anywhere",200,324872,postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,postmates.com,google,443,https://postmates.com:443,https,ufe,text/html,GET,34.98.127.226,/,-738705486,,34.98.127.226,HTTP/3,211,False,True,,https://analytics.twitter.com
support.postmates.com,,404,9,help.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,help.uber.com,google,443,https://support.postmates.com:443,https,ufe,text/plain,GET,34.98.127.226,/,-738705486,https://help.uber.com/postmates,34.98.127.226,HTTP/3,1,False,True,,
testauth.postmates.com,"Postmates: Food Delivery, Groceries, Alcohol - Anything from Anywhere",200,298069,testauth.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,testauth.postmates.com,google,443,https://testauth.postmates.com:443,https,ufe,text/html,GET,34.98.127.226,/,-738705486,,34.98.127.226,HTTP/3,211,False,True,,https://*.yjtag.jp
theresa-test.postmates.com,,200,42875,theresa-test.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,theresa-test.postmates.com,google,443,https://theresa-test.postmates.com:443,https,ufe,image/jpeg,GET,34.98.127.226,/,-262738231,,34.98.127.226,HTTP/3,205,False,True,,
web.postmates.com,"Postmates: Food Delivery, Groceries, Alcohol - Anything from Anywhere",200,296860,postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,postmates.com,google,443,https://web.postmates.com:443,https,ufe,text/html,GET,34.98.127.226,/,-738705486,https://postmates.com/,34.98.127.226,HTTP/3,211,False,True,,
