new,host,a,soa,status_code,cname,mx,txt,cdn,cdn-name,has_internal_ips,internal_ips,ns,aaaa
,b.walla.co.il,"13.224.189.119, 13.224.189.65, 13.224.189.105, 13.224.189.16","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,google-site-verification=EBRq_7HPzKi_jtAa98lcov7GPmeT4ROMh9dmGET9qKg,True,cloudfront,,,,
,b2b-extranet-database-officebackups-domain.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,backinshape.walla.co.il,"18.244.114.120, 18.244.114.68, 18.244.114.19, 18.244.114.104","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,"ns-104.awsdns-13.com, ns-1086.awsdns-07.org, ns-1595.awsdns-07.co.uk, ns-992.awsdns-60.net",
,baitbalev.walla.co.il,"18.173.233.124, 18.173.233.11, 18.173.233.13, 18.173.233.117","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,baitbalev2.walla.co.il,"13.225.239.33, 13.225.239.36, 13.225.239.39, 13.225.239.23","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,baitbalev3.walla.co.il,"13.224.189.105, 13.224.189.119, 13.224.189.65, 13.224.189.16","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,baitbalev5.walla.co.il,"108.138.51.88, 108.138.51.7, 108.138.51.117, 108.138.51.96","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,baitbalev6.walla.co.il,"13.224.189.16, 13.224.189.119, 13.224.189.65, 13.224.189.105","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,barillashavuot.walla.co.il,"18.154.227.96, 18.154.227.47, 18.154.227.40, 18.154.227.50","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,beauty-touch.walla.co.il,"13.224.189.65, 13.224.189.105, 13.224.189.119, 13.224.189.16","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,beauty.walla.co.il,"18.65.39.128, 18.65.39.110, 18.65.39.28, 18.65.39.108","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,beta.walla.co.il,"65.9.55.106, 65.9.55.72, 65.9.55.40, 65.9.55.71","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,bid47rk.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,bid48qr.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"ns-104.awsdns-13.com, ns-1086.awsdns-07.org, ns-1595.awsdns-07.co.uk, ns-992.awsdns-60.net",
,bigseker.walla.co.il,"13.224.189.105, 13.224.189.16, 13.224.189.65, 13.224.189.119","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,bitauto.walla.co.il,,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,"v=spf1 a mx include:spfa.walla.co.il include:spfb.walla.co.il include:spfc.walla.co.il include:spfd.walla.co.il include:mymarketing.co.il include:activetrail.com ~all, google-site-verification=lfn3xxrwzpvqwmco374pcqweanqtat",,,,,,
,bridalshow.mazaltov.walla.co.il,213.8.166.57,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,bucketustemp-exchangedns.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,buzzit.walla.co.il,"108.138.51.117, 108.138.51.96, 108.138.51.7, 108.138.51.88","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,c30.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,cache.walla.co.il,"99.84.191.24, 99.84.191.64, 99.84.191.47, 99.84.191.90","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,calendar.walla.co.il,"13.224.189.119, 13.224.189.16, 13.224.189.65, 13.224.189.105","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,google-site-verification=ozDOTE2cgkp_1D3tDiPjp9hQufUI-QZ5H2RjlKRySf4,True,cloudfront,,,,
,cannabis.walla.co.il,"18.65.39.28, 18.65.39.110, 18.65.39.108, 18.65.39.128","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,google-site-verification=frgUHFXfX8JbcV5CBQn1QH_90sRkXxulaNVPd98mrr0,True,cloudfront,,,,
,cdn.mazaltov.walla.co.il,213.8.166.56,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,cdncs.demo.walla.co.il,"10.30.12.94, 10.30.10.226, 10.30.11.26","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.30.12.94, 10.30.10.226, 10.30.11.26","ns-104.awsdns-13.com, ns-1086.awsdns-07.org, ns-1595.awsdns-07.co.uk, ns-992.awsdns-60.net",
,chefprod.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,cinema.walla.co.il,"13.224.189.105, 13.224.189.65, 13.224.189.119, 13.224.189.16","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,movies.walla.co.il,,google-site-verification=35VHaEZHCe13Dncr5D3GXutxGzFL0gKG3jpdSAtDKWY,True,cloudfront,,,,
,citrus.mazaltov.walla.co.il,,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,mazaltov.walla.co.il,,koq55si4gs1utm77593oc62h9c,,,,,,
,clalfamilycyber.walla.co.il,"18.65.82.116, 18.65.82.86, 18.65.82.90, 18.65.82.59","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,clinique.walla.co.il,"13.224.189.119, 13.224.189.65, 13.224.189.16, 13.224.189.105","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,cmscustomers-prod-api-webconfaccept-domain.demo.walla.co.il,"10.30.10.226, 10.30.11.26, 10.30.12.94","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.30.10.226, 10.30.11.26, 10.30.12.94",,
,cmssystemassets-sites-mx.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,cnbj6.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,community.walla.co.il,34.247.78.223,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,viva-forums-admin-lb-181446495.eu-west-1.elb.amazonaws.com,,,,,,,,
,config-excelsior.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,cricket-extlgw-westhf.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,customers-monitoring-support-corp.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,d3-pqa.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"ns-104.awsdns-13.com, ns-1086.awsdns-07.org, ns-1595.awsdns-07.co.uk, ns-992.awsdns-60.net",
,daciaontheroad.walla.co.il,"13.224.189.119, 13.224.189.65, 13.224.189.16, 13.224.189.105","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,dal.walla.co.il,"18.154.63.28, 18.154.63.123, 18.154.63.98, 18.154.63.40","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,dal2.walla.co.il,"108.128.44.89, 3.248.65.188","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,dal-lb-131318159.eu-west-1.elb.amazonaws.com,,,,,,,,
,danielleavraham.mazaltov.walla.co.il,213.8.166.57,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,mazaltov.walla.co.il,"alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, m6iak2a5ig7bsc7xagj7xvlhyzbmnpqrqyav5zqmy7d5k5ykkdoq.mx-verification.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com",koq55si4gs1utm77593oc62h9c,,,,,,
,danoneolympics.walla.co.il,"18.65.82.116, 18.65.82.59, 18.65.82.86, 18.65.82.90","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,danonepouch.walla.co.il,"108.138.51.88, 108.138.51.7, 108.138.51.96, 108.138.51.117","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,dcx.walla.co.il,"18.66.97.73, 18.66.97.88, 18.66.97.51, 18.66.97.35","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,demo-new.walla.co.il,"10.30.11.87, 10.30.12.20, 10.30.10.42","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.30.11.87, 10.30.12.20, 10.30.10.42",,
,demo.walla.co.il,"10.30.12.94, 10.30.10.226, 10.30.11.26","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.30.12.94, 10.30.10.226, 10.30.11.26",,
,depot.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,dev-new.walla.co.il,"52.209.61.212, 108.128.227.15, 52.50.26.247","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,dominos.walla.co.il,45.223.145.251,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,567rih7.impervadns.net,,,True,incapsula,,,,
,dt.walla.co.il,"52.222.214.117, 52.222.214.71, 52.222.214.84, 52.222.214.2","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,dtv.walla.co.il,"18.244.114.120, 18.244.114.68, 18.244.114.104, 18.244.114.19","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,"ns-104.awsdns-13.com, ns-1086.awsdns-07.org, ns-1595.awsdns-07.co.uk, ns-992.awsdns-60.net",
,e.walla.co.il,,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,google-site-verification=3MhtBrH_jQPFE4Wi3M6O4O-61TPYBDKdJtRhZxZK4w8,True,cloudfront,,,,
,eatov.walla.co.il,"18.173.233.124, 18.173.233.11, 18.173.233.13, 18.173.233.117","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,eco99fm.walla.co.il,34.127.25.109,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,google,,,,
,elarecycling.walla.co.il,"13.224.189.16, 13.224.189.119, 13.224.189.65, 13.224.189.105","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,elasticbeanstalkweb-eu.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,elections.walla.co.il,"13.224.189.16, 13.224.189.105, 13.224.189.65, 13.224.189.119","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,google-site-verification=mKK6EYMT6bo-lGHkgAVhjFT5IyBuFbvsuRnUdezxu6c,True,cloudfront,,,,
,encistorebackups-www-test.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,envoi.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,error-mach131-87-151-30.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,euro.walla.co.il,"18.244.114.19, 18.244.114.68, 18.244.114.120, 18.244.114.104","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,google-site-verification=vlh7IEysIPeZ_TpOuhFbeQlb-Ftqkh32vYnWjatjtO0,True,cloudfront,,,,
,experts.walla.co.il,"65.9.55.85, 65.9.55.57, 65.9.55.8, 65.9.55.72","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,ezisdius.demo.walla.co.il,"10.30.12.94, 10.30.11.26, 10.30.10.226","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.30.12.94, 10.30.11.26, 10.30.10.226",,
,faceit.mazaltov.walla.co.il,213.8.166.57,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,mazaltov.walla.co.il,"alt4.aspmx.l.google.com, m6iak2a5ig7bsc7xagj7xvlhyzbmnpqrqyav5zqmy7d5k5ykkdoq.mx-verification.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com",koq55si4gs1utm77593oc62h9c,,,,,,
,familyguide.walla.co.il,"65.9.55.85, 65.9.55.8, 65.9.55.72, 65.9.55.57","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,familyguide3.walla.co.il,"13.224.189.65, 13.224.189.119, 13.224.189.105, 13.224.189.16","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,familyguide4.walla.co.il,"18.244.114.120, 18.244.114.104, 18.244.114.19, 18.244.114.68","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,"ns-104.awsdns-13.com, ns-1086.awsdns-07.org, ns-1595.awsdns-07.co.uk, ns-992.awsdns-60.net",
,familyguide5.walla.co.il,"13.224.189.16, 13.224.189.119, 13.224.189.105, 13.224.189.65","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,familyguide6.walla.co.il,"18.173.233.13, 18.173.233.11, 18.173.233.124, 18.173.233.117","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,familyguide7.walla.co.il,"13.224.189.16, 13.224.189.65, 13.224.189.105, 13.224.189.119","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,familyguide8.walla.co.il,"108.138.51.7, 108.138.51.117, 108.138.51.96, 108.138.51.88","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,familyguide9.walla.co.il,"108.138.51.117, 108.138.51.7, 108.138.51.88, 108.138.51.96","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,fantasy-sport1.walla.co.il,"52.222.214.43, 52.222.214.61, 52.222.214.76, 52.222.214.115","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,google-site-verification=lKN58SRgXEL8kp9RPEfKkTDm-ADSbjnfsUkwVEyeIa4,True,cloudfront,,,,
,fantasy.walla.co.il,,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,"v=spf1 a mx include:spfa.walla.co.il include:spfb.walla.co.il include:spfc.walla.co.il include:spfd.walla.co.il include:mymarketing.co.il include:activetrail.com ~all, google-site-verification=lfn3xxrwzpvqwmco374pcqweanqtat",,,,,,
,fashion-jewelry.walla.co.il,"52.222.214.117, 52.222.214.2, 52.222.214.71, 52.222.214.84","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,fashion.walla.co.il,"18.65.39.108, 18.65.39.28, 18.65.39.128, 18.65.39.110","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,google-site-verification=Lae3pTUhuvEzZScd3Gad5fxLuqbwWJ0iHXKMbpTpLk8,True,cloudfront,,,,
,fbrest.walla.co.il,,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,"google-site-verification=lfn3xxrwzpvqwmco374pcqweanqtat, v=spf1 a mx include:spfa.walla.co.il include:spfb.walla.co.il include:spfc.walla.co.il include:spfd.walla.co.il include:mymarketing.co.il include:activetrail.com ~all",,,,,,
,festigal.walla.co.il,"52.222.214.84, 52.222.214.2, 52.222.214.117, 52.222.214.71","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,finance.walla.co.il,"13.224.189.119, 13.224.189.65, 13.224.189.16, 13.224.189.105","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,google-site-verification=VdpMa5KFzMzo7OQE6zB2BQ5twHiBhQsjZCJAsNmJsW0,True,cloudfront,,,,
,fix.mazaltov.walla.co.il,213.8.166.57,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,mazaltov.walla.co.il,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, m6iak2a5ig7bsc7xagj7xvlhyzbmnpqrqyav5zqmy7d5k5ykkdoq.mx-verification.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com",koq55si4gs1utm77593oc62h9c,,,,,"ns-104.awsdns-13.com, ns-1086.awsdns-07.org, ns-1595.awsdns-07.co.uk, ns-992.awsdns-60.net",
,flu.walla.co.il,"13.224.189.16, 13.224.189.65, 13.224.189.119, 13.224.189.105","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,fnjf12-1.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,food.walla.co.il,"13.224.189.105, 13.224.189.65, 13.224.189.119, 13.224.189.16","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,google-site-verification=pSOExmeyy16TmTYu-NP3hqxn6MZbtFnSHDIdaT-VtV0,True,cloudfront,,,,
,forum.school.walla.co.il,,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,forums.walla.co.il,"18.65.82.90, 18.65.82.59, 18.65.82.116, 18.65.82.86","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,freeofpain.walla.co.il,"52.222.214.117, 52.222.214.84, 52.222.214.2, 52.222.214.71","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,friends-hist.walla.co.il,"18.154.227.96, 18.154.227.50, 18.154.227.40, 18.154.227.47","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,friends.walla.co.il,"13.32.27.115, 13.32.27.27, 13.32.27.37, 13.32.27.85","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,google-site-verification=-zdrzl2PxcmPgl7A7zsiZtAmb1xM3qQMsnuSTUrPEII,True,cloudfront,,,,
