input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,csp_domains_,tls_subject_org_,final_url,cdn_name,cdn,tls_self_signed
messaging.doc-mgmt-api-credentials-seed-1.codefi.network,,404,48,messaging.doc-mgmt-api-credentials-seed-1.codefi.network,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2022-03-12T09:42:35Z,2022-06-10T09:42:34Z,CN=codefi.network,codefi.network,codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a0951f249a3aaf2bbe9e0e55d41bbfbd,c5fdc2d0509e60a958a72d8c7e4045b6d4c501c2b5750789e9710cc1b1a8000f,True,ctls,messaging.doc-mgmt-api-credentials-seed-1.codefi.network,443,https://messaging.doc-mgmt-api-credentials-seed-1.codefi.network:443,https,kong/1.5.1,application/json,GET,15.236.198.50,/,834205737,15.236.195.246,1,False,,,,,,,
messaging.doc-mgmt-api-test-e2e-mr-1.codefi.network,,404,48,,,,,,,,,,,,,,,,,,,,,80,http://messaging.doc-mgmt-api-test-e2e-mr-1.codefi.network:80,http,kong/1.5.1,application/json,GET,15.236.138.93,/,834205737,15.236.195.246,1,False,,,,,,,
messaging.doc-mgmt-prod-2.codefi.network,,404,48,messaging.doc-mgmt-prod-2.codefi.network,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2022-05-11T08:47:25Z,2022-08-09T08:47:24Z,CN=codefi.network,codefi.network,codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ab0ba29495220b1514d38971d172a32,7049630d978b1311f458b2960701df02015221030009074c96823780897755b6,True,ctls,messaging.doc-mgmt-prod-2.codefi.network,443,https://messaging.doc-mgmt-prod-2.codefi.network:443,https,kong/1.5.1,application/json,GET,15.236.195.246,/,834205737,15.236.138.93,1,False,,,,,,,
messaging.doc-mgmt-prod.codefi.network,,404,48,,,,,,,,,,,,,,,,,,,,,80,http://messaging.doc-mgmt-prod.codefi.network:80,http,kong/1.5.1,application/json,GET,15.236.198.50,/,834205737,15.236.138.93,1,False,,,,,,,
metabase.us-east-2.codefi.network,503 Service Temporarily Unavailable,503,190,metabase.us-east-2.codefi.network,443,True,tls13,TLS_AES_256_GCM_SHA384,,True,2023-05-06T03:33:35Z,2023-08-04T03:33:34Z,CN=codefi.network,codefi.network,codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f4158350778af50f7c6450ab776a5285,e717c3988ba45609dab0b7ec4e8089f29931e882b714583494c5ca90daa4ca42,True,ctls,metabase.us-east-2.codefi.network,443,https://metabase.us-east-2.codefi.network:443,https,,text/html,GET,3.143.54.14,/,1457316476,3.14.31.241,8,False,HSTS,,,,,,
metaswap-api.airswap-prod.codefi.network,404 Not Found,404,146,metaswap-api.airswap-prod.codefi.network,443,True,tls13,TLS_AES_256_GCM_SHA384,,True,2023-05-06T03:33:35Z,2023-08-04T03:33:34Z,CN=codefi.network,codefi.network,codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f4158350778af50f7c6450ab776a5285,e717c3988ba45609dab0b7ec4e8089f29931e882b714583494c5ca90daa4ca42,True,ctls,metaswap-api.airswap-prod.codefi.network,443,https://metaswap-api.airswap-prod.codefi.network:443,https,,text/html,GET,3.143.54.14,/,1494302000,3.14.31.241,8,False,HSTS,,,,,,
mmi.codefi.network,,404,63,mmi.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=webhook-api.codefi.network,webhook-api.codefi.network,websocket-api.codefi.network,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6607bc39246171829cec1cc7da26bdbf,1e0c557cb6a0289d7d8552f22465abb84c662a058d99c55901eda4df6f1dde9e,,ctls,mmi.codefi.network,443,https://mmi.codefi.network:443,https,,application/json,GET,15.188.107.212,/,-1793755213,13.39.191.204,1,False,Node.js,,,,,,
nft-api.codefi.network,,200,58,nft-api.codefi.network,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-05-06T03:15:43Z,2023-08-04T03:15:42Z,CN=codefi.network,codefi.network,codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c8ed440e2ecae7c2fb9ef5e0410d5bf1,b81761f05491a8ac5b1950c184e4dfb3b580b0874ebc0c37046a6dbcd19f733d,True,ctls,nft-api.codefi.network,80,http://nft-api.codefi.network:80,http,,application/json,GET,15.236.9.15,/,-1793755213,15.236.9.15,1,False,HSTS,https:,,https://nft-api.codefi.network,,,
pendo-static-5391521872216064.storage.googleapis.com,,403,300,pendo-static-5391521872216064.storage.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-17T08:24:28Z,2023-07-10T08:24:27Z,CN=*.storage.googleapis.com,*.storage.googleapis.com,*.storage-download.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e371ff4e7f9da6bf09b0fc933e443605,49fa95533f8bfb981523f6649d9d85ab34a3daec3e57f0b1b85e0a65dbe1b659,True,ctls,pendo-static-5391521872216064.storage.googleapis.com,443,https://pendo-static-5391521872216064.storage.googleapis.com:443,https,UploadServer,application/xml,GET,142.250.185.240,/,501560377,2a00:1450:4001:812::2010,1,False,HTTP/3,,,,,,
pendo-static-5634101834153984.storage.googleapis.com,,403,300,pendo-static-5634101834153984.storage.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-17T08:24:28Z,2023-07-10T08:24:27Z,CN=*.storage.googleapis.com,*.storage.googleapis.com,*.storage-download.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e371ff4e7f9da6bf09b0fc933e443605,49fa95533f8bfb981523f6649d9d85ab34a3daec3e57f0b1b85e0a65dbe1b659,True,ctls,pendo-static-5634101834153984.storage.googleapis.com,443,https://pendo-static-5634101834153984.storage.googleapis.com:443,https,UploadServer,application/xml,GET,172.217.18.112,/,501560377,2a00:1450:4001:831::2010,1,False,HTTP/3,,,,,,
