new,host,a,cname,soa,status_code,has_internal_ips,internal_ips,txt,aaaa,ns,mx,cdn,cdn-name
[x],21cccc.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],21road.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],233.jd.com,211.151.14.163,233.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],2bde.ua.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],3.jd.com,202.77.129.29,3.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],360buy.com,"111.13.28.10, 111.206.226.10, 120.52.149.254, 106.39.177.32",,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,"v=spf1 ip4:211.151.32.0/25 ip4:60.29.252.0/25 ip4:211.151.68.128/25 ip4:58.83.160.0/28 ip4:58.83.238.0/24 ip4:211.151.190.160/27 ip4:58.83.158.0/24 ip4:58.83.206.0/24 -all, globalsign-domain-verification=W9KcrHcqubOwpfnse5k5whP1_KKsi1NxOM9MlBns8E",,"ns4.jdcache.com, ns2.jdcache.com, ns1.jdcache.com, ns3.jdcache.com","ms19771287.msv1.invalid, mail.360buy.com",,
[x],360buy.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],360kad.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],360tabletennis.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],361kids.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],365.jd.com,49.7.27.226,365.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],36524.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],365gkmx.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],37b1.jimi.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],37b1.man.jd.com,,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],3c.jd.com,202.77.129.185,3c.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],3colour.jd.com,,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],3m-autocare.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],3m-mro.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],3m.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],3s.jd.com,172.23.136.201,,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.23.136.201,,,,,,
[x],3songshu.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],4.jd.com,,4.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],4000520858.jd.com,,ym.gslb.qianxun.com,,NOERROR,,,,,,,,
[x],517lppz.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],51wero.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],52eepz-ws-rwebv.man.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],6.jd.com,"172.22.134.126, 172.28.57.44, 172.20.36.179",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.22.134.126, 172.28.57.44, 172.20.36.179",,,,,,
[x],604.20t.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],666.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],66666666.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],69-171-244-81.jimi.jd.com,111.13.28.191,ym.gslb.qianxun.com,,NOERROR,,,,,,,,
[x],69-171-244-81.man.jd.com,,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],7.jd.com,172.25.136.3,proxy-b.jd.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.25.136.3,,,,,,
[x],8-intl.man.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],8.jd.com,"111.206.93.215, 36.110.188.60",8.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,240e:904:3400:200::3,,,,
[x],8.jr.jd.com,172.23.190.82,,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.23.190.82,,,,,,
[x],88505.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],88818.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],888xk.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],9.jd.com,114.67.247.91,9.jd.com.gslb.qianxun.com,,NOERROR,,,,,,,,
[x],999.jd.com,10.10.10.10,,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,10.10.10.10,,,,,,
[x],99995.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],a.jd.com,202.77.129.232,a.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],a.jr.jd.com,157.185.170.144,"www.jdcdn.com, jd-abroad.cdn20.com","dns1.cdn20.org, webmaster.glb0.lxdns.com",NOERROR,,,,,,,,
[x],a.m.jd.com,"172.20.32.139, 172.28.60.160",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.20.32.139, 172.28.60.160",,,,,,
[x],a.spf.jd.com,,,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,v=spf1 ip4:58.83.158.0/24 ip4:58.83.206.0/24 ip4:198.11.203.194 ip4:174.36.199.245 ip4:111.202.108.0/24 ip4:202.77.128.0/24 ip4:120.52.149.0/24 ip4:36.110.177.0/25  ip4:138.229.76.0/24 ip4:59.151.64.88/32 ip4:118.193.123.0/24 ip4:120.52.84.0/24 -all,,,,,
[x],a.ua.jd.com,183.248.220.65,"a.ua.jd.com.gslb.qianxun.com, jd-jr-sched.jcloudimg.com","ns5.jdgslb.com, apollo.jdgslb.com, ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],a11.jr.jd.com,163.171.140.79,"www.jdcdn.com, jd-abroad.cdn20.com","dns1.cdn20.org, webmaster.glb0.lxdns.com",NOERROR,,,,,,,,
[x],a12.jr.jd.com,163.171.140.79,"www.jdcdn.com, jd-abroad.cdn20.com","dns1.cdn20.org, webmaster.glb0.lxdns.com",NOERROR,,,,,,,,
[x],a15.jr.jd.com,163.171.132.119,"www.jdcdn.com, jd-abroad.cdn20.com","dns1.cdn20.org, webmaster.glb0.lxdns.com",NOERROR,,,,,,,,
[x],a16.jr.jd.com,163.171.132.119,"www.jdcdn.com, jd-abroad.cdn20.com","dns1.cdn20.org, webmaster.glb0.lxdns.com",NOERROR,,,,,,,,
[x],a17.jr.jd.com,163.171.132.119,"www.jdcdn.com, jd-abroad.cdn20.com","dns1.cdn20.org, webmaster.glb0.lxdns.com",NOERROR,,,,,,,,
[x],a18.jr.jd.com,,"www.jdcdn.com, jd-abroad.cdn20.com","dns1.cdn20.org, webmaster.glb0.lxdns.com",NOERROR,,,,,,,,
[x],a1a2.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],a2.jr.jd.com,163.171.149.15,"www.jdcdn.com, jd-abroad.cdn20.com","dns1.cdn20.org, webmaster.glb0.lxdns.com",NOERROR,,,,,,,,
[x],a21.jimi.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],a4.man.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],a4tech.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],a6.jr.jd.com,163.171.132.119,"www.jdcdn.com, jd-abroad.cdn20.com","dns1.cdn20.org, webmaster.glb0.lxdns.com",NOERROR,,,,,"dns2.cdn20.info, dns4.cdn20.info, dns3.cdn20.org, dns5.cdn30.org, dns1.cdn20.org",,,
[x],a73.jimi.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],a89.jimi.jd.com,,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],aa.jd.com,111.206.227.230,aa.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],aaas.jd.com,"11.33.116.194, 11.33.99.218",,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],ab.jd.com,172.20.33.173,,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.20.33.173,,,,,,
[x],ab.jr.jd.com,172.25.2.109,proxy-a.jd.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.25.2.109,,,,,,
[x],abi.jd.com,"49.7.26.167, 111.206.93.170",abi.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,2408:8706:0:a100::32,,,,
[x],abiaoge.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],abo.jd.com,"172.28.63.48, 172.20.36.102",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.28.63.48, 172.20.36.102",,,,,,
[x],abook.jd.com,"172.18.254.165, 172.20.37.29",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.18.254.165, 172.20.37.29",,,,,,
[x],about.jd.com,111.13.29.163,about.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],abram.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],abramziying.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],absen.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],abtest.jr.jd.com,172.25.2.109,proxy-a.jd.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.25.2.109,,,,,,
[x],abtest.m.jd.com,"172.18.255.48, 172.20.37.27",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.18.255.48, 172.20.37.27",,,,,,
[x],abycn.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],ac.jd.com,"172.20.36.191, 172.28.57.40, 172.16.201.27, 10.199.200.255, 172.26.9.142",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.20.36.191, 172.28.57.40, 172.16.201.27, 10.199.200.255, 172.26.9.142",,,,,,
[x],acc-image-service-cdn.jimi.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],acc-robocop.man.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],acce1.bbs.360buy.com,60.29.252.103,,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],acceptatie-defaultproduction.man.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],accesserror-apiapps.x.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],accesspartner-status-db2-corp.man.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],account-admin.jd.com,172.20.39.84,,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.20.39.84,,,,,,
[x],account-data.jd.com,172.20.33.148,,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.20.33.148,,,,,,
[x],account.jd.com,36.110.181.195,account.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],account.m.jd.com,"172.20.43.110, 172.28.51.50",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.20.43.110, 172.28.51.50",,,,,,
[x],account.man.jd.com,"172.28.60.167, 172.20.33.133",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.28.60.167, 172.20.33.133",,,,,,
[x],accountprod.man.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],accounts.jr.jd.com,"172.25.2.239, 172.23.190.26",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.25.2.239, 172.23.190.26",,,,,,
[x],acen.jd.com,,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],acer-pc.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],aces.jd.com,"172.28.59.29, 172.26.9.115, 172.16.135.161, 172.20.39.11",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.28.59.29, 172.26.9.115, 172.16.135.161, 172.20.39.11",,,,,,
[x],acl.jd.com,,proxy-a.jd.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],aclpushdb.man.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],acs.jd.com,"11.22.82.32, 11.102.225.232, 11.118.11.10, 11.118.64.93, 11.20.160.2",,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],act-jshop.jd.com,202.77.129.166,act-jshop.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],action.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],active.coupon.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],active.jd.com,163.171.132.119,"active.jd.com.gslb.qianxun.com, www.jdcdn.com, jd-abroad.cdn20.com","dns1.cdn20.org, webmaster.glb0.lxdns.com, ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],acumoxi.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],ad.erp.jd.com,"172.28.60.176, 172.20.33.134",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.28.60.176, 172.20.33.134",,,,,,
[x],ad.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],ada.jd.com,"172.20.33.107, 172.28.63.60, 172.16.132.223",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.20.33.107, 172.28.63.60, 172.16.132.223",,,,,,
[x],adam.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],adata.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],adc.360buy.com,,,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],addata.jd.com,,addata.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],address.jd.com,"172.28.60.232, 172.20.33.200",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.28.60.232, 172.20.33.200",,,,,,
[x],ade.jd.com,,ade.jd.com.gslb.qianxun.com,,NOERROR,,,,,,,,
[x],adidas.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],adimg.adtpl.360buy.com,163.171.149.15,"www.jdcdn.com, jd-abroad.cdn20.com","dns1.cdn20.org, webmaster.glb0.lxdns.com, ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],adm.jd.com,124.250.32.207,adm.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],admin-api.x.jd.com,11.23.203.137,,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],admin-upgradedev-privateteamregister.jsf.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],admin.360buy.com,10.66.66.109,,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,10.66.66.109,,,,,,
[x],admin.car.jd.com,172.20.34.97,,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.20.34.97,,,,,,
[x],admin.jas.jd.com,116.196.89.66,admin.jas.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],admin.jd.com,"172.20.33.146, 172.28.60.166, 172.16.135.165",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.20.33.146, 172.28.60.166, 172.16.135.165",,,,,,
[x],admin.jsf.jd.com,"172.20.37.223, 172.18.230.62",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.20.37.223, 172.18.230.62",,,,,,
[x],admin.x.jd.com,172.28.60.30,,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.28.60.30,,,,,,
[x],adminb2b.jd.com,"172.20.36.149, 172.18.230.31",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.20.36.149, 172.18.230.31",,,,,,
[x],adminvpn.x.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],ads.jd.com,11.72.168.161,,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],adv.jd.com,172.20.33.158,,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.20.33.158,,,,,,
[x],advantechyk.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],advice.jd.com,10.173.96.125,,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,10.173.96.125,,,,,,
[x],advisory.shop.jd.com,202.77.129.84,advisory.shop.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],adx.jd.com,"111.202.65.250, 211.151.9.168",adx.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],ae.jd.com,172.25.2.109,proxy-a.jd.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.25.2.109,,,,,,
[x],ae.jr.jd.com,172.25.136.3,proxy-b.jd.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,172.25.136.3,,,,,,
[x],aegis.jd.com,"172.28.59.131, 172.18.255.53, 172.20.39.61",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.28.59.131, 172.18.255.53, 172.20.39.61",,,,,,
[x],aes.jimi.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],afs.jd.com,"172.28.63.52, 172.20.37.183",,"ns1.jdcache.com, apollo.jd.com",NOERROR,True,"172.28.63.52, 172.20.37.183",,,,,,
[x],afsvc.jd.com,202.77.132.33,afsvc.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],ag.jd.com,"124.250.18.172, 124.250.18.173",ag.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],agelocer.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],agnite.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],ahhyts.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],ai-isv.jd.com,116.198.3.230,"ai-isv.jd.com.gslb.qianxun.com, ai-isv.jd.com-b67d333b60f6.jdcloudwaf.com","ns1.jdgslb.com, apollo.jdgslb.com, ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],ai-proxy.jd.com,116.198.3.230,"ai-proxy.jd.com.gslb.qianxun.com, ai-proxy.jd.com-3f3378e670a8.jdcloudwaf.com","ns1.jdgslb.com, apollo.jdgslb.com",NOERROR,,,,,,,,
[x],aib.jd.com,111.13.24.225,aib.jd.com.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],aibao-jd.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],aibushishou.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],aichang.jd.com,111.13.28.191,ym.gslb.qianxun.com,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
[x],aicourse.jd.com,116.198.3.230,"aicourse.jd.com.gslb.qianxun.com, aicourse.jd.com-2fe568fcd048.jdcloudwaf.com","ns1.jdgslb.com, apollo.jdgslb.com",NOERROR,,,,,,,,
[x],aide.jd.com,11.65.183.172,,"ns1.jdcache.com, apollo.jd.com",NOERROR,,,,,,,,
