new,host,a,aaaa,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,cname,ns,txt,mx,caa
[x],applicationdev.ivanti.com,"18.66.147.24, 18.66.147.30, 18.66.147.113, 18.66.147.127","2600:9000:225e:de00:14:580e:7f00:93a1, 2600:9000:225e:800:14:580e:7f00:93a1, 2600:9000:225e:2200:14:580e:7f00:93a1, 2600:9000:225e:3800:14:580e:7f00:93a1, 2600:9000:225e:3a00:14:580e:7f00:93a1, 2600:9000:225e:9c00:14:580e:7f00:93a1, 2600:9000:225e:c000:14:580e:7f00:93a1, 2600:9000:225e:ce00:14:580e:7f00:93a1","ns-1324.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,d9fau88lzlfr0.cloudfront.net,"ns-102.awsdns-12.com, ns-928.awsdns-52.net, ns-1324.awsdns-37.org, ns-1801.awsdns-33.co.uk",,,
[x],applicationqa.ivanti.com,"18.66.147.19, 18.66.147.36, 18.66.147.75, 18.66.147.58","2600:9000:225e:7600:1d:12e3:28c0:93a1, 2600:9000:225e:b600:1d:12e3:28c0:93a1, 2600:9000:225e:6800:1d:12e3:28c0:93a1, 2600:9000:225e:7e00:1d:12e3:28c0:93a1, 2600:9000:225e:1000:1d:12e3:28c0:93a1, 2600:9000:225e:d400:1d:12e3:28c0:93a1, 2600:9000:225e:3800:1d:12e3:28c0:93a1, 2600:9000:225e:b400:1d:12e3:28c0:93a1","ns-743.awsdns-28.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,dkzhlegq5tuhv.cloudfront.net,"ns-1432.awsdns-51.org, ns-1951.awsdns-51.co.uk, ns-329.awsdns-41.com, ns-743.awsdns-28.net",,,
[x],attic.ivanti.com,172.20.0.55,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,172.20.0.55,,,,,
[x],autodiscover.ivanti.com,"40.99.150.40, 52.98.242.248, 40.99.149.216, 52.98.241.184","2603:1026:c0d:c03::8, 2603:1026:c0d:829::8, 2603:1026:c0d:803::8, 2603:1026:c0d:c30::8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,
[x],avdrop2018.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],avsubmit.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],backend-service.lab.ivanti.com,10.96.3.250,2403:0:549:2::26,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,10.96.3.250,,,,,
[x],bd-expressway01.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],bd-expressway02.ivanti.com,172.20.0.114,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,172.20.0.114,,,,,
[x],bd-expressway03.ivanti.com,67.199.253.113,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],bh.csa.ivanti.com,35.174.119.80,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],blog.ivanti.com,"104.17.137.107, 104.17.138.107","2606:4700::6811:8a6b, 2606:4700::6811:896b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],bng-ics-gw1.ivanti.com,14.97.95.237,2403:8600:80c0:61::f,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],bng-ics-gw2.ivanti.com,14.97.95.238,2403:8600:80c0:61::1a,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],bng-ics-secure-gateway.ivanti.com,14.97.95.248,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],bng-ics-secure-gw.ivanti.com,14.97.95.248,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],bng-vpn-stage.ivanti.com,14.97.6.229,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],bp.csa.ivanti.com,,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],brk.vpn.ivanti.com,185.115.118.4,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],capita.csa.ivanti.com,34.252.230.210,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],capita4.csa.ivanti.com,52.16.54.210,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],capita5.csa.ivanti.com,34.249.21.144,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],capita6.csa.ivanti.com,34.240.162.27,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1514.awsdns-61.org, ns-1712.awsdns-22.co.uk, ns-257.awsdns-32.com, ns-528.awsdns-02.net",,,
[x],cdn.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cerberus.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cloud.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cmexp.ivanti.com,67.199.253.113,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,bd-expressway03.ivanti.com,,,,
[x],cms.ivanti.com,"104.17.137.107, 104.17.138.107","2606:4700::6811:896b, 2606:4700::6811:8a6b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],cn.vpn.ivanti.com,220.231.33.66,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cncs.csa.ivanti.com,52.2.228.123,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],community.ivanti.com,"104.17.138.107, 104.17.137.107","2606:4700::6811:896b, 2606:4700::6811:8a6b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],connectors.ivanti.com,"13.224.189.57, 13.224.189.73, 13.224.189.95, 13.224.189.102","2600:9000:20eb:3800:1:e456:2380:93a1, 2600:9000:20eb:e00:1:e456:2380:93a1, 2600:9000:20eb:0:1:e456:2380:93a1, 2600:9000:20eb:da00:1:e456:2380:93a1, 2600:9000:20eb:3200:1:e456:2380:93a1, 2600:9000:20eb:e400:1:e456:2380:93a1, 2600:9000:20eb:2800:1:e456:2380:93a1, 2600:9000:20eb:9a00:1:e456:2380:93a1","ns-86.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,d3423wy8g7f0r2.cloudfront.net,"ns-1145.awsdns-15.org, ns-86.awsdns-10.com, ns-765.awsdns-31.net, ns-1951.awsdns-51.co.uk",,,
[x],content.ivanti.com,"13.32.121.81, 13.32.121.57, 13.32.121.27, 13.32.121.4",,"ns-1092.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,d1s507ws7gmjg7.cloudfront.net,,,,
[x],contentdev.ivanti.com,"143.204.89.128, 143.204.89.101, 143.204.89.112, 143.204.89.16","2600:9000:2156:5200:f:6ac1:ef80:93a1, 2600:9000:2156:400:f:6ac1:ef80:93a1, 2600:9000:2156:ae00:f:6ac1:ef80:93a1, 2600:9000:2156:ec00:f:6ac1:ef80:93a1, 2600:9000:2156:9a00:f:6ac1:ef80:93a1, 2600:9000:2156:2a00:f:6ac1:ef80:93a1, 2600:9000:2156:a00:f:6ac1:ef80:93a1, 2600:9000:2156:d000:f:6ac1:ef80:93a1","ns-1692.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,d3oaj6tmo7j54u.cloudfront.net,"ns-1400.awsdns-47.org, ns-1692.awsdns-19.co.uk, ns-501.awsdns-62.com, ns-854.awsdns-42.net",,,
[x],contentqa.ivanti.com,"52.222.236.84, 52.222.236.90, 52.222.236.29, 52.222.236.115","2600:9000:223e:2e00:11:1fde:4000:93a1, 2600:9000:223e:ac00:11:1fde:4000:93a1, 2600:9000:223e:2800:11:1fde:4000:93a1, 2600:9000:223e:8000:11:1fde:4000:93a1, 2600:9000:223e:cc00:11:1fde:4000:93a1, 2600:9000:223e:e600:11:1fde:4000:93a1, 2600:9000:223e:8400:11:1fde:4000:93a1, 2600:9000:223e:5400:11:1fde:4000:93a1","ns-578.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,dxo2q3plj5a0w.cloudfront.net,"ns-578.awsdns-08.net, ns-1432.awsdns-51.org, ns-1631.awsdns-11.co.uk, ns-176.awsdns-22.com",,,
[x],csapi-qa.ivanti.com,13.66.138.97,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,"ivantipaymentapitest.azurewebsites.net, waws-prod-mwh-031.sip.azurewebsites.windows.net, waws-prod-mwh-031.cloudapp.net",,,,
[x],csapi.ivanti.com,13.66.138.106,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,"ivantipaymentapi.azurewebsites.net, waws-prod-mwh-045.sip.azurewebsites.windows.net, waws-prod-mwh-045.cloudapp.net",,,,
[x],customerexperience.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],dar.vpn.ivanti.com,92.207.247.132,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],db.vpn.ivanti.com,213.206.248.7,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],dcd.ivanti.com,172.20.0.101,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,172.20.0.101,,,,,
[x],decathlon.csa.ivanti.com,52.211.15.141,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],deploy.ivanti.com,67.199.253.24,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],derek.csa.ivanti.com,44.197.254.181,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],derek.ivanti.com,,,"ns-501.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,dcobkeghzlrug.cloudfront.net,"ns-1829.awsdns-36.co.uk, ns-1310.awsdns-35.org, ns-501.awsdns-62.com, ns-571.awsdns-07.net",,,
[x],dev.ivanti.com,172.20.0.55,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,172.20.0.55,,,,,
[x],developer.ivanti.com,"104.17.138.107, 104.17.137.107","2606:4700::6811:8a6b, 2606:4700::6811:896b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],dispatch.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],download2.ivanti.com,"104.17.137.107, 104.17.138.107","2606:4700::6811:896b, 2606:4700::6811:8a6b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],education.ivanti.com,"104.17.138.107, 104.17.137.107","2606:4700::6811:896b, 2606:4700::6811:8a6b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],elearning.ivanti.com,"54.170.188.107, 52.18.94.97, 34.240.53.131",,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"selfpaced.learnupon.com, lu-elb-prod02-ssl-1936357760.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",,,
[x],em.ivanti.com,"104.17.137.107, 104.17.138.107","2606:4700::6811:8a6b, 2606:4700::6811:896b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],email.ivanti.com,192.28.156.124,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,v=spf1 include:mktomail.com include:sendgrid.net ~all,email.ivanti.com,
[x],emeaftps.help.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],enable.ivanti.com,"104.17.137.107, 104.17.138.107","2606:4700::6811:8a6b, 2606:4700::6811:896b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],enterpriseenrollment.ivanti.com,52.236.189.96,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com",,,,
[x],enterpriseregistration.ivanti.com,20.190.135.40,,"internal.akadns.net, hostmaster.akamai.com",NOERROR,True,azure,,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net",,,,
[x],epmgapi.ivanti.com,"18.207.171.208, 23.23.55.83",,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,gemmenterprisecreator-183673417.us-east-1.elb.amazonaws.com,,,,
[x],everywhere.ivanti.com,107.170.196.140,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],f5uk.vpn.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],fdfr.ivanti.com,,"2606:4700::6811:8a6b, 2606:4700::6811:896b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],forum.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],forums.ivanti.com,"85.222.140.11, 85.222.140.10, 85.222.140.13",,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,"forums.ivanti.com.00d30000000mpizeai.live.siteforce.com, n.edge2.salesforce.com, europe.edge2.salesforce.com, fra.edge2.salesforce.com",,,,
[x],globalacademy.ivanti.com,"104.17.138.107, 104.17.137.107","2606:4700::6811:8a6b, 2606:4700::6811:896b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],go.ivanti.com,"104.17.138.107, 104.17.137.107","2606:4700::6811:896b, 2606:4700::6811:8a6b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],hackathon.ivanti.com,"104.17.138.107, 104.17.137.107","2606:4700::6811:896b, 2606:4700::6811:8a6b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],hc.csa.ivanti.com,18.234.15.97,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],help.ivanti.com,"104.17.137.107, 104.17.138.107","2606:4700::6811:896b, 2606:4700::6811:8a6b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],helpdev.ivanti.com,172.20.242.160,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,172.20.242.160,,,,,
[x],helpstage.ivanti.com,172.20.242.161,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,172.20.242.161,,,,,
[x],hostname123.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],id.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],identity.ivanti.com,"104.17.138.107, 104.17.137.107","2606:4700::6811:8a6b, 2606:4700::6811:896b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],igalabs-console.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],igalabs.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],images.info.ivanti.com,"104.126.37.161, 104.126.37.179",,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,"s1800677.sc.en25.com, s1800677.sc.en25.com.edgekey.net, e115138.x.akamaiedge.net",,,,
[x],indivior.csa.ivanti.com,34.196.235.199,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],info.ivanti.com,"104.17.137.107, 104.17.138.107","2606:4700::6811:896b, 2606:4700::6811:8a6b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,v=spf1 include:_netblocks.eloqua.com -all,s1800677.m.en25.com,
[x],innovators.ivanti.com,"34.192.229.91, 52.204.233.198, 52.23.59.102",,"ns-1354.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,ivantiinnovators.influitive.com,,,,
[x],interactive.ivanti.com,50.19.175.240,,"ns-1049.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,interactive-ivanti-com.postclickmarketing.com,,,,
[x],interchange.ivanti.com,"104.17.138.107, 104.17.137.107","2606:4700::6811:8a6b, 2606:4700::6811:896b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],itcsa.ivanti.com,67.199.253.36,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],itcsa2.ivanti.com,67.199.253.38,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],ivanti.com,"104.17.138.107, 104.17.137.107","2606:4700::6811:896b, 2606:4700::6811:8a6b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,"ivan.ns.cloudflare.com, cruz.ns.cloudflare.com","google-site-verification=v2-4BPfqpj8XDuaZr90T2bBgRE2bEsJOWg_kwxI8gR8, iOS-enroll=https://itcsa.ivanti.com/rtc/SLC-LDMS/MDM/api/v1/enroll/IosEnroll, ivanti.azurewebsites.net, mixpanel-domain-verify=739382a8-691c-46d9-ae48-09c32594f0af, mongodb-site-verification=OTpvQGnq3GXbLP1R5dieh2bCP90jWRVd, parallels-domain-verification=9119dc70839544dba43fc04e478a11d6db6ecc35557047258e58a5cb8e3b58a5, smartsheet-site-validation=QGBLrYKk9Wgo2ZALRlD6hmtAVfL7aIWX, smartsheet-site-validation=Z7WalxRQPqfmwtvD2g9bsaVsJsr_yjag, v=spf1 include:spf.protection.outlook.com include:_spf1.ivanti.com include:_spf2.ivanti.com -all, MS=ms34298811, ZOOM_verify_6QoACOkc1klTRPr5FvfpAX, a6133c3aede04b35b500b131d1f5454d, ahrefs-site-verification_f6f5b659e692d07fc074bdff924ea4a379eb5e9919730cfe04b1cf9fe5236b78, android-enroll=https://itcsa.ivanti.com/rtc/SLC-LDMS/MDM/api/v1/enroll/AndroidEnroll, apple-domain-verification=TvwriZ6xFWu0tod7, apple-domain-verification=rzeGGMcjXW5rerIj, atlassian-domain-verification=+YHVEXwe+aeeGw6EH6c0e554lqSPevA6xA8REYE4Up1HogQ+VYwU9V2u7LvC4CHb, atlassian-domain-verification=QgKeieCPY29jRBrmztsjlvj7mkYymaG38rWmRkdfVfbWf3qEuLC1kamidofttjhK, ciscocidomainverification=6998f9d496659e7b29e18028a42c2372236c645ffcd9095ed2345758f5484963, docker-verification=61370e7a-e384-4182-a39a-44c01bab0d56, facebook-domain-verification=5wd389aa6ax1f0d3ml8te09rhomjyw, fastly-domain-delegation-Bvfx2XOoaL-02-21-2017, google-site-verification=SZCuDuMIj7P8UrCU0ATzR741noomWeC57XI44hRQQ3g, google-site-verification=_FFcXMftC1SE83ge4X49qH_V175lymyVIBt6DWlvMxw, google-site-verification=pY-NRBeMSvz6iIUDumSmarTt5_osv0A4mrXBFDC0JZs",ivanti-com.mail.protection.outlook.com,"comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, amazon.com, amazonaws.com, amazontrust.com, awstrust.com"
[x],ivanti.csa.ivanti.com,54.211.49.66,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ivanti45.csa.ivanti.com,52.202.83.98,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],kb.ivanti.com,"104.17.137.107, 104.17.138.107","2606:4700::6811:8a6b, 2606:4700::6811:896b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],knowledge.ivanti.com,"104.17.138.107, 104.17.137.107","2606:4700::6811:8a6b, 2606:4700::6811:896b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],knowledgebase.ivanti.com,"104.17.137.107, 104.17.138.107","2606:4700::6811:896b, 2606:4700::6811:8a6b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],load.sgtm.ivanti.com,"104.18.1.48, 104.18.0.48","2606:4700::6812:130, 2606:4700::6812:30","aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,lusw.stape.io,,,,
[x],login.ivanti.com,"104.17.138.107, 104.17.137.107","2606:4700::6811:896b, 2606:4700::6811:8a6b","cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],lyncdiscover.ivanti.com,52.112.196.45,2603:1027:0:3::e,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,webdir.online.lync.com,,,,
[x],mail.advantagelearning.ivanti.com,,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"mail.thoughtindustries.com, u807214.wl215.sendgrid.net",,v=spf1 ip4:167.89.97.235 ip4:168.245.34.51 -all,mx.sendgrid.net,
[x],mail01.info.ivanti.com,129.145.78.5,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mail02.info.ivanti.com,129.145.78.6,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mail03.info.ivanti.com,129.145.78.7,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],marketplace-stg.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],marketplace.ivanti.com,40.87.70.95,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,"wa-prd-imp-redirect-0000.azurewebsites.net, waws-prod-blu-115.sip.azurewebsites.windows.net, waws-prod-blu-115.eastus.cloudapp.azure.com",,,,
[x],mi-hyd-pps.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],msoid.ivanti.com,"40.126.32.67, 20.190.160.15, 40.126.32.137, 20.190.160.21, 20.190.160.23, 40.126.32.139, 40.126.32.69, 40.126.32.73",,"tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",NOERROR,True,azure,,,"clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.akadns.net, www.tm.a.prd.aadg.trafficmanager.net",,,,
[x],mybackup.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mycommunity.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],navy.csa.ivanti.com,,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],navy2.csa.ivanti.com,3.225.253.9,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
