new,host,a,soa,status_code,cdn,cdn-name,ns,cname,mx,txt,aaaa,caa,has_internal_ips,internal_ips
[x],ventana2.qa.rivianservices.com,"143.204.89.58, 143.204.89.64, 143.204.89.7, 143.204.89.10","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],venus.qa.rivianservices.com,"143.204.89.64, 143.204.89.7, 143.204.89.58, 143.204.89.10","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],video-cms-miembros.qa.rivianservices.com,"143.204.89.58, 143.204.89.7, 143.204.89.64, 143.204.89.10","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],video-img-corporate-gitvpn.qa.rivianservices.com,"18.154.63.7, 18.154.63.23, 18.154.63.37, 18.154.63.122","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],video-tempsqldoc-corporate.qa.rivianservices.com,,"ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],videos.rivian.com,"13.32.27.74, 13.32.27.44, 13.32.27.72, 13.32.27.2","ns-451.awsdns-56.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1138.awsdns-14.org, ns-2004.awsdns-58.co.uk, ns-451.awsdns-56.com, ns-968.awsdns-57.net","2aqyrolzktvmmlnmdzqjsl.videos.enterprise.contentful.com, d2h9ko0pf6tzdr.cloudfront.net",,,"2600:9000:211e:7400:9:47d2:97c0:93a1, 2600:9000:211e:c200:9:47d2:97c0:93a1, 2600:9000:211e:9c00:9:47d2:97c0:93a1, 2600:9000:211e:8200:9:47d2:97c0:93a1, 2600:9000:211e:be00:9:47d2:97c0:93a1, 2600:9000:211e:da00:9:47d2:97c0:93a1, 2600:9000:211e:d000:9:47d2:97c0:93a1, 2600:9000:211e:600:9:47d2:97c0:93a1",,,
[x],view.e.rivian.com,13.111.181.35,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],vip-backupintconfig.qa.rivianservices.com,"143.204.89.10, 143.204.89.58, 143.204.89.64, 143.204.89.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],vip-intranet-cacheeuw-meet-git.qa.rivianservices.com,"108.157.214.36, 108.157.214.63, 108.157.214.82, 108.157.214.73","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],vip-staging-cachedevelopment-meet-git.qa.rivianservices.com,"13.32.208.100, 13.32.208.34, 13.32.208.91, 13.32.208.102","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],vipbackupssso-miembros.qa.rivianservices.com,,"ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],vipredirect-elasticbeanstalkcdnuser.qa.rivianservices.com,"108.138.51.80, 108.138.51.55, 108.138.51.18, 108.138.51.32","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],vipregister.qa.rivianservices.com,"108.156.60.110, 108.156.60.3, 108.156.60.59, 108.156.60.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1084.awsdns-07.org, ns-1923.awsdns-48.co.uk, ns-472.awsdns-59.com, ns-920.awsdns-51.net",,,,,,,
[x],vl36.qa.rivianservices.com,"143.204.89.58, 143.204.89.64, 143.204.89.7, 143.204.89.10","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],vl9.qa.rivianservices.com,"143.204.89.58, 143.204.89.64, 143.204.89.7, 143.204.89.10","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],vnusres21.qa.rivianservices.com,"143.204.89.58, 143.204.89.10, 143.204.89.64, 143.204.89.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1084.awsdns-07.org, ns-1923.awsdns-48.co.uk, ns-472.awsdns-59.com, ns-920.awsdns-51.net",,,,,,,
[x],voem.stage.ccc.rivian.com,3.131.231.120,"ns-183.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],vpn.rivian.com,97.78.97.206,"ns-280.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
