input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,final_url,webserver
allincu.beta.blendlabs.com,,200,117360,https://app.mode.com,allincu.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,allincu.beta.blendlabs.com,80,http://allincu.beta.blendlabs.com:80,http,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,Plaid,33,False,,True,cloudflare,True,https://allincu.beta.blendlabs.com/,
allincu.blendlabs.com,Not Found,404,12379,,allincu.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T05:22:53Z,2023-06-12T05:22:52Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f770d1da4586f3bb62c8ffdb459d395b,f5ba7c0d7a042b47d8ae5fc21da3d00efbe713a7106d9b0ccb48e42536c2934e,ctls,allincu.blendlabs.com,443,https://allincu.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,,161,False,True,True,cloudflare,True,,
allwestern.beta.blendlabs.com,,200,124677,https://testondemand.eoriginal.com,allwestern.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,allwestern.beta.blendlabs.com,443,https://allwestern.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,Plaid,33,False,,True,cloudflare,True,,
alpinebank.blendlabs.com,Not Found,404,12379,,alpinebank.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T05:22:53Z,2023-06-12T05:22:52Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f770d1da4586f3bb62c8ffdb459d395b,f5ba7c0d7a042b47d8ae5fc21da3d00efbe713a7106d9b0ccb48e42536c2934e,ctls,alpinebank.blendlabs.com,443,https://alpinebank.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,,161,False,True,True,cloudflare,True,,
americafirst.beta.blendlabs.com,,200,124827,https://faye.beta.blendlabs.com,americafirst.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,americafirst.beta.blendlabs.com,443,https://americafirst.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,Plaid,33,False,,True,cloudflare,True,,
americanfpg.blendlabs.com,,200,79264,csi.gstatic.com,americanfpg.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T20:02:58Z,2023-07-07T20:02:57Z,CN=americanfpg.blendlabs.com,americanfpg.blendlabs.com,,americanfpg.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8e4ac5b08c59b3ee6835a6d325113a0d,4f0a7b55f673bd5321165e0d95b1179df46e4da0c95465163298db11c3aa4913,ctls,americanfpg.blendlabs.com,443,https://americanfpg.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,477133321,172.65.242.70,Plaid,33,False,,,cloudflare,True,,
americanmortgage.blendlabs.com,,200,79480,https://bl-prod-static-assets-mirror.s3.amazonaws.com,americanmortgage.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T19:50:33Z,2023-07-07T19:50:32Z,CN=americanmortgage.blendlabs.com,americanmortgage.blendlabs.com,,americanmortgage.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4151317853982216d0b126284f3c1a94,f1d95cc69581ec84e13426e4974122128371d9aebfe3f2b213c7e5c11656f5a9,ctls,americanmortgage.blendlabs.com,443,https://americanmortgage.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,477133321,172.65.242.70,Plaid,33,False,,,cloudflare,True,,
amerifirst.beta.blendlabs.com,,200,105818,https://cdn.plaid.com/link/,amerifirst.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,amerifirst.beta.blendlabs.com,80,http://amerifirst.beta.blendlabs.com:80,http,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,Plaid,33,False,,True,cloudflare,True,https://amerifirst.beta.blendlabs.com/,
amerifirst.blendlabs.com,,400,28,,amerifirst.blendlabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T05:22:53Z,2023-06-12T05:22:52Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f770d1da4586f3bb62c8ffdb459d395b,f5ba7c0d7a042b47d8ae5fc21da3d00efbe713a7106d9b0ccb48e42536c2934e,ctls,amerifirst.blendlabs.com,80,http://amerifirst.blendlabs.com:80,http,text/html,GET,52.45.26.193,/,-2025574194,54.234.114.148,,1,False,True,True,,,https://amerifirst.blendlabs.com/,
amplify.beta.blendlabs.com,,200,122729,*.blendlabs.com,amplify.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,amplify.beta.blendlabs.com,443,https://amplify.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,1339997255,172.65.228.100,Plaid,33,False,,True,cloudflare,True,,
amplify.blendlabs.com,Not Found,404,12379,,amplify.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T05:22:53Z,2023-06-12T05:22:52Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f770d1da4586f3bb62c8ffdb459d395b,f5ba7c0d7a042b47d8ae5fc21da3d00efbe713a7106d9b0ccb48e42536c2934e,ctls,amplify.blendlabs.com,443,https://amplify.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,,161,False,True,True,cloudflare,True,,
anb.blendlabs.com,Not Found,404,12379,,anb.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T05:22:53Z,2023-06-12T05:22:52Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f770d1da4586f3bb62c8ffdb459d395b,f5ba7c0d7a042b47d8ae5fc21da3d00efbe713a7106d9b0ccb48e42536c2934e,ctls,anb.blendlabs.com,443,https://anb.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,,161,False,True,True,cloudflare,True,,
api.blend.com,,200,42,https://fonts.gstatic.com,api.blend.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-11-30T23:59:59Z,"CN=api.blend.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",api.blend.com,"Blend Labs, Inc.",api.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a028234d3915f0cb0ed82e28af8c636c,f8d14c22474fabaadd7624ef7e317cdcae1d3189af81412f51c02abb94e6705f,ctls,api.blend.com,443,https://api.blend.com:443,https,text/html,GET,54.243.36.93,/,477133321,18.206.27.67,HSTS,1,False,,,,,,
api.blendlabs.com,,200,42,https://fonts.gstatic.com,api.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-11-30T23:59:59Z,"CN=api.blend.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",api.blend.com,"Blend Labs, Inc.",api.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a028234d3915f0cb0ed82e28af8c636c,f8d14c22474fabaadd7624ef7e317cdcae1d3189af81412f51c02abb94e6705f,ctls,api.blendlabs.com,443,https://api.blendlabs.com:443,https,text/html,GET,54.243.36.93,/,477133321,54.87.53.61,HSTS,1,False,,,,,,
asm.beta.blendlabs.com,,200,118364,https://bl-prod-connex-static-assets.s3.amazonaws.com,asm.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,asm.beta.blendlabs.com,80,http://asm.beta.blendlabs.com:80,http,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,Plaid,33,False,,True,cloudflare,True,https://asm.beta.blendlabs.com/,
assent.blendlabs.com,Not Found,404,12379,,assent.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T05:22:53Z,2023-06-12T05:22:52Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f770d1da4586f3bb62c8ffdb459d395b,f5ba7c0d7a042b47d8ae5fc21da3d00efbe713a7106d9b0ccb48e42536c2934e,ctls,assent.blendlabs.com,443,https://assent.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,,161,False,True,True,cloudflare,True,,
associated.beta.blendlabs.com,,200,161687,https://eclose-docmagic-proxy.k8s.beta.blend.com,associated.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,associated.beta.blendlabs.com,443,https://associated.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,992867224,172.65.228.100,Plaid,33,False,,True,cloudflare,True,,
assurance.beta.blendlabs.com,,200,119592,https://blend-backend-beta-lending-mirror.s3.amazonaws.com,assurance.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,assurance.beta.blendlabs.com,80,http://assurance.beta.blendlabs.com:80,http,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,Plaid,33,False,,True,cloudflare,True,https://assurance.beta.blendlabs.com/,
atlanticcoast.beta.blendlabs.com,,200,118955,https://eclose-public-proxy.k8s.beta.blend.com,atlanticcoast.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,atlanticcoast.beta.blendlabs.com,443,https://atlanticcoast.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,Plaid,33,False,,True,cloudflare,True,,
atlanticcoast.blendlabs.com,Not Found,404,12379,,atlanticcoast.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T05:22:53Z,2023-06-12T05:22:52Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f770d1da4586f3bb62c8ffdb459d395b,f5ba7c0d7a042b47d8ae5fc21da3d00efbe713a7106d9b0ccb48e42536c2934e,ctls,atlanticcoast.blendlabs.com,443,https://atlanticcoast.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,,161,False,True,True,cloudflare,True,,
atlbay.beta.blendlabs.com,,200,129049,https://cdn.plaid.com,atlbay.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,atlbay.beta.blendlabs.com,443,https://atlbay.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,509842941,172.65.228.100,Plaid,33,False,,True,cloudflare,True,,
atlbay.blendlabs.com,Not Found,404,12379,,atlbay.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T05:22:53Z,2023-06-12T05:22:52Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f770d1da4586f3bb62c8ffdb459d395b,f5ba7c0d7a042b47d8ae5fc21da3d00efbe713a7106d9b0ccb48e42536c2934e,ctls,atlbay.blendlabs.com,80,http://atlbay.blendlabs.com:80,http,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,,161,False,True,True,cloudflare,True,https://atlbay.blendlabs.com/,
auto.beta.blendlabs.com,,200,111263,https://apps.e-signlive.com,auto.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,auto.beta.blendlabs.com,443,https://auto.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,Plaid,33,False,,True,cloudflare,True,,
automation.beta.blendlabs.com,,200,105069,https://bl-uat-uploaded-assets.s3.amazonaws.com,automation.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,automation.beta.blendlabs.com,80,http://automation.beta.blendlabs.com:80,http,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,Plaid,33,False,,True,cloudflare,True,https://automation.beta.blendlabs.com/,
