input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url
mobikwik.com,"Online Mobile & DTH Recharge, Bill Payments, Easy Recharge",200,46971,AS16509,AS16509,Unknown,3.36.0.0/14,www.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,www.mobikwik.com,,80,http://mobikwik.com:80,http,cloudflare,text/html,GET,3.33.145.137,/,-666334690,15.197.155.129,HSTS,240,False,,,https://www.mobikwik.com:443/
mutualfunds.mobikwik.com,404 Not Found,404,146,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,mutualfunds.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,mutualfunds.mobikwik.com,cloudflare,80,http://mutualfunds.mobikwik.com:80,http,cloudflare,text/html,GET,104.18.22.34,/,1494302000,104.18.23.34,HSTS,8,False,True,,https://mutualfunds.mobikwik.com:443/
near.mobikwik.com,,200,27,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,near.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,near.mobikwik.com,cloudflare,443,https://near.mobikwik.com:443,https,cloudflare,text/plain,GET,104.18.22.34,/,566218143,104.18.23.34,HSTS,1,False,True,,
paylaterbeta.mobikwik.com,404 Not Found,404,564,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,paylaterbeta.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,paylaterbeta.mobikwik.com,cloudflare,443,https://paylaterbeta.mobikwik.com:443,https,cloudflare,text/html,GET,104.18.23.34,/,1506877856,104.18.22.34,HSTS,14,False,True,,
popmail.mobikwik.com,403 Forbidden,403,209,AS29873,BIZLAND-SD,US,66.96.160.0/24,,,,,,,,,,,,,,,,,,,,,80,http://popmail.mobikwik.com:80,http,Apache/2,text/html,GET,66.96.160.128,/,-1840324437,66.96.160.128,Apache:2,10,False,,,
raf.crm.mobikwik.com,ny5pebm06 OK,200,115,AS53316,AS53316,Unknown,207.251.96.0/23,raf.crm.mobikwik.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-27T00:00:00Z,2023-07-19T23:59:59Z,"CN=*.cheetahmail.com, O=Cheetah Digital\, Inc., L=New York, ST=New York, C=US",*.cheetahmail.com,"Cheetah Digital, Inc.",cheetahmail.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ed7123fd3ac98ad89e9d62402b05317,829b02cb38d19beece6ae9bc8186b816f5f172ebd29b8eb22edf7de33627de4e,True,ctls,raf.crm.mobikwik.com,,443,https://raf.crm.mobikwik.com:443,https,Apache,text/html,GET,207.251.96.244,/,-1840324437,207.251.96.243,HSTS,9,False,,True,
reg.crm.mobikwik.com,ny5pvpref01.cheetahmail.com OK,200,123,AS53316,AS53316,Unknown,207.251.96.0/23,reg.crm.mobikwik.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-27T00:00:00Z,2023-07-19T23:59:59Z,"CN=*.cheetahmail.com, O=Cheetah Digital\, Inc., L=New York, ST=New York, C=US",*.cheetahmail.com,"Cheetah Digital, Inc.",cheetahmail.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ed7123fd3ac98ad89e9d62402b05317,829b02cb38d19beece6ae9bc8186b816f5f172ebd29b8eb22edf7de33627de4e,True,ctls,reg.crm.mobikwik.com,,80,http://reg.crm.mobikwik.com:80,http,Apache,text/html,GET,207.251.96.80,/,1538594605,207.251.96.80,Apache,8,False,,True,https://reg.crm.mobikwik.com/
reg.merchants.mobikwik.com,ny5pvpref02.cheetahmail.com OK,200,123,AS53316,AS53316,Unknown,207.251.96.0/23,reg.merchants.mobikwik.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-27T00:00:00Z,2023-07-19T23:59:59Z,"CN=*.cheetahmail.com, O=Cheetah Digital\, Inc., L=New York, ST=New York, C=US",*.cheetahmail.com,"Cheetah Digital, Inc.",cheetahmail.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ed7123fd3ac98ad89e9d62402b05317,829b02cb38d19beece6ae9bc8186b816f5f172ebd29b8eb22edf7de33627de4e,True,ctls,reg.merchants.mobikwik.com,,80,http://reg.merchants.mobikwik.com:80,http,Apache,text/html,GET,207.251.96.80,/,-1555942805,207.251.96.80,Apache,8,False,,True,https://reg.merchants.mobikwik.com/
rsentinel-beta.mobikwik.com,Recharge Sentinel | Home,200,1453,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,rsentinel-beta.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,rsentinel-beta.mobikwik.com,cloudflare,443,https://rsentinel-beta.mobikwik.com:443,https,cloudflare,text/html,GET,104.18.22.34,/,190856733,104.18.23.34,Java,35,False,True,,
staging.mobikwik.com,"Online Mobile & DTH Recharge, Bill Payments, Easy Recharge",200,24734,AS16509,AS16509,Unknown,43.200.0.0/13,staging.mobikwik.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,staging.mobikwik.com,,80,http://staging.mobikwik.com:80,http,nginx,text/html,GET,43.204.8.7,/,1447213719,43.204.8.7,Nginx,236,False,,,https://staging.mobikwik.com/
