new,host,cname,soa,status_code,cdn,cdn-name,a,mx,txt,ns,has_internal_ips,internal_ips,aaaa
[x],17-121-119-88.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],17-121-120-43.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],17-121-120-50.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],17-121-121-49.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-121-121-87.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-121-123-60.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],17-121-123-91.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],17-121-124-32.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-121-124-8.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-121-125-16.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-121-125-38.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-121-125-93.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-121-126-34.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-121-126-54.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],17-121-126-57.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-121-126-88.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],17-121-126-96.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],17-121-127-35.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-121-127-74.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],17-58-100-55.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-58-101-38.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],17-58-102-12.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
