new,host,a,soa,status_code,aaaa,cname,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,caa,mx
,static.bundles.cit.hybrid.api.here.com,"108.157.214.31, 108.157.214.90, 108.157.214.111, 108.157.214.86","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:223e:7a00:e:9828:79c0:93a1, 2600:9000:223e:be00:e:9828:79c0:93a1, 2600:9000:223e:6a00:e:9828:79c0:93a1, 2600:9000:223e:2e00:e:9828:79c0:93a1, 2600:9000:223e:9000:e:9828:79c0:93a1, 2600:9000:223e:600:e:9828:79c0:93a1, 2600:9000:223e:d600:e:9828:79c0:93a1, 2600:9000:223e:ca00:e:9828:79c0:93a1",d10hdwpjqhp2hz.cloudfront.net,"ns-1620.awsdns-10.co.uk, ns-390.awsdns-48.com, ns-1002.awsdns-61.net, ns-1291.awsdns-33.org",True,cloudfront,,,,,
,static.bundles.cit.hybrid.cc.api.here.com,"52.222.236.76, 52.222.236.92, 52.222.236.83, 52.222.236.62","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2334:5200:e:9828:79c0:93a1, 2600:9000:2334:9c00:e:9828:79c0:93a1, 2600:9000:2334:fe00:e:9828:79c0:93a1, 2600:9000:2334:3400:e:9828:79c0:93a1, 2600:9000:2334:1000:e:9828:79c0:93a1, 2600:9000:2334:3200:e:9828:79c0:93a1, 2600:9000:2334:8600:e:9828:79c0:93a1, 2600:9000:2334:ec00:e:9828:79c0:93a1",d10hdwpjqhp2hz.cloudfront.net,"ns-390.awsdns-48.com, ns-1002.awsdns-61.net, ns-1291.awsdns-33.org, ns-1620.awsdns-10.co.uk",True,cloudfront,,,,,
,static.bundles.hybrid.cc.api.here.com,"18.160.18.68, 18.160.18.59, 18.160.18.34, 18.160.18.120, 205.251.192.73, 205.251.194.3, 205.251.197.228, 205.251.198.5","ns-1541.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:250b:5a00:1:38ad:44c0:93a1, 2600:9000:250b:7600:1:38ad:44c0:93a1, 2600:9000:250b:7400:1:38ad:44c0:93a1, 2600:9000:250b:b200:1:38ad:44c0:93a1, 2600:9000:250b:6600:1:38ad:44c0:93a1, 2600:9000:250b:d000:1:38ad:44c0:93a1, 2600:9000:250b:800:1:38ad:44c0:93a1, 2600:9000:250b:4600:1:38ad:44c0:93a1","static.bundles.hybrid.api.here.com.a1971.p01.hereglb.com, dkom9wu7q1edv.cloudfront.net","ns-515.awsdns-00.net, ns-1541.awsdns-00.co.uk, ns-73.awsdns-09.com, ns-1508.awsdns-60.org",True,cloudfront,,,,,
,static.bundles.nxt.hybrid.cc.api.here.com,131.228.152.32,"gb-lon99-colo-ucs01ib.as1248.net, hostmaster.here.com",NOERROR,,"static.bundles.nxt.hybrid.api.here.com, static.bundles.sit.hybrid.api.here.com",,,,,,,,
,static.bundles.pit.hybrid.api.here.com,131.228.152.31,"gb-lon99-colo-ucs01ib.as1248.net, hostmaster.here.com",NOERROR,,,,,,,,,,
,static.bundles.sit.hybrid.api.here.com,131.228.152.32,"gb-lon99-colo-ucs01ib.as1248.net, hostmaster.here.com",NOERROR,,,,,,,,,,
,static.bundles.stg.hybrid.cc.api.here.com,"52.222.139.106, 52.222.139.27, 52.222.139.77, 52.222.139.102","ns-1813.awsdns-34.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2204:d000:15:1640:5200:93a1, 2600:9000:2204:1600:15:1640:5200:93a1, 2600:9000:2204:2600:15:1640:5200:93a1, 2600:9000:2204:b400:15:1640:5200:93a1, 2600:9000:2204:6400:15:1640:5200:93a1, 2600:9000:2204:2200:15:1640:5200:93a1, 2600:9000:2204:f400:15:1640:5200:93a1, 2600:9000:2204:de00:15:1640:5200:93a1",d2u5vetnlfwwug.cloudfront.net,"ns-1186.awsdns-20.org, ns-1813.awsdns-34.co.uk, ns-228.awsdns-28.com, ns-952.awsdns-55.net",True,cloudfront,,,,,
,static.here.com,,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,redirect.here.com,"ns-1392.awsdns-46.org, ns-995.awsdns-60.net, ns-479.awsdns-59.com, ns-1771.awsdns-29.co.uk",,,,,,,
,static.packages.stg.hybrid.api.here.com,54.144.128.85,,NOERROR,,,,,,,,,,
,status.here.com,149.96.121.164,"edns140.ultradns.com, root.service-now.com",NOERROR,,here.service-now.com,,,,,,,letsencrypt.org,
,status.openlocation.here.com,"108.138.51.23, 108.138.51.14, 108.138.51.5, 108.138.51.70, 205.251.195.151","ns-1035.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2436:e200:1c:ff46:cfc0:93a1, 2600:9000:2436:1c00:1c:ff46:cfc0:93a1, 2600:9000:2436:8e00:1c:ff46:cfc0:93a1, 2600:9000:2436:1200:1c:ff46:cfc0:93a1, 2600:9000:2436:3200:1c:ff46:cfc0:93a1, 2600:9000:2436:2800:1c:ff46:cfc0:93a1, 2600:9000:2436:4400:1c:ff46:cfc0:93a1, 2600:9000:2436:d000:1c:ff46:cfc0:93a1",dkrayhipjnjun.cloudfront.net,"ns-5.awsdns-00.com, ns-1914.awsdns-47.co.uk, ns-1035.awsdns-01.org, ns-919.awsdns-50.net",True,cloudfront,,,,,
