new,host,a,soa,status_code,aaaa,mx,cdn,cdn-name,txt,cname,ns,caa,has_internal_ips,internal_ips
[x],api-gw-poc.iam.apps.fireeye.com,"54.144.100.77, 34.206.146.72, 44.215.101.146","ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,d-zgwjmxated.execute-api.us-east-1.amazonaws.com,,,,
[x],api-iam-int.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],api-iam-stg.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],api-neptune-qa.datalake.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api-neptune-stage.datalake.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api-qa.intelligence.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api-qa.services.fireeye.com,,"ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api-staging.intelligence.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
[x],api-staging.services.fireeye.com,"143.204.215.50, 143.204.215.56, 143.204.215.61, 143.204.215.125","ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],api.ap.feconnect.fireeye.com,"35.73.33.227, 13.230.175.249, 54.150.191.126","ns-809.awsdns-37.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=athena-prd03-external-dns,external-dns/resource=ingress/feconnect/athena-ais",,"ns-1123.awsdns-12.org, ns-1585.awsdns-06.co.uk, ns-208.awsdns-26.com, ns-809.awsdns-37.net",,,
[x],api.ap.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],api.ca.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],api.eu.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],api.feconnect.fireeye.com,"54.189.254.28, 54.71.12.36, 54.214.248.132","ns-1551.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=athena-prd01-external-dns,external-dns/resource=ingress/feconnect/athena-ais",,,,,
[x],api.intelligence.fireeye.com,162.159.246.125,,NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],api.storytime.apps.fireeye.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],api.us.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],apps.community.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.connect.fireeye.com,204.93.79.191,"ns-690.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,apps.fireeye-int.hosted.jivesoftware.com,,,,
[x],apps.fireeye.com,"44.239.252.230, 34.208.44.152, 34.217.254.75","ns-195.awsdns-24.com, awsdns-hostmaster.amazon.com",NOERROR,,inbound-smtp.us-west-2.amazonaws.com,,,"google-site-verification=fLuatMbx83wxEQsH73lytuQMaeUpIWIN2smE39KcYv0, v=spf1 include:amazonses.com ~all",,"ns-1076.awsdns-06.org, ns-1820.awsdns-35.co.uk, ns-195.awsdns-24.com, ns-931.awsdns-52.net",,,
[x],apps.internal.fireeye.com,204.93.79.191,"ns-690.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,apps.fireeye-int.hosted.jivesoftware.com,,,,
[x],apps.uat.community.fireeye.com,204.93.79.77,"ns-1199.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,apps.fireeye-ext.uat5.hosted.jivesoftware.com,,,,
[x],apps.uat.internal.fireeye.com,204.93.79.192,"ns-1199.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,apps.fireeye-int.uat5.hosted.jivesoftware.com,,,,
[x],arb.svpc.apps.fireeye.com,205.251.192.196,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-196.awsdns-24.com, ns-1139.awsdns-14.org, ns-673.awsdns-20.net, ns-1963.awsdns-53.co.uk",,,
[x],arc.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],archie.access.dxb.selabs.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],argo.sre.apps.fireeye.com,"54.148.208.112, 35.161.41.81, 52.35.201.238","ns-1787.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=service/devops/drone-ingress-ingress-nginx-controller",,,,,
[x],argocd.sre.apps.fireeye.com,"52.35.201.238, 54.148.208.112, 35.161.41.81","ns-1787.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],artifactory-va.eng.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],artifactory.dev.md.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],ash.selabs.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,"alt1.us.email.fireeyecloud.com, primary.us.email.fireeyecloud.com, alt3.us.email.fireeyecloud.com, alt2.us.email.fireeyecloud.com",True,cloudflare,,,,,,
[x],ast5.lms.sjc.training.fireeye.com,199.16.198.82,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],ati-stage.fireeye.com,199.16.197.35,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],ati.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],ati3.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],atiapi-stage.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],auth-dev1.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],auth-dev63.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],auth-prod.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],auth-prod61.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],auth-prod63.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],auth-prod65.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],auth-qa.fireeye.com,162.159.246.125,,NOERROR,,,True,cloudflare,,,,,,
[x],auth-stage.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],auth-staging.faas.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],auth.faas.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],auth.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],autodiscover.fireeye.com,"40.99.155.232, 40.99.157.56, 40.99.149.104, 40.99.149.168, 40.99.149.152, 52.97.189.104, 52.97.189.72, 40.99.157.40","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c03:707c::8, 2603:1026:207::8, 2603:1026:206:7::8, 2603:1026:207:131::8, 2603:1026:207:b9::8, 2603:1026:200:79::8, 2603:1026:207:a7::8, 2603:1026:c03:7066::8",,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,
[x],av.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],avsuite-qa.cloud.aws.apps.fireeye.com,"3.218.158.44, 54.84.228.233, 52.86.128.80","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],avsuite-qa.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],avsuite.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],avupdate.fireeye.com,68.232.34.73,,NOERROR,2606:2800:233:120a:2484:c70:1d20:1247,,,,,"wpc.2d7dd.alphacdn.net, dual46.gs1.wpc.v2cdn.net",,,,
[x],ax02.p.sjc.training.fireeye.com,199.16.198.82,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],ax03.p.sjc.training.fireeye.com,199.16.198.82,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],babylon.eng.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],backend-docs.a.sjc.training.fireeye.com,199.16.198.82,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],baijialeyunqihaohuai.lms.sjc.training.fireeye.com,199.16.198.82,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],bang-engvpn-asa.eng.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],benefits.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],betacloud.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],binocolo-dev.cloud.aws.apps.fireeye.com,"52.10.214.254, 52.40.208.86, 35.82.177.9","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],binocolo-dev.fireeye.com,162.159.246.125,,NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],binocolo-qa.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
[x],binocolo.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],binocolo3.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],bitlocker.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],blog-jp.fireeye.com,23.253.37.152,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],blog.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],blogstage.fireeye.com,198.61.191.245,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],blogtest.fireeye.com,166.78.109.73,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],blr-vpn.fireeye.com,182.19.62.13,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],blrrubrikc01.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],blue-etp-simple-api-app.k8s-etp-prd09.cloud.apps.fireeye.com,"34.204.163.199, 34.194.171.37, 3.232.62.82","ns-565.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=Z018105020YJ9LHDGJ9UR,external-dns/resource=ingress/etp-prd09-apps/prd09-simple-go-api-app",,,,,
[x],bmw-fesit.fireeye.com,216.71.112.10,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],bmw-prod-ex.glb.fireeye.com,199.16.199.173,"SJC1-B1-F1M1-GTM1.fireeye.com, hostmaster.SJC1-B1-F1M1-GTM1.fireeye.com",NOERROR,,,,,,,,,,
[x],bmw-prod-in.glb.fireeye.com,"10.35.94.80, 10.5.10.173","SJC1-B1-F1M1-GTM1.fireeye.com, hostmaster.SJC1-B1-F1M1-GTM1.fireeye.com",NOERROR,,,,,,,,,True,"10.35.94.80, 10.5.10.173"
[x],bmw-prod-mil.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],bmw-qa-mil.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],bmw-qa-va.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],bmw-qa.fireeye.com,216.71.112.15,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],bmw-stage.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],bmw-uat.fireeye.com,172.65.232.180,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:90:0:1fa9:d0c8:6110:6551,,True,cloudflare,,130fb237c6f24e1093806e033abbd1d7.pacloudflare.com,,,,
[x],brand.fireeye.com,,,NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],brand63.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],bugs.eng.fireeye.com,199.16.196.25,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,jira.fireeye.com,,,,
[x],bugsy.eng.fireeye.com,199.16.196.25,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,jira.fireeye.com,,,,
[x],build-cloud.eng.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],builds-blr.eng.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],bus-staging.intelligence.fireeye.com,"52.23.108.96, 3.227.77.211","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,dualstack.stg-sire-ibusproxy-alb-570146540.us-east-1.elb.amazonaws.com,,,,
[x],bus.intelligence.fireeye.com,"52.21.171.123, 44.207.38.231","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,dualstack.sire-ibusproxy-alb-239861023.us-east-1.elb.amazonaws.com,,,,
[x],casarray-va.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],casarray.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],cbcm.fireeye.com,38.27.116.173,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],ccc-portal.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],ccs-aggregator-prd01-blue.etp-prd01.cloud.apps.fireeye.com,"35.79.252.149, 52.192.72.145, 35.74.188.52","ns-750.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ccs-aggregator-prd01-green.etp-prd01.cloud.apps.fireeye.com,"35.78.144.124, 3.114.28.159, 3.112.160.57","ns-750.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=etp-prd01-external-dns,external-dns/resource=ingress/etp-prd01-apps-green/ccs-aggregator-prd01-green-ing",,"ns-1261.awsdns-29.org, ns-1625.awsdns-11.co.uk, ns-169.awsdns-21.com, ns-750.awsdns-29.net",,,
[x],ccs-aggregator-prd06-blue.etp-prd06.cloud.apps.fireeye.com,"3.127.138.38, 3.126.81.131, 3.67.246.187","ns-1051.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=etp-prd06-external-dns,external-dns/resource=ingress/etp-prd06-apps-blue/ccs-aggregator-prd06-blue-ing",,,,,
[x],ccs-aggregator-prd06-green.etp-prd06.cloud.apps.fireeye.com,3.74.39.75,"ns-1051.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=etp-prd06-external-dns,external-dns/resource=ingress/etp-prd06-apps-green/ccs-aggregator-prd06-green-ing",,"ns-1051.awsdns-03.org, ns-113.awsdns-14.com, ns-1550.awsdns-01.co.uk, ns-941.awsdns-53.net",,,
[x],ccs-aggregator-prd08-green.etp-prd08.cloud.apps.fireeye.com,"44.237.215.201, 54.69.18.83, 52.36.155.70","ns-1255.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-1255.awsdns-28.org, ns-1763.awsdns-28.co.uk, ns-387.awsdns-48.com, ns-676.awsdns-20.net",,,
[x],ccs-aggregator-prd09-green.etp-prd09.cloud.apps.fireeye.com,"3.84.166.95, 54.86.7.42, 54.88.19.229","ns-596.awsdns-10.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=etp-prd09-external-dns,external-dns/resource=ingress/etp-prd09-apps-green/ccs-aggregator-prd09-green-ing",,,,,
[x],ccs-aggregator-prd11-blue.etp-prd11.cloud.apps.fireeye.com,"52.60.123.226, 15.222.209.62, 3.97.253.64","ns-1572.awsdns-04.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=etp-prd11-external-dns,external-dns/resource=ingress/etp-prd11-apps-blue/ccs-aggregator-prd11-blue-ing",,,,,
[x],ccs-aggregator-prd11-green.etp-prd11.cloud.apps.fireeye.com,"52.60.124.127, 3.96.243.232, 3.98.158.36","ns-1572.awsdns-04.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=etp-prd11-external-dns,external-dns/resource=ingress/etp-prd11-apps-green/ccs-aggregator-prd11-green-ing",,,,,
[x],ccs-aggregator-qa01-blue.etp-dev01.cloud.apps.fireeye.com,44.232.54.216,"ns-1495.awsdns-58.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=etp-dev01-external-dns,external-dns/resource=ingress/etp-qa01-apps-blue/ccs-aggregator-qa01-blue-ing",,,,,
[x],ccs-aggregator-qa01-green.etp-dev01.cloud.apps.fireeye.com,44.226.180.185,"ns-1495.awsdns-58.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=etp-dev01-external-dns,external-dns/resource=ingress/etp-qa01-apps-green/ccs-aggregator-qa01-green-ing",,,,,
[x],ccs-aggregator.k8s-etp-dev01.cloud.apps.fireeye.com,,"ns-856.awsdns-43.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
