new,host,a,cname,soa,status_code,cdn,cdn-name,txt,aaaa,ns,mx,has_internal_ips,internal_ips,caa
[x],bentley.com,"141.193.213.21, 141.193.213.20",,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,"lv4twphgk5wwx0npt6wb6hl3f6y3qngl, apple-domain-verification=yRANHNFndempjiL6, miro-verification=ba78d1467c3cb2a0c25915f5efbf7941c042bd8b, mongodb-site-verification=1aegMh3ApdQMm3DBNdTAByyK2Rjkhlzx, globalsign-domain-verification=ac3e12ca5ad68b4a36838d206e283894, google-site-verification=O4uxPfB5fNmZkTRyANRvSKirbtvIVVylHG9suZi5l1I, google-site-verification=q0IJ3GOBCZJKZnzE51dVpWbDxl_xIgQR89h-saHUSCg, globalsign-domain-verification=XyQC0DRy7_MH3um8RWtVx63vWm_bbxtolJZwahw3FD, globalsign-domain-verification=xRwSMzW4_l6QKOrjC6EkCkyHVj5OrFiMeu79mU3asJ, _globalsign-domain-verification=Ooy8oIS6d2Dww0zvpoDYXX531JdMCfb5DHoR02aLKM, zFrOppoar6QpdPkpQK1+VzVf+PGFPxcuXP4IS21mZIT3Tv6cTCHPOpfwr46j9OqOVMpPzzDM7uwCNZMw/RFIWQ==, atlassian-domain-verification=HY5HE4d3a6xrhW5O72L6vi45gxa6zOXEitMCn/ArvSIC62hIKAOMHCkqs5Y24fjc, v=spf1 include:spf.protection.outlook.com include:spf-001a9101.pphosted.com ip4:65.221.8.29/32 ip4:65.221.12.128/32 ip4:65.221.12.148 ip4:72.55.140.81 ip4:104.209.255.75/32 include:_spf1.bentley.com -all",,"ns1-07.azure-dns.com, ns2-07.azure-dns.net, ns3-07.azure-dns.org, ns4-07.azure-dns.info","mxa-001a9101.gslb.pphosted.com, mxb-001a9101.gslb.pphosted.com",,,
[x],beta-portal.eastus-qa.openground.bentley.com,40.76.74.83,,"ns1-01.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,"\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/openground/react-portal-nginx\""",,,,,,
[x],blog.bentley.com,34.105.23.4,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,True,google,,,,,,,
[x],bp-admin.bentley.com,52.169.66.122,prd-neu-hosting-bpeb03-adm.northeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],bp-eb.bentley.com,51.138.224.197,prd-neu-hosting-bpeb03-app11.northeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],briprdlync01.bentley.com,203.42.129.181,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,,,,,,,
[x],bsi-access.bentley.com,64.90.224.68,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,,,,,,,
[x],buddi-eus.bentley.com,20.119.128.12,"prod-buddiapp-eus2.azurewebsites.net, waws-prod-bn1-207.sip.azurewebsites.windows.net, waws-prod-bn1-207-3057.eastus2.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],buddi-sea-staging.bentley.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],buddi.bentley.com,20.105.216.25,"prod-buddi-trafficmanager.trafficmanager.net, prod-buddiapp-weu.azurewebsites.net, waws-prod-am2-635.sip.azurewebsites.windows.net, waws-prod-am2-635-518a.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],builds.bentley.com,64.90.226.138,extprdbld01.bentley.com,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,,,,,,,
[x],bwa.bentley.com,64.90.224.49,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,,,,,,,
