new,host,a,soa,status_code,ns,cdn,cdn-name,txt,cname,mx,caa,aaaa,has_internal_ips,internal_ips
,dogfood.xvservice.net,"143.204.215.20, 143.204.215.108, 143.204.215.101, 143.204.215.40","ns-63.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1176.awsdns-19.org, ns-1768.awsdns-29.co.uk, ns-576.awsdns-08.net, ns-63.awsdns-07.com",True,cloudfront,,,,,,,
,email.expressvpn.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 ip4:149.72.204.60 ip4:167.89.103.163 ip4:167.89.94.22 -all,u13588.wl089.sendgrid.net,mx.sendgrid.net,,,,
,expressvpn.com,"18.67.65.35, 18.67.65.126, 18.67.65.7, 18.67.65.70, 205.251.193.117, 205.251.195.142, 205.251.196.174, 205.251.198.52","ns-373.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-373.awsdns-46.com, ns-1588.awsdns-06.co.uk, ns-1198.awsdns-21.org, ns-910.awsdns-49.net",True,cloudfront,"detectify-verification=629b6aa9d9f5ef48fb059a96e9cc55c5, 4bdp2b205bnfnai6i964m4j21v, docusign=fa13fa75-779c-4173-87fa-7888b7ce5456, j3aa808kb9ckme44jkvp0iq7uo, MS=CA708C6EE02E5E499077C92080358CF4AA5F960C, v=spf1 mx include:sendgrid.net include:_spf.google.com include:servers.mcsv.net include:amazonses.com include:mail.zendesk.com -all, facebook-domain-verification=wbyftwhf94cwk8xls3wpwkk6c6nqsu, 952j0cucmm2tnop7m0rfmv0ob7, atlassian-domain-verification=AsiGSJlMQ6GNhZSMVSyt+gEq2IClyv/rDtsdXhzMmSZIiDuo0RRTWrhkye/IRN9D, apple-domain-verification=Cx02Ai34ywq70gy0, amazonses:7hE6umGQIGBX3IrBU6H2sxzZyCeSkd7nsMNV8Of1Q1Q=, dropbox-domain-verification=kr4spe9bdmt2, google-site-verification=HxtidXba6pXy-uq8j6OTcB7B3AmtBKLtf6dv6T7mMMY",,"alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx2.googlemail.com, aspmx.l.google.com, aspmx3.googlemail.com","godaddy.com, amazonaws.com, amazon.com, awstrust.com, amazontrust.com",,,
,fe-singapore-1.web-staging.xvtest.net,"18.66.147.63, 18.66.147.91, 18.66.147.14, 18.66.147.21","ns-214.awsdns-26.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,fe-singapore-1.xvtest.net,,,NOERROR,,,,,,,,,,
,fe-singapore-2.web-staging.xvtest.net,"99.86.91.122, 99.86.91.31, 99.86.91.82, 99.86.91.123","ns-214.awsdns-26.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1032.awsdns-01.org, ns-1747.awsdns-26.co.uk, ns-214.awsdns-26.com, ns-548.awsdns-04.net",True,cloudfront,,,,,,,
,fishtank.sys.xvservice.net,45.144.112.101,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,fishtank.xvservice.net,45.144.112.101,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1061.awsdns-04.org, ns-1572.awsdns-04.co.uk, ns-217.awsdns-27.com, ns-849.awsdns-42.net",,,,fishtank.sys.xvservice.net,,,,,
,fleet.sec.xvservice.net,"52.74.0.46, 52.76.117.143","ns-366.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1034.awsdns-01.org, ns-1993.awsdns-57.co.uk, ns-366.awsdns-45.com, ns-638.awsdns-15.net",,,,,,,,,
,frontend-qa.xvtest.net,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1522.awsdns-62.org, ns-1965.awsdns-53.co.uk, ns-660.awsdns-18.net, ns-336.awsdns-42.com",,,,,,,,,
,frontend-staging.xvtest.net,,"ns-1528.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-459.awsdns-57.com, ns-686.awsdns-21.net, ns-1528.awsdns-63.org, ns-1610.awsdns-09.co.uk",,,qqcukhb71o4n93n2roa7oge339,,,,,,
,frontend.qa.staging.backend-staging.xvtest.net,"3.219.119.4, 34.200.141.75, 34.224.253.0",,NOERROR,,,,,,,,,,
,frontend.yakubu.staging.backend-staging.xvtest.net,"34.200.141.75, 34.224.253.0, 3.219.119.4",,NOERROR,,,,,,,,,,
,frontier-docs.xvservice.net,"34.148.97.127, 54.161.234.33","dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,True,google,,compassionate-ritchie-01cb55.netlify.com,,,"2a05:d014:275:cb02::c8, 2a05:d014:275:cb00::c8",,
,gatekeeper.dev.iat.it.xvservice.net,,"ns-194.awsdns-24.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-2026.awsdns-61.co.uk, ns-983.awsdns-58.net, ns-1402.awsdns-47.org, ns-194.awsdns-24.com",,,,,,,,,
,gatekeeper.prd.iat.it.xvservice.net,,"ns-1708.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-677.awsdns-20.net, ns-1141.awsdns-14.org, ns-1708.awsdns-21.co.uk, ns-445.awsdns-55.com",,,,,,,,,
,go.expressvpn.com,34.160.106.152,"ns-1795.awsdns-32.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,google,,go-expressvpn-com.ct.impactradius.com,,"letsencrypt.org, pki.goog",,,
,hedgedoc.offsec.sec.xvservice.net,10.30.102.121,"ns-1825.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,True,10.30.102.121
,hedgedoc.staging.offsec.sec.xvservice.net,10.102.102.34,"ns-1825.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,True,10.102.102.34
,hydra-v2.xvtest.net,52.77.87.236,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1345.awsdns-40.org, ns-1855.awsdns-39.co.uk, ns-212.awsdns-26.com, ns-851.awsdns-42.net",,,,,,,,,
,ianc-1.pmgr.playground.xvtest.net,,"ns-582.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,icinga-la-01.sys.xvservice.net,185.209.176.77,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,icinga-ny-01.sys.xvservice.net,45.144.112.101,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,installer-mirror.frontend-staging.xvtest.net,,"ns-1528.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,integration-test-issue-report.apis-staging.xvtest.net,,"ns-1538.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1538.awsdns-00.co.uk, ns-677.awsdns-20.net, ns-321.awsdns-40.com, ns-1095.awsdns-08.org",,,,,,,,,
,integration.brian.staging.backend-staging.xvtest.net,"108.138.7.120, 108.138.7.75, 108.138.7.35, 108.138.7.61",,NOERROR,,True,cloudfront,,,,,,,
,integration.qa.staging.backend-staging.xvtest.net,"18.66.97.23, 18.66.97.84, 18.66.97.77, 18.66.97.10",,NOERROR,,True,cloudfront,,,,,,,
,integration.yakubu.staging.backend-staging.xvtest.net,"108.138.7.88, 108.138.7.129, 108.138.7.41, 108.138.7.69",,NOERROR,,True,cloudfront,,,,,,,
,internal.staging-2.apis-staging.xvtest.net,"54.165.52.197, 18.215.87.21","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,api-services-staging-2-public-1475291940.us-east-1.elb.amazonaws.com,,,,,
,issue-report.apis-staging.xvtest.net,"18.160.41.50, 18.160.41.123, 18.160.41.26, 18.160.41.66","ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
