input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,tech_,lines,cdn,webserver
dr-uk-partnerapi.just-eat.io,503 Service Temporarily Unavailable,,162,dr-uk-partnerapi.just-eat.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,dr-uk-partnerapi.just-eat.io,443,https://dr-uk-partnerapi.just-eat.io:443,https,text/html,GET,104.18.29.208,HSTS,7,True,cloudflare
es-partnerapi.just-eat.io,Just Eat API Documentation,,2738,uk.api.just-eat.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-01-30T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,uk.api.just-eat.io,443,https://es-partnerapi.just-eat.io:443,https,text/html,GET,104.18.28.208,HSTS,101,True,cloudflare
i18n.api.just-eat.io,Just Eat API Documentation,,2738,uk.api.just-eat.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-01-30T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,uk.api.just-eat.io,443,https://i18n.api.just-eat.io:443,https,text/html,GET,104.18.28.208,HSTS,101,True,cloudflare
ie-partnerapi.just-eat.io,Just Eat API Documentation,,2738,uk.api.just-eat.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-01-30T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,uk.api.just-eat.io,443,https://ie-partnerapi.just-eat.io:443,https,text/html,GET,104.18.28.208,HSTS,101,True,cloudflare
it-invoicingmanagement.justeat-int.com,,,16,it-invoicingmanagement.justeat-int.com,443,tls13,TLS_AES_128_GCM_SHA256,,2023-04-30T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,it-invoicingmanagement.justeat-int.com,443,https://it-invoicingmanagement.justeat-int.com:443,https,text/plain,GET,104.18.31.28,HSTS,1,True,cloudflare
it-partnerapi.just-eat.io,Just Eat API Documentation,,2738,uk.api.just-eat.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-01-30T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,uk.api.just-eat.io,443,https://it-partnerapi.just-eat.io:443,https,text/html,GET,104.18.29.208,HSTS,101,True,cloudflare
nz-partnerapi.just-eat.io,Just Eat API Documentation,,2738,uk.api.just-eat.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-01-30T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,uk.api.just-eat.io,443,https://nz-partnerapi.just-eat.io:443,https,text/html,GET,104.18.29.208,HSTS,101,True,cloudflare
opsdocumentmanagement.justeat-int.com,opsdocumentmanagement,,43175,opsdocumentmanagement.justeat-int.com,443,tls13,TLS_AES_128_GCM_SHA256,,2023-02-21T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,opsdocumentmanagement.justeat-int.com,443,https://opsdocumentmanagement.justeat-int.com:443,https,text/html,GET,104.18.30.28,HSTS,6,True,cloudflare
pipeline-orchestrator-api-push-subscriptions.dev.just-data.io,,,74,pipeline-orchestrator-api-push-subscriptions.dev.just-data.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-04-02T14:59:53Z,CN=pipeline-orchestrator-api-push-subscriptions.dev.just-data.io,pipeline-orchestrator-api-push-subscriptions.dev.just-data.io,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,pipeline-orchestrator-api-push-subscriptions.dev.just-data.io,443,https://pipeline-orchestrator-api-push-subscriptions.dev.just-data.io:443,https,text/plain,GET,130.211.14.125,HTTP/3,2,True,
pipeline-orchestrator-api-push-subscriptions.just-data.io,,,74,pipeline-orchestrator-api-push-subscriptions.just-data.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-04-04T23:19:07Z,CN=pipeline-orchestrator-api-push-subscriptions.just-data.io,pipeline-orchestrator-api-push-subscriptions.just-data.io,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,pipeline-orchestrator-api-push-subscriptions.just-data.io,443,https://pipeline-orchestrator-api-push-subscriptions.just-data.io:443,https,text/plain,GET,34.111.137.45,HTTP/3,2,True,
pipeline-orchestrator-api-push-subscriptions.qa.just-data.io,,,74,pipeline-orchestrator-api-push-subscriptions.qa.just-data.io,443,tls13,TLS_AES_128_GCM_SHA256,,2023-04-01T21:19:19Z,CN=pipeline-orchestrator-api-push-subscriptions.qa.just-data.io,pipeline-orchestrator-api-push-subscriptions.qa.just-data.io,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,pipeline-orchestrator-api-push-subscriptions.qa.just-data.io,443,https://pipeline-orchestrator-api-push-subscriptions.qa.just-data.io:443,https,text/plain,GET,35.244.177.0,HTTP/3,2,True,
