new,host,a,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,ns,txt
,osrm-uk-motorbike.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,osrm-uk-motorbike.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,osrm-uk.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,osrm-uk.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,pipeline-orchestrator-api-push-subscriptions.dev.just-data.io,130.211.14.125,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,
,pipeline-orchestrator-api-push-subscriptions.just-data.io,34.111.137.45,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,
,pipeline-orchestrator-api-push-subscriptions.qa.just-data.io,35.244.177.0,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,
,pipeline-orchestrator-api.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,pipeline-orchestrator-api.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,pipeline-orchestrator-api.qa.just-data.io,10.152.196.43,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.43,,
,prometheus-ui.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
