input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,webserver,tech_,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,csp_domains_,final_url,tls_expired
aem-stage.westerndigital.com,,403,93,aem-stage.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2024-03-06T23:59:59Z,CN=aem.westerndigital.com,aem.westerndigital.com,www-stage.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,042132da7f720d27e9087031f9ddeb66,3550bcb054622b27e317a00bd44634c5b4f6bc4a420e809480abce08bb5abcfc,ctls,aem-stage.westerndigital.com,,443,https://aem-stage.westerndigital.com:443,https,text/html,GET,54.148.210.29,/,-1060002298,34.208.84.145,4,False,,,,,,,,,
aem.westerndigital.com,POST data,200,1915,aem.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2024-03-06T23:59:59Z,CN=aem.westerndigital.com,aem.westerndigital.com,www-stage.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,042132da7f720d27e9087031f9ddeb66,3550bcb054622b27e317a00bd44634c5b4f6bc4a420e809480abce08bb5abcfc,ctls,aem.westerndigital.com,,443,https://aem.westerndigital.com:443,https,text/html,GET,54.148.210.29,/,704041924,34.208.84.145,12,False,,Apache,Java,,,,,,
apac-hackathon.westerndigital.com,Home | APAC apac-hackathon 2020,200,30925,apac-hackathon.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2021-05-07T00:00:00Z,2022-05-07T23:59:59Z,CN=apac-hackathon.westerndigital.com,apac-hackathon.westerndigital.com,www.apac-hackathon.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,81e395514a575f04d75fee6559c9cfde,b0210175c4aaf508b6cc72db2ee44def4a34c15f21d14f41fc5ddf59cfd82574,ctls,apac-hackathon.westerndigital.com,,443,https://apac-hackathon.westerndigital.com:443,https,text/html,GET,34.208.84.145,/,1956795149,54.148.210.29,1152,False,,Apache,Java,,,,,,True
api-dev.westerndigital.com,,403,93,api-dev.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-28T00:00:00Z,2023-11-28T23:59:59Z,CN=shop.westerndigital.com,shop.westerndigital.com,webhelp.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,736e70f6152eea68da998ffc5d9eac8f,603dee6ffc56078b3dffd01079c93385cba86fb075375eb4f9f86eebb73ab365,ctls,api-dev.westerndigital.com,,443,https://api-dev.westerndigital.com:443,https,text/html,GET,54.148.210.29,/,-1060002298,34.208.84.145,4,False,,,,,,,,,
api.bugcrowd.com,Bugcrowd | Error,200,5977,api.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T00:00:00Z,2024-03-18T23:59:59Z,"CN=bugcrowd.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bugcrowd.com,docs.bugcrowd.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",22d37efb3b52cdc5379f4739e937901a,0307ab94526a9b6eb1531ccd8f30f71cec754905b9b8229ad60e50356e32eb1c,ctls,api.bugcrowd.com,cloudflare,443,https://api.bugcrowd.com:443,https,text/html,GET,104.20.6.68,/,-1840324437,2606:4700:10::6814:744,33,False,True,cloudflare,HSTS,"Cloudflare, Inc.",,,heapanalytics.com,,
api.usemessages.com,403 Forbidden,403,146,api.usemessages.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,2023-06-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.usemessages.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1ab1b53ba233e1fe348f145611a3f843,3f983317771c6d21a0b8f083f812b17e5282580115224ee1ecb6a0e9a63bbe2d,ctls,api.usemessages.com,cloudflare,443,https://api.usemessages.com:443,https,text/html,GET,104.17.101.172,/,-361984612,2606:4700::6811:65ac,8,False,True,cloudflare,Envoy,"Cloudflare, Inc.",True,,,,
assets.bugcrowdusercontent.com,,404,,assets.bugcrowdusercontent.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T00:00:00Z,2024-03-17T23:59:59Z,"CN=bugcrowdusercontent.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bugcrowdusercontent.com,assets.bugcrowdusercontent.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",59929d182f83c3797e2a407c9285dd1e,dc607d08fae20a7dac680195965fcdafacd81009e2013bfc828746558ea350ee,ctls,assets.bugcrowdusercontent.com,cloudflare,443,https://assets.bugcrowdusercontent.com:443,https,text/html,GET,172.67.36.246,/,-1840324437,2606:4700:10::6816:23dc,1,False,True,cloudflare,HSTS,"Cloudflare, Inc.",,,js.intercomcdn.com,,
auth-test.bugcrowd.com,,403,48,auth-test.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",766d0b610a965f5960221657e2559ca0,69c6e5be479df9440e6b08bb9355c178e6cc5d1255c1e0e86cd85f9ed05d3c04,ctls,auth-test.bugcrowd.com,cloudflare,443,https://auth-test.bugcrowd.com:443,https,application/json,GET,104.20.6.68,/,1546739159,2606:4700:10::6814:744,3,False,True,cloudflare,HSTS,"Cloudflare, Inc.",True,,,,
blog.bugcrowd.com,Blog | Bugcrowd,200,176129,www.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T00:00:00Z,2024-03-18T23:59:59Z,"CN=bugcrowd.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bugcrowd.com,docs.bugcrowd.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",22d37efb3b52cdc5379f4739e937901a,0307ab94526a9b6eb1531ccd8f30f71cec754905b9b8229ad60e50356e32eb1c,ctls,www.bugcrowd.com,cloudflare,443,https://blog.bugcrowd.com:443,https,text/html,GET,104.20.6.68,/,,2606:4700:10::6814:644,2028,False,True,cloudflare,Yoast SEO:19.8,"Cloudflare, Inc.",,,,https://www.bugcrowd.com/blog/,
blog.westerndigital.com,Home Page - Western Digital Corporate Blog,200,211396,blog.westerndigital.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-21T04:58:45Z,2023-06-19T04:58:44Z,CN=blog.westerndigital.com,blog.westerndigital.com,blog.westerndigital.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,28a822283d3a1eb0a279fa33b091bc31,24f7bf5189b2a1c15f72c5c97c9703eb547015b84d5cd26ea1f8fff91e33013a,ctls,blog.westerndigital.com,,443,https://blog.westerndigital.com:443,https,text/html,GET,23.185.0.4,/,1825436254,2620:12a:8001::4,795,False,,nginx,WordPress,,,,,,
bugcrowd-attachments-us-east-1-production.s3.amazonaws.com,,403,275,bugcrowd-attachments-us-east-1-production.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,bugcrowd-attachments-us-east-1-production.s3.amazonaws.com,,443,https://bugcrowd-attachments-us-east-1-production.s3.amazonaws.com:443,https,application/xml,GET,3.5.25.107,/,1418154652,52.217.75.52,2,False,,AmazonS3,Amazon Web Services,,True,,,,
bugcrowd-attachments-us-east-1-production.s3.us-east-1.amazonaws.com,,403,243,bugcrowd-attachments-us-east-1-production.s3.us-east-1.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-20T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,s3-deprecated.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e6c74e7bcc0a301938b7a3509ca3ace,31494611b3e6659b4e9a3af805171907756aee7e37d017bcc27104768c785fbd,ctls,bugcrowd-attachments-us-east-1-production.s3.us-east-1.amazonaws.com,,443,https://bugcrowd-attachments-us-east-1-production.s3.us-east-1.amazonaws.com:443,https,application/xml,GET,52.217.121.146,/,-370982275,52.217.134.74,2,False,,AmazonS3,Amazon Web Services,,True,,,,
bugcrowd.com,#1 Crowdsourced Cybersecurity Platform | Bugcrowd,200,200859,www.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T00:00:00Z,2024-03-18T23:59:59Z,"CN=bugcrowd.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bugcrowd.com,docs.bugcrowd.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",22d37efb3b52cdc5379f4739e937901a,0307ab94526a9b6eb1531ccd8f30f71cec754905b9b8229ad60e50356e32eb1c,ctls,www.bugcrowd.com,cloudflare,443,https://bugcrowd.com:443,https,text/html,GET,104.20.7.68,/,401957159,2606:4700:10::6814:644,2322,False,True,cloudflare,Yoast SEO:19.8,"Cloudflare, Inc.",,,,https://www.bugcrowd.com/,
careers.westerndigital.com,Careers at Western Digital,200,111155,careers.smartrecruiters.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-17T00:00:00Z,2023-06-16T23:59:59Z,CN=*.smartrecruiters.com,*.smartrecruiters.com,smartrecruiters.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,2035ad1be53053ec60eb99c0f44b6ddb,0dc62d6bba86e002de4b120203002e4f7860b6999f1dc79b8a23dd9be003bb71,ctls,careers.smartrecruiters.com,,80,http://careers.westerndigital.com:80,http,text/html,GET,35.167.237.18,/,1841811813,35.167.237.18,136,False,,cloudflare,HSTS,,True,,Page.</a>,https://careers.smartrecruiters.com/WesternDigital,
cdn.segment.com,,404,49,cdn.segment.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-12T23:59:59Z,CN=*.segment.com,*.segment.com,*.segment.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,60f87df08a4d0f4a95226e9a7147ac4c,6d2bc915033d7449a20ea8a52326dec0dcb65d96778138fc2baab203f6bf25a0,ctls,cdn.segment.com,cloudfront,443,https://cdn.segment.com:443,https,text/plain,GET,99.86.8.175,/,138222360,99.86.8.175,2,False,True,AmazonS3,Amazon Web Services,,True,,,,
cmat.dev.westerndigital.com,WD | CMAT,200,548,cmat.dev.westerndigital.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-13T00:00:00Z,2023-05-13T23:59:59Z,CN=cmat.westerndigital.com,cmat.westerndigital.com,cmat.webapi.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,ee92a131c4d9b975cb7a2cd667bbeb98,cbcde4821ee2dd48aee2b30e4bc17ada8be7f5bc46234caede18c35000ce860c,ctls,cmat.dev.westerndigital.com,cloudfront,443,https://cmat.dev.westerndigital.com:443,https,text/html,GET,143.204.89.124,/,-289708236,2600:9000:2156:9000:b:34da:2980:93a1,1,False,True,AmazonS3,Amazon Web Services,,,,,,
cmat.stage.westerndigital.com,WD | CMAT,200,548,cmat.stage.westerndigital.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-13T00:00:00Z,2023-05-13T23:59:59Z,CN=cmat.westerndigital.com,cmat.westerndigital.com,cmat.webapi.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,ee92a131c4d9b975cb7a2cd667bbeb98,cbcde4821ee2dd48aee2b30e4bc17ada8be7f5bc46234caede18c35000ce860c,ctls,cmat.stage.westerndigital.com,cloudfront,443,https://cmat.stage.westerndigital.com:443,https,text/html,GET,13.225.78.110,/,-289708236,2600:9000:21f3:7600:3:2d3d:2880:93a1,1,False,True,AmazonS3,Amazon Web Services,,,,,,
cmat.westerndigital.com,WD | CMAT,200,548,cmat.westerndigital.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-13T00:00:00Z,2023-05-13T23:59:59Z,CN=cmat.westerndigital.com,cmat.westerndigital.com,cmat.webapi.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,ee92a131c4d9b975cb7a2cd667bbeb98,cbcde4821ee2dd48aee2b30e4bc17ada8be7f5bc46234caede18c35000ce860c,ctls,cmat.westerndigital.com,cloudfront,443,https://cmat.westerndigital.com:443,https,text/html,GET,13.32.27.108,/,-289708236,2600:9000:211e:1800:1f:c865:90c0:93a1,1,False,True,AmazonS3,Amazon Web Services,,,,,,
collateral.bugcrowd.com,,204,,collateral.bugcrowd.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-04T10:49:47Z,2023-07-03T10:49:46Z,CN=collateral.bugcrowd.com,collateral.bugcrowd.com,collateral.bugcrowd.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,daea70708291fbfd325178fa0101ab94,bb425c7e1d85db6d27047c35adfbb17c3e6b44faf63eb9c02ae29e77d608f005,ctls,collateral.bugcrowd.com,,443,https://collateral.bugcrowd.com:443,https,,GET,54.82.94.141,/,-1840324437,52.1.10.65,1,False,,,HSTS,,,,,,
commerce-qa.westerndigital.com,,403,93,commerce-qa.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-28T00:00:00Z,2023-11-28T23:59:59Z,CN=shop.westerndigital.com,shop.westerndigital.com,webhelp.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,736e70f6152eea68da998ffc5d9eac8f,603dee6ffc56078b3dffd01079c93385cba86fb075375eb4f9f86eebb73ab365,ctls,commerce-qa.westerndigital.com,,443,https://commerce-qa.westerndigital.com:443,https,text/html,GET,34.208.84.145,/,-1060002298,54.148.210.29,4,False,,,,,,,,,
commerce-uat.westerndigital.com,,403,93,commerce-uat.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-28T00:00:00Z,2023-11-28T23:59:59Z,CN=shop.westerndigital.com,shop.westerndigital.com,webhelp.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,736e70f6152eea68da998ffc5d9eac8f,603dee6ffc56078b3dffd01079c93385cba86fb075375eb4f9f86eebb73ab365,ctls,commerce-uat.westerndigital.com,,443,https://commerce-uat.westerndigital.com:443,https,text/html,GET,34.208.84.145,/,-1060002298,54.148.210.29,4,False,,,,,,,,,
commerce.westerndigital.com,,403,93,commerce.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-28T00:00:00Z,2023-11-28T23:59:59Z,CN=shop.westerndigital.com,shop.westerndigital.com,webhelp.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,736e70f6152eea68da998ffc5d9eac8f,603dee6ffc56078b3dffd01079c93385cba86fb075375eb4f9f86eebb73ab365,ctls,commerce.westerndigital.com,,443,https://commerce.westerndigital.com:443,https,text/html,GET,54.148.210.29,/,-1060002298,34.208.84.145,4,False,,,,,,,,,
community.wd.com,WD Community,200,340506,community.wd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:12Z,2023-07-31T00:00:11Z,CN=community.wd.com,community.wd.com,community.wd.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1e693527a9f3d0c1e9824cbb5886d1aa,389008ec18e451f694198eebe061262c4c8d4169c6045830bb3f5796e8197185,ctls,community.wd.com,,443,https://community.wd.com:443,https,text/html,GET,184.105.99.75,/,-1840324437,2602:fd3f:3:ff02::4b,931,False,,nginx,Ruby on Rails,,,,https://munchkin.marketo.net,,
d2wy8f7a9ursnm.cloudfront.net,,403,243,d2wy8f7a9ursnm.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,ctls,d2wy8f7a9ursnm.cloudfront.net,cloudfront,443,https://d2wy8f7a9ursnm.cloudfront.net:443,https,application/xml,GET,52.222.206.102,/,-696642557,52.222.206.51,2,False,True,AmazonS3,Amazon Web Services,,True,,,,
datamakespossible.westerndigital.com,Home Page - Western Digital Corporate Blog,200,211396,blog.westerndigital.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-21T04:58:45Z,2023-06-19T04:58:44Z,CN=blog.westerndigital.com,blog.westerndigital.com,blog.westerndigital.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,28a822283d3a1eb0a279fa33b091bc31,24f7bf5189b2a1c15f72c5c97c9703eb547015b84d5cd26ea1f8fff91e33013a,ctls,blog.westerndigital.com,,443,https://datamakespossible.westerndigital.com:443,https,text/html,GET,34.208.84.145,/,,54.148.210.29,795,False,,nginx,WordPress,,,,,https://blog.westerndigital.com/,
