new,host,a,soa,status_code,cdn,cdn-name,cname,ns,mx,txt,aaaa,has_internal_ips,internal_ips,caa
[x],adyen.pnl.test.payments.expedia.com,23.46.124.44,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"pnl.test.payments.expedia.com.edgekey.net, e5136.x.akamaiedge.net",,,,,,,
[x],aegis.expedia.com,"18.165.242.124, 18.165.242.47, 18.165.242.120, 18.165.242.102","ns-761.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-121.awsdns-15.com, ns-1275.awsdns-31.org, ns-1602.awsdns-08.co.uk, ns-761.awsdns-31.net",,,,,,
[x],affiliate-lookup-main-us-west-2.test.epsdecaf.expedia.com,"44.241.85.40, 35.165.207.201","ns-1426.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],affiliate.ebookers.com,83.245.36.204,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,ww1.ebookers.com,,,,,,,
[x],affiliates.expediagroup.com,23.201.248.105,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"affiliates.expediagroup.com.edgekey.net, e7176.x.akamaiedge.net",,,,,,,
[x],affiliates.hotels.com,97.74.158.1,"dns1.p01.nsone.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],affiliates.hotwire.com,"104.18.171.94, 104.18.168.94, 104.18.172.94, 104.18.169.94, 104.18.170.94","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"aff_hotwire.irwhitelabel.com, wlapp-cflare.impact.com, wlapp-cflare.impact.com.cdn.cloudflare.net",,,,,,,
[x],afs.expedia.com,216.251.121.220,"dns1.p01.nsone.net, domains.expediagroup.com",NOERROR,,,afsch.expedia.com,,,,,,,
[x],afsch.expedia.com,216.251.121.220,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],ag.travelocity.com,"184.86.251.80, 184.86.251.86","n0cn.akamaitech.net, hostmaster.akamai.com",NOERROR,,,"ag.travelocity.com.edgesuite.net, a1455.x.akamai.net, a1455.x.akamai.net.0.1.cn.akamaitech.net",,,,,,,
[x],agency-tier-lambdas-us-west-2.test.epsdecaf.expedia.com,"52.32.45.180, 35.162.236.232, 50.112.88.117","ns-1426.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],agent.expedia.com,"13.225.78.7, 13.225.78.68, 13.225.78.95, 13.225.78.84","ns-1374.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-980.awsdns-58.net, ns-165.awsdns-20.com, ns-1934.awsdns-49.co.uk, ns-1374.awsdns-43.org",,,,,,
[x],agent.vap.expedia.com,23.46.125.47,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"agent.vap.expedia.com.edgekey.net, e5369.x.akamaiedge.net",,,,,,,
[x],agent2.expedia.com,"99.84.9.78, 99.84.9.50, 99.84.9.101, 99.84.9.114","ns-544.awsdns-04.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-1422.awsdns-49.org, ns-1614.awsdns-09.co.uk, ns-203.awsdns-25.com, ns-544.awsdns-04.net",,,,,,
[x],airasiaindia-stage.egadvertising.com,0.0.0.0,"fake-for-negative-caching.adguard.com, hostmaster.airasiaindia-stage.egadvertising.com",NOERROR,,,,,,,::,True,0.0.0.0,
[x],ak-static.carrentals.com,"92.123.189.200, 104.81.60.73",,NOERROR,,,"ak-static.carrentals.com.edgesuite.net, a905.b.akamai.net",,,,,,,
[x],ak-static.hotwire.com,"2.16.106.146, 2.16.106.177","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,"ak-static.hotwire.com.edgesuite.net, a1651.r.akamai.net",,,,,,,
[x],ak-static.qa.hotwire.com,"23.50.56.11, 23.50.56.9","n0b.akamai-staging.net, hostmaster.akamai.com",NOERROR,,,"ak-static.qa.hotwire.com.edgesuite-staging.net, a940.b.akamai-staging.net",,,,,,,
[x],akamaisrc.media.expedia.com,216.251.120.102,"pdns1.ultradns.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],albatross.us-east-1.test.epsdecaf.expedia.com,"52.4.73.156, 52.22.36.203","ns-1426.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
