new,host,soa,status_code,a,cname,cdn,cdn-name,ns,txt,mx
[x],apicisbp.eu1.hana.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],appserverhsrp.wufi.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],asadal018ptnwu.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],ash977kgolf1.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],atfox02.staging.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],atl2-4bqagrmycpq.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],au.www.marathon.www-test.tqintra.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],au.www.trials.www-test.tqmobile.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],auctionbot.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.146, 172.64.154.110",,True,cloudflare,,,
[x],auth.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.146, 172.64.154.110",,True,cloudflare,,,
[x],autoconfig.ns2eadformance.com.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],autoconfig.resellers05k.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],axopenvpn.ecard.openvpnmobilebodensee.getkickbox.com.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],babyyugaeb.01.iact.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],baccharis.11301.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,"dns1.itsfogo.com, dns2.itsfogo.com, dns6.itsfogo.com, dns3.itsfogo.com, dns5.itsfogo.com, dns4.itsfogo.com",,
[x],bebqagrmycpq.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],beeketingvl100.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],bestcodyleadformance.com.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],big5.securemassacre.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],bigfmrhv.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],bigj2.mt.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],bin.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],bingo-api.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],bingo.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],blog.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],bonjovi.www-test.tqmobile.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],bqagrmycpq.s-ppccj.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],brewster-gate.filehosting.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,"dns1.itsfogo.com, dns2.itsfogo.com, dns6.itsfogo.com, dns3.itsfogo.com, dns5.itsfogo.com, dns4.itsfogo.com",,
[x],bujishingtv9.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],bunnysugarqagrmycpq.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],buttersaptop-gmiller.health.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],c.arthur.admin.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],c15.iu.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],c17sc.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],c9m.01.chase.com-id.updt.secu-i288sss9999sd9da.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],c9yono.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],cabalph.s108.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],canoaaptop-gmiller.health.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],capybaraws.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],cashback.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cashier-r.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.154.110, 104.18.33.146",,True,cloudflare,,,
[x],casino-api.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.146, 172.64.154.110",,True,cloudflare,,,
[x],cat1-laptop-gmiller.health.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],cdlweb.01.iact.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],cdn-cf.dooob2kh2.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],cdn.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cdn.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],cdn.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],ce-mt.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],chan-1-gu438-mfp-bw.ccbshiggs.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],chcnc11812-0k.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],chefdns2.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],classified-fishingtv9.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],cloudwalk-massacre.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,,"redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],cms.blog.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,"dns1.itsfogo.com, dns2.itsfogo.com, dns6.itsfogo.com, dns3.itsfogo.com, dns5.itsfogo.com, dns4.itsfogo.com",,
[x],cn.www.divine.www-test.tqmobile.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],community.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],como-massacre.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],connekt-api.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.146, 172.64.154.110",,True,cloudflare,,,
[x],cp.pinion-mk.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],cp.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],cpanel-0-6.infos.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cpanel-05.infos.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cpanel-08.infos.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cpanel1-4.infos.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cpanel2-6.infos.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cpanel22.infos.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cpanel25.infos.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cpanel29.infos.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cpanel9-0.infos.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cpanel96.infos.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cpreportsbackup.wqdxa.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],creative.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],creative.www.cdn.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],crm-api.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],crm-v3.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],crweb6537.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,,"redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],csg-est-0116.csg.vl100.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],cx.www-test.tqtelethon.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],d11715795595.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],d214.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],d5sbqagrmycpq.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,,"redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],dacss4116ipmi6.app.com.ppccg.195595.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],dashboard.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],davide-evalbc1.app-corazon.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],dbk-05k.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],dcl4basecamp.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],delivery.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],designersc.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],deteckaammee1.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,"dns1.itsfogo.com, dns2.itsfogo.com, dns6.itsfogo.com, dns3.itsfogo.com, dns5.itsfogo.com, dns4.itsfogo.com",,
[x],dev.build.a0.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,"dns1.itsfogo.com, dns2.itsfogo.com, dns6.itsfogo.com, dns3.itsfogo.com, dns5.itsfogo.com, dns4.itsfogo.com",,
[x],dev.www.jasmin.www-test.tqtelethon.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],dev.www.musicclub.www-test.tqmobile.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
