input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url
customersjenkins-authapiproduction.staging.twist.com,Twist: Organized work communication for flexible teams,200,137211,customersjenkins-authapiproduction.staging.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,customersjenkins-authapiproduction.staging.twist.com,cloudfront,80,http://customersjenkins-authapiproduction.staging.twist.com:80,http,,text/html,GET,18.66.97.114,/,-1840324437,18.66.97.5,webpack,5,False,True,https://customersjenkins-authapiproduction.staging.twist.com/
daire-straites.twist.com,Twist: Organized work communication for flexible teams,200,137015,daire-straites.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,daire-straites.twist.com,cloudfront,443,https://daire-straites.twist.com:443,https,,text/html,GET,13.224.189.25,/,1152129266,13.224.189.119,webpack,5,False,True,
dal09-stg-pimdb-01c.comliveist.twist.com,ERROR: The request could not be satisfied,502,951,dal09-stg-pimdb-01c.comliveist.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,dal09-stg-pimdb-01c.comliveist.twist.com,cloudfront,443,https://dal09-stg-pimdb-01c.comliveist.twist.com:443,https,CloudFront,text/html,GET,13.224.189.25,/,982688730,13.224.189.119,Amazon Web Services,20,False,True,
dbmsweb01.images.twist.com,ERROR: The request could not be satisfied,502,951,dbmsweb01.images.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,dbmsweb01.images.twist.com,cloudfront,443,https://dbmsweb01.images.twist.com:443,https,CloudFront,text/html,GET,13.224.189.6,/,-1434194175,13.224.189.113,Amazon Web Services,20,False,True,
demo.a.twist.com,ERROR: The request could not be satisfied,502,951,demo.a.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,demo.a.twist.com,cloudfront,443,https://demo.a.twist.com:443,https,CloudFront,text/html,GET,13.224.189.25,/,-2005468838,13.224.189.6,Amazon Web Services,20,False,True,
dev-node-i-svn.twist.com,Twist: Organized work communication for flexible teams,200,137015,dev-node-i-svn.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,dev-node-i-svn.twist.com,cloudfront,80,http://dev-node-i-svn.twist.com:80,http,,text/html,GET,13.224.189.113,/,1152129266,13.224.189.6,webpack,5,False,True,https://dev-node-i-svn.twist.com/
developer.twist.com,,200,399,developer.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,developer.twist.com,cloudfront,443,https://developer.twist.com:443,https,AmazonS3,text/html,GET,18.66.147.17,/,-570911146,2600:9000:225e:1c00:1b:322d:1240:93a1,Amazon Web Services,11,False,True,
download-50centin-the-clubmid.twist.com,Twist: Organized work communication for flexible teams,200,137015,download-50centin-the-clubmid.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,download-50centin-the-clubmid.twist.com,cloudfront,443,https://download-50centin-the-clubmid.twist.com:443,https,,text/html,GET,13.224.189.119,/,1152129266,13.224.189.113,webpack,5,False,True,
downloads.twist.com,,403,243,downloads.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,downloads.twist.com,cloudfront,80,http://downloads.twist.com:80,http,AmazonS3,application/xml,GET,18.66.112.58,/,-1659423955,18.66.112.21,Amazon Web Services,2,False,True,https://downloads.twist.com/
elasticbeanstalk-staging.staging.twist.com,Twist: Organized work communication for flexible teams,200,137201,elasticbeanstalk-staging.staging.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,elasticbeanstalk-staging.staging.twist.com,cloudfront,80,http://elasticbeanstalk-staging.staging.twist.com:80,http,,text/html,GET,18.66.97.16,/,-1840324437,18.66.97.5,webpack,5,False,True,https://elasticbeanstalk-staging.staging.twist.com/
