new,host,soa,status_code,cname,a,aaaa,cdn,cdn-name,ns
,id-4899.brockwell.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,id-50331.brockwell.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,id-55177.brockwell.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,id-5678.brockwell.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,id-5776.brockwell.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,id-58309.brockwell.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,id-6179.brockwell.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,id-67702.brockwell.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,id-75401.brockwell.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,id-93271.brockwell.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,id-94232.brockwell.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,irc1.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,prattle1.ec2-us-west-2.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,status.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,
,usercontent-test.irccloud-cdn.com,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
,vpn.ec2-us-west-1.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,vpn.ec2-us-west-2.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,w.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
,wesnautilusernunion.www.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,
