new,host,a,soa,txt,status_code,mx,cname,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,ns
[x],learn.first.org,"34.236.22.110, 3.217.205.239","ns-1460.awsdns-54.org, awsdns-hostmaster.amazon.com",,NOERROR,,firstdotorg.talentlms.com,,,,,,"ns-1460.awsdns-54.org, ns-1876.awsdns-42.co.uk, ns-445.awsdns-55.com, ns-524.awsdns-01.net"
[x],learning.first.org,213.208.154.8,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],media.first.org,213.208.154.14,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,stage.first.org,,,,,,
[x],misp.first.org,213.208.154.3,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],morpheus.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],mx.first.org,213.208.154.7,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,mx.first.org,,,,,,,
[x],mx2.first.org,213.208.154.12,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],nemesis.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],portal-stage.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],proxy-members.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],proxy.first.org,"104.22.50.68, 172.67.36.166, 104.22.51.68","demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,"2606:4700:10::6816:3244, 2606:4700:10::6816:3344, 2606:4700:10::ac43:24a6",True,cloudflare,,,
[x],rt.first.org,213.208.154.13,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],search.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],secure.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],smtp.first.org,213.208.154.6,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],sso.first.org,213.208.154.5,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],sso1.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],stage-api.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,stage-portal.first.org,,,,,,
[x],stage-portal.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],stage.first.org,213.208.154.14,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],store.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],support.first.org,213.208.154.14,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,www.first.org,,,,,,
[x],sympa.first.org,213.208.154.7,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],ticket.first.org,213.208.154.13,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,ticket.first.org,,,,,,,
[x],www.first.org,213.208.154.14,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],www.irc.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],www.nig.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],www.us.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
