new,host,a,aaaa,cname,soa,ns,status_code,cdn,cdn-name,txt,mx,caa,has_internal_ips,internal_ips,ptr
[x],imp.data.cms.gov,"62.115.252.73, 80.239.137.136","2001:2030:21::3e73:fc49, 2001:2030:21::50ef:8988","nonproduction3.cms.gov.edgekey.net, e85184.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
[x],intern.nci.nih.gov,156.40.196.41,,,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,,,,,,
[x],internaltemp.cc.nih.gov,128.231.185.49,,cc49b.cc.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],it.nci.nih.gov,129.43.40.202,2607:f220:41d:4f4d::3ed,ccrweb.cancer.gov,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,,,,,,
[x],jan.cit.nih.gov,165.112.172.15,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],jarvis.cc.nih.gov,137.187.118.183,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],java.nih.gov,156.40.8.113,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],jira.niaid.nih.gov,"34.200.203.167, 34.194.204.72",,jira.bpimb-era.org,"ns-1954.awsdns-52.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],leah.cc.nih.gov,128.231.184.82,,cc82a.cc.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],localhost.cit.nih.gov,127.0.0.1,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,True,127.0.0.1,
[x],localhost.hrsa.gov,127.0.0.1,,loopback.hrsa.gov,"hrsans1.hrsa.gov, hostmaster.hrsa.gov",,NOERROR,,,,,,True,127.0.0.1,
[x],mail.acf.hhs.gov,54.164.20.43,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,mail.acf.hhs.gov,,,,
[x],mail3.npdb.hrsa.gov,52.41.142.37,,,"hrsans1.hrsa.gov, hostmaster.hrsa.gov",,NOERROR,,,,npdb.hrsa.gov.npdb.hrsa.gov,,,,
[x],matrix.cit.nih.gov,128.231.76.128,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,matrix.cit.nih.gov,,,,
[x],meetme.acf.hhs.gov,,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
[x],moose.cc.nih.gov,137.187.120.90,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],niams.cit.nih.gov,156.40.75.170,,webstaging7.cit.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],nova.cit.nih.gov,128.231.76.161,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],ntp4.nih.gov,165.112.4.36,2607:f220:402:101::a570:424,kronos-stl.net.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],oia.nci.nih.gov,156.40.212.96,,,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,,,,,,
[x],olympus.cit.nih.gov,165.112.136.144,,circe.cit.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],ops.cit.nih.gov,165.112.229.25,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],os.hhs.gov,137.187.25.8,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,"MS=ms21157723, v=spf1 a mx ptr -all, SrJHWkQjmrGX/fqHF6w1sPo7JF5wWmQxFdiWAN1dSu8vEiwQbdPP1LY6T+O0+PFLZv8DpjYtospHgDjt91kwZg==","smtp.ees.hhs.gov, smtp2.ees.hhs.gov",,,,
[x],pandora.philab.cdc.gov,96.77.124.174,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
[x],pass.cit.nih.gov,128.231.41.157,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],pathways.nih.gov,156.40.8.163,,genetics.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],pgp.nci.nih.gov,137.187.215.224,,,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,,,,,,
[x],podassist.philab.cdc.gov,12.139.22.56,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
[x],pop.cc.nih.gov,137.187.120.140,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,"mhAh1lsUzP6mNpjwQ2+OQwc8okQY0oBSfTThmTOD2iFBjxrA/A46Vr/T3EhvFKds3JMTceYSZ8k12GuX98FLMg==, v=spf1 include:nih.gov ~all","nihcesxway3.hub.nih.gov, nihcesxway6.hub.nih.gov, nihcesxwayst06.hub.nih.gov, nihcesxwayst05.hub.nih.gov, nihcesxwayst04.hub.nih.gov, nihcesxwayst03.hub.nih.gov, nihcesxway5.hub.nih.gov, nihcesxway4.hub.nih.gov",,,,
[x],predict.philab.cdc.gov,12.139.22.56,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
[x],presto.cit.nih.gov,128.231.200.43,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],prism.cit.nih.gov,128.231.76.234,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],prod-ndms.cit.nih.gov,165.112.126.44,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],prov.acf.hhs.gov,158.74.35.18,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
[x],records.nih.gov,10.157.8.38,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,True,10.157.8.38,
[x],red.cit.nih.gov,192.168.26.221,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,red.cit.nih.gov,,True,192.168.26.221,
[x],reports.cit.nih.gov,156.40.70.211,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,reports.cit.nih.gov,,,,
[x],rr.cc.nih.gov,128.231.195.138,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],sam.west.cms.gov,"3.208.47.157, 3.212.74.253",,sam-east-prod-lb-2069322561.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],sasweb.midas.cms.gov,"10.133.163.211, 10.133.160.148",,midas-prod-web-nlb-sas-viya-elb-9ccdb41a9f12c7b7.elb.us-east-1.amazonaws.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,True,"10.133.163.211, 10.133.160.148",
[x],scs.cit.nih.gov,137.187.111.232,,nihscsnew.cit.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],secure.acf.hhs.gov,107.23.189.218,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
[x],sendgrid.medicare.gov,,,u1982619.wl120.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,v=spf1 ip4:198.21.2.165 -all,mx.sendgrid.net,,,,
[x],sentinel.niaid.nih.gov,156.40.80.160,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],sg.cc.nih.gov,128.231.194.195,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],sghtnidillr.acl.gov,"13.107.253.45, 13.107.226.45","2620:1ec:29:1::45, 2620:1ec:48:1::45","s-pub-fdoor.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.fb-t-msedge.net",,NOERROR,,,,,,,,
[x],shasta.cc.nih.gov,165.112.169.66,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],sl.nci.nih.gov,129.43.254.249,2607:f220:41d:21c1::812b:fef9,sl-sg.ha.nci.nih.gov,"ns1.nci.nih.gov, hostmaster.ns1.nci.nih.gov",,NOERROR,,,,,,,,
[x],stage-api.pdc.backends.cms.gov,"52.73.32.189, 18.210.163.165","2406:da00:ff00::12d2:a3a5, 2406:da00:ff00::3449:20bd",dualstack.mc-81252-558987883.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],surveys.cc.nih.gov,128.231.191.149,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],time.niaid.nih.gov,156.40.80.100,,niaid-dc-rock.niaid.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],trans.cit.nih.gov,156.40.75.252,,webstaging8.cit.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],tsr.nci.nih.gov,129.43.40.201,,symd.nci.nih.gov,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,,,,,,
[x],tss.cc.nih.gov,128.231.190.152,,cc152g.cc.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],uds.cit.nih.gov,128.231.76.117,,alfonso.cit.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],update8.grantsolutions.gov,52.5.126.66,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,,,,
[x],vdi.hhs.gov,158.74.30.46,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
[x],videosoftware.cit.nih.gov,128.231.124.62,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],vs.cc.nih.gov,128.231.46.254,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],webmtgproxy1.cit.nih.gov,128.231.237.68,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],wss.cit.nih.gov,156.40.70.79,,citsharepoint.cit.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,1115publiccomments.medicaid.gov,23.53.62.9,,"medicaidfedramp1115.vanity6.gov1.qualtrics.com, akamaisecure6.qualtrics.com.edgekey.net, e17664.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,340bopais.hrsa.gov,162.99.248.210,2607:f220:41c:400::b40,,"hrsans1.hrsa.gov, hostmaster.hrsa.gov",,NOERROR,,,,,,,,
,340bpricing.hrsa.gov,162.99.248.214,2607:f220:41c:400::b80,,"hrsans1.hrsa.gov, hostmaster.hrsa.gov",,NOERROR,,,,,,,,
,340bpricingsubmissions.hrsa.gov,162.99.248.215,2607:f220:41c:400::b90,,"hrsans1.hrsa.gov, hostmaster.hrsa.gov",,NOERROR,,,,,,,,
,340bregistration.hrsa.gov,162.99.248.211,2607:f220:41c:400::b50,,"hrsans1.hrsa.gov, hostmaster.hrsa.gov",,NOERROR,,,,,,,,
,3d.nih.gov,"52.44.202.187, 34.233.49.55, 18.213.155.17",,wfe-app-3d.threed.niaidprod.net,"ns-1026.awsdns-00.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,3dprintsvc.niaid.nih.gov,165.112.180.198,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,4innovation-dev.west.cms.gov,"99.86.4.73, 99.86.4.11, 99.86.4.21, 99.86.4.104","2600:9000:2057:f800:19:3855:f40:93a1, 2600:9000:2057:bc00:19:3855:f40:93a1, 2600:9000:2057:3000:19:3855:f40:93a1, 2600:9000:2057:d800:19:3855:f40:93a1, 2600:9000:2057:3c00:19:3855:f40:93a1, 2600:9000:2057:ae00:19:3855:f40:93a1, 2600:9000:2057:7600:19:3855:f40:93a1, 2600:9000:2057:dc00:19:3855:f40:93a1",d3eapb2d7hrvb1.cloudfront.net,"ns-1036.awsdns-01.org, awsdns-hostmaster.amazon.com","ns-1036.awsdns-01.org, ns-2032.awsdns-62.co.uk, ns-479.awsdns-59.com, ns-562.awsdns-06.net",NOERROR,True,cloudfront,,,,,,
,4innovation-impl.west.cms.gov,"13.224.245.90, 13.224.245.49, 13.224.245.18, 13.224.245.78","2600:9000:21b3:9c00:16:ffe:aa40:93a1, 2600:9000:21b3:2e00:16:ffe:aa40:93a1, 2600:9000:21b3:8c00:16:ffe:aa40:93a1, 2600:9000:21b3:9000:16:ffe:aa40:93a1, 2600:9000:21b3:8400:16:ffe:aa40:93a1, 2600:9000:21b3:1c00:16:ffe:aa40:93a1, 2600:9000:21b3:2c00:16:ffe:aa40:93a1, 2600:9000:21b3:cc00:16:ffe:aa40:93a1",d2b7to0cga5k9.cloudfront.net,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com","ns-1033.awsdns-01.org, ns-1736.awsdns-25.co.uk, ns-484.awsdns-60.com, ns-774.awsdns-32.net",NOERROR,True,cloudfront,,,,,,
,80-www.ncbi.nlm.nih.gov.mlprox.csmc.edu,192.231.86.107,,,"ns1.csmc.edu, groupeisdnssupport.cshs.org",,NOERROR,,,,,,,,
,_s0.cdc.gov,,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,"v=spf1 ip4:104.47.0.0/17 ip4:52.100.0.0/14 ip4:40.107.0.0/16 ip4:208.90.58.101 ip4:54.240.0.0/18 ip4:198.246.0.0/16 ip4:15.200.33.0/24 ip4:168.245.0.0/17 ip4:208.117.57.153 ip4:67.219.246.194 ip4:54.240.64.0/19 ip4:54.240.96.0/19 ip4:52.82.172.0/22 ip4:21, 6.71.146.157 ip4:68.232.135.234 ip4:68.232.135.235 ip4:128.121.42.0/24 ip4:198.37.144.0/20 ip4:158.72.152.0/24 ip4:158.70.152.0/24 ip4:69.169.224.0/20 include:_s1.cdc.gov -all",,,,,
,a1enr002cm120.hhs.gov,158.74.54.153,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,a1enr003cm120.hhs.gov,158.74.54.154,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,a1enr006cm121.hhs.gov,158.74.54.28,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,a1enr302cm121.hhs.gov,158.74.54.32,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,aasis.omha.hhs.gov,,,nihweb8vmext.cit.nih.gov,,,NOERROR,,,,,,,,
,abcd.nih.gov,34.207.17.72,2600:1f18:418d:5510:6367:926a:884a:3b3a,nda0.nimh.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,acano.niddk.nih.gov,,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,accelerate-integration.hhs.gov,52.45.79.154,,integration.accelerate.hhs.gov,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,accelerate-server.hhs.gov,100.26.113.198,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,accelerate-staging.hhs.gov,3.230.41.112,,staging.accelerate.hhs.gov,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,access.cms.hhs.gov,158.73.247.103,,,"usw2.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,access1.nihdev.cit.nih.gov,128.231.124.210,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,access2success.hhs.gov,54.80.132.82,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,access4.nih.gov,165.112.15.147,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,accessedge.cms.hhs.gov,"158.73.223.85, 158.73.223.84, 158.73.223.83",,,"usw2.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,accessgudid-us-east-1.awsint.nlm.nih.gov,"3.82.85.61, 54.85.217.197",,,"ns-1122.awsdns-12.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,accessgudid-us-west-2.awsprod.nlm.nih.gov,"54.203.164.238, 52.36.232.238",,,"ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com","ns-1125.awsdns-12.org, ns-1890.awsdns-44.co.uk, ns-226.awsdns-28.com, ns-584.awsdns-09.net",NOERROR,,,,,,,,
,accessgudid-us-west-2.awsqa.nlm.nih.gov,"34.216.38.81, 35.162.238.179",,,"ns-272.awsdns-34.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,accessgudid.awsint.nlm.nih.gov,"54.85.217.197, 3.82.85.61",,,"ns-1122.awsdns-12.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,accessgudid.awsprod.nlm.nih.gov,"54.203.164.238, 52.36.232.238",,,"ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,accessgudid.nlm.nih.gov,"3.217.176.226, 3.94.60.161",,accessgudid.awsprod.nlm.nih.gov,"ns-1890.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,accesstemp3.cdc.gov,198.246.125.53,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,account.mymedicare.gov,,"2a02:26f0:3100:795::348, 2a02:26f0:3100:78b::348","iservprod.medicare.gov.edgekey.net, e840.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,ace.niaid.nih.gov,"54.174.106.92, 44.206.26.196",,ace-web.niaidawsprod.net,"ns-279.awsdns-34.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,ace1.cdc.gov,158.111.187.193,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,acf-hhs-gov.zoomgov.com,"160.1.56.158, 160.1.56.156, 160.1.56.157",,www.zoomgov.com,"ns-1233.awsdns-26.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,acl.gov,40.70.188.47,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov","rh202ns2.355.dhhs.gov, rh120ns2.368.dhhs.gov, rh202ns1.355.dhhs.gov, rh120ns1.368.dhhs.gov",NOERROR,True,azure,"MS=ms85463585, google-site-verification=rTatztd3M-I2ydDnqcPS6ZoffubOHOwmjd5IJqVOugA, dhqyqd4dw93t25r53mhz389rxr72n7jm, s8ABJALBKATq4NPGQclheGgohTSuzbB2mULmVNvttODiM2dUTItd+9BQhfnhLL/KdHqSWF0+NpmOv6/lOP9ARw==, aclprdapp03.azurewebsites.net, identrust_validate=hKMlsDsFj+BaSPrb1VBAQkLw2PSf46nkIy6hC0i7tLUc, v=spf1 a mx ptr -all, n1mjps64fxgv52xyr3zzk175440nm7wt","smtp2.ees.hhs.gov, smtp.ees.hhs.gov, acl.gov",,,,
,acl.hhs.gov,158.70.178.10,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,"webexdomainverification.6NPKN=4dfb81df-4719-4199-a9f2-879698305ad0, MS=ms91042722, v=spf1 include:spf.protection.outlook.com include:salsalabs.org a mx ptr -all, 8Mxb/UQHZERFi5bo8Z8wqJ4Ynm6kZPhEMsZTLGyR5xxfcns1Us5/4yrzlgmApJpQ79iiOx/+AWFGEGIKSiUqCg==, miro-verification=b60880ec49fee60800b24ca4bf53e1d58748f255, huddle, ZOOM_verify_AoPcmhV2SvClCjAzYSlfWg","smtp2.ees.hhs.gov, smtp.ees.hhs.gov",,,,
,acoms-impl.cms.gov,"108.138.7.44, 108.138.7.49, 108.138.7.18, 108.138.7.98","2600:9000:2490:5a00:12:5440:fb80:93a1, 2600:9000:2490:8a00:12:5440:fb80:93a1, 2600:9000:2490:ee00:12:5440:fb80:93a1, 2600:9000:2490:1000:12:5440:fb80:93a1, 2600:9000:2490:f200:12:5440:fb80:93a1, 2600:9000:2490:e000:12:5440:fb80:93a1, 2600:9000:2490:1200:12:5440:fb80:93a1, 2600:9000:2490:7600:12:5440:fb80:93a1",d2pfx7hfzg4p2m.cloudfront.net,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com","ns-1485.awsdns-57.org, ns-1602.awsdns-08.co.uk, ns-272.awsdns-34.com, ns-908.awsdns-49.net",NOERROR,True,cloudfront,,,,,,
,acoms-test.cms.gov,"52.84.93.6, 52.84.93.29, 52.84.93.16, 52.84.93.120","2600:9000:2204:7800:8:adfa:7a80:93a1, 2600:9000:2204:2400:8:adfa:7a80:93a1, 2600:9000:2204:a000:8:adfa:7a80:93a1, 2600:9000:2204:5600:8:adfa:7a80:93a1, 2600:9000:2204:7a00:8:adfa:7a80:93a1, 2600:9000:2204:2800:8:adfa:7a80:93a1, 2600:9000:2204:8600:8:adfa:7a80:93a1, 2600:9000:2204:2e00:8:adfa:7a80:93a1",d24ncj9q3hd8mi.cloudfront.net,"ns-1235.awsdns-26.org, awsdns-hostmaster.amazon.com","ns-1235.awsdns-26.org, ns-1554.awsdns-02.co.uk, ns-450.awsdns-56.com, ns-932.awsdns-52.net",NOERROR,True,cloudfront,,,,,,
,acq-map.od.nih.gov,137.187.172.123,2607:f220:41a:431c::89bb:ac7b,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,acronis.cit.nih.gov,156.40.55.243,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,activecho.cit.nih.gov,156.40.55.30,2607:f220:404:1001:156:40:55:30,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,activesync.hhs.gov,158.70.144.148,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,actmeetingserver.hhs.gov,158.70.83.108,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,addictionresearch.nih.gov,54.83.207.167,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,adfs.ams.hhs.gov,158.74.36.101,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,adfs.gslb.hrsa.gov,162.99.248.142,2607:f220:41c:400::a263:f88e,,"162.99.248.111, hrsaoitdishosting.hrsa.hrsa.gov, 162.99.249.111",,NOERROR,,,,,,,,
