new,host,a,soa,status_code,cname,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx,txt,aaaa,caa
[x],awc-kwops-uat.ups.com,153.2.112.240,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,awc-kwops-uat.dmz-gslb.ups.com,,,,,,,,,
[x],awc-kwops-wwuat.ups.com,153.2.112.240,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],awcgr.dmz-gslb.ups.com,153.2.232.126,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,,,,,,,,,,
[x],awcgr.ups.com,153.2.232.126,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,awcgr.dmz-gslb.ups.com,,,,,,,,,
[x],awcm-diad-mah.ups.com,,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],awcm-diad-rruat.ups.com,153.2.181.132,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],awcm-diad-uat.ups.com,153.2.181.132,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com, mah-gslb-adns.dmz-gslb.ups.com",NOERROR,awcm-diad-uat.dmz-gslb.ups.com,,,,,,,,,
[x],awcm-diad-win.ups.com,153.2.183.26,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],awcm-diad-wwuat.ups.com,153.2.183.67,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],awcm-diad.dmz-gslb.ups.com,153.2.183.26,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,,,,,,,,,,
