new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,ns,caa,has_internal_ips,internal_ips,mx
[x],ntp.forescout.com,132.163.96.3,2610:20:6f15:15::26,"time.nist.gov, ntp1.glb.nist.gov","gtmb.nist.gov, hostmaster.gtmg.nist.gov",NOERROR,,,,,,,,
[x],obs-sensors.iris.production.forescoutcloud.net,"104.18.9.121, 104.18.8.121","2606:4700::6812:879, 2606:4700::6812:979",obs-sensors.iris.production.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],obs-sensors.iris.testing.forescoutcloud.net,"104.18.10.16, 104.18.11.16","2606:4700::6812:b10, 2606:4700::6812:a10",obs-sensors.iris.testing.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],prep.hub.forescout.com,,,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],resources.forescout.com,,,"forescouttechnologies.mktoweb.com, sj01.mktossl.com","bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],seg.forescout.com,74.201.95.21,,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],simplythemiddle.iris.production.forescoutcloud.net,"3.234.161.91, 18.233.124.153, 3.219.8.146",,,"ns-1449.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=fs-device-cloud-eks-2a,external-dns/resource=gateway/istio-system/public-gateway-tls-wildcard",,,,,
[x],snapshot-stg.forescout.com,54.224.104.34,,"snapshot-stg.forescout.com.cdn.cloudflare.net, palm-snapshots-stage-443tcp-lb-da94ab82f8040e92.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],sra-emea2.forescout.com,144.178.70.86,,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],sra-na1.forescout.com,74.201.95.6,,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],sra.forescout.com,63.82.108.5,,sra-na2.forescout.com,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],sra2.forescout.com,,,sra-forescout.gpcloudservice.com,"ns-1840.awsdns-38.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,GPaaS-FQDN-for-customer-forescouttechnologiescorporate-1463462709,,,,,
[x],streaming-api.iris.production.forescoutcloud.net,"3.234.161.91, 3.219.8.146, 18.233.124.153",,,"ns-1449.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=fs-device-cloud-eks-2a,external-dns/resource=gateway/istio-system/public-gateway-tls-wildcard",,,,,
[x],streaming-gw.iris.production.forescoutcloud.net,,,,"ns-1449.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=fs-device-cloud-eks-2a,external-dns/resource=service/pulsar/pulsar-proxy",,,,,
[x],streaming.iris.production.forescoutcloud.net,"3.234.161.91, 3.219.8.146, 18.233.124.153",,,"ns-1449.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=fs-device-cloud-eks-2a,external-dns/resource=gateway/istio-system/public-gateway-tls-wildcard",,,,,
[x],support.forescout.com,"141.193.213.21, 141.193.213.20",,2ezn3pn1puu1.wpeproxy.com,"darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],t.forescout.com,"54.243.161.55, 54.221.50.8, 54.166.96.114",,custom-tracking.salesloft.com,"ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"digicert.com, comodoca.com, pki.goog, letsencrypt.org",,,
[x],tac01.forescout.com,166.78.141.232,,tac.forescout.com,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
