new,host,a,soa,status_code,ns,cdn,cdn-name,cname,mx,txt,has_internal_ips,internal_ips,caa,aaaa
[x],legal.coursera.org,"107.21.27.58, 107.23.99.193, 54.160.255.142, 3.95.96.73, 54.173.161.111, 54.159.193.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],m.mail.coursera.org,,"ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,coursera.mx.e.sparkpost.com,"google-site-verification=5JbXI4jcSp6EE0aJJCjNlROyM_EAFVK1_bkSFtab6Yo, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all, google-site-verification=kks1HlB5XU6IetnA4pJkQ6GA9cK5WExGaAh596zpKVE",,,,
[x],mcmaster.coursera.org,"54.159.193.142, 3.95.96.73, 107.23.99.193, 107.21.27.58, 54.160.255.142, 54.173.161.111","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],mta.email.coursera.org,13.111.170.16,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta10.email.coursera.org,13.111.170.25,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta11.email.coursera.org,13.111.170.26,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta14.email.coursera.org,13.111.170.29,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta15.email.coursera.org,13.111.170.30,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta16.email.coursera.org,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta18.email.coursera.org,128.245.65.37,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta19.email.coursera.org,128.245.65.38,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta3.email.coursera.org,13.111.170.18,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta4.email.coursera.org,13.111.170.19,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta5.email.coursera.org,13.111.170.20,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta6.email.coursera.org,13.111.170.21,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta7.email.coursera.org,13.111.170.22,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta8.email.coursera.org,13.111.170.23,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mta9.email.coursera.org,13.111.170.24,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],mv-vpn.corp.coursera.org,50.203.185.198,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mv-vpn.coursera.org,12.247.54.186,"ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
