new,host,a,cname,soa,status_code,cdn,cdn-name,ns,txt,has_internal_ips,internal_ips,aaaa,caa,mx
[x],au.business.trustpilot.com,"65.9.86.29, 65.9.86.72, 65.9.86.46, 65.9.86.42",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],au.trustpilot.com,"18.65.39.4, 18.65.39.116, 18.65.39.70, 18.65.39.22",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],authenticate.b2b.trustpilot.com,"54.171.150.105, 52.19.35.134, 52.209.173.123",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],authenticate.trustpilot.com,"52.50.15.242, 54.76.40.167",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],authentication.trustpilot.com,"151.101.65.195, 151.101.1.195",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,fastly,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],az.trustpilot.com,"3.251.3.114, 54.247.43.212, 34.241.49.29",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],b2b.trustpilot.com,"3.251.3.114, 54.247.43.212, 34.241.49.29",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bd.trustpilot.com,"54.247.43.212, 34.241.49.29, 3.251.3.114",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],be.trustpilot.com,"3.251.3.114, 54.247.43.212, 34.241.49.29",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],blog.trustpilot.com,"34.255.189.154, 54.155.182.242",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],br.business.trustpilot.com,"13.32.99.84, 13.32.99.70, 13.32.99.48, 13.32.99.107",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],br.trustpilot.com,"18.66.248.38, 18.66.248.105, 18.66.248.103, 18.66.248.44",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],brand.trustpilot.com,"18.198.107.83, 35.157.141.16, 18.157.196.6",c-4dd8b4eefebaaf7ebf80f733a3e86975.frontify.com,"ns-1322.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bugs.trustpilot.com,"54.247.43.212, 3.251.3.114, 34.241.49.29",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],builds.trustpilot.com,"52.218.98.114, 52.218.89.42, 52.218.61.202, 52.218.104.57, 52.218.88.66, 52.218.110.154, 52.218.89.250, 52.218.106.1","builds.trustpilot.com.s3.amazonaws.com, s3-3-w.amazonaws.com","ns-1425.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1425.awsdns-50.org, ns-1573.awsdns-04.co.uk, ns-299.awsdns-37.com, ns-687.awsdns-21.net",82935508dfba0250d836ae4891fddd5f,,,,,
[x],business-configurablehttpredirector.trustpilot.com,"34.253.40.207, 54.229.19.80, 34.250.78.131",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],business-preview.trustpilot.com,"18.66.122.115, 18.66.122.122, 18.66.122.81, 18.66.122.107",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],businessapp.b2b.trustpilot.com,"108.138.7.52, 108.138.7.31, 108.138.7.110, 108.138.7.82",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],businessauthentication-app.trustpilot.com,"18.165.242.126, 18.165.242.15, 18.165.242.75, 18.165.242.121",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],businessunitproducts-images.trustpilot.com,"13.32.121.81, 13.32.121.65, 13.32.121.2, 13.32.121.35",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],by.trustpilot.com,"54.247.43.212, 3.251.3.114, 34.241.49.29",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ca.business.trustpilot.com,"13.249.39.117, 13.249.39.20, 13.249.39.87, 13.249.39.127",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],ca.legal.trustpilot.com,"52.18.141.61, 52.214.36.27, 54.220.147.148",httpredirect-legalredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ca.trustpilot.com,"52.222.236.98, 52.222.236.28, 52.222.236.32, 52.222.236.63",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],calendar.trustpilot.com,142.250.184.211,ghs.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,2a00:1450:4001:830::2013,,
[x],ch.trustpilot.com,"99.86.91.71, 99.86.91.67, 99.86.91.69, 99.86.91.74",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],cl.trustpilot.com,,wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cn.business.trustpilot.com,"34.250.78.131, 54.229.19.80, 34.253.40.207",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cn.trustpilot.com,"34.241.49.29, 3.251.3.114, 54.247.43.212",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],com.preview.trustpilot.com,"18.66.122.107, 18.66.122.119, 18.66.122.17, 18.66.122.83",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],compliance.trustpilot.com,"52.48.35.133, 54.194.13.101",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],consumer-assets.trustpilot.com,,,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],consumer-auth.trustpilot.com,54.78.163.82,,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],content.trustpilot.com,"13.225.78.54, 13.225.78.16, 13.225.78.41, 13.225.78.76",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],cost-dashboards.trustpilot.com,"10.13.2.40, 10.13.1.120",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.13.2.40, 10.13.1.120",,,
[x],cost.business-preview.trustpilot.com,"65.9.86.11, 65.9.86.38, 65.9.86.59, 65.9.86.110",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],culture.trustpilot.com,"3.251.3.114, 34.241.49.29, 54.247.43.212",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],de.blog.trustpilot.com,"54.155.182.242, 34.255.189.154",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],de.legal.trustpilot.com,"18.173.233.105, 18.173.233.55, 18.173.233.24, 18.173.233.73",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],de.trustpilot.com,"18.66.248.103, 18.66.248.105, 18.66.248.44, 18.66.248.38",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],design.preview.trustpilot.com,"18.66.122.83, 18.66.122.119, 18.66.122.107, 18.66.122.17",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],developer.trustpilot.com,"34.241.49.29, 54.247.43.212, 3.251.3.114",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],developers.trustpilot.com,"143.204.89.105, 143.204.89.39, 143.204.89.46, 143.204.89.108",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],dk.blog.trustpilot.com,"34.255.189.154, 54.155.182.242",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],dk.business.trustpilot.com,"216.137.44.109, 216.137.44.113, 216.137.44.95, 216.137.44.40",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],dk.legal.trustpilot.com,"13.32.121.107, 13.32.121.75, 13.32.121.96, 13.32.121.21",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],dk.trustpilot.com,"52.222.236.98, 52.222.236.32, 52.222.236.63, 52.222.236.28",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],docs.trustpilot.com,142.250.65.179,ghs.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,2607:f8b0:4006:80e::2013,,
[x],documentation-apidocumentation.trustpilot.com,"18.154.227.84, 18.154.227.25, 18.154.227.23, 18.154.227.33",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],documentation-supportdocumentation.trustpilot.com,"18.66.122.75, 18.66.122.90, 18.66.122.100, 18.66.122.59",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],ecommplugins-pluginrepo.trustpilot.com,"65.9.66.11, 65.9.66.28, 65.9.66.66, 65.9.66.68",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],ecommplugins-scripts.trustpilot.com,"13.227.219.17, 13.227.219.4, 13.227.219.123, 13.227.219.22",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],ecommplugins-trustboxpreview.trustpilot.com,"108.156.60.50, 108.156.60.124, 108.156.60.42, 108.156.60.66",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],ecommscript-integrationapp.trustpilot.com,"13.225.34.123, 13.225.34.127, 13.225.34.95, 13.225.34.58",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],ecommscript-settingsapi.trustpilot.com,,,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],ecommscript-trackingpixel.trustpilot.com,"18.65.39.90, 18.65.39.94, 18.65.39.47, 18.65.39.128",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],eggs.trustpilot.com,,,,NOERROR,,,,,,,,,
[x],email.trustpilot.com,"167.89.123.124, 167.89.118.52, 167.89.118.83, 167.89.123.54",sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"ns12.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns10.dnsmadeeasy.com","v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, mailru-verification: 2e3995fa8a7d00e0, p8bnb2lp424dkl3c4io1aemiei",,,,"godaddy.com, amazonaws.com","mx2.sendgrid.net, mx.sendgrid.net"
[x],emailimages.trustpilot.com,"99.86.4.42, 99.86.4.114, 99.86.4.39, 99.86.4.41",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],emailsignature.trustpilot.com,"13.225.34.126, 13.225.34.37, 13.225.34.7, 13.225.34.26",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],employees-api.trustpilot.com,34.252.31.142,,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],es-us.business.trustpilot.com,"54.229.19.80, 34.250.78.131, 34.253.40.207",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],es-us.legal.trustpilot.com,"52.18.141.61, 54.220.147.148, 52.214.36.27",httpredirect-legalredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],es.business.trustpilot.com,"13.32.99.70, 13.32.99.84, 13.32.99.48, 13.32.99.107",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],es.legal.trustpilot.com,"13.32.121.96, 13.32.121.75, 13.32.121.21, 13.32.121.107",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],facebookpagetab-page.trustpilot.com,"18.66.97.105, 18.66.97.29, 18.66.97.25, 18.66.97.91",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],fi.legal.trustpilot.com,"52.214.36.27, 54.220.147.148, 52.18.141.61",httpredirect-legalredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fi.trustpilot.com,"18.66.248.44, 18.66.248.103, 18.66.248.105, 18.66.248.38",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],finance.trustpilot.com,"54.247.43.212, 3.251.3.114, 34.241.49.29",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],followthewhiterabbit.trustpilot.com,"13.32.121.2, 13.32.121.112, 13.32.121.56, 13.32.121.3",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],fp.trustpilot.com,"15.197.237.80, 3.33.195.10",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fr-be.business.trustpilot.com,"13.32.99.48, 13.32.99.107, 13.32.99.84, 13.32.99.70",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],fr-be.legal.trustpilot.com,"54.220.147.148, 52.214.36.27, 52.18.141.61",httpredirect-legalredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fr-be.trustpilot.com,"52.222.236.63, 52.222.236.28, 52.222.236.98, 52.222.236.32",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],fr-ca.business.trustpilot.com,"34.253.40.207, 34.250.78.131, 54.229.19.80",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fr-ca.legal.trustpilot.com,"52.18.141.61, 54.220.147.148, 52.214.36.27",httpredirect-legalredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fr-ch.business.trustpilot.com,"34.250.78.131, 34.253.40.207, 54.229.19.80",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fr.blog.trustpilot.com,"34.255.189.154, 54.155.182.242",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fr.business.trustpilot.com,"65.9.86.72, 65.9.86.46, 65.9.86.42, 65.9.86.29",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],ge.trustpilot.com,"54.247.43.212, 34.241.49.29, 3.251.3.114",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],go.trustpilot.com,,wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],gr.business.trustpilot.com,"34.253.40.207, 54.229.19.80, 34.250.78.131",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],gr.legal.trustpilot.com,,httpredirect-legalredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],gr.trustpilot.com,"54.247.43.212, 34.241.49.29, 3.251.3.114",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],grafana.trustpilot.com,"10.50.1.24, 10.50.3.155, 10.50.2.96",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.50.1.24, 10.50.3.155, 10.50.2.96",,,
[x],gwintuit.preview.trustpilot.com,"108.157.229.30, 108.157.229.79, 108.157.229.14, 108.157.229.65",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],hk.trustpilot.com,"3.251.3.114, 54.247.43.212, 34.241.49.29",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],home.trustpilot.com,"18.155.129.91, 18.155.129.106, 18.155.129.9, 18.155.129.4",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],hootsuite.trustpilot.com,"143.204.215.87, 143.204.215.112, 143.204.215.75, 143.204.215.83",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],httpredirect-blogredirector.trustpilot.com,"34.255.189.154, 54.155.182.242",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],httpredirect-legalredirector.trustpilot.com,"52.214.36.27, 54.220.147.148, 52.18.141.61",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],hu.trustpilot.com,"3.251.3.114, 34.241.49.29, 54.247.43.212",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1198.awsdns-21.org, ns-1859.awsdns-40.co.uk, ns-507.awsdns-63.com, ns-627.awsdns-14.net",,,,,,
[x],ie.legal.trustpilot.com,"52.18.141.61, 52.214.36.27, 54.220.147.148",httpredirect-legalredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],il.trustpilot.com,"54.247.43.212, 3.251.3.114, 34.241.49.29",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],images-static.trustpilot.com,"108.157.4.46, 108.157.4.69, 108.157.4.91, 108.157.4.95",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],images.trustpilot.com,"52.218.120.233, 52.92.17.249, 52.92.32.57, 52.218.117.49, 52.218.101.114, 52.218.28.242, 52.218.48.249, 52.218.89.218","images.trustpilot.com.s3.amazonaws.com, s3-3-w.amazonaws.com","ns-1425.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1425.awsdns-50.org, ns-1573.awsdns-04.co.uk, ns-299.awsdns-37.com, ns-687.awsdns-21.net",82935508dfba0250d836ae4891fddd5f,,,,,
[x],in.trustpilot.com,"54.247.43.212, 3.251.3.114, 34.241.49.29",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],integrations-facebookpagetab.trustpilot.com,"54.76.153.32, 46.137.50.224",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],intuit.business-preview.trustpilot.com,"18.66.122.107, 18.66.122.81, 18.66.122.115, 18.66.122.122",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],invitations-api.trustpilot.com,34.241.162.156,"trustpilot-prod-eu.apigee.net, trustpilot-07.dn.apigee.net, reu1drt009-0-routers.dn.apigee.net","ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],invitations-replytoemailverification.trustpilot.com,"52.84.93.64, 52.84.93.87, 52.84.93.116, 52.84.93.35",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],invitejs.trustpilot.com,"108.138.17.88, 108.138.17.105, 108.138.17.12, 108.138.17.59",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],ipo.trustpilot.com,"18.160.41.121, 18.160.41.7, 18.160.41.87, 18.160.41.110",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],is.trustpilot.com,"34.241.49.29, 54.247.43.212, 3.251.3.114",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],it.blog.trustpilot.com,"54.155.182.242, 34.255.189.154",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
