new,host,soa,status_code,a,aaaa,cdn,cdn-name,txt,ns,mx,cname
[x],amcb.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],americasqueen.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],amiga.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],amigart.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],amiram.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],amom.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],ampao.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],amparo.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],amposta.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],amrei.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],anatomika.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],andi.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],andres.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],andydp.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],andysaudio.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],anetwork.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],angeldusty.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],angra.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],anime.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],anmcomputers.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],anmpaint.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],annat.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],annexx.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],annkristin.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],annkristins.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],anotec.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],anti-ft.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],anti-jan.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],antivivisektion.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],antu.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],aoe-info.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],aolwar.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],aonc1.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],aosc.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],apereira.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],apero.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],aphex.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],api-public.sandbox.exchange.coinbase.com,,NOERROR,"104.18.12.55, 104.18.13.55",,True,cloudflare,,,,
[x],api-public.sandbox.pro.coinbase.com,"hunts.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.22.3, 104.18.23.3","2606:4700::6812:1703, 2606:4700::6812:1603",True,cloudflare,,,,
[x],api-test.prime.coinbase.com,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.8.45, 104.18.9.45","2606:4700::6812:82d, 2606:4700::6812:92d",True,cloudflare,v=spf1 -all,,,
[x],api.commerce.coinbase.com,,NOERROR,"188.114.99.229, 188.114.98.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",True,cloudflare,,,,
[x],api.custody.coinbase.com,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.27.40, 104.18.26.40","2606:4700::6812:1a28, 2606:4700::6812:1b28",True,cloudflare,v=spf1 -all,,,
[x],api.exchange.coinbase.com,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.2.252, 104.18.29.254","2606:4700::6812:2fc, 2606:4700::6812:1dfe",True,cloudflare,v=spf1 -all,,,
[x],api.sandbox.coinbase.com,"sam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 -all,,,
[x],api.tssbackend.us-east-1.development.cbhq.net,"sam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],api.tssbackend.us-east-1.production.cbhq.net,"sam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],api.tssserversage.us-east-1.development.cbhq.net,"sam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],api.tssserversage.us-east-1.production.cbhq.net,"sam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],api.wallet.coinbase.com,,NOERROR,"104.18.23.210, 104.18.22.210","2606:4700::6812:17d2, 2606:4700::6812:16d2",True,cloudflare,,,,
[x],app.analytics.coinbase.com,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.55, 104.18.30.55","2606:4700::6812:1f37, 2606:4700::6812:1e37",True,cloudflare,,,,
[x],app.commerce.coinbase.com,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.16.189, 104.18.17.189","2606:4700::6812:11bd, 2606:4700::6812:10bd",True,cloudflare,,,,
[x],apukam.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],apw.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],archangelthunderbird.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],archives.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],arclanes.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],areal44.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],arena.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],ari.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],arise.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],armstrong.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],arno.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],artcore.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],artifact-shipper-cfdev.cbhq.net,"sam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],artifact-shipper-cfprod.cbhq.net,"sam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],artifact-shipper-feature-cfprod.cbhq.net,"sam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],artillery.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],artmusic.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],arya.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],asanv.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],asbl-de.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],asim.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],asore.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],ass.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],asseen.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],assets-test.coinbase.com,"sam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.4.43, 104.18.5.43","2606:4700::6812:52b, 2606:4700::6812:42b",True,cloudflare,,,,
[x],assets.coinbase.com,"sam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.5.43, 104.18.4.43","2606:4700::6812:42b, 2606:4700::6812:52b",True,cloudflare,v=spf1 -all,,,
[x],assets.prime.coinbase.com,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.8.45, 104.18.9.45","2606:4700::6812:92d, 2606:4700::6812:82d",True,cloudflare,,,,
[x],asshole.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],astronomyresources.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],atapaz.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],atlantashows.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],atonall.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],atrvarmland.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],atsv.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],au.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],auktion.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],aune.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],austweb.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],av-china.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],avatar.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],avchina.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],avellar.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],avery.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],avg.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],avotek.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],avsguide.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],aw.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],axis-net.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],axischat.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],axy.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],azn.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],aztecard.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],babadi.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],babylon5-chat.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],babylon5.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bad-news-beat.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bad.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bader.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],badlands.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],badpig.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],baldwinhigh.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],banados.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],baneofchaos.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],banly.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],banshee.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],banta.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],baptisthome.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],barbara.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],barely18.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],barninga.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],barrykingston.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],barti.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bartsimpsite.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.19.28, 104.18.18.28","2606:4700::6812:121c, 2606:4700::6812:131c",True,cloudflare,,,,
[x],basile.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],basisschool-velle.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bastardweasel.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bbslist.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bch-indexer.coinbase.com,"sam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.5.43, 104.18.4.43","2606:4700::6812:42b, 2606:4700::6812:52b",True,cloudflare,,,,
[x],beardsell.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],beaumanoir.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],beebop.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],been.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],beetro.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],beggarsfarm.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bene.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],benji.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],benjw.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],benmoss.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],benzoo.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],berg.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bergan.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],beritasumbar.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],beta.coinbase.com,"sam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.4.43, 104.18.5.43","2606:4700::6812:52b, 2606:4700::6812:42b",True,cloudflare,v=spf1 -all,,,
[x],beta.commerce.coinbase.com,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.17.189, 104.18.16.189","2606:4700::6812:10bd, 2606:4700::6812:11bd",True,cloudflare,,,,
[x],bethania.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bewerbung.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],beyajad.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bges.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bh.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bibi.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],biendire.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bierzo.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],bifrost.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],biga.base.org,"beau.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
