input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_mismatched,tls_expired
cepilink.itslearning.com,Page de connexion itslearning,200,16297,cepilink.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,cepilink.itslearning.com,cloudflare,443,https://cepilink.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,217,False,True,https://ircdname.azureedge.net/immersivereadersdk/immersive-reader-sdk.1.2.0.js,,,
cereneeducation.itslearning.com,Page de connexion itslearning,200,17739,cereneeducation.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,cereneeducation.itslearning.com,cloudflare,443,https://cereneeducation.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,229,False,True,https://aselect-s.entree.kennisnet.nl,,,
cerfal.itslearning.com,Page de connexion itslearning,200,15686,cerfal.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,cerfal.itslearning.com,cloudflare,443,https://cerfal.itslearning.com:443,https,cloudflare,text/html,GET,104.18.132.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,209,False,True,https://oembeditslearning.com,,,
cfaecb.itslearning.com,Attention Required! | Cloudflare,403,4516,cfaecb.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,cfaecb.itslearning.com,cloudflare,80,http://cfaecb.itslearning.com:80,http,cloudflare,text/html,GET,104.18.131.68,/,-1212857853,2606:4700::6812:8344,HTTP/3,94,False,True,,https://cfaecb.itslearning.com/,,
cgu.itslearning.com,Aanmeldingspagina van itslearning,200,22012,cgu.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,cgu.itslearning.com,cloudflare,443,https://cgu.itslearning.com:443,https,cloudflare,text/html,GET,104.18.132.68,/,1631801191,2606:4700::6812:8344,Microsoft ASP.NET,271,False,True,themes.googleusercontent.com,,,
chacombe.itslearning.com,Login: Select your site to access itslearning for your school,200,76769,eu1.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,eu1.itslearning.com,cloudflare,80,http://chacombe.itslearning.com:80,http,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,178,False,True,*.googleapis.com,https://eu1.itslearning.com/welcome.aspx,,
chambertin.itslearning.com,Page de connexion itslearning,200,18832,chambertin.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,chambertin.itslearning.com,cloudflare,443,https://chambertin.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8344,Microsoft ASP.NET,249,False,True,*.cloudflare.com,,,
charlespeguyparis11.itslearning.com,Page de connexion itslearning,200,22117,charlespeguyparis11.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,charlespeguyparis11.itslearning.com,cloudflare,443,https://charlespeguyparis11.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,253,False,True,https://players.brightcove.net,,,
che.itslearning.com,Aanmeldingspagina van itslearning,200,14677,che.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,che.itslearning.com,cloudflare,443,https://che.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,193,False,True,themes.googleusercontent.com,,,
chede.itslearning.com,Aanmeldingspagina van itslearning,200,19538,chede.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,chede.itslearning.com,cloudflare,443,https://chede.itslearning.com:443,https,cloudflare,text/html,GET,104.18.132.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,257,False,True,fonts.gstatic.com,,,
chenderit.itslearning.com,Login: Select your site to access itslearning for your school,200,76625,eu1.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,eu1.itslearning.com,cloudflare,80,http://chenderit.itslearning.com:80,http,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,173,False,True,*.skype.com,https://eu1.itslearning.com/welcome.aspx,,
chmx.itslearning.com,Página de inicio de sesión de itslearning,200,15449,chmx.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,chmx.itslearning.com,cloudflare,443,https://chmx.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,203,False,True,*.cloudflare.com,,,
chrlyceumdelft.itslearning.com,Aanmeldingspagina van itslearning,200,19403,chrlyceumdelft.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,chrlyceumdelft.itslearning.com,cloudflare,443,https://chrlyceumdelft.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,233,False,True,*.google-analytics.com,,,
churchfieldsjunior-fronter.itslearning.com,Login: Select your site to access itslearning for your school,200,76769,eu1.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,eu1.itslearning.com,cloudflare,80,http://churchfieldsjunior-fronter.itslearning.com:80,http,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,178,False,True,https://aselect.entree.kennisnet.nl,https://eu1.itslearning.com/welcome.aspx,,
cis.itslearning.com,itslearnings inloggningssida,200,16661,cis.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,cis.itslearning.com,cloudflare,443,https://cis.itslearning.com:443,https,cloudflare,text/html,GET,104.18.132.68,/,1631801191,2606:4700::6812:8344,Microsoft ASP.NET,217,False,True,https://vjs.zencdn.net/vttjs/0.12.5/vtt.global.min.js,,,
citadelcollege.itslearning.com,Aanmeldingspagina van itslearning,200,15234,citadelcollege.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,citadelcollege.itslearning.com,cloudflare,443,https://citadelcollege.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,203,False,True,themes.googleusercontent.com,,,
citedelaformation.itslearning.com,Page de connexion itslearning,200,16286,citedelaformation.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,citedelaformation.itslearning.com,cloudflare,443,https://citedelaformation.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,213,False,True,*.cloudflare.com,,,
clavis.itslearning.com,Loginside for itslearning,200,17328,clavis.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,clavis.itslearning.com,cloudflare,443,https://clavis.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,233,False,True,https://aselect-s.entree.kennisnet.nl,,,
clearcreek.itslearning.com,itslearning sign-in page,200,21216,clearcreek.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,clearcreek.itslearning.com,cloudflare,443,https://clearcreek.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,247,False,True,https://apis.google.com,,,
cll.itslearning.com,itslearnings inloggningssida,200,17261,cll.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,cll.itslearning.com,cloudflare,443,https://cll.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,217,False,True,https://vjs.zencdn.net/vttjs/0.12.4/vtt.global.min.js,,,
clstetherese.itslearning.com,Page de connexion itslearning,200,19246,clstetherese.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,clstetherese.itslearning.com,cloudflare,443,https://clstetherese.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,253,False,True,https://vjs.zencdn.net/vttjs/0.12.4/vtt.global.min.js,,,
clv.itslearning.com,,403,16,clv.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,clv.itslearning.com,cloudflare,443,https://clv.itslearning.com:443,https,cloudflare,text/plain,GET,104.18.131.68,/,1659100526,2606:4700::6812:8344,HTTP/3,1,False,True,,,,
cndemo.itslearning.com,Login: Select your site to access itslearning for your school,200,76769,eu1.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,eu1.itslearning.com,cloudflare,443,https://cndemo.itslearning.com:443,https,cloudflare,text/html,GET,104.18.132.68,/,1631801191,2606:4700::6812:8344,Microsoft ASP.NET,178,False,True,https://www.google.com,https://eu1.itslearning.com/welcome.aspx,,
cnpj.itslearning.com,Login: Select your site to access itslearning for your school,200,76769,eu1.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,eu1.itslearning.com,cloudflare,80,http://cnpj.itslearning.com:80,http,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,178,False,True,https://eu1realtime.itslearning.com,https://eu1.itslearning.com/welcome.aspx,,
colegiocolumbia.itslearning.com,Login: Select your site to access itslearning for your school,200,76769,eu1.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,eu1.itslearning.com,cloudflare,443,https://colegiocolumbia.itslearning.com:443,https,cloudflare,text/html,GET,104.18.132.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,178,False,True,https://oembeditslearning.com,https://eu1.itslearning.com/welcome.aspx,,
colingles.itslearning.com,Origin DNS error | colingles.itslearning.com | Cloudflare,530,6225,colingles.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,colingles.itslearning.com,cloudflare,443,https://colingles.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,-1923178701,2606:4700::6812:8444,Cloudflare,93,False,True,,,,
collagebook.itslearning.com,Login: Select your site to access itslearning for your school,200,76769,eu1.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,eu1.itslearning.com,cloudflare,443,https://collagebook.itslearning.com:443,https,cloudflare,text/html,GET,104.18.132.68,/,1631801191,2606:4700::6812:8344,Microsoft ASP.NET,178,False,True,https://apis.google.com,https://eu1.itslearning.com/welcome.aspx,,
collegeleportalet.itslearning.com,Login: Select your site to access itslearning for your school,200,76769,eu1.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,eu1.itslearning.com,cloudflare,443,https://collegeleportalet.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,178,False,True,https://apis.google.com,https://eu1.itslearning.com/welcome.aspx,,
comenius.itslearning.com,Login: Select your site to access itslearning for your school,200,76769,eu1.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,eu1.itslearning.com,cloudflare,443,https://comenius.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,178,False,True,https://oembeditslearning.com,https://eu1.itslearning.com/welcome.aspx,,
community.itslearning.com,itslearning community - Courses,200,7454,community.itslearning.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.itslearning.com, O=Itslearning AS, ST=Vestland, C=NO",*.itslearning.com,Itslearning AS,itslearning.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c108b00b70682856b5357d31e43d48c6,5fdfe60dc75fb1d9030ce90a916aa294b21b8b32e5447297a60d2a5dce52ff04,True,ctls,community.itslearning.com,,443,https://community.itslearning.com:443,https,Microsoft-IIS/10.0,text/html,GET,52.29.223.14,/,1631801191,18.194.128.35,Windows Server,164,False,,https://*.readspeaker.com,https://community.itslearning.com/courseList.aspx,,
coornhertlyceum.itslearning.com,Login: Select your site to access itslearning for your school,200,76769,eu1.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.itslearning.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab7b2285c7665186531b5e20673c4eab,69a2be8f95922198d0e43d3fbf469e65d0c60ef4016ab514c88e1c009b88049d,True,ctls,eu1.itslearning.com,cloudflare,443,https://coornhertlyceum.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,178,False,True,https://players.brightcove.net,https://eu1.itslearning.com/welcome.aspx,,
