new,host,a,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,txt,ns,aaaa,cname,mx,caa
[x],demo.plaid.com,"13.224.189.36, 13.224.189.82, 13.224.189.9, 13.224.189.61","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],deploy.plaid.com,"10.102.4.10, 10.102.3.123","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.102.4.10, 10.102.3.123",,,,deploy-prod.plaid.com,,
[x],development.plaid.com,"52.70.146.70, 54.210.209.232, 52.70.156.226","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-1.tartan.ue1.plaid.io-public,external-dns/resource=service/cs-team/apiv2-proxy",,,,,
[x],development2.plaid.com,"52.70.156.226, 52.70.146.70, 54.210.209.232","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-1.tartan.ue1.plaid.io-public,external-dns/resource=service/cs-team/apiv2-proxy","ns-1123.awsdns-12.org, ns-1688.awsdns-19.co.uk, ns-309.awsdns-38.com, ns-967.awsdns-56.net",,,,
[x],docs.plaid.com,"52.222.236.40, 52.222.236.76, 52.222.236.3, 52.222.236.84","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],ecr.plaid.com,52.207.2.251,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"245200388354.dkr.ecr.us-east-1.amazonaws.com, nlb2-02fd467801999305.elb.us-east-1.amazonaws.com, nlb6-baa4369a82e908c4.elb.us-east-1.amazonaws.com, nlb4-73aa214b70d13c56.elb.us-east-1.amazonaws.com, nlb5-f809c32018ab4ff1.elb.us-east-1.amazonaws.com",,
[x],em.plaid.com,"104.17.72.206, 104.17.70.206, 104.17.71.206, 104.17.74.206, 104.17.73.206, 199.15.213.1, 199.15.215.252","ns1.marketo.com, ops.localhost",NOERROR,True,cloudflare,,,,"ns2.mktdns.com, ns1.marketo.com",,mkto-sj130114.com,,
[x],file-vault.plaid.com,"52.22.106.170, 54.81.137.150","ns-1114.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,file-vault.plaid.com.ss-domain.com,,
[x],fin.plaid.com,"151.101.3.7, 151.101.67.7, 151.101.131.7, 151.101.195.7","ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,"2a04:4e42::775, 2a04:4e42:200::775, 2a04:4e42:400::775, 2a04:4e42:600::775","adammcbride-2.ghost.io, ghost.map.fastly.net",,"digicert.com, letsencrypt.org, sectigo.com"
[x],github.plaid.com,10.100.1.236,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.100.1.236,,,,,,
[x],go.plaid.com,"104.17.72.206, 104.17.74.206, 104.17.73.206, 104.17.71.206, 104.17.70.206","bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,"plaidtechnologiesinc.mktoweb.com, sj13.mktossl.com",,
[x],groups.plaid.com,142.250.184.243,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,2a00:1450:4001:831::2013,ghs.googlehosted.com,,
[x],hydra1.plaid.com,,,NOERROR,,,,,,,,,,
[x],incoming-events.plaid.com,"34.205.253.66, 3.212.238.215, 54.235.156.93","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-2.prod.ue1.plaid.io-public,external-dns/resource=ingress/infra-team/incoming-events.plaid.com-ingress-nginx",,,,,
[x],interview.plaid.com,"18.165.98.83, 18.165.98.22, 18.165.98.14, 18.165.98.82","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],jenkins.plaid.com,"10.102.4.10, 10.102.3.123","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.102.4.10, 10.102.3.123",,,,"deploy.plaid.com, deploy-prod.plaid.com",,
[x],jira-staging.plaid.com,"3.211.141.109, 34.233.89.84","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],jira.plaid.com,"54.236.138.8, 23.23.81.130","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],longateway.plaid.com,217.20.35.74,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mac1.plaid.com,10.130.60.10,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.130.60.10,,,,,,
[x],mac4.plaid.com,10.130.60.31,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.130.60.31,,,,,,
[x],mac6.plaid.com,10.130.60.16,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.130.60.16,,,,,,
[x],mac8.plaid.com,10.130.60.18,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.130.60.18,,,,,,
[x],mac9.plaid.com,10.130.60.13,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.130.60.13,,,,,,
[x],mail.plaid.com,108.177.14.121,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,2a00:1450:4010:c0f::79,ghs.googlehosted.com,,
[x],metrics.plaid.com,"54.91.48.118, 35.170.18.171, 44.205.187.249","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-security-1.prod.ue1.plaid.io-public,external-dns/resource=service/security-team/skyfall-public-prod-ue1-plaid-com",,,skyfall-public.prod.ue1.plaid.com,,
[x],mkto.plaid.com,"104.16.94.80, 104.16.93.80, 104.16.95.80, 104.16.92.80, 104.16.96.80","bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,"app-sj13.marketo.com, sj13.mktoedge.com",,
[x],my-development.plaid.com,"13.32.121.120, 13.32.121.32, 13.32.121.2, 13.32.121.23","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],my-testing.plaid.com,"18.173.233.11, 18.173.233.102, 18.173.233.83, 18.173.233.52","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],my.plaid.com,"18.173.233.91, 18.173.233.5, 18.173.233.30, 18.173.233.63","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],pl.plaid.com,"10.106.23.62, 10.106.9.251, 10.106.3.14","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.106.23.62, 10.106.9.251, 10.106.3.14",,,,,,
[x],plaid-category-icons.plaid.com,"18.66.97.17, 18.66.97.129, 18.66.97.33, 18.66.97.113","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],plaid-counterparty-logos.plaid.com,"99.86.4.85, 99.86.4.77, 99.86.4.11, 99.86.4.47","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],plaid-merchant-logos.plaid.com,"18.66.97.111, 18.66.97.115, 18.66.97.25, 18.66.97.67","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],plaid.com,"18.67.65.111, 18.67.65.63, 18.67.65.35, 18.67.65.77, 205.251.193.53, 205.251.195.199, 205.251.196.99, 205.251.198.152","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"smartsheet-site-validation=KV7294_yjXO4-gWzh7NPpMbqYoljXPFa, segment-site-verification=AM0J4C8sNChUZqvUjQ9PwjoLlM2TingX, google-site-verification=dy_Lp50jx_qp0jhxCvY9OGcfcu-R1M5XWGEk0fTW8-Y, status-page-domain-verification=1kfm8k56m9sv, atlassian-domain-verification=FVUgWgzGGIoN4yQknNQVVgEvqk3QCrnEGikwfHbgmCX3a3n8hUFawfktszNVcYAT, QuoVadis=fc47f32f-1583-4fa7-92e4-1f0833b1a237, include:stspg-customer.com include:shops.shopify.com include:kiteworks.com include:servers.mcsv.net ~all, docusign=fc75ef1f-a82c-479a-aae7-22b0c7031cdf, drift-domain-verification=5ed5ecd833796ca47bda156caf9088bd0861e91d6b43e3cf85dd819c074a485e, adobe-idp-site-verification=a2076403c50b81fd3d05aff637b0c5bacae36901954f61c21abd27faee50580c, google-site-verification=SG3oC7OBriybr6OdiXAyc1-dUoW1CvK9T4R6p6qZTV0, include:_spf.salesforce.com ~all, mtc=ZTljODRkMmQtNTNhMi00ZmY4LWI2NDYtNmZlZmRkNWEwNWYz, google-site-verification=HE_X815ojMZXYMslsbt5RHDVVm0bWQK6kCo70R_r-FU, wiz-domain-verification=810bd124a25f43cdac5a1add4a63d8186ee06275d9cf1660fffad63a412e7174, heroku-domain-verification=f1vrurr6pcyr6soc1wzhixnpqpj77vwd4zruiwm9kna, v=spf1 include:_spf.google.com include:amazonses.com include:mktomail.com include:mail.zendesk.com include:stspg-customer.com include:_spf.qualtrics.com ~all","ns-967.awsdns-56.net, ns-309.awsdns-38.com, ns-1688.awsdns-19.co.uk, ns-1123.awsdns-12.org","2600:9000:2269:5200:1d:e80d:8080:93a1, 2600:9000:2269:b600:1d:e80d:8080:93a1, 2600:9000:2269:d000:1d:e80d:8080:93a1, 2600:9000:2269:e200:1d:e80d:8080:93a1, 2600:9000:2269:200:1d:e80d:8080:93a1, 2600:9000:2269:7c00:1d:e80d:8080:93a1, 2600:9000:2269:600:1d:e80d:8080:93a1, 2600:9000:2269:6c00:1d:e80d:8080:93a1",,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com, aspmx.l.google.com, aspmx2.googlemail.com",
[x],podcast.plaid.com,,,NOERROR,,,,,,,,,,
[x],production.plaid.com,"54.144.255.14, 54.84.219.106, 54.84.152.165","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-cs-2.prod.ue1.plaid.io-public,external-dns/resource=service/cs-team/apiv2-proxy",,,,,
[x],production2.plaid.com,"54.84.219.106, 54.84.152.165, 54.144.255.14","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-cs-2.prod.ue1.plaid.io-public,external-dns/resource=service/cs-team/apiv2-proxy",,,,,
[x],proto.plaid.com,"65.9.66.57, 65.9.66.103, 65.9.66.44, 65.9.66.114","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,"ns-1123.awsdns-12.org, ns-1688.awsdns-19.co.uk, ns-309.awsdns-38.com, ns-967.awsdns-56.net",,,,
[x],registry.plaid.com,10.100.1.249,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.100.1.249,,,,,,
[x],sales.plaid.com,"54.85.128.104, 18.209.131.43, 18.235.9.115","ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,custom-tracking.salesloft.com,,"comodoca.com, digicert.com, letsencrypt.org, pki.goog"
[x],sandbox-card.plaid.com,"107.20.75.87, 3.215.204.48, 3.215.240.222","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"tntwszy5br8.sandbox.verygoodproxy.com, term-sandbox-catch-all-75dcf19f4a419eec.elb.us-east-1.amazonaws.com",,
[x],sandbox.plaid.com,"3.214.56.177, 54.89.82.85, 34.207.32.3","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-1.sandbox.ue1.plaid.io-public,external-dns/resource=service/cs-team/apiv2-proxy",,,,,
[x],sandbox2.plaid.com,"34.207.32.3, 3.214.56.177, 54.89.82.85","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-1.sandbox.ue1.plaid.io-public,external-dns/resource=service/cs-team/apiv2-proxy",,,,,
[x],secure-testing.plaid.com,"18.244.140.75, 18.244.140.101, 18.244.140.103, 18.244.140.58","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],secure.plaid.com,"13.249.9.33, 13.249.9.96, 13.249.9.126, 13.249.9.109","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],secure0.plaid.com,"3.215.240.222, 3.215.204.48, 107.20.75.87","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"tntwszy5br8.sandbox.verygoodproxy.com, term-sandbox-catch-all-75dcf19f4a419eec.elb.us-east-1.amazonaws.com",,
[x],security.plaid.com,77.83.142.191,,NOERROR,,,,,,,2a09:8280:1:667:634a:5608:6788:3e70,"proxy-ssl.safebase.io, safebase-proxy.fly.dev",,
[x],sfgateway.plaid.com,4.78.253.66,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],skyfall-public.prod.ue1.plaid.com,"54.91.48.118, 35.170.18.171, 44.205.187.249","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-security-1.prod.ue1.plaid.io-public,external-dns/resource=service/security-team/skyfall-public-prod-ue1-plaid-com","ns-1123.awsdns-12.org, ns-1688.awsdns-19.co.uk, ns-309.awsdns-38.com, ns-967.awsdns-56.net",,,,
[x],slcgateway.plaid.com,38.104.174.146,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],static-file-vault.plaid.com,"52.22.106.170, 54.81.137.150","ns-1114.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"static-file-vault.plaid.com.ss-domain.com, file-vault.plaid.com.ss-domain.com",,
[x],status-beta.plaid.com,52.215.192.131,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,t0vb88mn0pxx.stspg-customer.com,,"globalsign.com;, letsencrypt.org"
[x],status.plaid.com,52.215.192.133,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,t0vb88mn0pxx.stspg-customer.com,,"letsencrypt.org, globalsign.com;"
[x],support-my.plaid.com,"104.16.51.111, 104.16.53.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,,"pod=23, v=spf1 include:mail.zendesk.com ~all",,,my-plaid.zendesk.com,mail-pod-23.int.zendesk.com,
[x],support.plaid.com,"104.16.53.111, 104.16.51.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,,"v=spf1 include:mail.zendesk.com ~all, pod=23",,,plaid.zendesk.com,mail-pod-23.int.zendesk.com,
[x],threads.plaid.com,"52.213.47.89, 3.248.123.157","ns-679.awsdns-20.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,elb-2957-threads-plaid-com.swoogo.com,,
[x],www.plaid.com,"52.85.151.13, 52.85.151.55, 52.85.151.25, 52.85.151.113","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],yyzgateway.plaid.com,149.97.156.166,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],zendesk1.plaid.com,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,,v=spf1 include:_netblocks.zdsys.com ~all,,,mail1.zendesk.com,mail.zendesk.com,
[x],zendesk2.plaid.com,"162.159.138.6, 162.159.128.7, 184.72.174.126, 34.235.62.90, 3.213.143.227","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,,v=spf1 include:_netblocks.zdsys.com ~all,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net",,mail2.zendesk.com,mail.zendesk.com,
[x],zendesk3.plaid.com,"162.159.138.6, 162.159.128.7, 184.72.174.126, 34.235.62.90, 3.213.143.227","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,,v=spf1 include:_netblocks.zdsys.com ~all,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net",,mail3.zendesk.com,mail.zendesk.com,
