input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_mismatched,final_url,location
cdn.solvvy.com,,403,111,cdn.solvvy.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-10T00:00:00Z,2024-01-09T23:59:59Z,"CN=cdn.solvvy.com, O=Zoom Video Communications\, Inc., L=San Jose, ST=California, C=US",cdn.solvvy.com,"Zoom Video Communications, Inc.",cdn.solvvy.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,1994af234475104626c3195da7cc78b1,5fb74b4cc055ee4a58e6551dc0ef8e080a4f81ad312cb1598c7f3cb0af28f824,,ctls,cdn.solvvy.com,google,443,https://cdn.solvvy.com:443,https,UploadServer,application/xml,GET,34.98.108.207,/,1274734426,34.98.108.207,HTTP/3,1,False,True,,,,
consumer-portal.prod.ue1.plaid.com,,404,52,consumer-portal.prod.ue1.plaid.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-22T13:39:26Z,2023-07-21T13:39:25Z,CN=*.prod.ue1.plaid.com,*.prod.ue1.plaid.com,,*.prod.ue1.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,aabbb7988585c6baf03d77bbc0398997,457f6febd1680a5efeb33ddd031238de3d1ccd1d14b7f02de496f1b36a84b43b,True,ctls,consumer-portal.prod.ue1.plaid.com,,443,https://consumer-portal.prod.ue1.plaid.com:443,https,,application/json,GET,3.212.238.215,/,-1630264793,54.235.156.93,HSTS,1,False,,,,,
consumer-portal.sandbox.ue1.plaid.com,,404,52,consumer-portal.sandbox.ue1.plaid.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-04T08:12:02Z,2023-08-02T08:12:01Z,CN=*.sandbox.ue1.plaid.com,*.sandbox.ue1.plaid.com,,*.sandbox.ue1.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c0a79bab070fc95d6c7128083fff2f2a,cc0d9f61b1a56a194605833393ec2c259029a6fce923077fc1a29c0c9c8e44e9,True,ctls,consumer-portal.sandbox.ue1.plaid.com,,443,https://consumer-portal.sandbox.ue1.plaid.com:443,https,,application/json,GET,23.23.81.121,/,-1630264793,54.158.81.29,HSTS,1,False,,,,,
consumer-portal.tartan.ue1.plaid.com,,404,52,consumer-portal.tartan.ue1.plaid.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-04T07:50:29Z,2023-08-02T07:50:28Z,CN=*.tartan.ue1.plaid.com,*.tartan.ue1.plaid.com,,*.tartan.ue1.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,74cdf2cc026cef94957ddd03acd11b4e,ac181d8a89a16bfcf1390be7ab83765fd07928f9e81b1c2d864b9546290cd0c4,True,ctls,consumer-portal.tartan.ue1.plaid.com,,443,https://consumer-portal.tartan.ue1.plaid.com:443,https,,application/json,GET,50.16.90.56,/,-1630264793,54.164.173.41,HSTS,1,False,,,,,
dashboard.plaid.com,Plaid - Dashboard,200,2689,dashboard.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-12T23:59:59Z,CN=plaid.com,plaid.com,,my.plaid.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d6be293022d2e29acde190a4d20c1847,e6c537952e709058b5e837639ae5d358094d635f688f6591aa5c6dc6c9c19cec,,ctls,dashboard.plaid.com,cloudfront,443,https://dashboard.plaid.com:443,https,AmazonS3,text/html,GET,13.32.99.52,/,-1280215250,13.32.99.31,HSTS,19,False,True,https://*.twitter.com,,,
demo-backend.plaid.com,Plaid Demo Application,200,7075,demo-backend.plaid.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-22T13:37:48Z,2023-07-21T13:37:47Z,CN=*.plaid.com,*.plaid.com,,*.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,25d059d1a66b03a87ad968ee75ebaf82,a7ce7981b021d3c328cc7923646b5510acd8473a5b009195f018db5cbe1a6612,True,ctls,demo-backend.plaid.com,,443,https://demo-backend.plaid.com:443,https,,text/html,GET,54.235.156.93,/,-425793433,34.205.253.66,Node.js,174,False,,,,,
demo.plaid.com,Plaid Demo | Plaid,200,80055,plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-12T23:59:59Z,CN=plaid.com,plaid.com,,my.plaid.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d6be293022d2e29acde190a4d20c1847,e6c537952e709058b5e837639ae5d358094d635f688f6591aa5c6dc6c9c19cec,,ctls,plaid.com,cloudfront,443,https://demo.plaid.com:443,https,AmazonS3,text/html,GET,13.224.189.36,/,576927501,13.224.189.61,React,1040,False,True,,,https://plaid.com/demo/,
development.plaid.com,,404,278,development.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-16T00:00:00Z,2023-07-17T23:59:59Z,"CN=sandbox.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US, serialNumber=5185168, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",sandbox.plaid.com,Plaid Inc,development2.plaid.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7b252d652e636d0ef93752ef7aca6be5,ba3127aed49b566c7e752b9ae1a825e584f65cc7734361285777201401ec2409,,ctls,development.plaid.com,,443,https://development.plaid.com:443,https,nginx,application/json,GET,52.70.146.70,/,-667022610,52.70.156.226,Nginx,9,False,,,,,
development2.plaid.com,400 No required SSL certificate was sent,400,230,development2.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-16T00:00:00Z,2023-07-17T23:59:59Z,"CN=sandbox.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US, serialNumber=5185168, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",sandbox.plaid.com,Plaid Inc,development2.plaid.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7b252d652e636d0ef93752ef7aca6be5,ba3127aed49b566c7e752b9ae1a825e584f65cc7734361285777201401ec2409,,ctls,development2.plaid.com,,443,https://development2.plaid.com:443,https,nginx,text/html,GET,54.210.209.232,/,272330885,52.70.156.226,Nginx,9,False,,,,,
docs.plaid.com,Home | Plaid Docs,200,108737,plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-12T23:59:59Z,CN=plaid.com,plaid.com,,my.plaid.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d6be293022d2e29acde190a4d20c1847,e6c537952e709058b5e837639ae5d358094d635f688f6591aa5c6dc6c9c19cec,,ctls,plaid.com,cloudfront,443,https://docs.plaid.com:443,https,AmazonS3,text/html,GET,52.222.236.84,/,576927501,52.222.236.40,React,1109,False,True,,,https://plaid.com/docs/,
ecr.plaid.com,,401,15,ecr.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dkr.ecr.us-east-1.amazonaws.com,*.dkr.ecr.us-east-1.amazonaws.com,,*.dkr.ecr.us-east-1.vpce.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d5d5c12f137d30e39738328a053386e,1110748fb5531a042ef9a0cf495b0e43b34dfdfabf808e6d2e1a65ba77d76ed1,True,ctls,ecr.plaid.com,,443,https://ecr.plaid.com:443,https,,text/plain,GET,34.198.77.233,/,-529003908,34.198.77.233,Basic,2,False,,,True,,
file-vault.plaid.com,Plaid,200,31897,file-vault.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-12T23:59:59Z,CN=file-vault.plaid.com,file-vault.plaid.com,,static-file-vault.plaid.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2edaf58b7a5b35ecc2d81181d9817aaf,1cd47fa6f46f52b3f9405709c69b7a6defa4f39ae4d39d2d8665eebdcdf6bc15,,ctls,file-vault.plaid.com,,443,https://file-vault.plaid.com:443,https,null,text/html,GET,52.22.106.170,/,434698730,54.81.137.150,Java,809,False,,https://app-static.sendsafely.com,,https://file-vault.plaid.com:443/auth/,
fin.plaid.com,Fin,200,158026,fin.plaid.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-04T00:00:00Z,2023-08-02T23:59:59Z,CN=fin.plaid.com,fin.plaid.com,,fin.plaid.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,25080288b18caf694b545c3fd211a252,c54e16b459c923cf48ea4955f0e3bf8adc0c4b1e5f202e67077ce0f3359ba9d0,,ctls,fin.plaid.com,fastly,443,https://fin.plaid.com:443,https,openresty,text/html,GET,151.101.3.7,/,2008494000,2a04:4e42:600::775,Varnish,5151,False,True,,,,
go.plaid.com,Enabling all companies to build fintech solutions | Plaid,200,98130,plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-12T23:59:59Z,CN=plaid.com,plaid.com,,my.plaid.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d6be293022d2e29acde190a4d20c1847,e6c537952e709058b5e837639ae5d358094d635f688f6591aa5c6dc6c9c19cec,,ctls,plaid.com,cloudflare,443,https://go.plaid.com:443,https,AmazonS3,text/html,GET,104.17.70.206,/,-1442548738,104.17.71.206,React,1044,False,True,,,https://plaid.com/en-eu/,
groups.plaid.com,Sign in - Google Accounts,200,170945,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,,80,http://groups.plaid.com:80,http,ESF,text/html,GET,142.250.184.243,/,-462592032,2a00:1450:4001:827::2013,HTTP/3,166,False,,,,https://accounts.google.com/v3/signin/identifier?dsh=S-33297864%3A1683921791563210&continue=https%3A%2F%2Fgroups.google.com%2Fmy-groups&followup=https%3A%2F%2Fgroups.google.com%2Fmy-groups&ifkv=Af_xneEvdECawt2Q_oCce0sMtp5a44RxJ1mHDeq8rSMUvPKToUxnkA7NoKZ30kQX9LrtA_JhgKex5g&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin,
https://analytics.plaid.com/sentry/api/596/security/?sentry_key=0601c41a8f8a4253a3a813390e19601f,,405,,analytics.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,analytics.plaid.com,,443,https://analytics.plaid.com:443/sentry/api/596/security/?sentry_key=0601c41a8f8a4253a3a813390e19601f,https,nginx,,GET,54.86.236.88,/sentry/api/596/security/?sentry_key=0601c41a8f8a4253a3a813390e19601f,-1840324437,3.93.214.11,Nginx,1,False,,,,,
incoming-events.plaid.com,,400,20,incoming-events.plaid.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-22T13:37:48Z,2023-07-21T13:37:47Z,CN=*.plaid.com,*.plaid.com,,*.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,25d059d1a66b03a87ad968ee75ebaf82,a7ce7981b021d3c328cc7923646b5510acd8473a5b009195f018db5cbe1a6612,True,ctls,incoming-events.plaid.com,,443,https://incoming-events.plaid.com:443,https,,text/plain,GET,34.205.253.66,/,2134383112,54.235.156.93,HSTS,1,False,,,,,
interview.plaid.com,,403,243,interview.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,interview.plaid.com,cloudfront,443,https://interview.plaid.com:443,https,AmazonS3,application/xml,GET,18.66.122.47,/,2055370195,18.66.122.49,Amazon Web Services,2,False,True,,,,
longateway.plaid.com,,200,170,longateway.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,longateway.plaid.com,,443,https://longateway.plaid.com:443,https,,text/html,GET,217.20.35.74,/,-721644640,217.20.35.74,HSTS,4,False,,,,,
mail.plaid.com,Plaid - Sign In,200,21371,plaid.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,plaid.okta.com,,80,http://mail.plaid.com:80,http,nginx,text/html,GET,142.250.186.83,/,1929509876,2a00:1450:4001:828::2013,Nginx,503,False,,*.tiles.mapbox.com,,https://plaid.okta.com/app/google/exkbkyomoaHQ0HFTE2p7/sso/saml?SAMLRequest=fVLJTsMwEL0j8Q%2BW71kahEBWkyoUISKxRDRw4OY6k9SNYweP08Lfk6ZFgAS9Wc%2FPbxnPdPbeKrIBi9LomE78kBLQwpRS1zF9Lm68SzpLTk%2BmyFvVsbR3K%2F0Ebz2gI8NLjWy8iGlvNTMcJTLNW0DmBFuk93cs8kPWWeOMMIqS7DqmphNNw%2BumhFLzNa9KI8SqXlYtQFN161ZL0QjeGEpevmJFu1gZYg%2BZRse1G6AwOvPCc28SFVHIwjMWXrxSkh%2BcrqTeNzgWa7knIbstitzLHxfFKLCRJdiHgR3T2phagS9Mu7PPOaLcDHDFFQIlKSJYNwScG419C3YBdiMFPD%2FdxXTlXIcsCLbbrf8tE%2FCgU1yW%2B7NAmoyDZWM3%2B2Oix5PzL2ea%2FK09DX7IJofP23XKrnOjpPggqVJmO7fA3VDI2X7oc2Nsy93%2FzhN%2FMiKy9KqRynqNHQhZSSgpCZK96%2B8tGXbnEw%3D%3D&RelayState=https%3A%2F%2Fwww.google.com%2Fa%2Fplaid.com%2FServiceLogin%3Fservice%3Dmail%26passive%3Dtrue%26continue%3Dhttps%253A%252F%252Fmail.google.com%252Fmail%252F%26ss%3D1%26ltmpl%3Decobhgm%26nui%3D5%26btmpl%3Dmobile%26emr%3D1%26osid%3D1,
metrics.plaid.com,,200,,metrics.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T02:00:28Z,2023-06-04T02:00:27Z,CN=metrics.plaid.com,metrics.plaid.com,,metrics.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,44e636590f976ef49ac91bc82a2d07fb,dbeb3100d757a8ed63ace10ed4e43937c39d411d3becd7d19976f7b955e0372c,,ctls,metrics.plaid.com,,443,https://metrics.plaid.com:443,https,,,GET,54.91.48.118,/,-1840324437,35.170.18.171,,1,False,,,,,
mkto.plaid.com,,409,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://mkto.plaid.com:80,http,cloudflare,text/plain,GET,104.16.94.80,/,1000520165,104.16.93.80,Cloudflare,1,False,True,,,,
