new,host,soa,status_code,a,ns,txt,cname,has_internal_ips,internal_ips,aaaa,cdn,cdn-name,mx,caa
[x],canakokeyplus-1.cdn.zynga.com,"ns-520.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,"52.222.139.53, 52.222.139.106, 52.222.139.6, 52.222.139.60","ns-520.awsdns-01.net, ns-1283.awsdns-32.org, ns-1586.awsdns-06.co.uk, ns-338.awsdns-42.com",,d1eleokycfbtd9.cloudfront.net,,,"2600:9000:2204:3400:b:996a:1b40:93a1, 2600:9000:2204:9600:b:996a:1b40:93a1, 2600:9000:2204:f200:b:996a:1b40:93a1, 2600:9000:2204:cc00:b:996a:1b40:93a1, 2600:9000:2204:5e00:b:996a:1b40:93a1, 2600:9000:2204:9200:b:996a:1b40:93a1, 2600:9000:2204:f600:b:996a:1b40:93a1, 2600:9000:2204:4e00:b:996a:1b40:93a1",True,cloudfront,,
[x],canakokeyplus-2.cdn.zynga.com,"ns-520.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,"52.222.139.53, 52.222.139.60, 52.222.139.6, 52.222.139.106","ns-338.awsdns-42.com, ns-520.awsdns-01.net, ns-1283.awsdns-32.org, ns-1586.awsdns-06.co.uk",,d1eleokycfbtd9.cloudfront.net,,,"2600:9000:2204:2600:b:996a:1b40:93a1, 2600:9000:2204:ac00:b:996a:1b40:93a1, 2600:9000:2204:6800:b:996a:1b40:93a1, 2600:9000:2204:8800:b:996a:1b40:93a1, 2600:9000:2204:4400:b:996a:1b40:93a1, 2600:9000:2204:1000:b:996a:1b40:93a1, 2600:9000:2204:1200:b:996a:1b40:93a1, 2600:9000:2204:e600:b:996a:1b40:93a1",True,cloudfront,,
[x],canakokeyplus-3.cdn.zynga.com,"ns-520.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,"52.222.236.116, 52.222.236.71, 52.222.236.66, 52.222.236.127","ns-1283.awsdns-32.org, ns-1586.awsdns-06.co.uk, ns-338.awsdns-42.com, ns-520.awsdns-01.net",,d1eleokycfbtd9.cloudfront.net,,,"2600:9000:223e:6000:b:996a:1b40:93a1, 2600:9000:223e:6600:b:996a:1b40:93a1, 2600:9000:223e:b000:b:996a:1b40:93a1, 2600:9000:223e:5e00:b:996a:1b40:93a1, 2600:9000:223e:5a00:b:996a:1b40:93a1, 2600:9000:223e:b800:b:996a:1b40:93a1, 2600:9000:223e:e00:b:996a:1b40:93a1, 2600:9000:223e:7e00:b:996a:1b40:93a1",True,cloudfront,,
[x],canakokeyplus-dev.svctr.zynga.com,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,"18.197.85.3, 18.192.255.207, 18.158.151.222",,,,,,,,,,
[x],canakokeyplus.cdn.zynga.com,"ns-520.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,"143.204.68.13, 143.204.68.106, 143.204.68.4, 143.204.68.5","ns-338.awsdns-42.com, ns-520.awsdns-01.net, ns-1586.awsdns-06.co.uk, ns-1283.awsdns-32.org",,d1eleokycfbtd9.cloudfront.net,,,"2600:9000:2450:7800:b:996a:1b40:93a1, 2600:9000:2450:6600:b:996a:1b40:93a1, 2600:9000:2450:8800:b:996a:1b40:93a1, 2600:9000:2450:8200:b:996a:1b40:93a1, 2600:9000:2450:5200:b:996a:1b40:93a1, 2600:9000:2450:400:b:996a:1b40:93a1, 2600:9000:2450:8e00:b:996a:1b40:93a1, 2600:9000:2450:1200:b:996a:1b40:93a1",True,cloudfront,,
[x],canakokeyplus.zynga.com,"ns-1505.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,"18.198.53.236, 18.185.43.142, 52.58.80.226","ns-459.awsdns-57.com, ns-605.awsdns-11.net, ns-1505.awsdns-60.org, ns-1984.awsdns-56.co.uk",,,,,,,,,"amazon.com, digicert.com"
[x],cas-ap.corp.zynga.com,,NOERROR,,,,,,,,,,,
[x],casino.zynga.com,"pdns1.ultradns.net, cloudeng.zynga.com",NOERROR,,,,,,,,,,,
[x],cdn.draftsman.staging.dst2.zynga.com,"ns-1068.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,"18.154.63.92, 18.154.63.120, 18.154.63.21, 18.154.63.69","ns-1648.awsdns-14.co.uk, ns-318.awsdns-39.com, ns-817.awsdns-38.net, ns-1068.awsdns-05.org",,d1676atd0p5t6.cloudfront.net,,,"2600:9000:243d:b800:8:9863:6a80:93a1, 2600:9000:243d:5c00:8:9863:6a80:93a1, 2600:9000:243d:1e00:8:9863:6a80:93a1, 2600:9000:243d:5800:8:9863:6a80:93a1, 2600:9000:243d:6800:8:9863:6a80:93a1, 2600:9000:243d:7600:8:9863:6a80:93a1, 2600:9000:243d:ce00:8:9863:6a80:93a1, 2600:9000:243d:9800:8:9863:6a80:93a1",True,cloudfront,,
[x],cdn.gotm.zynga.com,"ns-1568.awsdns-04.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"108.157.4.29, 108.157.4.122, 108.157.4.90, 108.157.4.24","ns-552.awsdns-05.net, ns-1059.awsdns-04.org, ns-1568.awsdns-04.co.uk, ns-4.awsdns-00.com",,dxb81hdkjl2t7.cloudfront.net,,,"2600:9000:2315:3000:13:f475:1ec0:93a1, 2600:9000:2315:e200:13:f475:1ec0:93a1, 2600:9000:2315:1600:13:f475:1ec0:93a1, 2600:9000:2315:1800:13:f475:1ec0:93a1, 2600:9000:2315:6400:13:f475:1ec0:93a1, 2600:9000:2315:f000:13:f475:1ec0:93a1, 2600:9000:2315:a400:13:f475:1ec0:93a1, 2600:9000:2315:2600:13:f475:1ec0:93a1",True,cloudfront,,
[x],cdn.zynga.com,"pdns1.ultradns.net, cloudeng.zynga.com",NOERROR,,,,,,,,,,,
