input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,tls_mismatched,final_url,tls_expired,csp_domains_
api.dev01.development.metadata.csr2.zynga.com,503 Service Temporarily Unavailable,503,162,api.dev01.development.metadata.csr2.zynga.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-08-20T23:59:59Z,CN=api.dev01.development.metadata.csr2.zynga.com,api.dev01.development.metadata.csr2.zynga.com,blue.api.dev01.development.metadata.csr2.zynga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1828306f24314cd9c9c95b7ef75ee967,2453c6b852917dd4b8652331031f3db7b6c2bcc5a13ebd8f792dd848c844059e,ctls,api.dev01.development.metadata.csr2.zynga.com,,443,https://api.dev01.development.metadata.csr2.zynga.com:443,https,awselb/2.0,text/html,GET,52.36.70.167,/,1862162275,54.71.170.25,,7,False,,,,,,,
api.zynga.com,,200,,,,,,,,,,,,,,,,,,,,80,http://api.zynga.com:80,http,,,GET,34.213.21.22,/,-845834622,54.218.212.249,HSTS,1,False,,,,,,,
apkpatch.api.zynga.com,,200,,apkpatch.api.zynga.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2023-09-19T23:59:59Z,CN=*.api.zynga.com,*.api.zynga.com,csproxy.zynga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2b2c977971c53b4894bf874e8117a4ae,495a62a9d9939699237e845ccd5d588367bf1125c2f63b1d56ef23f3bb70a5b5,ctls,apkpatch.api.zynga.com,,443,https://apkpatch.api.zynga.com:443,https,,,GET,52.42.78.225,/,-845834622,54.218.212.249,HSTS,1,False,,True,,,,,
app.pendo.io,pendo.io,200,3122,app.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T23:31:07Z,2023-07-19T00:21:59Z,CN=pendo.io,pendo.io,*.pendo.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,e04a48c3138127ae538ea9f0a36c2229,e9bc1f48c632c79288d25aa968322ab77e40c6a21378249e2cb0b21e73078039,ctls,app.pendo.io,google,443,https://app.pendo.io:443,https,Google Frontend,text/html,GET,34.107.204.85,/,406012577,34.107.204.85,HTTP/3,1,False,True,True,,,,,
autodiscover.zynga.com,Zynga Inc. - Sign In,200,19703,zynga.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,zynga.okta.com,,80,http://autodiscover.zynga.com:80,http,nginx,text/html,GET,40.101.121.8,/,-1249852061,2603:1026:c0d:c31::8,Nginx,490,False,,True,"Okta, Inc.",,https://zynga.okta.com/login/login.htm?fromURI=%2Fapp%2Foffice365%2Fexk1lkf2jjeyspPHR5d7%2Fsso%2Fwsfed%2Fpassive%3Fclient-request-id%3Daeb3d8ea-5584-a672-0053-e506ec7092ba%26username%3D%26wa%3Dwsignin1.0%26wtrealm%3Durn%253afederation%253aMicrosoftOnline%26wctx%3Destsredirect%253d2%2526estsrequest%253drQQIARAAjZE9SBtxGMbz9-JprK3i5FiOTtLLfV9yAYfEi4k256WJd8m1SDjvIzlzl3-8O88YcevQoYN0KTg6dJDSQgulOhUKhTo5dChOXQpiK5ROjk3o0tFneHjgfV9e-D1zCJWkMvfIf6LxoeOkbVO4YQ3Tf_JnJqYvv717_UTxX8aqP9Bf3ecnByDR3-k09aQBvSOAtcKwG2QIAm6FLoTtJLRtx7AYnhvOCbitEx8AOAPgAoCjkRTPpCmBpTgmzdIMyTOkkEwLtG0auoBTNL2Os6Rt4oMNHjd1i02bBi8MDs5HpuTsVtiihwZ9p2_9GUnY0PcaXRiEB8gzIGpRSYRSM58VczaMLGWRqwqeyJfUoLb6SNp0VGW9UfcZqSjrbeXBUo6SeopfzkupFtxejqxKDTfFNicW0gXZzS0oga2HUY5bNip5RbP1itLMWsslgVIbKS0ydYlhPLbv1RdWujVOrm1k7WpE4rq6w5WVwhFyI7hvEXSAyIOdUwSFXavjmGdx8D0OLuOT5GhmfHxiemp27G7sOg4ORwc9VF99-lJ8cyy-WBtbc37Oxk5HiZ36atle0SClpfjqolfxWkxH1tqu03tYrZWZ9UJxKegROVqDS_NshtpHwT6KnqCJcWQ6hiELZeoCBb9R8HQsdpK4QZFnt8D5JDuBGq7ueMHM3C7mmI0Qtq0OltnFel7QMIxhinR3ywqwzGNs8AJb29vb-3g7dn3n8P3h1fHnr1fFy6n7eXfDXqFdr8J01QFmQnYlOehJZJhSVNX1m_2oxLJtejMyyfm_0,,*.mixpanel.com
bdc-staging.cdn.zynga.com,,200,162,bdc-staging.cdn.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=bdc-staging.cdn.zynga.com,bdc-staging.cdn.zynga.com,bdc-stage.cdn.zynga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4411315c97ba2b28d8ba65ba8cbf31a7,61767214b374afcae50b5b02650f90785cc836b6efe638dc2d226f1cad0072f1,ctls,bdc-staging.cdn.zynga.com,cloudfront,443,https://bdc-staging.cdn.zynga.com:443,https,AmazonS3,text/html,GET,65.9.66.123,/,-194792543,2600:9000:206f:e800:1c:3c35:eac0:93a1,Amazon Web Services,6,False,True,,,,,,
bdc.cdn.zynga.com,,200,162,bdc.cdn.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-05-12T23:59:59Z,CN=bdc.cdn.zynga.com,bdc.cdn.zynga.com,bdc-cdn.risingtidegames.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,99b0a7a7ae1b28dd39961df218710543,1e5bd83c20abb22758647e17b3b0565a9fff9f8c5d8b5f45222e7fdd87a6f9ff,ctls,bdc.cdn.zynga.com,cloudfront,443,https://bdc.cdn.zynga.com:443,https,AmazonS3,text/html,GET,108.139.243.116,/,1396614465,2600:9000:236e:b800:17:cd5e:3380:93a1,Amazon Web Services,6,False,True,,,,,,
beta.support.zynga.com,Zynga Support - Zynga,200,206331,www.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-12-01T23:59:59Z,CN=zynga.com,zynga.com,*.support.zynga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,66c6428afedea91d7fd4f9759c107cd9,9a8d9b3be8b96960b3ae69317a3f57fad5245dbb2093a964acaa9bf5e72c6e4b,ctls,www.zynga.com,cloudfront,443,https://beta.support.zynga.com:443,https,CloudFront,text/html,GET,13.32.99.33,/,1494302000,13.32.99.91,Yoast SEO:19.6.1,2036,False,True,True,,,https://www.zynga.com/support/,,
bidwhistplus.zynga.com,BidWhistPlus,200,829,bidwhistplus.zynga.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-06T00:00:00Z,2023-07-07T23:59:59Z,"CN=*.zynga.com, O=Zynga\, Inc., L=San Francisco, ST=California, C=US",*.zynga.com,use1.zynga.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,bb39164d9f6395f3ce2a4c7018299af7,de9a5095ffaf3c51484322cea88a74c76be0bf11ea9596f72fa626a7e1272ce5,ctls,bidwhistplus.zynga.com,,443,https://bidwhistplus.zynga.com:443,https,nginx/1.22.1,text/html,GET,54.209.13.247,/,-316808644,34.205.228.237,PHP:7.1.33,36,False,,True,"Zynga, Inc.",,,,
blobs-zy2.farm2.zynga.com,,200,,blobs-zy2.farm2.zynga.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-02-04T23:59:59Z,CN=*.farm2.zynga.com,*.farm2.zynga.com,farm2.zynga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,dee792aeae20e09854ad2ab9d5be84d9,c64851fbcd324dd37c955d6c9f25fc720d677e0f18ac21478eb7829217cba3c6,ctls,blobs-zy2.farm2.zynga.com,,443,https://blobs-zy2.farm2.zynga.com:443,https,Apache/2.2.3 (CentOS),text/html,GET,54.149.129.240,/,1132220827,52.38.157.3,CentOS,1,False,,True,,,,,
blue.api.dev01.development.metadata.csr2.zynga.com,503 Service Temporarily Unavailable,503,564,blue.api.dev01.development.metadata.csr2.zynga.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-08-20T23:59:59Z,CN=api.dev01.development.metadata.csr2.zynga.com,api.dev01.development.metadata.csr2.zynga.com,blue.api.dev01.development.metadata.csr2.zynga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1828306f24314cd9c9c95b7ef75ee967,2453c6b852917dd4b8652331031f3db7b6c2bcc5a13ebd8f792dd848c844059e,ctls,blue.api.dev01.development.metadata.csr2.zynga.com,,80,http://blue.api.dev01.development.metadata.csr2.zynga.com:80,http,awselb/2.0,text/html,GET,52.33.98.195,/,2051366281,54.149.17.72,,13,False,,,,,https://blue.api.dev01.development.metadata.csr2.zynga.com:443/,,
bwf-assets.cdn.zynga.com,,403,243,bwf-assets.cdn.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-11-18T23:59:59Z,CN=bwf-assets.cdn.zynga.com,bwf-assets.cdn.zynga.com,*.bwf-assets.cdn.zynga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c3e955ab4f4f4f016655c9a3fd096b84,4cebe4e4c95c2a6fe51d72ddeeb03cf3cc6cae82dd423679f2d8412e69dfc05d,ctls,bwf-assets.cdn.zynga.com,cloudfront,80,http://bwf-assets.cdn.zynga.com:80,http,AmazonS3,application/xml,GET,52.222.236.111,/,-793936900,2600:9000:2260:aa00:e:6d82:83c0:93a1,Amazon Web Services,2,False,True,True,,,https://bwf-assets.cdn.zynga.com/,,
canakokeyplus-1.cdn.zynga.com,,403,243,canakokeyplus-1.cdn.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-07T00:00:00Z,2024-05-05T23:59:59Z,CN=canakokeyplus.cdn.zynga.com,canakokeyplus.cdn.zynga.com,canakokeyplus-3.cdn.zynga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,266b5a3f9b8e3f7202c84d7e7c76b602,125443f7db6d717e8abe6bbe75e63ea58c9b0fd8916984aae0256e281336c7e2,ctls,canakokeyplus-1.cdn.zynga.com,cloudfront,443,https://canakokeyplus-1.cdn.zynga.com:443,https,AmazonS3,application/xml,GET,52.222.236.66,/,123850324,2600:9000:223e:3800:b:996a:1b40:93a1,Amazon Web Services,2,False,True,,,,,,
canakokeyplus.cdn.zynga.com,,403,243,canakokeyplus.cdn.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-07T00:00:00Z,2024-05-05T23:59:59Z,CN=canakokeyplus.cdn.zynga.com,canakokeyplus.cdn.zynga.com,canakokeyplus-3.cdn.zynga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,266b5a3f9b8e3f7202c84d7e7c76b602,125443f7db6d717e8abe6bbe75e63ea58c9b0fd8916984aae0256e281336c7e2,ctls,canakokeyplus.cdn.zynga.com,cloudfront,443,https://canakokeyplus.cdn.zynga.com:443,https,AmazonS3,application/xml,GET,52.222.236.66,/,-1554705016,2600:9000:223e:6600:b:996a:1b40:93a1,Amazon Web Services,2,False,True,,,,,,
canakokeyplus.zynga.com,Log into Facebook,200,67553,www.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-17T00:00:00Z,2023-05-18T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,3c2c8a6c470a5231301a213ff74a84da,a459617ac949780aa701c3c8e16828989488edf86e810833536aed009d1a1b9e,ctls,www.facebook.com,,443,https://canakokeyplus.zynga.com:443,https,,text/html,GET,18.198.53.236,/,1998482123,18.185.43.142,HTTP/3,33,False,,True,"Meta Platforms, Inc.",,https://www.facebook.com/login/?next=https%3A%2F%2Fapps.facebook.com%3A443%2Fcanakokeyplus,,
cdn.draftsman.staging.dst2.zynga.com,ERROR: The request could not be satisfied,502,507,cdn.draftsman.staging.dst2.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-23T23:59:59Z,CN=cdn.draftsman.dst2.zynga.com,cdn.draftsman.dst2.zynga.com,cdn.draftsman.staging.dst2.zynga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5f26bfc4fe6f7ae76be5bec3a5c73ab2,c0cc93804d22eea655fb026899765e2089ab81d805965ad734a5c2e87d4cf2de,ctls,cdn.draftsman.staging.dst2.zynga.com,cloudfront,443,https://cdn.draftsman.staging.dst2.zynga.com:443,https,CloudFront,text/html,GET,52.222.214.27,/,2090422345,2600:9000:223d:ec00:8:9863:6a80:93a1,Amazon Web Services,16,False,True,,,,,,
cdn.gotm.zynga.com,,403,243,cdn.gotm.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-05-28T23:59:59Z,CN=gotm.zynga.com,gotm.zynga.com,cdn.gotm.zynga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,03d61458c6f68553168530f0ccc88723,6b5b9650e01a9f88c902f900444883572ae0d1929bdf37b0aee79f37d7d71402,ctls,cdn.gotm.zynga.com,cloudfront,443,https://cdn.gotm.zynga.com:443,https,AmazonS3,application/xml,GET,108.138.17.77,/,-614486882,2600:9000:225a:9200:13:f475:1ec0:93a1,Amazon Web Services,2,False,True,,,,,,
cdn.pendo.io,,403,300,cdn.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2023-08-28T23:59:59Z,CN=cdn.pendo.io,cdn.pendo.io,cdn.pendo.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6aeb08edf1d8d2fe98a2996959cc28d7,8ca58b5b1f832ea9af924b02ba686e54db2e86d409e1f32ecc6fa2866740add4,ctls,cdn.pendo.io,cloudfront,443,https://cdn.pendo.io:443,https,UploadServer,application/xml,GET,18.66.112.44,/,501560377,2600:9000:223f:e000:1f:aa31:7740:93a1,Amazon Web Services,1,False,True,,,,,,
cf-csr2.cdn.zynga.com,,403,243,cf-csr2.cdn.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-11T00:00:00Z,2024-04-08T23:59:59Z,CN=csr2.cdn.zynga.com,csr2.cdn.zynga.com,cf-csr2.cdn.zynga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,58079c5c317b3dcccf4e242289b9e0b2,207231f5d41f22d97395d40a6b00ede37bddb2160aae0499fca1c3dced9eabba,ctls,cf-csr2.cdn.zynga.com,cloudfront,443,https://cf-csr2.cdn.zynga.com:443,https,AmazonS3,application/xml,GET,143.204.89.72,/,-2143843465,2600:9000:2156:3600:3:c71c:4340:93a1,Amazon Web Services,2,False,True,,,,,,
cf-spadesplus.cdn.zynga.com,,200,79,cf-spadesplus.cdn.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-11-29T23:59:59Z,CN=spadesplus.cdn.zynga.com,spadesplus.cdn.zynga.com,cf-spadesplus.cdn.zynga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a0c855810aff729e560181696e42c55,184e8084d3b083c2ab218514b87ba386868980613e30ca4ac873d484c60b2043,ctls,cf-spadesplus.cdn.zynga.com,cloudfront,443,https://cf-spadesplus.cdn.zynga.com:443,https,nginx,text/html,GET,18.66.147.119,/,1494302000,2600:9000:225e:ce00:1d:d9af:4c80:93a1,PHP:7.4.27,1,False,True,,,,,,
cf-tropicthunder.cdn.zynga.com,,403,243,cf-tropicthunder.cdn.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-11-16T23:59:59Z,CN=tropicthunder.cdn.zynga.com,tropicthunder.cdn.zynga.com,tropicthunder1.cdn.zynga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b9599ff04da7e86b27d1969c66ec6128,27a49341024f08f84fd6d68cdc87bebb19b8b1f8472b8999f4a91217c4e3b11b,ctls,cf-tropicthunder.cdn.zynga.com,cloudfront,443,https://cf-tropicthunder.cdn.zynga.com:443,https,AmazonS3,application/xml,GET,18.66.112.27,/,-696376449,2600:9000:223f:3e00:1e:fc90:6ac0:93a1,Amazon Web Services,2,False,True,,,,,,
cityville.zynga.com,Free Mobile & Online Games - Zynga - Zynga,200,107859,www.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-12-01T23:59:59Z,CN=zynga.com,zynga.com,*.support.zynga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,66c6428afedea91d7fd4f9759c107cd9,9a8d9b3be8b96960b3ae69317a3f57fad5245dbb2093a964acaa9bf5e72c6e4b,ctls,www.zynga.com,cloudfront,443,https://cityville.zynga.com:443,https,CloudFront,text/html,GET,18.65.39.74,/,2017193705,2600:9000:238d:c800:d:1ef8:92c0:93a1,Yoast SEO:19.6.1,1255,False,True,True,,,https://www.zynga.com/,,
clicks.zynga.com,404 Not Found,404,552,clicks.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-27T23:59:59Z,CN=clicks.zynga.com,clicks.zynga.com,clicks.zyngacttest.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,91cd41b68b4c2a088b8e8e92e956dabd,d47a2311f5b80cc70cddd528756594cd9eb3d34fbf47828e034d1a77fbff149d,ctls,clicks.zynga.com,cloudfront,443,https://clicks.zynga.com:443,https,msys-http,text/plain,GET,108.138.7.111,/,-1840324437,2600:9000:2260:3400:1:d36e:1c40:93a1,Amazon Web Services,14,False,True,,,,,,
