input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,csp_domains_
conn.dev.internet.nl,401 Unauthorized,401,468,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,conn.dev.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-17T00:00:00Z,2023-08-23T23:59:59Z,CN=dev.internet.nl,dev.internet.nl,www.dev.internet.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,8df5c6d3aad5633a5564d66c27bea8d9,10629c3b6d86acc317ad77988b5c5e3f0d61e65559d1ae9b502b6d21714c1403,ctls,conn.dev.internet.nl,443,https://conn.dev.internet.nl:443,https,intentionally-undisclosed-internetnl-139sj2W9kB8,text/html,GET,62.204.66.15,/,666919083,2a00:d00:ff:162:62:204:66:15,HSTS,15,False,True,
conn.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,conn.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,conn.internet.nl,443,https://conn.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,857773775,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
dev.batch.internet.nl,401 Unauthorized,401,381,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,dev.batch.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2024-03-17T23:59:59Z,CN=dev.batch.internet.nl,dev.batch.internet.nl,www.dev.batch.internet.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ead8b33ef0ca766b6517e2d8b983122a,5fe7dae52af8863b336bc5d78590cb452d26d4e324f6cd3831eb50a84a5bf903,ctls,dev.batch.internet.nl,443,https://dev.batch.internet.nl:443,https,Apache,text/html,GET,62.204.66.17,/,-1042534128,2a00:d00:ff:162:62:204:66:17,HSTS,13,False,,
dev.internet.nl,401 Unauthorized,401,463,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,dev.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-17T00:00:00Z,2023-08-23T23:59:59Z,CN=dev.internet.nl,dev.internet.nl,www.dev.internet.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,8df5c6d3aad5633a5564d66c27bea8d9,10629c3b6d86acc317ad77988b5c5e3f0d61e65559d1ae9b502b6d21714c1403,ctls,dev.internet.nl,443,https://dev.internet.nl:443,https,intentionally-undisclosed-internetnl-139sj2W9kB8,text/html,GET,62.204.66.15,/,-1108208529,2a00:d00:ff:162:62:204:66:15,HSTS,15,False,,
docs.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,docs.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,docs.test-ns-signed.internet.nl,443,https://docs.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,1665872565,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
en.conn.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,en.conn.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,en.conn.internet.nl,443,https://en.conn.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-796780683,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
en.dev.batch.internet.nl,401 Unauthorized,401,381,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,en.dev.batch.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2024-03-17T23:59:59Z,CN=dev.batch.internet.nl,dev.batch.internet.nl,www.dev.batch.internet.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ead8b33ef0ca766b6517e2d8b983122a,5fe7dae52af8863b336bc5d78590cb452d26d4e324f6cd3831eb50a84a5bf903,ctls,en.dev.batch.internet.nl,443,https://en.dev.batch.internet.nl:443,https,Apache,text/html,GET,62.204.66.17,/,-1042534128,2a00:d00:ff:162:62:204:66:17,HSTS,13,False,,
eng.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,eng.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,eng.test-ns-signed.internet.nl,443,https://eng.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,1911738146,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
kaart.internet.nl,Loading map...,200,1418,AS20857,"TRANSIP-AS Amsterdam, the Netherlands",NL,93.119.0.0/20,kaart.internet.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T17:20:46Z,2023-08-07T17:20:45Z,CN=ipv6kaart.internet.nl,ipv6kaart.internet.nl,landkaart.internet.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,83af72418abe6912466fb2e035de848d,88543f9dfa5481bb76998d8dae1235b3c0ffd7392b6c430bd85bafb5ad40bb49,ctls,kaart.internet.nl,443,https://kaart.internet.nl:443,https,nginx,text/html,GET,93.119.13.25,/,-201554929,2a01:7c8:bb09:2a:5054:ff:fe24:c0f8,Nginx,1,False,,https://*.tile.osm.org
lab.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,lab.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,lab.test-ns-signed.internet.nl,443,https://lab.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,299677184,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
local.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,local.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,local.test-ns-signed.internet.nl,443,https://local.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-1857840670,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
log.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,log.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,log.test-ns-signed.internet.nl,443,https://log.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,465365816,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
media.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,media.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,media.test-ns-signed.internet.nl,443,https://media.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-1076015270,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
mobile.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,mobile.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,mobile.test-ns-signed.internet.nl,443,https://mobile.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,865610077,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
monitor.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,monitor.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,monitor.test-ns-signed.internet.nl,443,https://monitor.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,18230387,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
preferences-download-site.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,preferences-download-site.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,preferences-download-site.test-ns-signed.internet.nl,443,https://preferences-download-site.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-1030522653,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
proloprod.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,proloprod.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,proloprod.internet.nl,443,https://proloprod.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-1780902130,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
proxy.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,proxy.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,proxy.test-ns-signed.internet.nl,443,https://proxy.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-731634780,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
shopify.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,shopify.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,shopify.test-ns-signed.internet.nl,443,https://shopify.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-803844354,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
storage.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,storage.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,storage.test-ns-signed.internet.nl,443,https://storage.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-1937439070,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
sv.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,sv.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,sv.test-ns-signed.internet.nl,443,https://sv.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-154937079,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
us-west-2.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,us-west-2.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,us-west-2.test-ns-signed.internet.nl,443,https://us-west-2.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-1290467928,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
