input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_expired,tls_self_signed
essbase-misc-test.gapinc.com,401 Unauthorized,,381,essbase-misc-test.gapinc.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,"CN=essbase-misc-test.gapinc.com, O=The Gap\, Inc., ST=California, C=US",essbase-misc-test.gapinc.com,"The Gap, Inc.","CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,ctls,essbase-misc-test.gapinc.com,443,https://essbase-misc-test.gapinc.com:443,https,Apache,text/html,GET,129.159.105.211,Apache,13,True,,
essbase-sds-dev.gapinc.com,401 Unauthorized,,381,essbase-sds-dev.gapinc.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-11T00:00:00Z,"CN=essbase-sds-dev.gapinc.com, O=The Gap\, Inc., ST=California, C=US",essbase-sds-dev.gapinc.com,"The Gap, Inc.","CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,ctls,essbase-sds-dev.gapinc.com,443,https://essbase-sds-dev.gapinc.com:443,https,Apache,text/html,GET,193.122.204.93,Apache,13,True,,
essbase-sds-test.gapinc.com,401 Unauthorized,,381,essbase-sds-test.gapinc.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,"CN=essbase-sds-test.gapinc.com, O=The Gap\, Inc., ST=California, C=US",essbase-sds-test.gapinc.com,"The Gap, Inc.","CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,ctls,essbase-sds-test.gapinc.com,443,https://essbase-sds-test.gapinc.com:443,https,Apache,text/html,GET,129.159.98.255,Apache,13,True,,
events.gapinc.com,EventRsvp,,12543,events.gapinc.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,"CN=events.gapinc.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",events.gapinc.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,events.gapinc.com,443,https://events.gapinc.com:443,https,,text/html,GET,18.66.147.6,Microsoft ASP.NET,396,True,,
findevccint.gapinc.com,Apache Tomcat/9.0.43,,11137,findevccint.gapinc.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2020-03-12T00:00:00Z,"CN=findevccint.gapinc.com, OU=AARM, O=The Gap\, Inc., street=2 Folsom St., L=San Francisco, ST=California, postalCode=94105, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",findevccint.gapinc.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,findevccint.gapinc.com,443,https://findevccint.gapinc.com:443,https,,text/html,GET,150.136.3.16,,199,True,True,
frn.gapinc.com,,,220,frn.gapinc.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-23T00:00:00Z,"CN=frn.gapinc.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",frn.gapinc.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,frn.gapinc.com,443,https://frn.gapinc.com:443,https,WebSphere Application Server/6.1,text/html,GET,8.18.111.224,,1,,,
gacr2nnonprod.gapinc.com,403 Forbidden,,581,gacr2nnonprod.gapinc.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2021-06-10T00:00:00Z,"CN=gacr2nnonprod.gapinc.com, O=The Gap\, Inc., L=San Francisco, ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",gacr2nnonprod.gapinc.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,gacr2nnonprod.gapinc.com,443,https://gacr2nnonprod.gapinc.com:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,52.226.168.200,,14,True,True,
gap.stitch.gapinc.com,Page Expired,,1659,onelogonqa.gap.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-21T00:00:00Z,"CN=onelogonqa.gap.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",onelogonqa.gap.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,onelogonqa.gap.com,443,https://gap.stitch.gapinc.com:443,https,,text/html,GET,52.51.23.169,,54,,,
gapinc.com,Home | Gap Inc.,,66824,www.gapinc.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-01T00:00:00Z,"CN=www.gapinc.com, O=The Gap\, Inc., ST=California, C=US",www.gapinc.com,"The Gap, Inc.","CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,ctls,www.gapinc.com,443,https://gapinc.com:443,https,Microsoft-IIS/10.0,text/html,GET,13.93.158.16,Windows Server,947,True,,
gisbooking.gapinc.com,Page Expired,,1657,onelogon.gap.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-23T00:00:00Z,"CN=onelogon.gap.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",onelogon.gap.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,onelogon.gap.com,443,https://gisbooking.gapinc.com:443,https,,text/html,GET,52.255.212.181,,54,True,,
