new,host,a,soa,txt,status_code,cdn,cdn-name,cname,mx,ns,has_internal_ips,internal_ips,aaaa
,dweb02ex.gapinc.com,206.16.32.68,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,edge.cs.video.gapinc.com,8.21.68.38,"edns83.ultradns.com, saad_chehab.gap.com",,NOERROR,,,,,,,,
,empdiscount.gapinc.com,20.62.191.6,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,,,,
,empdiscountqa.gapinc.com,40.76.165.250,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,,,,
,equality.gapinc.com,8.18.111.106,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,essbase-corp-dev.gapinc.com,129.159.119.245,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,essbase-corp-prod.gapinc.com,129.159.89.186,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,essbase-corp-test.gapinc.com,193.122.194.40,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,essbase-gl-dev.gapinc.com,129.159.73.167,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,essbase-gl-prod.gapinc.com,193.122.199.243,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,essbase-gl-test.gapinc.com,132.226.36.255,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,essbase-misc-dev.gapinc.com,193.122.194.32,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,essbase-misc-prod.gapinc.com,132.226.42.150,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,essbase-misc-test.gapinc.com,129.159.105.211,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,essbase-sds-dev.gapinc.com,193.122.204.93,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,essbase-sds-prod.gapinc.com,129.159.79.204,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,essbase-sds-test.gapinc.com,129.159.98.255,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,events.gapinc.com,"18.66.147.125, 18.66.147.20, 18.66.147.6, 18.66.147.39","ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,d2yuoohqjofii5.cloudfront.net,,"ns-689.awsdns-22.net, ns-463.awsdns-57.com, ns-1622.awsdns-10.co.uk, ns-1025.awsdns-00.org",,,
,findevccint.gapinc.com,150.136.3.16,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,frn.gapinc.com,8.18.111.224,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,ftp.gapinc.com,206.16.32.70,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gacr2nnonprod.gapinc.com,52.226.168.200,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,gap.stitch.gapinc.com,"52.51.23.169, 63.33.17.94, 54.195.237.234","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com","detectify-verification=969838a510dd75807234eecda55b8edc, MS=ms44942321, google-site-verification=mkBHGAPOxlk6pIgaGoEaFmHT3LRsGp7XjtZSWnztvDM, v=spf1 include:_spf.google.com include:mail.zendesk.com include:19492330.spf04.hubspotemail.net include:sendgrid.net mx:amplemarket.com ~all, google-site-verification=t_LCpWzpUE0xslgqAe-ypZAk6mTXVIvHd5hmPoIcofU, google-site-verification=4umc_CvDaQxDND9zzPeTDBna58WZAJv4eJQVA76409Y",NOERROR,,,zeroheight.com,"alt3.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com","ns-1439.awsdns-51.org, ns-1002.awsdns-61.net, ns-1991.awsdns-56.co.uk, ns-103.awsdns-12.com",,,
,gapbstapplications.bst.gapinc.com,0.0.0.0,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,gapbstapplications.cloudapp.net,,,True,0.0.0.0,
