new,host,a,soa,ns,status_code,cname,cdn,cdn-name,aaaa,caa,mx,txt
[x],login.discovery.orionlabs.io,146.75.122.132,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,j.sni.global.fastly.net,True,fastly,,,,
[x],login.orionlabs.io,199.232.18.132,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,j.sni.global.fastly.net,True,fastly,,,,
[x],login.staging.orionlabs.io,151.101.46.132,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,j.sni.global.fastly.net,True,fastly,,,,
[x],logs.sso.orionlabs.io,"23.23.116.85, 107.20.255.83, 3.217.205.200","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],lyre.dev-02.orionlabs.io,"18.206.131.153, 35.153.246.145, 107.23.208.206","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],lyre.staging.orionlabs.io,"3.232.143.177, 3.229.206.75, 52.203.104.48","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],media.dev-02.orionlabs.io,"107.23.208.206, 35.153.246.145, 18.206.131.153","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,ad9b0caf29df24616a2950d1ceaa27b5-b67b118e89578c27.elb.us-east-1.amazonaws.com,,,,,,
[x],media.discovery.orionlabs.io,"3.232.143.177, 52.203.104.48, 3.229.206.75","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],media.prod-01.orionlabs.io,"107.20.255.83, 3.217.205.200, 23.23.116.85","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],media.staging.orionlabs.io,"3.229.206.75, 3.232.143.177, 52.203.104.48","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,k8s-applications-nlb-charlie-e209c6dcabc2e1f8.elb.us-east-1.amazonaws.com,,,,,,
