new,host,a,soa,status_code,cdn,cdn-name,cname,mx,txt,has_internal_ips,internal_ips,aaaa,ns,caa
[x],cp-hammerflux.ep.tokopedia.com,10.172.0.28,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,True,10.172.0.28,,,
[x],crocsholic.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cutie-eye.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],data-v3vip.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dataplatform.tokopedia.net,34.96.123.217,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,wildcard-gcp.tokopedia.net,,,,,,,
[x],delivery.mitra.tokopedia.com,34.117.197.73,"ns11.constellix.com, dns.constellix.com",NOERROR,True,google,lnk.pepipost.net,envmx.pepipost.net,"v=spf1 exists:%{ir}._spf.netcorecloud.net -all, mailru-verification: 0849f61424c0e3d1, _globalsign-domain-verification=NYR_u6XJobjrCWnD4RgHfIeDZ18s2Q5xtsUiLbQqPF",,,,,
[x],delivery.newsletter.tokopedia.com,"34.117.197.73, 202.162.242.175","ns11.constellix.com, dns.constellix.com",NOERROR,True,google,lnk.pepipost.net,envmx.pepipost.net,"v=spf1 exists:%{ir}._spf.netcorecloud.net -all, mailru-verification: 0849f61424c0e3d1, _globalsign-domain-verification=NYR_u6XJobjrCWnD4RgHfIeDZ18s2Q5xtsUiLbQqPF",,,,"ns11.constellix.com, ns21.constellix.com, ns31.constellix.com, ns41.constellix.net, ns51.constellix.net, ns61.constellix.net",
[x],demoportcullis.rjanimeshop.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],design-staging.tokopedia.net,35.190.38.148,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,wildcard-gcp-staging.tokopedia.net,,,,,,,
[x],design.tokopedia.net,34.96.123.217,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,wildcard-gcp.tokopedia.net,,,,,,,
[x],desmita.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dev-w5v32.tokopedia.com,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dev2017.leadershipknoxville.comwww.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],devel.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],developer-beta.tokopedia.com,34.120.41.164,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,,
[x],diaboliquetoys.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],diary.tokopedia.net,10.41.69.47,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.41.69.47,,,
[x],dinarshop.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],docs.ep.tokopedia.com,34.95.112.73,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],doodleshop.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dreamshop.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,"ns-1184.awsdns-20.org, ns-1959.awsdns-52.co.uk, ns-491.awsdns-61.com, ns-869.awsdns-44.net",
[x],drive.tokopedia.net,142.250.185.243,"ns1.google.com, dns-admin.google.com",NOERROR,,,ghs.googlehosted.com,,,,,2a00:1450:4001:806::2013,,
[x],duniabuku.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dutafashion.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],e-cigaretteshop.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ecs.tokopedia.com,8.48.85.211,"ns3.kunlungr.com, root.taobao.com",NOERROR,,,ecs.tokopedia.com.w.kunlungr.com,,,,,,,
[x],ecs.tokopedia.id,"163.181.92.228, 163.181.92.229, 163.181.92.230, 163.181.92.231, 163.181.92.232, 163.181.92.225, 163.181.92.226, 163.181.92.227","ns3.kunlungr.com, root.taobao.com",NOERROR,,,ecs.tokopedia.id.w.kunlungr.com,,,,,,,
[x],ecs.tokopedia.net,47.88.144.110,"vip3.alidns.com, hostmaster.hichina.com",NOERROR,,,dj289hnodwrcpfnvap8c7vhwhmpwmyl9.aliyunwaf4.com,,,,,,,
[x],ecs1.tokopedia.net,169.254.254.254,"ns1.alibabadns.com, hostmaster.alibabadns.com",NOERROR,,,"ecs12.tokopedia.net, ecs12.tokopedia.net.w.alikunlun.com, offline.specialcdnstatus.com",,,True,169.254.254.254,,,
[x],ecs10.tokopedia.net,169.254.254.254,"ns1.alibabadns.com, hostmaster.alibabadns.com",NOERROR,,,"ecs12.tokopedia.net, ecs12.tokopedia.net.w.alikunlun.com, offline.specialcdnstatus.com",,,True,169.254.254.254,,,
[x],ecs4.tokopedia.net,169.254.254.254,"ns1.alibabadns.com, hostmaster.alibabadns.com",NOERROR,,,"ecs12.tokopedia.net, ecs12.tokopedia.net.w.alikunlun.com, offline.specialcdnstatus.com",,,True,169.254.254.254,,,
[x],ecs5.tokopedia.net,,"ns1.alibabadns.com, hostmaster.alibabadns.com",NOERROR,,,"ecs12.tokopedia.net, ecs12.tokopedia.net.w.alikunlun.com, offline.specialcdnstatus.com",,,,,,,
[x],ecs7-a.tokopedia.net,"184.25.50.145, 184.25.50.129","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,"ecs7-a.tokopedia.net.edgesuite.net, a1956.r.akamai.net",,,,,,,
[x],ecs7-p-cdn-google.tokopedia.net,,,NOERROR,,,,,,,,,,
[x],ecs7-p.tokopedia.net,"184.25.50.177, 184.25.50.161","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,"images.tokopedia.net.edgesuite.net, a1825.r.akamai.net",,,,,,,
[x],ecs7.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ecs7.tokopedia.net,"85.112.113.43, 85.112.113.40","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,"ecs7.tokopedia.net.edgesuite.net, a1936.r.akamai.net",,,,,,,
[x],electra.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],em-private.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],em.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,"ns-1184.awsdns-20.org, ns-1959.awsdns-52.co.uk, ns-491.awsdns-61.com, ns-869.awsdns-44.net",
[x],embuilds.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,"ns-1184.awsdns-20.org, ns-1959.awsdns-52.co.uk, ns-491.awsdns-61.com, ns-869.awsdns-44.net",
[x],ems.tokopedia.com,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,wildcard-gcp.tokopedia.com,,,,,,,
[x],env.seller.tokopedia.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u16154966.wl217.sendgrid.net,mx.sendgrid.net,v=spf1 ip4:149.72.197.109 -all,,,,,
[x],ep.tokopedia.com,35.190.62.36,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,"ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c1.googledomains.com",
[x],epwordpress.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],eris.tokopedia.net,34.96.123.217,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,wildcard-gcp.tokopedia.net,,,,,,,
[x],events.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],every-thing4u.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],explorer.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],fab2-1-gdc.aneka-dvd.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],failover-gql-d.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],failover-tiket.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],fapp1.tokopedia.com,34.117.197.73,"ns11.constellix.com, dns.constellix.com",NOERROR,True,google,lnk.etransmail.com,envmx.etransmail.com,"google-site-verification=PvC5oqV-bjFtDjl2BM8dIikuXeZvw8iIRK1rqNLxgGs, v=spf1 exists:%{ir}._spf.netcorecloud.net -all",,,,,
[x],fariz-online.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],fastmobilepoint.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],feeta253.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ferlinshop.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],foodshop.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],foredi-tokopedia.tokopedia.com,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],freundschaft.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],fs.tokopedia.net,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,wildcard-gcp.tokopedia.net,,,,,,,
[x],gadingherbal.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],galadriel.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gamecollector.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gesa.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ghatotkacha.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],goal.tokopedia.com,23.206.209.54,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"wildcard.tokopedia.com.edgekey.net, e10893.a.akamaiedge.net",,,,,,,
