new,host,a,soa,status_code,cdn,cdn-name,cname,mx,txt,aaaa,caa,ns
[x],capital.bitfinex.com,"104.17.17.84, 104.17.18.84, 104.17.19.84, 104.17.21.84, 104.17.20.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],compliance.bitfinex.com,"104.17.17.84, 104.17.19.84, 104.17.20.84, 104.17.21.84, 104.17.18.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],compliance.developers.bitfinex.com,"104.17.18.84, 104.17.19.84, 104.17.21.84, 104.17.20.84, 104.17.17.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],developers.bitfinex.com,"104.17.19.84, 104.17.21.84, 104.17.18.84, 104.17.17.84, 104.17.20.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],docs.bitfinex.com,"104.18.210.56, 104.18.211.56","jeremy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,ssl.readmessl.com,,,"2606:4700::6812:d238, 2606:4700::6812:d338","pki.goog; cansignhttpexchanges=yes, comodoca.com, digicert.com, letsencrypt.org",
[x],eos-bp.bitfinex.com,35.197.245.10,"rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,
[x],h.bitfinex.com,"104.17.18.84, 104.17.19.84, 104.17.20.84, 104.17.21.84, 104.17.17.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],helpdesk.bitfinex.com,"104.17.19.84, 104.17.20.84, 104.17.21.84, 104.17.18.84, 104.17.17.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],honey.bitfinex.com,"104.17.21.84, 104.17.20.84, 104.17.18.84, 104.17.17.84, 104.17.19.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],leaderboard.bitfinex.com,"104.17.19.84, 104.17.18.84, 104.17.21.84, 104.17.20.84, 104.17.17.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],lending-pro.bitfinex.com,"104.17.21.84, 104.17.20.84, 104.17.18.84, 104.17.19.84, 104.17.17.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],leo.bitfinex.com,"104.17.18.84, 104.17.17.84, 104.17.20.84, 104.17.21.84, 104.17.19.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],lnd0.bitfinex.com,34.65.85.39,"rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,
[x],marketing.bitfinex.com,91.239.185.72,"ns-a-1.getresponse360.pl, abuse.marketing.bitfinex.com",NOERROR,,,,smtp1-in.getresponse360.pl,"google-site-verification=c19bHsbgLyRtnMVqBewatiBUvlvIgY_ToA0Uvoe9l6Y, google-site-verification=GWjhL8gI3gmBObq8b0c7Cw0rFXK6wB3dXgU_4CT2k8Q, v=spf1 ip4:91.239.185.72 mx -all",,letsencrypt.org,"ns-a-1.getresponse360.pl, ns-a-2.getresponse360.pl"
[x],mercuryo-card.bitfinex.com,"104.17.21.84, 104.17.17.84, 104.17.19.84, 104.17.20.84, 104.17.18.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],movement.bitfinex.com,"104.17.20.84, 104.17.21.84, 104.17.18.84, 104.17.19.84, 104.17.17.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],mta-3.marketing.bitfinex.com,91.239.185.72,"ns-a-1.getresponse360.pl, abuse.marketing.bitfinex.com",NOERROR,,,,,,,,
[x],mta-4.marketing.bitfinex.com,91.239.185.72,"ns-a-1.getresponse360.pl, abuse.marketing.bitfinex.com",NOERROR,,,,smtp1-in.getresponse360.pl,v=spf1 ip4:91.239.185.72 mx -all,,,
[x],pay.bitfinex.com,"104.17.21.84, 104.17.20.84, 104.17.19.84, 104.17.17.84, 104.17.18.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],reporting.bitfinex.com,"104.17.19.84, 104.17.21.84, 104.17.18.84, 104.17.17.84, 104.17.20.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],setting.bitfinex.com,"104.17.17.84, 104.17.20.84, 104.17.19.84, 104.17.18.84, 104.17.21.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],staking.bitfinex.com,"104.17.18.84, 104.17.19.84, 104.17.17.84, 104.17.21.84, 104.17.20.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],static.bitfinex.com,"104.17.21.84, 104.17.20.84, 104.17.17.84, 104.17.18.84, 104.17.19.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],support.bitfinex.com,"104.16.51.111, 104.16.53.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,bitfinex.zendesk.com,mail-pod-25.int.zendesk.com,"pod=25, v=spf1 include:mail.zendesk.com ~all",,,
[x],terminal.bitfinex.com,"104.17.17.84, 104.17.20.84, 104.17.18.84, 104.17.21.84, 104.17.19.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],tokensales.bitfinex.com,"104.17.21.84, 104.17.19.84, 104.17.18.84, 104.17.20.84, 104.17.17.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],www.bitfinex.com,"104.17.19.84, 104.17.20.84, 104.17.21.84, 104.17.17.84, 104.17.18.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],www.marketing.bitfinex.com,91.239.185.72,"ns-a-1.getresponse360.pl, abuse.marketing.bitfinex.com",NOERROR,,,,smtp1-in.getresponse360.pl,v=spf1 ip4:91.239.185.72 mx -all,,,
[x],www.staging.bitfinex.com,"104.17.18.84, 104.17.17.84, 104.17.21.84, 104.17.20.84, 104.17.19.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
