new,host,a,cname,soa,status_code,mx,ns,txt,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,caa
[x],autodiscover.westernunion.gr,"52.97.144.8, 40.101.80.24, 40.101.80.184, 40.99.204.120","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,"2603:1026:c0d:82b::8, 2603:1026:c0d:c02::8, 2603:1026:c0d:829::8, 2603:1026:c0d:c31::8",,,,,
[x],barracuda.westernunion.com,206.201.226.50,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,,,,,,,,,
[x],bfr.westernunion.com,206.201.224.81,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,,,,,,,,,
[x],bi.wuedge.com,129.144.183.12,,,NOERROR,,,,,,,,,
[x],blackbox.westernunion.com,,"blackbox.westernunion.com.edgekey.net, e17182.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],blog.westernunion.com,"104.126.116.25, 104.126.116.57","blog.westernunion.com.edgekey.net, e78559.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bmtsrakutenbankcojp.fi.westernunion.com,198.168.95.3,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],brandcenter.westernunion.com,"52.222.236.47, 52.222.236.129, 52.222.236.43, 52.222.236.99",westernunion.bynder.com,"ns-582.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1383.awsdns-44.org, ns-1904.awsdns-46.co.uk, ns-492.awsdns-61.com, ns-582.awsdns-08.net",,,True,cloudfront,,,amazonaws.com
[x],business.westernunion.ca,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],business.westernunion.ch,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],business.westernunion.com.au,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],business.westernunion.de,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],business.westernunion.es,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],business.westernunion.fr,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],business.westernunion.ie,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],business.westernunion.nl,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],business.westernunion.se,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com","gtmwubrid01.westernunion.com, hostmaster.westernunion.com",NOERROR,,,,,,,,,
[x],ca.globalpay.westernunion.com,216.109.85.60,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],callcenteracademy-uat.westernunion.com,89.185.150.91,wu.lb.synergy-learning.com,"ns-1407.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],callcenteracademy.westernunion.com,89.185.150.91,wu.lb.synergy-learning.com,"ns-1407.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],careuat.westernunion.com,66.218.160.14,,,NOERROR,,,,,,,,,
[x],checktls.westernunion.com,,,,NOERROR,,,,,,,,,
[x],citrix.business.westernunion.com,65.222.198.140,,,NOERROR,,,,,,,,,
[x],clarity-dev.westernunion.com,216.255.66.231,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,,,,,,,,,
[x],clarity-test.westernunion.com,216.255.66.233,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,,,,,,,,,
[x],clarity.westernunion.com,216.255.67.47,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,,,,,,,,,
[x],click.transactions.westernunion.com,13.111.234.82,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],click.wupay.westernunion.com,66.231.91.47,click.virt.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],cloud.e.westernunion.com,13.111.232.131,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],cloud.transactions.westernunion.com,13.111.232.132,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],cmapp-nonprod.eu.westernunion.com,"92.123.12.157, 92.123.12.146","cmapp-nonprod.eu.westernunion.com.edgekey.net, e87064.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],colombia.westernunion.com,"66.218.170.129, 66.218.160.129",,,NOERROR,,,,,,,,,
[x],content-nonprod.dbview.ecdn.westernunion.com,"52.222.236.3, 52.222.236.102, 52.222.236.126, 52.222.236.118",d2h4w7sf1c83wb.cloudfront.net,"ns-998.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1106.awsdns-10.org, ns-1997.awsdns-57.co.uk, ns-446.awsdns-55.com, ns-998.awsdns-60.net",,"2600:9000:223e:a000:5:c6f9:6ec0:93a1, 2600:9000:223e:7600:5:c6f9:6ec0:93a1, 2600:9000:223e:fc00:5:c6f9:6ec0:93a1, 2600:9000:223e:c000:5:c6f9:6ec0:93a1, 2600:9000:223e:b400:5:c6f9:6ec0:93a1, 2600:9000:223e:400:5:c6f9:6ec0:93a1, 2600:9000:223e:ae00:5:c6f9:6ec0:93a1, 2600:9000:223e:d600:5:c6f9:6ec0:93a1",True,cloudfront,,,
[x],content-nonprod.dbview.onep.westernunion.com,"108.138.51.72, 108.138.51.122, 108.138.51.7, 108.138.51.67, 205.251.193.190, 205.251.195.230, 205.251.196.82, 205.251.199.205",d2h4w7sf1c83wb.cloudfront.net,"ns-998.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-446.awsdns-55.com, ns-1997.awsdns-57.co.uk, ns-1106.awsdns-10.org, ns-998.awsdns-60.net",,"2600:9000:2436:2e00:5:c6f9:6ec0:93a1, 2600:9000:2436:bc00:5:c6f9:6ec0:93a1, 2600:9000:2436:c00:5:c6f9:6ec0:93a1, 2600:9000:2436:5a00:5:c6f9:6ec0:93a1, 2600:9000:2436:400:5:c6f9:6ec0:93a1, 2600:9000:2436:1000:5:c6f9:6ec0:93a1, 2600:9000:2436:1600:5:c6f9:6ec0:93a1, 2600:9000:2436:1200:5:c6f9:6ec0:93a1",True,cloudfront,,,
[x],content-nonprod.lisa.ecdn.westernunion.com,,d108kpobartjtq.cloudfront.net,"ns-356.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1418.awsdns-49.org, ns-1809.awsdns-34.co.uk, ns-588.awsdns-09.net, ns-356.awsdns-44.com",,,True,cloudfront,,,
[x],content-nonprod.westernunion.com,"104.126.37.153, 104.126.37.178","content-nonprod.westernunion.com.edgekey.net, e94499.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],content.westernunion.com,"104.126.37.138, 104.126.37.129","content.westernunion.com.edgekey.net, e88427.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],convpay.westernunion.com,66.218.160.194,,,NOERROR,,,,,,,,,
[x],core.lisa.prod.westernunion.com,,,,NOERROR,,,,,,,,,
[x],corerrevprxy.westernunion.com,66.218.170.97,,,NOERROR,,,,,,,,,
[x],corerrevuatprxy.westernunion.com,66.218.160.149,,,NOERROR,,,,,,,,,
[x],corporate.westernunion.com,104.64.121.196,"www.westernunion.com.edgekey.net, e6755.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cs10.westernunion.com,"173.227.1.225, 216.115.78.15",,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,"smtp2.vxi.com, smtp1.vxi.com",,v=spf1 ip4: 216.115.75.15 ip4: 173.227.1.225 -all,,,,,,
[x],cs3.westernunion.com,205.250.137.11,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,smtp.minacs.com,,,,,,,,
[x],cs4.westernunion.com,66.35.40.15,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,,,,,,,,,
[x],cs9.westernunion.com,200.33.142.36,,"auth00.ns.uu.net, hostmaster.UU.NET",NOERROR,correomap.telvista.com,,,,,,,,
[x],cslservices.westernunion.com,66.218.160.253,,,NOERROR,,,,,,,,,
[x],cslservicesuat.westernunion.com,66.218.160.254,,,NOERROR,,,,,,,,,
[x],cslsvcs.westernunion.com,"66.218.160.21, 66.218.170.24",,,NOERROR,,,,,,,,,
[x],cuba.westernunion.com,"66.218.170.130, 66.218.160.130",,,NOERROR,,,,,,,,,
[x],custsupport.westernunion.com,104.81.125.212,"www.westernunion.com, www.westernunion.com.edgekey.net, e6755.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cwbwireservice.fi.westernunion.com,,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],cy.business.westernunion.com,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],dbkapp.us.westernunion.com,"62.115.252.27, 80.239.137.147","dbkapp.us.westernunion.com.edgekey.net, e87064.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],dbview-nonprod.westernunion.com,"80.239.137.168, 62.115.252.40","dbview-nonprod.westernunion.com.edgekey.net, e94499.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"2001:2030:21::3e73:fc28, 2001:2030:21::50ef:89a8",,,,,
[x],dbview.westernunion.com,"104.126.37.129, 104.126.37.138","dbview.westernunion.com.edgekey.net, e88427.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],dccustomer-nonprod.westernunion.com,"104.126.37.179, 104.126.37.162","dccustomer-nonprod.westernunion.com.edgekey.net, e119267.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],de.business.westernunion.be,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com","gtmwubrid01.westernunion.com, hostmaster.westernunion.com",NOERROR,,,,,,,,,
[x],demo-auth.globalpay.westernunion.com,,,,NOERROR,,,,,,,,,
[x],demo-globalpay.westernunion.com,64.210.231.59,,,NOERROR,,,,,,,,,
[x],demo-webservices.globalpay.westernunion.com,,,,NOERROR,,,,,,,,,
[x],demo.business.westernunion.com,65.222.199.120,demo.westernunion.customhouse.com,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],demo.globalpay.westernunion.com,206.201.227.14,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],demo.gpfi.globalpay.westernunion.com,104.81.235.250,"demo.gpfi.globalpay.westernunion.com.edgekey.net, e17182.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],demo.webservices.globalpay.westernunion.com,206.201.227.16,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],demo.wuedge.com,104.81.235.250,"wubsnonprod.com.edgekey.net, e17182.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],dev-api-oauth.globalpay.westernunion.com,66.218.161.158,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],dev-api.globalpay.westernunion.com,66.218.161.249,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],dev-globalpay.westernunion.com,,,,NOERROR,,,,,,,,,
[x],dev-payee.globalpay.westernunion.com,,,,NOERROR,,,,,,,,,
[x],dev.gpfi.globalpay.westernunion.com,104.64.36.106,"dev.gpfi.globalpay.westernunion.com.edgekey.net, e17182.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],dev.masspay.api.westernunion.com,,,,NOERROR,,,,,,,,,
[x],dev.psd2api.business.westernunion.com,"34.196.136.137, 52.7.218.153, 52.55.191.24",d-wn5gzf7vfl.execute-api.us-east-1.amazonaws.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],dl.lisa.prod.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],dl.lisa.uat.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],dmz.westernunion.com,206.201.224.50,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,,,,,,,,,
[x],duckling.lisa.prod.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],duckling.lisa.uat.westernunion.com,,,,NOERROR,,,,,,,,,
[x],e.westernunion.com,13.111.67.8,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,reply.s11.exacttarget.com,"ns1.exacttarget.com, ns3.exacttarget.com, ns2.exacttarget.com, ns4.exacttarget.com",v=spf1 include:cust-spf.exacttarget.com -all,,,,,,
[x],ebanking.westernunionbank.com,193.80.22.200,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,,,,,,,,,
[x],edge.globalpay.westernunion.com,"104.126.37.146, 104.126.37.144","edge.globalpay.westernunion.com.edgekey.net, e119822.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],eid.westernunion.com,,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,,,,,,,,,
[x],em.business.westernunion.com,"34.228.150.110, 44.209.249.35, 34.232.167.27",d-wqk8b09t3h.execute-api.us-east-1.amazonaws.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],em.dev.business.westernunion.com,"54.166.180.37, 34.230.197.238, 35.169.174.171",d-oxbql1uwy8.execute-api.us-east-1.amazonaws.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],em.qa.business.westernunion.com,"44.209.249.35, 34.232.167.27, 34.228.150.110",d-8wda6p1ggl.execute-api.us-east-1.amazonaws.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],email.westernunion.com,206.201.227.250,,"ns1.silverpop.com, dnsadmin.silverpop.com",NOERROR,"mail4029.email.westernunion.com, reply.rm02.net","ns1.silverpop.com, ns2.silverpop.com",v=spf1 ip4:129.41.77.29 -all,,,,,,
[x],emailmarketing.westernunion.com,178.33.153.80,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,emailmarketing.westernunion.com,,v=spf1 a mx ip4:178.33.153.80/29 ~all,,,,,,
[x],en.business.westernunion.at,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],en.business.westernunion.be,,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],en.business.westernunion.ch,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com","gtmwubrid01.westernunion.com, hostmaster.westernunion.com",NOERROR,,,,,,,,,
[x],en.business.westernunion.de,206.201.227.12,origin.business.westernunion.com,,NOERROR,,,,,,,,,
[x],en.business.westernunion.it,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],en.business.westernunion.pl,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],eva-qa.westernunion.com,66.218.161.139,,,NOERROR,,,,,,,,,
[x],fab.business.westernunion.com,"52.72.144.19, 34.205.239.240, 54.146.254.58",d-mwxqbxvc38.execute-api.us-east-1.amazonaws.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fab.qa.business.westernunion.com,"34.231.26.149, 3.222.55.121, 52.6.15.104",d-vuptfvaq8e.execute-api.us-east-1.amazonaws.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fab.uat.business.westernunion.com,"44.205.122.179, 3.221.120.0, 34.225.145.1",d-o6n311yv2b.execute-api.us-east-1.amazonaws.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],filescan.nonprod.westernunion.com,,,,NOERROR,,,,,,,,,
[x],filescan.prod.westernunion.com,66.218.161.233,,,NOERROR,,,,,,,,,
[x],fla.westernunionbank.com,193.80.22.200,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,,,,,,,,,
[x],foundation.westernunion.com,23.212.206.185,"www.westernunion.com.edgekey.net, e6755.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],fr.business.westernunion.ca,,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],ftp.westernunion.co.uk,23.212.206.185,"www.westernunion.co.uk, www.westernunion.co.uk.edgekey.net, e6755.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],fxscbsconz.fi.westernunion.com,,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],fxwebcheque.westernunion.com.au,203.213.71.185,,"ns1.edgecastdns.net, noc.edgecast.com",NOERROR,,,,,,,,,
[x],fxwiresscbtonline.fi.westernunion.com,198.168.95.15,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],gauntlet.westernunion.com,206.201.224.10,,"auth00.ns.uu.net, hostmaster.uu.net",NOERROR,,,,,,,,,
[x],geo-cons.fi.westernunion.com,198.168.95.17,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],geo-corp.fi.westernunion.com,198.168.95.18,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],geo4fi-demo.fi.westernunion.com,23.53.53.137,"wubsnonprod.com.edgekey.net, e17182.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],geofi-ag-dev1.fi.westernunion.com,198.168.94.107,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],geofi-demo-rb-corp.fi.westernunion.com,198.168.95.20,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],geofi-uat.fi.westernunion.com,95.100.72.102,"wubsnonprod.com.edgekey.net, e17182.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],gisbgcheckresult.westernunion.com,66.218.170.61,,,NOERROR,,,,,,,,,
[x],gisbgcheckresultuat.westernunion.com,66.218.160.235,,,NOERROR,,,,,,,,,
[x],glacierbancorp.fi.westernunion.com,198.168.95.24,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],globalpay-test.westernunion.com,206.201.228.21,,,NOERROR,,,,,,,,,
[x],globalpay.westernunion.com,206.201.227.7,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,"ns14.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns13.dnsmadeeasy.com",v=spf1 ip4:216.109.85.57 ip4:198.168.94.75 ip4:64.210.231.4 ip4:64.210.231.5 ip4:198.168.94.8 -all,,,,,,
[x],go.westernunion.com,"18.208.125.13, 3.215.172.219, 3.92.120.28, 34.237.219.119, 52.54.96.194","go.pardot.com, pi.pardot.com, pi-ue1.pardot.com, pi-ue1-public-lb-f0209c6950285322.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],gp2-ext.qa.westernunion.com,,,,NOERROR,,,,,,,,,
[x],gparakutenbank.fi.westernunion.com,198.168.95.27,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],gpfi-demo-psp.fi.westernunion.com,198.168.95.97,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],gpfi-perf.fi.westernunion.com,206.31.45.76,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],gpficore-qa-psp.fi.westernunion.com,198.168.94.165,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],gpfied-qa-psp.fi.westernunion.com,198.168.95.10,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],gpm.westernunion.com,,"gpm.westernunion.com.edgekey.net, e17182.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],gpx-demo.fi.westernunion.com,104.81.235.250,"gpx-demo.fi.westernunion.com.edgekey.net, e17182.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
