input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,csp_domains_,tls_subject_org_,tls_wildcard_certificate,final_url,cdn_name,cdn,tls_mismatched,tls_self_signed,tls_expired
kb.gcp.databricks.com,Databricks Knowledge Base,200,48377,kb.databricks.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-09T00:00:00Z,2023-06-09T23:59:59Z,"CN=kb.databricks.com, O=Databricks Inc., L=San Francisco, ST=California, C=US",kb.databricks.com,kb.databricks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cc8b320d9e7deb8d36fb5d79fdc23265,24411b8b07184ca18a19ec829dd61f81a8ab33c8fc3ae547d74f48ec7d2e0a0a,ctls,kb.databricks.com,443,https://kb.gcp.databricks.com:443,https,nginx,text/html,GET,52.24.1.159,/,-1840324437,35.165.102.161,440,False,ZURB Foundation,,Databricks Inc.,,https://kb.databricks.com:443/,,,,,
labs.databricks.com,CloudLabs AI Become Cloud Expert with Hands on Labs,200,2206,labs.databricks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-02T00:00:00Z,2023-12-01T23:59:59Z,"CN=labs.databricks.com, O=Databricks Inc., L=San Francisco, ST=California, C=US",labs.databricks.com,labs.databricks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c77a7856de66ce2dca54efc2af9eed32,78f71912e2781747e65b199a625e1a1bbfb851b0b9f5aeba41532a2a39391e7e,ctls,labs.databricks.com,443,https://labs.databricks.com:443,https,Microsoft-IIS/10.0,text/html,GET,104.43.254.102,/,165221063,104.43.254.102,40,False,Windows Server,https://lti.cloudlabs.ai/,Databricks Inc.,,,azure,True,,,
labs.training.databricks.com,Labs Platform,200,6782,labs.training.databricks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-09T00:00:00Z,2024-02-07T23:59:59Z,CN=labs.training.databricks.com,labs.training.databricks.com,labs.training.databricks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ac50d43bb00572f511fda6ee994b24d5,ba4ac404c67a331d8ad9770523355e5ec0f593e9b5fe288e34df352a85b7fd1f,ctls,labs.training.databricks.com,443,https://labs.training.databricks.com:443,https,,text/html,GET,35.155.158.254,/,-1671344991,35.167.65.46,146,False,Bootstrap:5.1.3,,,,,,,,,
linen.delta.io,delta-lake #deltalake-questions,200,196945,linen.delta.io,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-06T14:07:48Z,2023-07-05T14:07:47Z,CN=linen.delta.io,linen.delta.io,linen.delta.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9330712d607fbff99094e4106224650d,d5b1d623eddcc59912df03b6878f6e57dd16372dd9c43e1367bfe33cd3a72618,ctls,linen.delta.io,443,https://linen.delta.io:443,https,Vercel,text/html,GET,76.76.21.98,/,530457455,76.76.21.142,134,False,webpack,,,,,,,,,
link.cloud.databricks.com,,400,,link.cloud.databricks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-11-16T23:59:59Z,CN=*.cloud.databricks.com,*.cloud.databricks.com,*.cloud.databricks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,818133ce814a1eb71468e0915d6a3290,77c949e0a3d5b7744a4386e2646a04ed466dcf904c5902684238f08a0b28353f,ctls,link.cloud.databricks.com,443,https://link.cloud.databricks.com:443,https,,,GET,18.66.122.87,/,-1098974868,18.66.122.28,1,False,Amazon Web Services,,,True,,cloudfront,True,,,
lists.spark-summit.org,phpMyAdmin,200,15459,east1-phpmyadmin.dreamhost.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-01T00:00:00Z,2023-12-22T23:59:59Z,"CN=*.dreamhost.com, O=NEW DREAM NETWORK\, LLC, ST=California, C=US",*.dreamhost.com,dreamhost.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,51e6bd6c85a9ec633f22d287b2b32d18,970a7e5cd204442152873069b5c661d1960644955e5b3a67dbde6d69e2a5b005,ctls,east1-phpmyadmin.dreamhost.com,80,http://lists.spark-summit.org:80,http,nginx/1.18.0 (Ubuntu),text/html,GET,66.33.216.200,/,964085551,66.33.216.200,247,False,phpMyAdmin:5.1.1,,"NEW DREAM NETWORK, LLC",True,https://east1-phpmyadmin.dreamhost.com/signon.php?pma_servername=lists.spark-summit.org,,,,,
logging-api.cjspycloudw.dev-sec.databricks.com,,403,23,logging-api.cjspycloudw.dev-sec.databricks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-08-31T23:59:59Z,CN=logging-api.cjspycloudw.dev-sec.databricks.com,logging-api.cjspycloudw.dev-sec.databricks.com,logging-api.cjspycloudw.dev-sec.databricks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3968d3c61a00495a67fb73324edc894f,fbbc5d38b0c53f946f4d861aad3dbb71d49ab7a6abfecb048674ac3a05af38f8,ctls,logging-api.cjspycloudw.dev-sec.databricks.com,443,https://logging-api.cjspycloudw.dev-sec.databricks.com:443,https,,application/json,GET,54.200.72.149,/,968070783,54.201.54.181,1,False,,,,,,,,,,
logging-api.marketo.sec.databricks.com,,403,42,logging-api.marketo.sec.databricks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-08-27T23:59:59Z,CN=logging-api.marketo.sec.databricks.com,logging-api.marketo.sec.databricks.com,logging-api.marketo.sec.databricks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2ca4aa4d60c1abaf7efa8b415fff8287,03c473cf222244a37e052406f51ce136e2b856f8da11af263ac8d0c930bad6dd,ctls,logging-api.marketo.sec.databricks.com,443,https://logging-api.marketo.sec.databricks.com:443,https,,application/json,GET,52.89.152.34,/,768769774,52.26.165.140,1,False,,,,,,,,,,
logging-api.materialsecurity.sec.databricks.com,,403,23,logging-api.materialsecurity.sec.databricks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-04-05T23:59:59Z,CN=logging-api.materialsecurity.sec.databricks.com,logging-api.materialsecurity.sec.databricks.com,logging-api.materialsecurity.sec.databricks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c3fc70fb733b99a4e40e33131489e63,f3801981aef5179cad04baa2022d2f2b77bffd66010753aeb85db74dd48a362a,ctls,logging-api.materialsecurity.sec.databricks.com,443,https://logging-api.materialsecurity.sec.databricks.com:443,https,,application/json,GET,50.112.68.92,/,968070783,54.213.143.33,1,False,,,,,,,,,,
logging-api.netsuite.sec.databricks.com,,403,23,logging-api.netsuite.sec.databricks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-19T00:00:00Z,2024-04-17T23:59:59Z,CN=logging-api.netsuite.sec.databricks.com,logging-api.netsuite.sec.databricks.com,logging-api.netsuite.sec.databricks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,daf6f714600d2bb317d4befaaf32df13,6c365aff58195ee1b363d5ec88d82e0a085d806a33f1a20cb677fe5d2e73b601,ctls,logging-api.netsuite.sec.databricks.com,443,https://logging-api.netsuite.sec.databricks.com:443,https,,application/json,GET,44.227.179.166,/,968070783,44.232.166.102,1,False,,,,,,,,,,
