new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,caa,ns,txt,mx
[x],gateway.us-west-2.strongdm.com,44.239.17.209,gateways-production-9a0fcd969813367f.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],helm.strongdm.com,"185.199.111.153, 185.199.108.153, 185.199.109.153, 185.199.110.153",strongdm.github.io,"dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2606:50c0:8003::153, 2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153",,,"letsencrypt.org, digicert.com",,,
[x],help.strongdm.com,"104.16.51.111, 104.16.53.111",strongdm.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudflare,,,"v=spf1 include:mail.zendesk.com ~all, pod=13",mail-pod-13.int.zendesk.com
[x],info.strongdm.com,"52.92.177.219, 52.92.137.131, 52.92.250.59, 52.218.179.179, 52.218.181.82, 52.92.208.155, 52.92.179.179, 52.218.212.67","info.strongdm.com.s3-website-us-west-2.amazonaws.com, s3-website.us-west-2.amazonaws.com","ns-1226.awsdns-25.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-160.awsdns-20.com, ns-1678.awsdns-17.co.uk, ns-1226.awsdns-25.org, ns-847.awsdns-41.net",b967698a0c5eea781dd467f7b02d6186,
[x],interactive.strongdm.com,35.171.226.60,strongdm.postclickmarketing.com,"ns-1049.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],notsequoiaventures.sdm.network,,,,NOERROR,,,,,,,
[x],os33.sdm.network,,,,NOERROR,,,,,,,
[x],production285.sdm.network,54.144.128.85,,,NOERROR,,,,,,,
[x],r04.strongdm.com,52.41.80.13,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sales.strongdm.com,"54.221.50.8, 54.166.96.114, 54.243.161.55",custom-tracking.salesloft.com,"ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"comodoca.com, digicert.com, letsencrypt.org, pki.goog",,,
[x],sdm.network,,,"ns-1494.awsdns-58.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1494.awsdns-58.org, ns-1978.awsdns-55.co.uk, ns-72.awsdns-09.com, ns-965.awsdns-56.net",,
[x],sdmt.strongdm.com,3.15.61.249,analytics-snowplow-lb-1f866dd74d64d182.elb.us-east-2.amazonaws.com,"ns-1513.awsdns-61.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sequoia-china.sdm.network,,,,NOERROR,,,,,,,
[x],sequoia.sdm.network,,,,NOERROR,,,,,,,
[x],sofi.sdm.network,,,,NOERROR,,,,,,,
[x],status.strongdm.com,52.215.192.132,w3m1bc761ljy.stspg-customer.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"globalsign.com;, letsencrypt.org",,,
[x],strongdm.com,104.198.14.52,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,True,google,,,"MS=A460C4E0F89DA206547175084C805E21DD2C87A7, ZOOM_verify_lvFnBcX984sgKLFxeFN1Bk, aliyun-site-verification=a23c804f-3204-4818-97c3-853394dddef5, apple-domain-verification=bCmKodlylSOozHkZ, asv=d5ea6edd6cb756436d4aefa6d94b1f30, atlassian-domain-verification=3LSG60MEtdI4ZHW+6yn9PzkVyN5lk5bESe0O+0i2KqV0ofcu68EJNrHlFUii5NKn, canva-site-verification=Ip4gNWuZU6TnHTkvoggodw, docusign=24d951bf-b7da-44ba-a00f-3dc280bafe83, google-site-verification=3vmKtFE4X3zY9y4cEDcusN1XsGKLJOuvfcyJnmfD3Zs, google-site-verification=ODtkKdcH8-Qz-nErGvU6ainMre3JDlBqTlkrDUDJtUM, google-site-verification=s_YtqxOtkYGqRrvHcZrTDGSjNWdXmFNU7aVLKJHOK-4, h1-domain-verification=TBXHjxSykgRin6Fy5PWGjhLQPQCPyNvNF4TyQvFZCY3nQG9D, mongodb-site-verification=nvhv4HzITqEjP4DTSVgolnYeCsWpGVz2, v=spf1 include:_spf.google.com include:spf.mandrillapp.com include:mail.zendesk.com include:_spf.salesforce.com include:_spf.psm.knowbe4.com include:21126185.spf07.hubspotemail.net ~all","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com"
[x],strongdmcustomerengineeringcandidates.sdm.network,,,,NOERROR,,,,,,,
