new,host,a,soa,status_code,txt,cdn,cdn-name,mx,ns,cname,aaaa,caa,has_internal_ips,internal_ips
[x],ba3.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be100.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be101.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be11.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be110.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be111.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be120.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be130.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],be140.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be148.nordvpn.com,82.102.19.137,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],be149.nordvpn.com,77.243.191.250,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],be150.nordvpn.com,185.210.217.115,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],be151.nordvpn.com,185.210.217.120,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],be19.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be23.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be25.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be28.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be30.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be40.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],be60.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],be80.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
