input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,csp_domains_,final_url,tls_wildcard_certificate
click.email.mollie.com,403 - Forbidden: Access is denied.,403,1233,,443,https://click.email.mollie.com:443,https,,text/html,GET,159.92.136.36,/,1631801191,159.92.136.36,HSTS,30,False,,click.email.mollie.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-04T00:00:00Z,2024-02-04T23:59:59Z,"CN=click.email.mollie.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",click.email.mollie.com,"SALESFORCE.COM, INC.",click.email.mollie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9b2371585eaf3ef1f08b3a41ab11b909,e80d1372b69f4a46b01f9f572ec1c68e9f09082e5a55b8873b9ab175bcc5413f,ctls,click.email.mollie.com,,,
cloud.my.mollie.com,403,403,134,google,443,https://cloud.my.mollie.com:443,https,,text/html,GET,34.102.146.113,/,1723221432,34.102.146.113,HTTP/3,1,False,True,cloud.my.mollie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-20T13:19:53Z,2023-06-18T13:19:52Z,CN=cloud.my.mollie.com,cloud.my.mollie.com,,cloud.my.mollie.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3399ea7b571f3d155b5075752db51cce,3870df86bcc93ab0b5635ebe049018b93442e2d807d34f2f5d2c8c2c6730516b,ctls,cloud.my.mollie.com,,,
cloud.www.mollie.com,403,403,134,google,443,https://cloud.www.mollie.com:443,https,,text/html,GET,34.102.146.113,/,1723221432,34.102.146.113,HTTP/3,1,False,True,cloud.www.mollie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T12:39:21Z,2023-07-02T12:39:20Z,CN=cloud.www.mollie.com,cloud.www.mollie.com,,cloud.www.mollie.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d2ca681b94616fbc474cbce494c9cee8,2753bb29206dc7623f30cbfac1e03b2119356a6f241db1521e1ce0223074f1db,ctls,cloud.www.mollie.com,,,
components.lightspeed.mollie.com,,404,74,google,443,https://components.lightspeed.mollie.com:443,https,nginx,application/json,GET,34.117.156.210,/,1093734315,34.117.156.210,Nginx,1,False,True,components.lightspeed.mollie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-06T05:03:03Z,2023-07-05T05:03:02Z,CN=lightspeed.mollie.com,lightspeed.mollie.com,,lightspeed.mollie.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b587a38748f6e7dc7e0a608689d797d4,0f1202f0540e55e3c318e7c69844864a125419845ad8c90eebc1ff604d939dc9,ctls,components.lightspeed.mollie.com,,,
config.lightspeed.mollie.com,Mollie - Lightspeed,200,660,google,443,https://config.lightspeed.mollie.com:443,https,nginx,text/html,GET,34.117.156.210,/,-2009722838,34.117.156.210,Nginx,1,False,True,config.lightspeed.mollie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-06T05:03:03Z,2023-07-05T05:03:02Z,CN=lightspeed.mollie.com,lightspeed.mollie.com,,lightspeed.mollie.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b587a38748f6e7dc7e0a608689d797d4,0f1202f0540e55e3c318e7c69844864a125419845ad8c90eebc1ff604d939dc9,ctls,config.lightspeed.mollie.com,,,
demo.mollie.com,Checkout made simple for your online store | Mollie,200,1511,google,443,https://demo.mollie.com:443,https,UploadServer,text/html,GET,35.241.47.199,/,1914247624,35.241.47.199,HTTP/3,1,False,True,demo.mollie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:13:17Z,2023-07-27T00:13:16Z,CN=demo.mollie.com,demo.mollie.com,,demo.mollie.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ee557b53b2521a0c15c29599011304d4,7e36c3b9dab6cc81297be0ea04444e9f4e59451379896127e77acc9ebeef5d94,ctls,demo.mollie.com,,,
dummyservice.mollie.com,Sign in - Google Accounts,200,620918,google,443,https://dummyservice.mollie.com:443,https,ESF,text/html,GET,34.120.19.40,/,36307319,34.120.19.40,HTTP/3,46,False,True,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,,https://accounts.google.com/v3/signin/identifier?opparams=%253Fcred_ref%253Dtrue&dsh=S1947017247%3A1683921622716175&client_id=787748131798-nfe9lgg5nr0sf6q6dtu6pru2e7vdrh6h.apps.googleusercontent.com&code_challenge=P-_fSuCDyF7VI8VfvHJBbD6w05FUMm_MmsQHx-PFGnY&code_challenge_method=S256&o2v=2&redirect_uri=https%3A%2F%2Fiap.googleapis.com%2Fv1%2Foauth%2FclientIds%2F787748131798-nfe9lgg5nr0sf6q6dtu6pru2e7vdrh6h.apps.googleusercontent.com%3AhandleRedirect&response_type=code&scope=openid+email&service=lso&state=AVinkEkEeibH39hdSXJCES1dKLOpkuzKBfmZm1oJBZ8buasDSL45-p0hvbvdS2V1mx6p_Jsup48Kq_P9Mih-T_6NvW4MBAEOQ2vGBPMuRHetYnlbCgM3XDTnRXWKLiLe02nNWtNdsZZLcLPodoEoq2VruO0jJQulbWF-p9PzYpWQIF3wLeJt1fSg8WpTErrQU0gqit45QYItQCR6n7bEct7fivTsfn3kyrOsDsVUGPvNqe4FJxnnxDdnxhKWt8h0HPYQUTFNh2KnFcaak8z9ujPRLTXO1QkqcbgJrXXt1qGABTpJk5X9GPpdAjqxBR4h-mWkH-pzknBPu3oIBqjX9H23ZIKDWBUB44YREI3RpDT423IZXFDJQ2nHXK312hNUF8F4WG8ePuiGhK0a6CXdgxDIzbrH_mmDzIpquIhN4eCR8KQncBweo8H5Gp7IDm0C90D84AJpOQr-FtzvtPfQM7v-5uXv1gC6iXQm32ndJghRtAZ6tUn_ZtdVhHhO7doFj1HyW2q-aFfP9GILqzYUfkwAY_37zPn_UwXBTvzjx3vodV-rx_j2xhBXHBgXZGxDvg0ryZce5cdfQtKi5XW_tqJ4jend9Hu3FIJFQJ--SfnNekvXgg6Rj4GkYlQQ-KlaQsBCeg7AKNCuozDvNI047vIzNHEtbHgc-A9PrWd-RdCAbiSvDMLKwES9MFsCpmkocIdSHj0c6LRWTGfGm6lF5JJAosZF-GUaAC3t6aMt9jKZSC_zMGo8X8kBYaz77Z-uBoy5-P3nJBupOafFcSfYUlJyW4Dtro2a_y508BGCu9IAXqvOUVjVUvNFdIf6DyDR9Bq4GcqcRtwGRCaF9VQk2OkmktjP4jUYlM4yy68yze_ZXuYmWCnOc8vdpoVQKNlbBSMCb60xoI3-hacFfxni1TaVti5uJNmJ1Thmt43X2SpubNC-ldxkUNw2TVUiuErlnrssfUAKqnjw5zXDV9Zd9OOWMsYAKzsrx89fuJKyBBDbEpCQN3fREjuwQZIDuv4DXI3EQguPhlDN24ha94m5aK-ki_YMtb3Ed9s&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAMJlSp1IyzJI58J9pMvGOp7AEfda2PjqW4JsF3J7vpZeiNENhEp3BdMlWjjT5gyAXXfffqqElGGdwvtGYMn7cFPeGzCLFOGw2zmycUsv6Bhi5nsRtJu4nTxImtQn9iC4HnlacWm5SVj2q_5m1bWWyz5biMnWtATPcWKsZc26jGIaFc46CWk7jvc37d9vZhq7-b7zws8FvuMsRzWbwLDpwk_20v0thLK56k75dhaEHfCd7woa_ZczIYFJ6PFFVCWzGrUNzz3o5hMeRwovpTQB0nEZ8EWU8lZC8eONAm_pRdQyD_uWCnXplAwl2YWe7JLlH1tSdUHQb4JcqLXKJsm_RHubkgSk296DnLzI07aDm3QpU2ngK4TlpbVWTN6rEkFgT9to4h0ZhO1t6GJLkJ_y4PU4h8yw5VqhScI8qk0ObmCTMlLH653CoExsjqQKo6QOLSvxYnh9-NikkHBhxlI87RQZlaiKg%26as%3DS1947017247%253A1683921622716175%26client_id%3D787748131798-nfe9lgg5nr0sf6q6dtu6pru2e7vdrh6h.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fiap.googleapis.com&rart=ANgoxcdb0895wXDW_vCMjy3cppZukGLVjHGBBgHutNHQP2p2GwC26dT4Moj97VmlQsVUsOGmRPZmSP9-7N8oEPOBYCYrnIQDrg,True
help.mollie.com,Security check,403,7768,cloudflare,443,https://help.mollie.com:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,103,False,True,help.mollie.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T23:40:27Z,2023-07-31T23:40:26Z,CN=help.mollie.com,help.mollie.com,,help.mollie.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4b81c7b6295359c3c296d678654db612,f269a6999799065c8b8159f9c046df320559bebc5aea02e806232eb62af50174,ctls,help.mollie.com,,https://help.mollie.com/hc/en-us,
https://api.mixpanel.com,Mixpanel API,200,205,google,443,https://api.mixpanel.com:443,https,envoy,text/html,GET,35.186.241.51,/,2028370544,35.190.25.25,Google Cloud CDN,11,False,True,api.mixpanel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.mixpanel.com,*.mixpanel.com,,mixpanel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9de3177e2f0aeca9d197e5cfb99d784a,d0d3af37fb07a2a39f463802f3ef15b06b258c5068a987d54cbd37b5843906f5,ctls,api.mixpanel.com,,,True
https://cdn.mxpnl.com,Page not found - Mixpanel | Product Analytics,404,3310,google,443,https://cdn.mxpnl.com:443,https,UploadServer,text/html,GET,130.211.5.208,/,-1155933505,2600:1901:0:498c::,HTTP/3,105,False,True,cdn.mxpnl.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-11T00:00:00Z,2023-07-28T23:59:59Z,CN=*.mxpnl.com,*.mxpnl.com,,mxpnl.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",44850e2537d45b41ce620b2ebad2674c,3546f8014e0506436a5bfe879ff2c89f868b92da2e63590e25c67e3a1013149f,ctls,cdn.mxpnl.com,,,True
https://images.ctfassets.net,,404,109,cloudfront,443,https://images.ctfassets.net:443,https,CloudFront,application/json,GET,13.32.27.50,/,-1759937580,2600:9000:211e:5c00:12:94b3:c380:93a1,Amazon Web Services,7,False,True,images.ctfassets.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-16T23:59:59Z,CN=images.ctfassets.net,images.ctfassets.net,,images.ctfassets.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0fe1f56fad6c72aff7f3ea2d4cc4472a,5287ae8cf6fb5a88eebdd42e2e7da60dee3d89200c8362212fd46307318a24de,ctls,images.ctfassets.net,,,
https://stats.g.doubleclick.net,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,,443,https://stats.g.doubleclick.net:443,https,sffe,text/html,GET,108.177.15.157,/,302920777,2a00:1450:400c:c06::9d,HTTP/3,1831,False,,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,True
https://tagmanager.google.com,Google Analytics,200,159856,,443,https://tagmanager.google.com:443,https,ESF,text/html,GET,142.250.184.206,/,1327697406,2a00:1450:4001:813::200e,HTTP/3,124,False,,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,,https://accounts.google.com/v3/signin/identifier?dsh=S420282989%3A1683921623880425&continue=https%3A%2F%2Ftagmanager.google.com%2F&followup=https%3A%2F%2Ftagmanager.google.com%2F&ifkv=Af_xneE85Laa7c8LfYjNeME4EP42FiqjDVX-z4idfTAbXqu1jL3OoXbVPrtRs5U4UQxpwS2gMZgYtA&passive=1209600&service=analytics&flowName=WebLiteSignIn&flowEntry=ServiceLogin,True
https://www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,,443,https://www.google-analytics.com:443,https,sffe,text/html,GET,172.217.16.206,/,302920777,2a00:1450:4001:80b::200e,HTTP/3,1831,False,,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,True
info.mollie.com,Mollie - Accept online payments today.,200,181040,,443,https://info.mollie.com:443,https,nginx,text/html,GET,199.60.103.31,/,1057249548,2606:2c40::c73c:67e1,Yoast SEO:19.14,1401,False,,www.mollie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-22T00:00:00Z,2023-12-06T23:59:59Z,CN=mollie.com,mollie.com,,www.mollie.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,398d5c8c24880f5d3c4ea14347157317,f95d97edcb4425e410b7a136697a269dc73a798d999d86fbcd9c0f4806f88971,ctls,www.mollie.com,,https://www.mollie.com/,
jobs.mollie.com,Driven by love - Mollie jobs,200,70551,,443,https://jobs.mollie.com:443,https,,text/html,GET,37.97.224.112,/,-65173609,37.97.224.113,HSTS,92,False,,jobs.mollie.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-27T00:00:00Z,2023-07-27T23:59:59Z,CN=jobs.mollie.com,jobs.mollie.com,,jobs.mollie.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,f8f698bd90d54482966ebe9582c7db43,e65396b4021dbf529e08ef84e05c84e134148ec232bdf94d9558d970f46a5613,ctls,jobs.mollie.com,,https://jobs.mollie.com/en/,
js.mollie.com,404 Not Found,404,315,,443,https://js.mollie.com:443,https,Apache,text/html,GET,79.171.83.60,/,-265028079,79.171.83.60,Apache,10,False,,js.mollie.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-22T00:00:00Z,2023-11-22T23:59:59Z,CN=pay.mollie.nl,pay.mollie.nl,,pay.mollie.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,1ca0955248a9be6eec59c07e6123fab3,d49e51469eebd8ee82255821d4d1538d80c2dcb4d908deb4d061c570316b4544,ctls,js.mollie.com,,,
lightspeed.mollie.com,,401,32,google,443,https://lightspeed.mollie.com:443,https,,application/json,GET,34.117.156.210,/,1567662958,34.117.156.210,HTTP/3,1,False,True,lightspeed.mollie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-06T05:03:03Z,2023-07-05T05:03:02Z,CN=lightspeed.mollie.com,lightspeed.mollie.com,,lightspeed.mollie.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b587a38748f6e7dc7e0a608689d797d4,0f1202f0540e55e3c318e7c69844864a125419845ad8c90eebc1ff604d939dc9,ctls,lightspeed.mollie.com,,,
marketing.mollie.com,403 - Forbidden: Access is denied.,403,1233,,443,https://marketing.mollie.com:443,https,,text/html,GET,159.92.128.135,/,1631801191,159.92.128.135,,30,False,,marketing.mollie.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=marketing.mollie.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",marketing.mollie.com,"Salesforce.com, Inc.",marketing.mollie.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9b107683c49b3f13b4e3b65dfcc59699,02555ce14ee37088362e86a04f152dfbd03110723cfc61a01f08842d7ddb2c77,ctls,marketing.mollie.com,,,
mollie.com,Mollie - Accept online payments today.,200,180985,google,443,https://mollie.com:443,https,nginx,text/html,GET,34.111.71.221,/,-1840324437,34.111.71.221,Yoast SEO:19.14,1401,False,True,www.mollie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-22T00:00:00Z,2023-12-06T23:59:59Z,CN=mollie.com,mollie.com,,www.mollie.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,398d5c8c24880f5d3c4ea14347157317,f95d97edcb4425e410b7a136697a269dc73a798d999d86fbcd9c0f4806f88971,ctls,www.mollie.com,,https://www.mollie.com/,
my.mollie.com,Mollie - Accept online payments today.,200,181040,google,443,https://my.mollie.com:443,https,nginx,text/html,GET,34.111.71.221,/,1367668027,34.111.71.221,Yoast SEO:19.14,1401,False,True,www.mollie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-22T00:00:00Z,2023-12-06T23:59:59Z,CN=mollie.com,mollie.com,,www.mollie.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,398d5c8c24880f5d3c4ea14347157317,f95d97edcb4425e410b7a136697a269dc73a798d999d86fbcd9c0f4806f88971,ctls,www.mollie.com,,https://www.mollie.com/,
partners.mollie.com,Mollie,200,122565,,443,https://partners.mollie.com:443,https,nginx,text/html,GET,34.208.138.94,/,-587888295,44.240.33.19,WordPress:6.1.1,2546,False,,partners.mollie.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-29T23:59:59Z,CN=partners.mollie.com,partners.mollie.com,,partners.mollie.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1e30959b863e311d8d308c6b9bc2229a,f55764730c042ceea5ef083454d2ae9d4e5c6a3fc38f1fb30b006eb0496b39e9,ctls,partners.mollie.com,https:,,
