input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,port,url,scheme,webserver,method,host,path,favicon,a_,lines,failed,tech_,content_type,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,final_url,cdn,tls_mismatched,tls_wildcard_certificate,csp_domains_,tls_self_signed,tls_expired
okanogan.ehub.np.costco.com,,200,145,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,443,https://okanogan.ehub.np.costco.com:443,https,,GET,20.80.202.6,/,,20.80.202.6,1,False,,text/html,okanogan.ehub.np.costco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2021-03-04T00:00:00Z,2022-03-09T23:59:59Z,"CN=aznpea02fgta.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",aznpea02fgta.costco.com,Costco Wholesale Corporation,aznpwe02usdz02fe01.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7f80268c851166c8e795d40b842a436d,3b76ca6884033eb00ffe8dd7b5011958c8c5afb800720f25cd068c19e5ff43c9,ctls,okanogan.ehub.np.costco.com,,,,True,,,,True
olympic.ehub.costco.com,,200,145,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.240.0.0/12,443,https://olympic.ehub.costco.com:443,https,,GET,52.254.28.5,/,,52.254.28.5,1,False,,text/html,olympic.ehub.costco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-03-07T00:00:00Z,2023-03-07T23:59:59Z,"CN=azpdea02fgta.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",azpdea02fgta.costco.com,Costco Wholesale Corporation,azpdea02usdz01fe02.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8f6cfa6474a0ce69f063e97e265fc40b,bfd0be9594c9ab6ff949ddacbaa9b7ab022fb26f97f0f41570c4d7fe41abd6a6,ctls,olympic.ehub.costco.com,azure,,True,True,,,,True
oms2spt.costco.com,BIG-IP logout page,200,5274,AS11283,COSTCO,US,170.167.56.0/23,443,https://oms2spt.costco.com:443,https,BigIP,GET,170.167.48.200,/,878647854,170.167.48.200,131,False,HSTS,text/html,oms2spt.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=oms2spt.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",oms2spt.costco.com,Costco Wholesale Corporation,oms2spt.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ba08a7ba038c06f6cefd01848e8b81f4,1a601378ddb99681d49d433df37142599b4fd47cbf10027c25b09d97e695e9f8,ctls,oms2spt.costco.com,,https://oms2spt.costco.com/my.logout.php3?errorcode=19,,,,,,
online.costco.ca,whatcounts.com,200,713,AS16509,AS16509,Unknown,52.40.0.0/14,443,https://online.costco.ca:443,https,,GET,52.36.173.12,/,-177433616,34.210.132.119,25,False,,text/html,online.costco.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-08-26T23:59:59Z,CN=*.whatcounts.com,*.whatcounts.com,,whatcounts.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e5666d217356a5b1fd22d5be9db0e6e,4eff40e7e5614cba0118eeee31b7ea7ad9a982f82639d17664681ef300cb6ad2,ctls,online.costco.ca,,,,True,True,,,
operations.costco.com,whatcounts.com,200,713,AS16509,AS16509,Unknown,34.208.0.0/12,443,https://operations.costco.com:443,https,,GET,34.210.132.119,/,-177433616,52.36.173.12,25,False,,text/html,operations.costco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-08-26T23:59:59Z,CN=*.whatcounts.com,*.whatcounts.com,,whatcounts.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e5666d217356a5b1fd22d5be9db0e6e,4eff40e7e5614cba0118eeee31b7ea7ad9a982f82639d17664681ef300cb6ad2,ctls,operations.costco.com,,,,True,True,,,
order-sameday.costco.ca,Same-day Delivery,200,7692,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,443,https://order-sameday.costco.ca:443,https,cloudflare,GET,104.18.1.87,/,1126835021,2606:4700::6812:157,1,False,HTTP/3,text/html,sameday.costco.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-29T00:00:00Z,2023-06-29T23:59:59Z,"CN=sameday.costco.ca, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",sameday.costco.ca,Costco Wholesale Corporation,sameday.costco.ca,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8782330db6c21bdf2b4766459d331489,7e204dfd8da65c860c3cde9b5556e942f2776f5345fe71447181e240dfb4b54d,ctls,sameday.costco.ca,cloudflare,https://sameday.costco.ca,True,,,https://sameday.costco.ca,,
order-sameday.costco.com,Costco Same-Day Delivery,200,7570,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,443,https://order-sameday.costco.com:443,https,cloudflare,GET,104.18.24.107,/,1126835021,2606:4700::6812:186b,1,False,HTTP/3,text/html,sameday.costco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-30T00:00:00Z,2023-08-30T23:59:59Z,"CN=sameday.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",sameday.costco.com,Costco Wholesale Corporation,beta-sameday.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f5a8c8ffc673fd7406ed688eaa09edb6,3823ef31f8d15b1460c806f1c1a366953b996d672c6de91c6e7c87ae1d96c6ae,ctls,sameday.costco.com,cloudflare,https://sameday.costco.com,True,,,https://sameday.costco.com,,
order-sameday.costcobusinessdelivery.com,Costco Same-Day Delivery,200,7615,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,443,https://order-sameday.costcobusinessdelivery.com:443,https,cloudflare,GET,104.18.5.156,/,1126835021,2606:4700::6812:49c,1,False,HTTP/3,text/html,sameday.costcobusinessdelivery.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-02T00:00:00Z,2023-06-02T23:59:59Z,"CN=sameday.costcobusinessdelivery.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",sameday.costcobusinessdelivery.com,Costco Wholesale Corporation,sameday.costcobusinessdelivery.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7c611b2b692de404f2b30276107540d0,ecc2d5cac10c9c8c23fb10b781101634a9c142ad857ab2dd9d94f120cbdb6756,ctls,sameday.costcobusinessdelivery.com,cloudflare,https://sameday.costcobusinessdelivery.com,True,,,https://sameday.costcobusinessdelivery.com,,
origin.baliblinds-qa.costco.com,,503,62,AS4181,TDS-AS,US,69.130.0.0/15,443,https://origin.baliblinds-qa.costco.com:443,https,,GET,69.129.253.151,/,107704025,69.129.253.151,1,False,,,origin.baliblinds-qa.costco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-20T00:00:00Z,2024-02-20T23:59:59Z,"CN=baliblinds-qa.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",baliblinds-qa.costco.com,Costco Wholesale Corporation,origin.baliblinds-qa.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1f5b7d99d72da5c0dd2a4332c7c08e35,3ae417eaffc5f39dfa72fe026729e27006d7d5551109e8c91e7047e6914a7eb8,ctls,origin.baliblinds-qa.costco.com,,,,,,,,
origin.baliblinds.costco.ca,,503,62,AS4181,TDS-AS,US,69.130.0.0/15,443,https://origin.baliblinds.costco.ca:443,https,,GET,69.129.253.153,/,107704025,69.129.253.153,1,False,,,origin.baliblinds.costco.ca,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-14T00:00:00Z,2023-07-14T23:59:59Z,"CN=baliblinds.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",baliblinds.costco.com,Costco Wholesale Corporation,origin.baliblinds.costco.ca,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7e72e2abb17facff379d53e49c610b31,e085ed113d287a03e4908372f4f2b2fbbcf7982fbff0713229bd0cb8ba6201a1,ctls,origin.baliblinds.costco.ca,,,,,,,,
origin.baliblinds.costco.com,,503,62,AS4181,TDS-AS,US,69.130.0.0/15,443,https://origin.baliblinds.costco.com:443,https,,GET,69.129.253.153,/,107704025,69.129.253.153,1,False,,,origin.baliblinds.costco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-14T00:00:00Z,2023-07-14T23:59:59Z,"CN=baliblinds.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",baliblinds.costco.com,Costco Wholesale Corporation,origin.baliblinds.costco.ca,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7e72e2abb17facff379d53e49c610b31,e085ed113d287a03e4908372f4f2b2fbbcf7982fbff0713229bd0cb8ba6201a1,ctls,origin.baliblinds.costco.com,,,,,,,,
origin.cpsia-qa.costco.com,Microsoft Azure Web App - Error 404,404,2667,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.119.128.0/18,443,https://origin.cpsia-qa.costco.com:443,https,,GET,40.112.243.7,/,387302845,40.112.243.7,87,False,,text/html,origin.cpsia-qa.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,ctls,origin.cpsia-qa.costco.com,azure,,True,True,True,,,
origin.eyeglasses-qa.costco.com,Microsoft Azure Web App - Error 404,404,2667,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,443,https://origin.eyeglasses-qa.costco.com:443,https,,GET,20.49.104.14,/,387302845,20.49.104.14,87,False,,text/html,origin.eyeglasses-qa.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,ctls,origin.eyeglasses-qa.costco.com,azure,,True,True,True,,,
origin.glasses.costco.com,,400,194,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.95.80.0/21,443,https://origin.glasses.costco.com:443,https,,GET,40.90.64.5,/,-1689768233,2620:1ec:27::cafe:2250,1,False,,,origin.glasses.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T10:26:00Z,2024-04-14T10:26:00Z,"CN=*.azureedge.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azureedge.net,Microsoft Corporation,*.streaming.mediaservices.windows.net,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,1cf60e102bec7fce7f39e618a6491cd9,f3b7f233a835735a9539a9fe92a3fdfb197264097ea4a61575badffa784239c1,ctls,origin.glasses.costco.com,,,,True,True,,,
origin.storelocator-geocode-perf.costco.com,Microsoft Azure Web App - Error 404,404,2667,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.45.128.0/20,443,https://origin.storelocator-geocode-perf.costco.com:443,https,,GET,20.42.128.107,/,387302845,20.42.128.107,87,False,,text/html,origin.storelocator-geocode-perf.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,ctls,origin.storelocator-geocode-perf.costco.com,azure,,True,True,True,,,
origin.storelocator-geocode-prod.costco.com,Microsoft Azure Web App - Error 404,404,2667,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,443,https://origin.storelocator-geocode-prod.costco.com:443,https,,GET,20.115.232.7,/,387302845,20.115.232.7,87,False,,text/html,origin.storelocator-geocode-prod.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,ctls,origin.storelocator-geocode-prod.costco.com,,,,True,True,,,
origin.storelocator-geocode-qa.costco.com,Microsoft Azure Web App - Error 404,404,2667,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,443,https://origin.storelocator-geocode-qa.costco.com:443,https,,GET,20.115.232.7,/,387302845,20.115.232.7,87,False,,text/html,origin.storelocator-geocode-qa.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,ctls,origin.storelocator-geocode-qa.costco.com,,,,True,True,,,
pftest.logistics.costco.com,Welcome to Costco Logistics,200,3853,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,443,https://pftest.logistics.costco.com:443,https,Apache/2.4.6 (Red Hat Enterprise Linux),GET,20.69.127.48,/,-657990613,20.69.127.48,1,False,Red Hat,text/html,pftest.logistics.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-20T00:00:00Z,2023-06-20T23:59:59Z,"CN=pftest.logistics.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",pftest.logistics.costco.com,Costco Wholesale Corporation,pftest.logistics.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b13834977d7d9261dfd765eb54611699,d7a5eea0727f87ef7751a81355fbc2484b5d0ddac4ba7ade544a6b4958a435a0,ctls,pftest.logistics.costco.com,,,,,,,,
pftestbusiness.logistics.costco.com,Welcome to Costco Logistics,200,3463,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,443,https://pftestbusiness.logistics.costco.com:443,https,Apache/2.4.6 (Red Hat Enterprise Linux),GET,20.69.127.48,/,-657990613,20.69.127.48,1,False,Red Hat,text/html,pftestbusiness.logistics.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-05T00:00:00Z,2023-08-08T23:59:59Z,"CN=pftestbusiness.logistics.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",pftestbusiness.logistics.costco.com,Costco Wholesale Corporation,pftestbusiness.logistics.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1dd3d51f326beb588933d6e5556d8c8f,d3f78ba527ac3fc3becfd3431560e5c8e8e098bf30ec0444e1f9eb9c2343d9cb,ctls,pftestbusiness.logistics.costco.com,,,,,,,,
prdedfdatalake.costco.com,,200,135,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.240.0.0/12,443,https://prdedfdatalake.costco.com:443,https,,GET,52.250.87.0,/,,52.250.87.0,1,False,,text/html,prdedfdatalake.costco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-03-07T00:00:00Z,2023-03-07T23:59:59Z,"CN=azpdea02fgta.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",azpdea02fgta.costco.com,Costco Wholesale Corporation,azpdea02usdz01fe02.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8f6cfa6474a0ce69f063e97e265fc40b,bfd0be9594c9ab6ff949ddacbaa9b7ab022fb26f97f0f41570c4d7fe41abd6a6,ctls,prdedfdatalake.costco.com,azure,,True,True,,,,True
preprod-tires.costco.ca,Shop for Tires  |  Costco Tires,200,134791,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,443,https://preprod-tires.costco.ca:443,https,Microsoft-IIS/10.0,GET,95.101.111.162,/,1772087922,95.101.111.176,2523,False,Windows Server,text/html,preprod-tires.costco.ca,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T00:00:00Z,2024-01-12T23:59:59Z,"CN=mobilecontent-qa.costco.com, O=Costco Wholesale CORPORATION, L=Issaquah, ST=Washington, C=US",mobilecontent-qa.costco.com,Costco Wholesale CORPORATION,www-vqa9.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,16e0db74a3f4e630086e508e268a0cfc,f182373d9609abf701c79e98933e42fc4c096dd7e77ed2463346df48a1906f7c,ctls,preprod-tires.costco.ca,,,,,,,,
preprod-tires.costco.com,Access Denied,403,278,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,443,https://preprod-tires.costco.com:443,https,AkamaiGHost,GET,2.16.181.66,/,58824543,2.20.132.120,10,False,Akamai Bot Manager,text/html,preprod-tires.costco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T00:00:00Z,2024-01-12T23:59:59Z,"CN=mobilecontent-qa.costco.com, O=Costco Wholesale CORPORATION, L=Issaquah, ST=Washington, C=US",mobilecontent-qa.costco.com,Costco Wholesale CORPORATION,www-vqa9.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,16e0db74a3f4e630086e508e268a0cfc,f182373d9609abf701c79e98933e42fc4c096dd7e77ed2463346df48a1906f7c,ctls,preprod-tires.costco.com,,,,,,,,
privacy.costco.com,Sign In,200,10931,AS16839,SNC,US,149.96.32.0/20,443,https://privacy.costco.com:443,https,,GET,149.96.16.41,/,1701804003,149.96.16.41,218,False,ZURB Foundation,text/html,login.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-20T00:00:00Z,2023-06-20T23:59:59Z,"CN=login.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",login.costco.com,Costco Wholesale Corporation,login.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9a45fc130b5e078e08b7ed0ea64ba600,8f7e9f24364b92609364a766f321ea8eab85be87dc18415ef45a55168e00fdba,ctls,login.costco.com,,https://login.costco.com/idp/SSO.saml2?SAMLRequest=nVNNj5swEP0ryHe%2BE5ZaIRIlqhppP6JAe%2BjNMZOsJbCpx5Dsvy%2BQsMuhG1U9IXnezHvz3rBCVldBQ9PWvMo9%2FG4BjXWpK4n0WklIqyVVDAVSyWpAajjN06dHGjgebbQyiquKWCkiaCOUzJTEtgadg%2B4Ehx%2F7x4S8GtMgdd1Gi47xN4crNFz1n9qVrGvYCZxSEWvTkwvJhikfPZU6CTnvEGXj5vmLM%2Boj1jelOYzyE2J0C8TabhKSP2dxyKJFVEbel4fYj73gEHnHiIWHcBkvYPnAeiDuGKLoICFHVuHQitjCVqJh0iQk8ILQ9pa27xW%2BT%2F2AhrHjL8JfxNrd9v4qZCnk6b5JhysI6fei2Nm7l7wYB3SiBP3co%2F%2FZn5%2BgcfSmn0rWq9EAOkrW88zuq2FTUGQ90V7pJnK8BmdLdR4UrNw5z421oYPw7WanKsHfrLSq1DnTwAxMIfSx1Mx8LsV3%2FPFFlPZxhFJMn1LOVSvNMJu471S3s4RyTLm%2FLwMXY2WqbpgWOPgBF8bNuyNzWFb1%2B%2B7h%2BF%2F%2B3IVxyofZ%2FfNwRGely%2BEogPc6C80kNkqbybu%2FKVrfip%2Fs91Ge%2F5rrPw%3D%3D&RelayState=https%3A%2F%2Fprivacy.costco.com%2Fnavpage.do,,,,,,
productsupport.costco.com,Costco Concierge Support | Select manufacturer,200,534999,AS16509,AS16509,Unknown,3.144.0.0/13,443,https://productsupport.costco.com:443,https,,GET,3.138.164.253,/,203045,3.140.60.251,956,False,Font Awesome,text/html,productsupport.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=productsupport.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",productsupport.costco.com,Costco Wholesale Corporation,productsupport.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ee14879b6da239a4bf743569fc29a4c0,e37b5f2185b5ec188167bd650350fe3ac64c49c7e6a4f678773154e10316c007,ctls,productsupport.costco.com,,,,,,,,
remoteaccessqdc.costco.com,NetScaler AAA,200,42775,AS11283,COSTCO,US,170.167.8.0/24,443,https://remoteaccessqdc.costco.com:443,https,Apache,GET,170.167.5.19,/,12023395,170.167.5.19,721,False,Apache,text/html,remoteaccessqdc.costco.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-02-22T00:00:00Z,2024-02-21T23:59:59Z,"CN=remoteaccess.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",remoteaccess.costco.com,Costco Wholesale Corporation,remoteaccessqdc.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1f71008d1051e6745e2007ab522611d1,e7f909ec29253c5c3ce468d6f477b4c580f8eaf9cd2d5abaf342e746996b90e0,ctls,remoteaccessqdc.costco.com,,https://remoteaccessqdc.costco.com/logon/LogonPoint/tmindex.html,,,,,,
restad.costco.com,,200,386,AS11283,COSTCO,US,170.167.56.0/23,443,https://restad.costco.com:443,https,,GET,170.167.55.201,/,756111395,170.167.55.201,6,False,IBM DataPower,text/xml,restad.costco.com,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2022-05-31T00:00:00Z,2023-05-31T23:59:59Z,"CN=restad.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",restad.costco.com,Costco Wholesale Corporation,restad.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6fe07ecaed52bb5a0a54047f83a63529,9cff6d39274c41fee0b3a02069a7909bf8b7c39575eff5907372b6c024f8d34e,ctls,restad.costco.com,,,,,,,,
restsp.costco.com,,200,386,AS11283,COSTCO,US,170.167.56.0/23,443,https://restsp.costco.com:443,https,,GET,170.167.55.205,/,756111395,170.167.55.205,6,False,IBM DataPower,text/xml,restsp.costco.com,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2022-09-20T00:00:00Z,2023-09-20T23:59:59Z,"CN=restsp.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",restsp.costco.com,Costco Wholesale Corporation,restsp.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,edde4fef0401268a09083574cdda40b5,ee595ae477ddbafda417fdef8cf3dc8c3bf7ff232b3ec7ab5f1db7931e2c6fae,ctls,restsp.costco.com,,,,,,,,
rx-vqa3.costco.com,Welcome to Costco Wholesale,200,540941,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,443,https://rx-vqa3.costco.com:443,https,,GET,2.16.181.66,/,,2.20.132.120,11931,False,Java,text/html,rx-vqa3.costco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T00:00:00Z,2024-01-12T23:59:59Z,"CN=mobilecontent-qa.costco.com, O=Costco Wholesale CORPORATION, L=Issaquah, ST=Washington, C=US",mobilecontent-qa.costco.com,Costco Wholesale CORPORATION,www-vqa9.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,16e0db74a3f4e630086e508e268a0cfc,f182373d9609abf701c79e98933e42fc4c096dd7e77ed2463346df48a1906f7c,ctls,rx-vqa3.costco.com,,,,,,,,
