new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,txt,ns,caa,has_internal_ips,internal_ips
[x],digital.costco.ca,192.243.228.1,,digital.costco.ca.cname.cjm.adobe.com,"ns-1984.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,va7.feedback.adobe.net,v=spf1 redirect=_spf.digital.costco.ca.cname.cjm.adobe.com,"ns-1283.awsdns-32.org, ns-143.awsdns-17.com, ns-1984.awsdns-56.co.uk, ns-603.awsdns-11.net","awstrust.com, digicert.com",,
[x],digital.costco.com,192.243.228.1,,digital.costco.com.cname.cjm.adobe.com,"ns-1984.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,va7.feedback.adobe.net,v=spf1 redirect=_spf.digital.costco.com.cname.cjm.adobe.com,"ns-1283.awsdns-32.org, ns-603.awsdns-11.net, ns-1984.awsdns-56.co.uk, ns-143.awsdns-17.com","awstrust.com, digicert.com",,
[x],drvat.costco.com,170.167.200.194,,"drvat.trafficmanager.net, vatidc.costco.com","a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],eam.costco.com,170.167.101.193,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],eamspt.costco.com,170.167.48.193,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ecc.costco.com,,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],eccspt.costco.com,170.167.57.194,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],eccspt4.costco.com,170.167.57.199,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ecmadt1.costco.com,170.167.250.56,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ecmadt2.costco.com,170.167.250.6,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ecmprod.costco.com,170.167.250.137,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ecmqat.costco.com,170.167.250.133,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ecmspt.costco.com,170.167.250.134,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ecmspt1.costco.com,170.167.50.202,,loginnp.costco.com,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ecmstg.costco.com,170.167.250.144,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ecom-api-qat.costco.com,"2.16.181.66, 2.16.181.72","2a02:26f0:1700:11::b856:678c, 2a02:26f0:1700:11::b856:678b","ecom-api-qat.costco.com.edgekey.net, e68349.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ecom-api-spt.costco.com,"95.100.104.14, 95.100.104.24","2a02:26f0:c900:9::5f65:4a91, 2a02:26f0:c900:9::5f65:4a96","ecom-api-spt.costco.com.edgekey.net, e68349.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ecommerce.costco.com,"34.210.132.119, 52.36.173.12",,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,bounce.whatcounts.com,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,,,,
[x],edi.costco.com,170.167.102.197,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ediqat.costco.com,170.167.49.195,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],edispt.costco.com,170.167.49.196,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],eforms.costco.com,170.167.108.196,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],eformstest.costco.com,170.167.108.197,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],em7412.digitalshopcards.costco.ca,,,u22196623.wl124.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,mx.sendgrid.net,v=spf1 ip4:167.89.72.113 -all,,,,
[x],email.costco.ca,"34.210.132.119, 52.36.173.12",,response.wc07.net,"ns1.whatcounts.com, hostmaster.wc07.net",NOERROR,,,bounce.whatcounts.com,"v=spf1 ip4:207.170.245.128/25 ip4:74.203.48.0/23 ip4:74.203.57.0/24 ip4:174.46.206.0/23 ip4:209.49.182.1/23 ip4:66.238.238.0/24,  ip4:209.49.12.0/24 ip4:67.90.142.0/24 ip4:54.68.98.211 a mx ~all",,,,
[x],email.online.costco.com,173.226.200.13,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],emd.costco.com,"166.78.68.190, 169.72.44.210, 166.78.68.189",,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],empleo.costco.com,82.98.154.146,,costco.trabajando.es,"ns.dinahosting.com, dnsadmin.dinahosting.com",NOERROR,,,,,,,,
[x],enterprisebi.costco.com,170.167.103.202,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],enterpriseenrollment.np.costco.com,13.74.111.192,,"manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,,,
[x],enterpriseregistration.np.costco.com,20.190.137.40,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net","internal.akadns.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,,
[x],ess.costco.com,170.167.111.193,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],esssbx.costco.com,170.167.57.195,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],essspt.costco.com,170.167.57.193,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],evc.costco.com,170.167.117.254,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],extranet.costco.com,170.167.108.194,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],eyeglasses-qa.costco.com,,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],fgwent.costco.com,,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],file1.costco.com,170.167.102.196,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],finance.costco.com,"52.36.173.12, 34.210.132.119",,response.wc07.net,"ns1.whatcounts.com, hostmaster.wc07.net",NOERROR,,,bounce.whatcounts.com,"v=spf1 ip4:207.170.245.128/25 ip4:74.203.48.0/23 ip4:74.203.57.0/24 ip4:174.46.206.0/23 ip4:209.49.182.1/23 ip4:66.238.238.0/24,  ip4:209.49.12.0/24 ip4:67.90.142.0/24 ip4:54.68.98.211 a mx ~all",,,,
[x],forms.costco.com,20.82.13.59,,"blue-dune-004b7af1e.2.azurestaticapps.net, azurestaticapps2.trafficmanager.net, msha-slice-2-am2-0.msha-slice-2-am2-0-ase.p.azurewebsites.net, waws-prod-am2-7afcdb2f.sip.p.azurewebsites.windows.net","ns1-05.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],freighttracking.costco.ca,"54.83.89.9, 23.23.7.124",,costco-tracking-ca.getconvey.com,"ns-409.awsdns-51.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],freighttracking.costco.com,"23.23.7.124, 54.83.89.9",,costco-tracking.getconvey.com,"ns-409.awsdns-51.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],fsststest.costco.com,170.167.103.202,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],geocodeservice-perf.costco.com,"2.16.241.153, 2.16.241.144",,"geocodeservice-perf.costco.com.edgekey.net, e68349.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],geocodeservice-qa.costco.com,"173.222.106.155, 173.222.106.194",,"geocodeservice-qa.costco.com.edgekey.net, e68349.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],geocodeservice.costco.com,2.19.225.19,,"geocodeservice.costco.com.edgekey.net, e9783.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],glasses-admin-uat.costco.com,20.49.104.14,,"costco-optical-admin-uat.azurewebsites.net, waws-prod-blu-213.sip.azurewebsites.windows.net, waws-prod-blu-213-85fe.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],glasses-admin-uat2.costco.com,20.49.104.14,,"costco-optical-admin-uat2.azurewebsites.net, waws-prod-blu-213.sip.azurewebsites.windows.net, waws-prod-blu-213-85fe.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],glasses-admin.costco.com,"13.107.238.45, 13.107.237.45",2620:1ec:27::cafe:1501,"ecommcostcousp2fde-hfcbcvd3hrdmczfr.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, global-entry-fb-afdthirdparty-unicast-first.trafficmanager.net, bru30r3.msedge.net, cph30r3.msedge.net, part-0017.t-0009.fb-t-msedge.net","ns1.msedge.net, msnhst.microsoft.com, ns1.fdv2-t-msedge.net, ns1.fb-t-msedge.net",NOERROR,,,,,,,,
[x],glasses-api.costco.com,104.212.67.86,2620:1ec:27::cafe:1993,"ecommcostcousp2fde-hfcbcvd3hrdmczfr.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, global-entry-fb-afdthirdparty-unicast-first.trafficmanager.net, mil30r3.msedge.net, hel01r3a.msedge.net, muc30r3a.msedge.net, gva30r3a.msedge.net, sof01r3a.msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.msedge.net, msnhst.microsoft.com, ns1.fdv2-t-msedge.net",NOERROR,,,,,,,,
[x],glasses-qa.costco.com,,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],glasses-uat.costco.com,20.49.104.14,,"costco-optical-uat.azurewebsites.net, waws-prod-blu-213.sip.azurewebsites.windows.net, waws-prod-blu-213-85fe.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],glasses-uat2.costco.com,20.49.104.14,,"costco-optical-uat2.azurewebsites.net, waws-prod-blu-213.sip.azurewebsites.windows.net, waws-prod-blu-213-85fe.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],glasses.costco.com,88.221.169.41,"2a02:26f0:480:29d::2637, 2a02:26f0:480:28d::2637","glasses.costco.com.edgekey.net, e9783.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],gmail-capture.costco.com,20.115.232.8,,"gmail-capture-prd-prd.azurewebsites.net, waws-prod-mwh-099.sip.azurewebsites.windows.net, waws-prod-mwh-099-06b4.westus2.cloudapp.azure.com","ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],hcmbobjspt.costco.com,170.167.50.202,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],hub.costco.com,170.167.101.194,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],hubspt.costco.com,170.167.48.194,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],hydra.costco.com,12.219.189.163,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],icg1.costco.com,52.250.87.13,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,,
[x],icg3.costco.com,52.250.87.16,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,,
[x],icg4.costco.com,52.250.87.17,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,,
[x],iglfw.costco.com,52.250.87.15,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,,
[x],images.costcobusinessdelivery.com,173.223.113.26,,"images.costcobusinessdelivery.com.edgekey.net, e9783.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],internationalaccess.costco.com,170.167.105.21,,"internationalaccess.trafficmanager.net, internationalaccesswdc.costco.com","a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],internationalaccessqdc.costco.com,170.167.5.21,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],investor.costco.com,"162.159.130.11, 162.159.129.11","2606:4700:7::a29f:810b, 2606:4700:7::a29f:820b","costco2022ir-farm.q4web.com, webfarm-31002.q4web.com, webfarm-300.q4web.com, cloudflare.cdn.web.prd.q4inc.com, cloudflare.cdn.web.prd.q4inc.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],jobbank.costco.ca,170.167.103.202,,login.costco.com,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],jobbank.costco.com,170.167.103.202,,login.costco.com,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],jobbankspt.costco.ca,,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],kronosadtnp.costco.com,170.167.50.202,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],kronosmobile.costco.com,170.167.103.202,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],kronosqatnp.costco.com,170.167.50.202,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],kronossptnp.costco.com,170.167.50.202,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],link.costco.com,"167.89.118.83, 167.89.123.54, 167.89.123.124, 167.89.118.52",,sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"mx2.sendgrid.net, mx.sendgrid.net","p8bnb2lp424dkl3c4io1aemiei, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, mailru-verification: 2e3995fa8a7d00e0","ns11.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns12.dnsmadeeasy.com","godaddy.com, amazonaws.com",,
[x],loginnp.costco.com,,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],logistics.costco.com,20.69.152.48,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,,,,
[x],lwbbpm01094s01.spt.np.costco.com,,,,"appnsa01223p01.costco.com, admincontact.costco.com",NOERROR,,,,,,,,
[x],m.costco.ca,104.103.65.86,,"m.costco.ca.edgekey.net, e9783.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],m.costco.com,23.213.165.107,,"m.costco.com.edgekey.net, e9783.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],m.costcobusinesscentre.ca,23.206.209.20,,"m.costcobusinesscentre.ca.edgekey.net, e9783.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],m.vdevint4.costco.ca,170.167.63.48,,origin-vdev4.costco.ca,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],m.vdevint4.costco.com,170.167.63.49,,origin-vdev4.costco.com,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],m.vqa2.costco.ca,"23.50.55.43, 23.50.55.49",,"m.vqa2.costco.ca.edgekey-staging.net, e68349.a.akamaiedge-staging.net","n0a.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],magasiner-memejour.costco.ca,"65.9.86.60, 65.9.86.26, 65.9.86.50, 65.9.86.40",,pbi2.instacart.com,"ns-589.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-132.awsdns-16.com, ns-1394.awsdns-46.org, ns-1943.awsdns-50.co.uk, ns-589.awsdns-09.net",,,
[x],measure.costco.com,170.167.107.5,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],measuredata.costco.com,170.167.107.5,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
