new,host,a,aaaa,cname,soa,status_code,has_internal_ips,internal_ips,ns,cdn,cdn-name,txt,mx,caa,ptr
[x],checkmarx.mypaytm.com,"172.21.50.181, 172.21.50.204",,internal-checkmarx-1423914588.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.21.50.181, 172.21.50.204",,,,,,,
[x],cheque-preprod-internal.paytmbank.com,"172.23.72.65, 172.23.72.239",,internal-k8s-eksmwpre-ingressm-601c1f2e48-454136603.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.23.72.65, 172.23.72.239",,,,,,,
[x],ci.movies-internal.paytm.com,10.90.3.115,,,"ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,True,10.90.3.115,,,,,,,
[x],ci.paytmmoney.com,"43.205.17.240, 13.234.181.139",,devops-jenkins-master-1300030724.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1498.awsdns-59.org, ns-1568.awsdns-04.co.uk, ns-329.awsdns-41.com, ns-836.awsdns-40.net",,,,,,
[x],cif-staging.paytm.in,,,cif-staging.paytm.in.edgekey.net,,NOERROR,,,,,,,,,
[x],cisonar.mypaytm.com,"35.154.136.131, 65.1.115.16",,happy-donut-519067738.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],class.paytmmoney.com,"10.67.43.125, 10.67.26.11",,internal-prod-class-app-alb-354949300.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"10.67.43.125, 10.67.26.11",,,,,,,
[x],cloud.paytm.ca,"34.141.55.250, 3.72.140.173","2a05:d014:275:cb00::c8, 2a05:d014:275:cb02::c8",paytm-cloud.netlify.com,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,google,,,,
[x],cloud.paytm.com,"34.159.137.246, 34.141.55.250","2a05:d014:275:cb01::c8, 2a05:d014:275:cb00::c8",paytm-cloud.netlify.com,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,google,,,,
[x],community.paytmmoney.com,"18.244.155.30, 18.244.155.129, 18.244.155.2, 18.244.155.110",,pwc.insider.in,"ns-321.awsdns-40.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
[x],compliance.paytm.com,"13.234.140.61, 13.234.139.222",,marketplace-compliance-mb-1282421361.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],coms-eks-origin.paytmbank.com,"65.2.28.53, 13.127.176.18",,k8s-comsexternal-5f52635c5d-726476352.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],coms.paytm.com,,,coms.paytm.com.edgekey.net,,NOERROR,,,,,,,,,
[x],coms.paytmbank.com,23.42.199.218,"2a02:26f0:c900:294::1957, 2a02:26f0:c900:29d::1957","coms.paytmbank.com.edgekey.net, e6487.dscj.akamaiedge.net","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],conf.ap-northeast-1.staging.paypay.gm.pai.mypaytm.com,,,nginx-20211027112538111300000001-539143657.ap-northeast-1.elb.amazonaws.com,"ns-1683.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],config.hero.paytm.ca,"18.66.97.69, 18.66.97.123, 18.66.97.43, 18.66.97.93","2600:9000:223c:6600:15:ae42:adc0:93a1, 2600:9000:223c:3e00:15:ae42:adc0:93a1, 2600:9000:223c:f000:15:ae42:adc0:93a1, 2600:9000:223c:8c00:15:ae42:adc0:93a1, 2600:9000:223c:de00:15:ae42:adc0:93a1, 2600:9000:223c:9c00:15:ae42:adc0:93a1, 2600:9000:223c:1200:15:ae42:adc0:93a1, 2600:9000:223c:ba00:15:ae42:adc0:93a1",d3oniop5jhgbef.cloudfront.net,"ns-822.awsdns-38.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1320.awsdns-37.org, ns-1776.awsdns-30.co.uk, ns-189.awsdns-23.com, ns-822.awsdns-38.net",True,cloudfront,,,,
[x],confluence.mypaytm.com,,,,,NOERROR,,,,,,,,,
[x],content.ad.paytm.com,52.219.66.58,,,"ns-1658.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],control-office-panel.mypaytm.com,"172.21.60.241, 172.21.60.221",,internal-daas-devops-all-app-alb-1542792226.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.21.60.241, 172.21.60.221","ns-1498.awsdns-59.org, ns-1568.awsdns-04.co.uk, ns-329.awsdns-41.com, ns-836.awsdns-40.net",,,,,,
