input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,lines,cdn,webserver,tech_,tls_subject_org_
6-sync-prod-eu1.app.asana.com,Log in - Asana,,22195,6-sync-prod-eu1.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,6-sync-prod-eu1.app.asana.com,443,https://6-sync-prod-eu1.app.asana.com:443,https,text/html,GET,34.227.129.202,11,,nginx,PayPal,
62818201.app.asana.com,Log in - Asana,,22212,62818201.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,62818201.app.asana.com,443,https://62818201.app.asana.com:443,https,text/html,GET,34.227.129.202,11,,nginx,PayPal,
6310997.asana.com,Asana,,6877,6310997.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,6310997.asana.com,443,https://6310997.asana.com:443,https,text/html,GET,34.226.53.8,121,,nginx,PayPal,
66275025.app.asana.com,Log in - Asana,,22200,66275025.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,66275025.app.asana.com,443,https://66275025.app.asana.com:443,https,text/html,GET,54.152.19.51,11,,nginx,PayPal,
66620184.app.asana.com,Move Work Forward - Asana,,3878,66620184.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,66620184.app.asana.com,443,https://66620184.app.asana.com:443,https,text/html,GET,34.227.129.202,30,,nginx,PayPal,
68808897.app.asana.com,Move Work Forward - Asana,,3878,68808897.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,68808897.app.asana.com,443,https://68808897.app.asana.com:443,https,text/html,GET,34.226.53.8,30,,nginx,PayPal,
73953839.app.asana.com,Asana,,6922,73953839.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,73953839.app.asana.com,443,https://73953839.app.asana.com:443,https,text/html,GET,34.231.47.205,121,,nginx,PayPal,
73994258.asana.com,Asana,,6914,73994258.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,73994258.asana.com,443,https://73994258.asana.com:443,https,text/html,GET,34.226.53.8,121,,nginx,PayPal,
78228133.app.asana.com,Move Work Forward - Asana,,3878,78228133.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,78228133.app.asana.com,443,https://78228133.app.asana.com:443,https,text/html,GET,54.152.19.51,30,,nginx,PayPal,
80326832.app.asana.com,Asana,,6922,80326832.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,80326832.app.asana.com,443,https://80326832.app.asana.com:443,https,text/html,GET,54.152.19.51,121,,nginx,PayPal,
81854599.app.asana.com,Asana,,6922,81854599.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,81854599.app.asana.com,443,https://81854599.app.asana.com:443,https,text/html,GET,44.193.37.178,121,,nginx,PayPal,
85382113.app.asana.com,Move Work Forward - Asana,,3878,85382113.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,85382113.app.asana.com,443,https://85382113.app.asana.com:443,https,text/html,GET,34.227.129.202,30,,nginx,PayPal,
89858412.asana.com,Move Work Forward - Asana,,3878,89858412.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,89858412.asana.com,443,https://89858412.asana.com:443,https,text/html,GET,54.152.19.51,30,,nginx,PayPal,
8atzywvvgloeqjvr.asana.com,Move Work Forward - Asana,,3878,8atzywvvgloeqjvr.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,8atzywvvgloeqjvr.asana.com,443,https://8atzywvvgloeqjvr.asana.com:443,https,text/html,GET,54.152.19.51,30,,nginx,PayPal,
8zx6go4a65i7xlca.app.asana.com,Asana,,6938,8zx6go4a65i7xlca.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,8zx6go4a65i7xlca.app.asana.com,443,https://8zx6go4a65i7xlca.app.asana.com:443,https,text/html,GET,44.193.37.178,121,,nginx,PayPal,
94617712.app.asana.com,Log in - Asana,,22214,94617712.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,94617712.app.asana.com,443,https://94617712.app.asana.com:443,https,text/html,GET,34.231.47.205,11,,nginx,PayPal,
99707968.app.asana.com,Asana,,6922,99707968.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,99707968.app.asana.com,443,https://99707968.app.asana.com:443,https,text/html,GET,34.226.53.8,121,,nginx,PayPal,
9lugfi7k6kbugpdx.asana.com,Move Work Forward - Asana,,3878,9lugfi7k6kbugpdx.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,9lugfi7k6kbugpdx.asana.com,443,https://9lugfi7k6kbugpdx.asana.com:443,https,text/html,GET,34.227.129.202,30,,nginx,PayPal,
a1310pp.asana.com,Move Work Forward - Asana,,3878,a1310pp.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,a1310pp.asana.com,443,https://a1310pp.asana.com:443,https,text/html,GET,54.152.19.51,30,,nginx,PayPal,
aap.asana.com,Move Work Forward - Asana,,3878,aap.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,aap.asana.com,443,https://aap.asana.com:443,https,text/html,GET,44.193.37.178,30,,nginx,PayPal,
about.asana.com,Error,,466,about.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,about.asana.com,443,https://about.asana.com:443,https,text/html,GET,34.231.47.205,10,,nginx,PayPal,
academy.asana.com,Asana Academy,,872237,academy.asana.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,CN=academy.asana.com,academy.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,academy.asana.com,443,https://academy.asana.com:443,https,text/html,GET,18.66.147.41,15052,True,gunicorn,gunicorn,
acc-beta.integrations.asana.plus,,,281,acc-beta.integrations.asana.plus,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T00:00:00Z,CN=acc-beta.integrations.asana.plus,acc-beta.integrations.asana.plus,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,acc-beta.integrations.asana.plus,443,https://acc-beta.integrations.asana.plus:443,https,application/xml,GET,13.32.121.127,2,True,AmazonS3,Amazon Web Services,
acc-qa.integrations.asana.plus,Asana for Adobe Creative Cloud,,643,acc-qa.integrations.asana.plus,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T00:00:00Z,CN=acc-qa.integrations.asana.plus,acc-qa.integrations.asana.plus,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,acc-qa.integrations.asana.plus,443,https://acc-qa.integrations.asana.plus:443,https,,GET,52.222.214.48,1,True,CloudFront,Amazon Web Services,
acc.integrations.asana.plus,Asana for Adobe Creative Cloud,,28011,acc.integrations.asana.plus,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T00:00:00Z,CN=acc.integrations.asana.plus,acc.integrations.asana.plus,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,acc.integrations.asana.plus,443,https://acc.integrations.asana.plus:443,https,,GET,99.86.4.86,157,True,CloudFront,Amazon Web Services,
acc2.integrations.asana.plus,Asana for Adobe Creative Cloud,,643,acc2.integrations.asana.plus,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,CN=acc2.integrations.asana.plus,acc2.integrations.asana.plus,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,acc2.integrations.asana.plus,443,https://acc2.integrations.asana.plus:443,https,,GET,13.225.78.102,1,True,CloudFront,Amazon Web Services,
advisors-2.asana.com,Error,,466,advisors-2.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,advisors-2.asana.com,443,https://advisors-2.asana.com:443,https,text/html,GET,34.231.47.205,10,,nginx,PayPal,
