new,host,a,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,aaaa,has_internal_ips,internal_ips
[x],t1.travelprepaidemail.mastercard.com,,"t1.travelprepaidemail.mastercard.com.cname.campaign.adobe.com, mastercardprepai-mkt-prod1-wblgz-1836376623.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],t3.communications.mastercard.com.br,"52.25.155.106, 54.202.138.124","t3.communications.mastercard.com.br.cname.campaign.adobe.com, mastercardloyalt-mkt-prod3-bkc8q-1126808401.us-west-2.elb.amazonaws.com","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1475.awsdns-56.org, ns-1769.awsdns-29.co.uk, ns-332.awsdns-41.com, ns-560.awsdns-06.net",,,,
[x],tableau.communitypassprod.mastercard.com,40.80.87.83,cinprdcdwtableau.centralindia.cloudapp.azure.com,"ns1-01.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],taptennis.mastercard.com.au,104.239.236.220,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],taptotokyo.com,3.33.139.32,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,"ns1.markmonitor.com, ns2.markmonitor.com, ns3.markmonitor.com, ns4.markmonitor.com, ns5.markmonitor.com, ns6.markmonitor.com, ns7.markmonitor.com",,,,
[x],techdocs.mastercard.com,"18.214.62.226, 3.219.53.38, 52.2.192.140, 54.82.157.198, 54.82.171.202",mastercard-trc-prod-skin-elb-1504825638.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],test.dev.openbanking.mastercard.com.au,23.67.139.53,mastercard.com.au,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,"mxa-00078002.gslb.pphosted.com, mxb-00078002.gslb.pphosted.com","a18-64.akam.net, a7-67.akam.net, dns2.mastercard.com, a9-64.akam.net, a22-65.akam.net, a26-66.akam.net, dns1.mastercard.com","3h7b4sq0ing4i0p4ifjflgd1cc, 1glihp5c1kb6dgmcl6ca8fv41p, v=spf1 include:mx.dload.com.au ~all, facebook-domain-verification=odxmags896m67oe8yev1l7sjg3hgvu",,,
[x],test.openbanking.mastercard.com.au,104.81.230.105,mastercard.com.au,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,"1glihp5c1kb6dgmcl6ca8fv41p, facebook-domain-verification=odxmags896m67oe8yev1l7sjg3hgvu, 3h7b4sq0ing4i0p4ifjflgd1cc, v=spf1 include:mx.dload.com.au ~all",,,
[x],test.openbanking.mastercard.com.br,23.210.126.167,mastercard.com.br,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,"mxa-00078002.gslb.pphosted.com, mxb-00078002.gslb.pphosted.com","ns-126.awsdns-15.com, ns-1444.awsdns-52.org, ns-1935.awsdns-49.co.uk, ns-918.awsdns-50.net, a22-65.akam.net, dns1.mastercard.com, a7-67.akam.net, a9-64.akam.net, a18-64.akam.net, a26-66.akam.net, dns2.mastercard.com","qc8koku5ihm7r1up6olc4bklgo, v=spf1 include:deliverygateways.mastercard.com ~all, fps88dgmccrlj2k3nkhlc4ndgg",,,
[x],thelearningcenter.mastercard.com,"104.18.2.172, 104.18.3.172","mastercard.thoughtindustries.com, www.thoughtindustriesproxy.com","brett.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:3ac, 2606:4700::6812:2ac",,
