host,a,soa,status_code,axfr,cname,mx,cdn,cdn-name,has_internal_ips,internal_ips,txt,ns,caa,aaaa
account-staging.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'account-staging.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
assets-share.uber.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,{'host': 'assets-share.uber.com'},dgjfjug4gwr33.cloudfront.net,,,,,,,,,
bastion01-phx3.uber.com,104.36.197.128,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion01-phx3.uber.com'},,,,,,,,,,
ad.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ad.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bastion.uber.com,"104.36.195.187, 104.36.195.188, 104.36.195.186","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion.uber.com'},bastion-geo.uber.com,,,,,,,,,
bastion-phx3.uber.com,"104.36.197.128, 104.36.197.129, 104.36.197.130, 104.36.197.131","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-phx3.uber.com'},,,,,,,,,,
ads.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ads.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bastion04-phx2.uber.com,104.36.196.134,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion04-phx2.uber.com'},,,,,,,,,,
advantage.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'advantage.uber.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
base-design-docs-controller.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'base-design-docs-controller.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bastion-dca8.uber.com,"104.36.195.188, 104.36.195.187, 104.36.195.186","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-dca8.uber.com'},,,,,,,,,,
airwatch3p-staging.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'airwatch3p-staging.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
accessibility.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'accessibility.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bb-dca1.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bb-dca1.uber.com'},cn-dca.uber.com,mx.sendgrid.net,,,,,,,,
api.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'api.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
ads-staging.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ads-staging.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
biz-eats.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'biz-eats.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bastion03-phx4.uber.com,104.36.197.232,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion03-phx4.uber.com'},,,,,,,,,,
bastion-phx3.prod.uber.com,"104.36.196.132, 104.36.196.134, 104.36.196.133, 104.36.197.130, 104.36.197.128, 104.36.197.129, 104.36.197.131, 104.36.197.232, 104.36.197.230, 104.36.197.233, 104.36.197.231","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-phx3.prod.uber.com'},bastion-phx.uber.com,,,,,,,,,
activedirectory-sjc1.uber.com,192.168.44.110,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'activedirectory-sjc1.uber.com'},,,,,True,192.168.44.110,,,,
bastion-geo.uber.com,"104.36.195.186, 104.36.195.187, 104.36.195.188","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-geo.uber.com'},,,,,,,,,,
api-an-settlement.uber.com,34.243.40.136,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'api-an-settlement.uber.com'},,,,,,,,,,
bastion-oob01-phx4.uber.com,38.142.107.50,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-oob01-phx4.uber.com'},,,,,,,,,,
appsec-analysis.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'appsec-analysis.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
ae-staging.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ae-staging.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
auth-test2.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'auth-test2.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
an-settlement.uber.com,34.243.40.136,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'an-settlement.uber.com'},,,,,,,,,,
biz.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'biz.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
a.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'a.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bastion-oob01-dca8.prod.uber.com,76.74.9.114,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-oob01-dca8.prod.uber.com'},bastion-oob01-dca8.uber.com,,,,,,,,,
blackbird-staging.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'blackbird-staging.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bastion-phx.uber.com,"104.36.197.128, 104.36.197.130, 104.36.197.129, 104.36.197.131, 104.36.196.132, 104.36.196.134, 104.36.196.133, 104.36.197.230, 104.36.197.231, 104.36.197.233, 104.36.197.232","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-phx.uber.com'},,,,,,,,,,
admin.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'admin.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bastion-phx2.prod.uber.com,"104.36.196.132, 104.36.196.134, 104.36.196.133, 104.36.197.233, 104.36.197.232, 104.36.197.231, 104.36.197.230, 104.36.197.130, 104.36.197.128, 104.36.197.129, 104.36.197.131","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-phx2.prod.uber.com'},bastion-phx.uber.com,,,,,,,,,
beacon.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'beacon.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bastion01-dca8.uber.com,104.36.195.186,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion01-dca8.uber.com'},,,,,,,,,,
bill-help.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bill-help.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bastion-phx4.uber.com,"104.36.197.230, 104.36.197.231, 104.36.197.233, 104.36.197.232","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-phx4.uber.com'},,,,,,,,,,
backup.uber.com,207.231.168.151,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'backup.uber.com'},,,,,,,,,,
account.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'account.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
avrouting-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'avrouting-staging.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bastion-dca.uber.com,"104.36.195.186, 104.36.195.188, 104.36.195.187","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-dca.uber.com'},,,,,,,,,,
blackbird.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'blackbird.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
blackswan.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'blackswan.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
auth3.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'auth3.uber.com'},"frontends-all.uber.com, frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
airwatch3p.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'airwatch3p.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
advertiser.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'advertiser.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
aptarchive.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'aptarchive.uber.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
ah-symbolicator-tblob.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ah-symbolicator-tblob.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
auth3-staging.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'auth3-staging.uber.com'},cn-ecg.cfe.uber.com,mx.sendgrid.net,True,google,,,,,,
bastion-dca8.prod.uber.com,"104.36.195.186, 104.36.195.188, 104.36.195.187","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-dca8.prod.uber.com'},bastion-dca.uber.com,,,,,,,,,
amp.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'amp.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
api-maps.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'api-maps.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
autor.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'autor.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bamboo.uberinternal.com,10.31.2.60,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bamboo.uberinternal.com'},,,,,True,10.31.2.60,,,,
bastion02-dca8.uber.com,104.36.195.187,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion02-dca8.uber.com'},,,,,,,,,,
api.vscode.devpod-waw.uberinternal.com,34.149.196.191,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'api.vscode.devpod-waw.uberinternal.com'},,,True,google,,,,,,
bastion.uberinternal.com,"104.36.192.131, 104.36.192.130, 104.36.192.128, 104.36.192.129","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion.uberinternal.com'},"geo.bastion.uberinternal.com, dca22.bastion.uberinternal.com",,,,,,,,,
bastion03-phx2.uber.com,104.36.196.133,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion03-phx2.uber.com'},,,,,,,,,,
auth.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'auth.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bastion03-dca8.uber.com,104.36.195.188,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion03-dca8.uber.com'},,,,,,,,,,
atg-pg-catalog-stagingdb01-sjc1.prod.uber.com,104.36.192.181,"ns-1980.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,{'host': 'atg-pg-catalog-stagingdb01-sjc1.prod.uber.com'},,,,,,,,,,
alpha-cn-sjc1.cfe.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'alpha-cn-sjc1.cfe.uber.com'},cn-ecg.cfe.uber.com,mx.sendgrid.net,True,google,,,,,,
authn-foo.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'authn-foo.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bastion-dca.prod.uber.com,"104.36.195.186, 104.36.195.188, 104.36.195.187","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-dca.prod.uber.com'},bastion-dca.uber.com,,,,,,,,,
bastion-phx4.prod.uber.com,"104.36.196.132, 104.36.196.133, 104.36.196.134, 104.36.197.230, 104.36.197.232, 104.36.197.231, 104.36.197.233, 104.36.197.128, 104.36.197.130, 104.36.197.129, 104.36.197.131","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-phx4.prod.uber.com'},bastion-phx.uber.com,,,,,,,,,
bastion-all.uber.com,"104.36.195.186, 104.36.195.187, 104.36.195.188, 104.36.197.130, 104.36.197.129, 104.36.197.128, 104.36.197.131, 104.36.196.133, 104.36.196.134, 104.36.196.132, 104.36.197.230, 104.36.197.232, 104.36.197.231, 104.36.197.233","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-all.uber.com'},,,,,,,,,,
activedirectory-dca1.uber.com,192.168.108.110,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'activedirectory-dca1.uber.com'},,,,,True,192.168.108.110,,,,
accounts.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'accounts.uber.com'},"frontends-all.uber.com, frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
admin-staging.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'admin-staging.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
auth-staging.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'auth-staging.uber.com'},cn-ecg.cfe.uber.com,mx.sendgrid.net,True,google,,,,,,
ambassador-staging.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ambassador-staging.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
auth-faq.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'auth-faq.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
ar.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ar.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-partners.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-partners.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bizblog.uber.com,35.184.61.224,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,{'host': 'bizblog.uber.com'},uber4b.wpengine.com,,True,google,,,,,,
bill-faq.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bill-faq.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bb-sjc1.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bb-sjc1.uber.com'},"cn-sjc1.uber.com, cn-dc1.uber.com",mx.sendgrid.net,,,,,,,,
beta.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'beta.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
api-explorer-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'api-explorer-staging.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
activedirectory.uber.com,192.168.44.110,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'activedirectory.uber.com'},,,,,True,192.168.44.110,,,,
axle.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'axle.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
auth-test3.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'auth-test3.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bastion.prod.uber.com,"104.36.195.186, 104.36.195.188, 104.36.195.187","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion.prod.uber.com'},"bastion.uber.com, bastion-geo.uber.com",,,,,,,,,
api.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'api.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
approvalservice.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'approvalservice.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atlas.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atlas.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
be1.cfe.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'be1.cfe.uber.com'},cn-ecg.cfe.uber.com,mx.sendgrid.net,True,google,,,,,,
administrator.vscode.devpod-waw.uberinternal.com,34.149.196.191,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'administrator.vscode.devpod-waw.uberinternal.com'},,,True,google,,,,,,
assets.vscode.devpod-waw.uberinternal.com,34.149.196.191,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'assets.vscode.devpod-waw.uberinternal.com'},,,True,google,,,,,,
bastion04-phx3.uber.com,104.36.197.131,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion04-phx3.uber.com'},,,,,,,,,,
arize-api.uberinternal.com,34.120.29.84,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'arize-api.uberinternal.com'},,,True,google,,,,,,
bizsys.uber.com,"52.52.5.46, 13.56.0.178","ns-620.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,{'host': 'bizsys.uber.com'},b90xt4.usa-w1.cloudhub.io,,,,,,,,,
avmaptriage-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'avmaptriage-staging.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bliss-events.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bliss-events.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bounce.uber.com,192.28.144.217,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bounce.uber.com'},,bounce.uber.com,,,,,v=spf1 ip4:192.28.144.217 -all,,,
blogapi.uber.com,208.93.16.10,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'blogapi.uber.com'},,,,,,,,,,
biz-stage.uber.com,"52.52.129.83, 54.153.1.71","ns-620.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,{'host': 'biz-stage.uber.com'},1l8yg3.usa-w1.cloudhub.io,,,,,,,,,
blog.uber.com,35.184.61.224,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,{'host': 'blog.uber.com'},ubernewblog.wpengine.com,,True,google,,,,,,
bugbounty.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bugbounty.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
accounts.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'accounts.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
assets.uber.com,"52.2.92.127, 23.21.158.119","ns-1322.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,{'host': 'assets.uber.com'},c-a9a9e8rrg08692f2a95d1ba1a6652408.frontify.com,,,,,,,,,
bonjour-staging.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bonjour-staging.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
brandarchive.uber.com,104.130.42.190,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'brandarchive.uber.com'},,,,,,,,,,
bonjour.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bonjour.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
business-beta.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'business-beta.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bliss-events-stage.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bliss-events-stage.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bonjour-proxy.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bonjour-proxy.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
brand-web-staging.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'brand-web-staging.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
