new,host,a,soa,status_code,cname,ns,cdn,cdn-name,has_internal_ips,internal_ips,aaaa,caa,mx,txt
[x],api-test.health-cloud.cvshealth.com,35.171.40.39,"cae-f5-dns-nonprod-1.aetna.com.xnp.aws.aetna.com, hostmaster.cae-f5-dns-nonprod-1.aetna.com.xnp.aws.aetna.com",NOERROR,"api-test.health-cloud.aetna.com, api-test.health-cloud.xnp.aws.aetna.com",,,,,,,,,
[x],api07.cvshealth.com,45.223.19.220,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,2o8owbr.impervadns.net,,True,incapsula,,,,,,
[x],api10.cvshealth.com,45.223.19.220,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,nn3manm.impervadns.net,,True,incapsula,,,,,,
[x],apigee-sw-non-prod.cvshealth.com,104.81.130.81,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"apigee-sw-non-prod.cvshealth.com.edgekey.net, e11512.x.akamaiedge.net",,,,,,,,,
[x],apigee-sw-prod.cvshealth.com,23.197.139.46,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"apigee-sw-prod.cvshealth.com.edgekey.net, e11512.x.akamaiedge.net",,,,,,,,,
[x],apigw-service-it1.cvs.com,12.46.119.164,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],apigw-service-it2.cvs.com,12.46.119.176,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],apigw-service-qa1.cvs.com,12.46.119.188,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],apigw-service-qa2.cvs.com,12.46.119.173,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],apigw-service-qa3.cvs.com,12.46.119.191,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],apigw-service-qa4.cvs.com,12.46.119.194,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],apigw-service-reg1.cvs.com,12.46.119.197,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],apigw-service-reg2.cvs.com,12.46.119.220,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],apigw-service-uat1.cvs.com,12.46.119.167,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],apigw-service-uat2.cvs.com,12.46.119.170,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],apih1.cvs.com,,,NOERROR,,,,,,,,,,
[x],apih7-muon.cvshealth.com,12.15.144.29,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],apih7.cvs.com,12.15.144.43,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],apih8-muon.cvshealth.com,204.99.17.127,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],apih8.cvs.com,204.99.17.160,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,342t5fz0ztg9f7jbg240l1s7n2x77vx8
[x],apih8.cvshealth.com,204.99.17.160,"internal.akadns.net, hostmaster.akamai.com",NOERROR,apih8.failover.cvs.com.akadns.net,,,,,,,,,
[x],apollo.cvs.com,204.99.70.27,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],appd-ri.cvs.com,,,NOERROR,,,,,,,,,,
[x],apps.cvshealth.com,,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],argocd-np.dev.digital-messaging.cvshealth.com,34.107.188.115,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],argocd-np.digital-apigee-non-prod-01.cvshealth.com,35.201.91.151,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],argocd-np.digital-avscan.qa.cvshealth.com,34.120.36.215,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],argocd-np.digital-health4life.cvshealth.com,34.120.250.188,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],argocd-np.digital-retail-rx-qa.cvshealth.com,34.102.170.213,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],argocd-np.digital-shared-services-qa.cvshealth.com,34.117.79.126,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],argocd-np.digital-specialty-rx-cq-qa.cvshealth.com,34.102.177.65,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],argocd-np.eip-c360-nonprod.cvshealth.com,34.111.73.60,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],argocd-sb.digital-services.cvshealth.com,34.107.226.218,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],argocd.digital-health4life.cvshealth.com,35.190.68.48,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],argocd.digital-healthservices.cvs.com,34.96.87.26,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,prod.digital-healthservices.cvs.com,,True,google,,,,,,
[x],argocd.digital-messaging-prod.cvshealth.com,34.98.64.133,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],argocd.mfe-ms.cvshealth.com,34.96.116.124,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],ariba.cvs.com,204.99.70.28,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],ariba.cvshealth.com,,,NOERROR,,,,,,,,,,
[x],assets-qa2.cvshealth.com,35.244.151.19,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],assets-qa3.cvshealth.com,"35.241.22.229, 35.186.234.77","eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],assets-sit1.cvshealth.com,35.244.236.179,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],assets-sit2.cvshealth.com,35.244.141.202,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],assets-sit3.cvshealth.com,35.201.108.145,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],assets.cvshealth.com,35.186.239.189,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],attain.prod.cvshealth.com,34.120.61.199,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],auth-dev.cvshealth.com,"104.16.83.103, 104.16.82.103","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,cvsh-dev-cd-cgpbunpkgjmwyneo.edge.tenants.us.auth0.com,,True,cloudflare,,,"2606:4700::6810:5367, 2606:4700::6810:5267",letsencrypt.org,,
[x],auth-test.cvshealth.com,"104.16.82.103, 104.16.83.103","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,cvsh-test-cd-12paugyr4c1xyeog.edge.tenants.us.auth0.com,,True,cloudflare,,,"2606:4700::6810:5267, 2606:4700::6810:5367",letsencrypt.org,,
[x],auth.cvshealth.com,"18.209.113.130, 18.209.113.131, 18.209.113.128","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"cvsh.customdomains.okta.com, ok-crtr-tls1-nlb-36253386bec48ce6.elb.us-east-1.amazonaws.com","ns-1286.awsdns-32.org, ns-1826.awsdns-36.co.uk, ns-281.awsdns-35.com, ns-844.awsdns-41.net",,,,,,,,
[x],av-az.cvshealth.com,"204.99.17.222, 204.99.17.221","eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],av-ri.cvshealth.com,"12.46.112.196, 12.46.112.193","eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],av.cvshealth.com,"12.171.214.15, 204.99.17.222, 12.46.112.196, 204.99.17.221, 12.46.112.193","eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],awaz3.cvshealth.com,204.99.17.108,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],awr3.cvshealth.com,12.15.144.19,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],awr3test.cvshealth.com,12.15.144.18,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],awrm.cvshealth.com,12.46.114.139,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],awspacedr.cvshealth.com,204.99.17.155,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],awspacetest.cvshealth.com,12.171.214.2,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],awtunneltest.cvshealth.com,12.171.214.3,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],azmig.cvshealth.com,204.99.17.88,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],azmig2.cvshealth.com,204.99.17.97,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],azmig3.cvshealth.com,204.99.17.98,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],b2b-cloud.cvshealth.com,20.157.64.8,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],b2b-uat.cvshealth.com,20.157.64.45,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],b2b.cvs.com,12.15.136.178,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],bell-apis.cvshealth.com,23.212.203.19,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"bell-apis.cvshealth.com.edgekey.net, e4953.x.akamaiedge.net",,,,,,,,,
[x],bronze-callcenterifa.devrxc.cvs.com,,,NOERROR,,,,,,,,,,
[x],c5401011vce005.cvshealth.com,8.33.141.47,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],c5401011vce007.cvshealth.com,,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],c5401021vce002.cvshealth.com,8.38.216.45,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],c5401021vce006.cvshealth.com,8.38.216.47,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],careersblog.cvshealth.com,"18.65.39.124, 18.65.39.58, 18.65.39.61, 18.65.39.107","ns-1501.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,"jobs.cvshealth.com, cvshealth.cdn.findly.com, d3gkpeta5svcn.cloudfront.net","ns-1501.awsdns-59.org, ns-1713.awsdns-22.co.uk, ns-237.awsdns-29.com, ns-530.awsdns-02.net",True,cloudfront,,,,,,
[x],cassandra-opscenter.mfe-ms.cvshealth.com,34.117.189.217,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],cboimages.cvshealth.com,152.145.5.241,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],cdcprd1-csr.cvs.com,,,NOERROR,,,,,,,,,,
[x],cdcpt.cvs.com,23.212.204.12,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"cdcpt.cvs.com.edgekey.net, e5443.x.akamaiedge.net",,,,,,,,,
[x],cdcuat1-flu.cvs.com,,,NOERROR,,,,,,,,,,
[x],ce.cvs.com,,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],ceuat.cvs.com,12.46.119.153,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],chat.cvshealth.com,204.99.17.38,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],cicd-artifactoryenterprise-dev.cvshealth.com,,,NOERROR,,,,,,,,,,
[x],circular-test.cvs.com,23.36.236.76,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"circular-test.cvs.com.edgekey.net, e5443.x.akamaiedge.net",,,,,,,,,
[x],circular.cvs.com,,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"circular.cvs.com.edgekey.net, e5769.x.akamaiedge.net",,,,,,,,,
[x],click.cvs.com,,"infoblox1.bo3.e-dialog.com, info.e-dialog.com",NOERROR,caremark.ed10.net,,,,,,,,mail-router.e-dialog.com,
[x],click.e.care.cvs.com,23.35.208.163,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"click.e.care.cvs.com.edgekey.net, e5769.x.akamaiedge.net",,,,,,,,,
[x],click.e.cvshealth.com,128.245.34.189,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],click.em.cvs.com,128.245.34.193,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],click.email.healthcloud.cvshealth.com,13.111.186.159,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],cloud.e.cvshealth.com,128.245.19.114,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],cloud.e.healthcloud.cvshealth.com,13.111.185.199,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],cloud.em.virtualcare.cvs.com,128.245.20.58,"dns01.salesforce.com, hostmaster.salesforce.com",NOERROR,tlx648237kfxw9h97pbnxtlckxm0.cp-sap.sfmc-content.com,,,,,,,,,
[x],cloud.email.healthcloud.cvshealth.com,13.111.185.200,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],cmsstage.cvshealth.com,20.45.1.46,"ns20.digicertdns.com, dns.digicertdns.com",NOERROR,cmsstage.smashfly.com,,True,azure,,,,,,
[x],cmt-dev.cvs.com,12.171.214.27,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],cmt-uat.cvs.com,45.223.19.220,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,4qii9fg.impervadns.net,,True,incapsula,,,,,,
[x],cmt.cvs.com,12.15.144.31,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],colleaguezonedev3.cvs.com,149.96.21.65,"edns140.ultradns.com, root.service-now.com",NOERROR,aetnadev3.service-now.com,,,,,,,,,
[x],colleaguezonelab2.cvs.com,149.96.37.65,"edns140.ultradns.com, root.service-now.com",NOERROR,aetnalab2.service-now.com,,,,,,,,,
[x],connect.cvs.com,12.46.119.217,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],connect1.cvs.com,152.145.224.14,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],connect3.cvs.com,152.145.224.16,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],connect4.cvs.com,152.145.224.17,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],connectme.cvs.com,152.145.224.18,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],connectmewt.cvs.com,12.130.33.35,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],connectmewt2.cvs.com,12.130.33.37,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],contextserveruat.cvshealth.com,204.99.88.226,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],corp.info.cvshealth.com,"104.18.15.143, 104.18.14.143",,NOERROR,,,True,cloudflare,,,"2606:4700::6812:f8f, 2606:4700::6812:e8f",,,
[x],corpadm-rxc.cvs.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],covid.digital-services.cvshealth.com,34.120.76.73,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],crl.cvshealth.com,206.213.211.89,"mid-f5-gtm-dmz-1.aetna.com, hostmaster.mid-f5-gtm-dmz-1.aetna.com",NOERROR,crl.aei.aetna.com,,,,,,,,,
[x],crm-uat.cvs.com,,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],crm.cvs.com,12.46.114.233,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],crmapi.cvs.com,45.223.25.220,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,heki6ss.impervadns.net,,True,incapsula,,,,,,
[x],csc-uat2.cvs.com,,,NOERROR,,,,,,,,,,
[x],cte1.digital-services.cvshealth.com,35.190.119.146,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,True,google,,,,,,
[x],cte1physicians.cvshealth.com,,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],cteapih8.cvshealth.com,204.99.14.233,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],cvs.com,2.19.84.162,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,"a1-84.akam.net, a8-65.akam.net, a7-64.akam.net, a14-66.akam.net, a18-67.akam.net, a13-65.akam.net",,,,,,,"usb-smtp-inbound-1.mimecast.com, usb-smtp-inbound-2.mimecast.com","zSZzqNzhqd3jeA0sjuVLU1gy-EJd, MS=ms29505977, google-site-verification=PtyQW87Ifu9afb-6HCn9nu2wNU174FHuolJpdRrQQms, google-site-verification=fbUhfHbwllvn7M-gVcJLrXqhChHrJRebHaNWEUXKQ4Y, google-site-verification=foi1atYupGP-omlZoFn9dysIx9u0fy0rdsQyuGY8Pvg, adobe-idp-site-verification=9ed98e4fe0be32e6690cdcb5ee4b1ea0c0055ba3671cf84cf812835d2f7440ec, v=spf1 include:%{d}.4e.spf-protect.agari.com exists:%{i}._i.%{d}._d.espf.agari.com ~all, atlassian-domain-verification=QCO/Xs3aTyZngwI+1uAl/OQf/Lv1jLEFCbceUN4nwS4W/LCLn1NCGcXM0L1Wmo1q, ciscocidomainverification=705549d27a843b32e758d0bc4801c7cf91dfa97d4b45cb50efc47b13030ba4ac, MS=ms12542358, facebook-domain-verification=fcmkf1t2keuxq4bv8l9vj74dupmhqx, br5t6tzd4ncxdc47ybj5v5d7f6zbcsgf, _globalsign-domain-verification=9AWO6eE8iMSKeIygo2VMUx5wyEkE7Cz_acdjCtoZLg"
[x],cvsapmproddata.cvshealth.com,204.99.17.170,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],cvsbacdata.cvs.com,12.46.114.221,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],cvsct-admin-stg.cvs.com,,,NOERROR,,,,,,,,,,
[x],cvsh-tv.cvs.com,23.196.33.192,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"cvsh-tv.cvs.com.edgekey.net, e5769.x.akamaiedge.net",,,,,,,,,
