new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,txt,mx,caa
,webmailadmin.uds-qa.lenovo.com,"34.231.46.80, 50.17.199.7, 52.206.134.40","ns-1316.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,webvpn.cn.lenovo.com,123.114.236.132,,NOERROR,webvpncnpek01.gtm.lenovo.com,,,,,,,,,
,webvpn.sk.lenovo.com,103.244.57.245,"f5-hk01.gtm.lenovo.com, hostmaster.f5-hk01.gtm.lenovo.com",NOERROR,webvpndeess01.gtm.lenovo.com,,,,,,,,,
,webvpn.us.lenovo.com,104.232.254.251,,NOERROR,webvpnusrdu01.gtm.lenovo.com,,,,,,,,,
,webvpnauto.lenovo.com,103.244.57.245,,NOERROR,"webvpn.lenovo.gtm.skycdn.com.cn, webvpn-emea.lenovo.gtm.skycdn.com.cn, webvpndefra01.lenovo.com, webvpndefra01.gtm.lenovo.com",,,,,,,,,
,webvpnbrsao03.lenovo.com,104.232.232.5,,NOERROR,webvpnbrsao03.gtm.lenovo.com,,,,,,,,,
,webvpncnpek01.gtm.lenovo.com,106.37.239.152,,NOERROR,,,,,,,,,,
,webvpncnpek01.lenovo.com,123.114.236.132,,NOERROR,webvpncnpek01.gtm.lenovo.com,,,,,,,,,
,webvpncnszx01.gtm.lenovo.com,210.21.230.183,,NOERROR,,,,,,,,,,
,webvpndeess01.gtm.lenovo.com,103.244.57.245,,NOERROR,,,,,,,,,,
,webvpndeess01.lenovo.com,104.232.236.4,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,webvpndefra01.gtm.lenovo.com,103.244.57.246,,NOERROR,,,,,,,,,,
,webvpndefra01.lenovo.com,103.244.57.245,,NOERROR,webvpndefra01.gtm.lenovo.com,,,,,,,,,
,webvpnhkhkg01.gtm.lenovo.com,103.30.235.228,,NOERROR,,,,,,,,,,
,webvpnhkhkg01.lenovo.com,103.30.235.227,,NOERROR,webvpnhkhkg01.gtm.lenovo.com,,,,,,,,,
,webvpnsgsin02.lenovo.com,104.232.238.4,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,webvpnussjo03.lenovo.com,104.232.234.4,,NOERROR,,,,,,,,,,
,weixin.lenovo.com.cn,43.255.226.57,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,welcomeguest.lenovo.com,,,NOERROR,welcomeguest.lcf5.lenovo.com,,,,,,,,,
,whpu.lenovo.com,146.196.115.93,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,windows-server.lenovo.com,23.1.108.28,"n0d.akamaiedge.net, hostmaster.akamai.com",NOERROR,"windows-server.lenovo.com.edgekey.net, e7741.d.akamaiedge.net",,,,,,,,,
,windows.lenovo.com,69.192.162.34,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"redirect-to-www.lenovo.com.edgekey.net, e7741.dscx.akamaiedge.net",,,"2a02:26f0:1700:383::1e3d, 2a02:26f0:1700:394::1e3d",,,,,,
,wireless.lenovo.com,192.168.253.253,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,True,192.168.253.253,,,
,wlan.lenovo.com.cn,43.255.226.143,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,wlanuat.lenovo.com.cn,146.196.114.215,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,wmail-ap.motorola.com,,"ns1.motorolamobility.com, internic.motorola.com",NOERROR,,,,,,,,,"alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com",
,wmail-emea.motorola.com,,"ns1.motorolamobility.com, internic.motorola.com",NOERROR,,,,,,,,,"alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com",
,wmail.motorola.com,,"ns1.motorolamobility.com, internic.motorola.com",NOERROR,,,,,,,,,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com",
,wms.lenovo.com.cn,58.220.70.6,"dns1.wswebcdn.org, webmaster.glb0.lxdns.com",NOERROR,wms.lenovo.com.cn.wswebcdn.com,,,240e:964:ea00::2e,,,,,,
,wopi.cochat.lenovo.com,43.255.226.116,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,workhorse.lenovo.com,216.240.22.176,"ns0140.netapp.com, hostmaster.netapp.com",NOERROR,"tools.lenovo.com, fusion.cloudone.netapp.com, aes.prd07e.cloudone.netapp.com",,,,,,,,,
,workphone.lenovo.com,"34.200.179.58, 52.4.119.152","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,vpc-workphone.us-east-1.elasticbeanstalk.com,,,,,,,,,
,workphone.motorola.com,"34.200.179.58, 52.4.119.152","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,vpc-workphone.us-east-1.elasticbeanstalk.com,,,,,,,,,
,workplace.gtm.lenovo.com,146.196.114.14,,NOERROR,,,,,,,,,,
,wpc.lenovo.com,103.30.232.247,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,wwme.lenovo.com.cn,43.255.227.78,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,www.ad.lenovo.com.cn,39.106.247.28,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,www.beta.lenovo.com,104.66.71.251,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"redirect.www.lenovo.com, redirect.www.lenovo.com.edgekey.net, e4752.x.akamaiedge.net",,,,,,,,,
,www.dds.lenovo.com,,"ns-362.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,www.experiencesmarter.lenovo.com,156.38.230.46,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,www.kt.lenovo.com.cn,106.37.218.119,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,www.legrandtest.lenovo.com,164.132.235.17,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,www.lenovo.com,72.246.168.162,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"www.lenovo.com.edgekey.net, e7741.x.akamaiedge.net",,,,,,,,,
,www.lenovo.com.cn,138.113.147.154,"dns1.lxdns.org, webmaster.glb0.lxdns.com",NOERROR,www.lenovo.com.cn.lxdns.com,,,,,,,,,
,www.motorola.com,95.100.65.111,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"www.sanmotorola.com.edgekey.net, e13906.a.akamaiedge.net",,,,,,,,,
,www.motorola.com.br,179.191.165.65,"ns1.azionedge.net, admin.azion.com",NOERROR,"www.motorola.com.br.cdn.vtex.com, g4au8uu9bi.map.azionedge.net",,,,,,,,,
,www.motorola.com.cn,"163.171.132.220, 163.171.128.241","dns1.wswebcdn.org, webmaster.glb0.lxdns.com",NOERROR,www.motorola.com.cn.wswebcdn.com,,,,"dns4.wswebcdn.info, dns2.wswebcdn.info, dns3.wswebcdn.org, dns5.cdn30.org, dns1.wswebcdn.org",,,,,
