input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,final_url,tls_mismatched,csp_domains_
acertainworld.etsy.com,acertainworld - Etsy.de,200,329416,www.etsy.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-18T23:03:40Z,2023-12-20T23:03:39Z,CN=*.etsystatic.com,*.etsystatic.com,etsy.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,6d0c464560bdadcca76ae2c6e5a95bf0,a74751759729872584dba6643da5c7c023d170c5a1620a77a777d7a4647bc334,ctls,www.etsy.com,google,80,http://acertainworld.etsy.com:80,http,Apache,text/html,GET,35.190.25.237,/,,35.190.25.237,Varnish,4240,False,True,,True,https://www.etsy.com/shop/acertainworld/?etsrc=sdt,True,
acorngirl.etsy.com,acorngirl - Etsy.de,200,322324,www.etsy.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-18T23:03:40Z,2023-12-20T23:03:39Z,CN=*.etsystatic.com,*.etsystatic.com,etsy.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,6d0c464560bdadcca76ae2c6e5a95bf0,a74751759729872584dba6643da5c7c023d170c5a1620a77a777d7a4647bc334,ctls,www.etsy.com,google,80,http://acorngirl.etsy.com:80,http,Apache,text/html,GET,35.190.25.237,/,-1870880344,35.190.25.237,Varnish,5077,False,True,,True,https://www.etsy.com/shop/acorngirl/?etsrc=sdt,True,
acreativeneed.etsy.com,ACreativeNeed - Etsy.de,200,282450,www.etsy.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-30T00:00:00Z,2023-09-01T23:59:59Z,"CN=etsy.com, O=Etsy Inc., L=Brooklyn, ST=New York, C=US",etsy.com,*.etsy.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1191baa7df0dcd56022cec43e8e39fb3,c1aa73fd9b8f045d68a4a3408dd5913f7eee714b2b0737db68b985d5873bf5f2,ctls,www.etsy.com,google,443,https://acreativeneed.etsy.com:443,https,Apache,text/html,GET,35.190.25.237,/,,35.190.25.237,HSTS,3546,False,True,Etsy Inc.,True,https://www.etsy.com/shop/acreativeneed/?etsrc=sdt,,
action.etsy.com,Phone2Action ⚡ Status,200,1239,action.etsy.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-07-28T23:59:59Z,CN=*.p2a.co,*.p2a.co,*.p2a.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9891195ff94c41ca79099b9b46b2af44,238016f43d79630caab17d59d2e5c48e2dc7241788d7efe2e9cf74decae60eae,ctls,action.etsy.com,,443,https://action.etsy.com:443,https,,text/html,GET,54.236.141.254,/,1606311396,34.236.107.54,HSTS,26,False,,,True,,True,
adeleandtom.etsy.com,SuperFunkyPenguin - Etsy,200,436083,www.etsy.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-18T23:03:40Z,2023-12-20T23:03:39Z,CN=*.etsystatic.com,*.etsystatic.com,etsy.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,6d0c464560bdadcca76ae2c6e5a95bf0,a74751759729872584dba6643da5c7c023d170c5a1620a77a777d7a4647bc334,ctls,www.etsy.com,google,80,http://adeleandtom.etsy.com:80,http,Apache,text/html,GET,35.190.25.237,/,-111121133,35.190.25.237,Varnish,4977,False,True,,True,https://www.etsy.com/shop/adeleandtom/?etsrc=sdt,True,
adellecirca1920.etsy.com,adellecirca1920 - Etsy.de,200,167821,www.etsy.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-30T00:00:00Z,2023-09-01T23:59:59Z,"CN=etsy.com, O=Etsy Inc., L=Brooklyn, ST=New York, C=US",etsy.com,*.etsy.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1191baa7df0dcd56022cec43e8e39fb3,c1aa73fd9b8f045d68a4a3408dd5913f7eee714b2b0737db68b985d5873bf5f2,ctls,www.etsy.com,google,443,https://adellecirca1920.etsy.com:443,https,Apache,text/html,GET,35.190.25.237,/,,35.190.25.237,HSTS,1757,False,True,Etsy Inc.,True,https://www.etsy.com/shop/adellecirca1920/?etsrc=sdt,,
adiarrasattic.etsy.com,"Etsy - Dein Marktplatz für handgefertigte Produkte, Vintage und Material.",404,37125,www.etsy.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-30T00:00:00Z,2023-09-01T23:59:59Z,"CN=etsy.com, O=Etsy Inc., L=Brooklyn, ST=New York, C=US",etsy.com,*.etsy.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1191baa7df0dcd56022cec43e8e39fb3,c1aa73fd9b8f045d68a4a3408dd5913f7eee714b2b0737db68b985d5873bf5f2,ctls,www.etsy.com,google,443,https://adiarrasattic.etsy.com:443,https,Apache,text/html,GET,35.190.25.237,/,2082795548,35.190.25.237,HSTS,245,False,True,Etsy Inc.,True,https://www.etsy.com/shop/adiarrasattic/?etsrc=sdt,,
adobe.etsy.com,splashthat.com,403,585,adobe.etsy.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-28T18:32:44Z,2023-07-27T18:32:43Z,CN=adobe.etsy.com,adobe.etsy.com,adobe.etsy.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3e8bf4e79a26bf6a0481784ba2b1fefc,827a87205e9453b22438e1b5ddc9676fdac3704e4fe404066682344b2cb03898,ctls,adobe.etsy.com,fastly,443,https://adobe.etsy.com:443,https,DataDome,text/html,GET,151.101.194.133,/,-1110427655,151.101.2.133,Varnish,2,False,True,,,,,
adornnatural.etsy.com,adornnatural - Etsy.de,200,267532,www.etsy.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-30T00:00:00Z,2023-09-01T23:59:59Z,"CN=etsy.com, O=Etsy Inc., L=Brooklyn, ST=New York, C=US",etsy.com,*.etsy.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1191baa7df0dcd56022cec43e8e39fb3,c1aa73fd9b8f045d68a4a3408dd5913f7eee714b2b0737db68b985d5873bf5f2,ctls,www.etsy.com,google,443,https://adornnatural.etsy.com:443,https,Apache,text/html,GET,35.190.25.237,/,,35.190.25.237,HSTS,3660,False,True,Etsy Inc.,True,https://www.etsy.com/shop/adornnatural/?etsrc=sdt,,
adorntonia.etsy.com,adorntonia - Etsy.de,200,179403,www.etsy.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-30T00:00:00Z,2023-09-01T23:59:59Z,"CN=etsy.com, O=Etsy Inc., L=Brooklyn, ST=New York, C=US",etsy.com,*.etsy.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1191baa7df0dcd56022cec43e8e39fb3,c1aa73fd9b8f045d68a4a3408dd5913f7eee714b2b0737db68b985d5873bf5f2,ctls,www.etsy.com,google,443,https://adorntonia.etsy.com:443,https,Apache,text/html,GET,35.190.25.237,/,2103559974,35.190.25.237,HSTS,2183,False,True,Etsy Inc.,True,https://www.etsy.com/shop/adorntonia/?etsrc=sdt,,
