new,host,a,soa,status_code,cname,aaaa,cdn,cdn-name,caa,txt,mx,ns,has_internal_ips,internal_ips
,ml-staging.limeinternal.com,"104.18.219.95, 104.17.176.44","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6811:b02c, 2606:4700::6812:db5f",True,cloudflare,,,,,,
,ml.limeinternal.com,"104.17.176.44, 104.18.219.95","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6812:db5f, 2606:4700::6811:b02c",True,cloudflare,,,,,,
,mlp.limeinternal.com,"104.17.176.44, 104.18.219.95","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6811:b02c, 2606:4700::6812:db5f",True,cloudflare,,,,,,
,o1919.abmail.juicer.li.me,149.72.195.23,"ns45.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
,o1920.abmail.marketing.li.me,149.72.209.193,"ns45.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
,o1921.abmail.rider.li.me,168.245.65.63,"ns45.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,"ns46.domaincontrol.com, ns45.domaincontrol.com",,
,ops.lime.bike,"104.18.13.237, 104.18.12.237","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,orchard-staging.limeinternal.com,"104.17.176.44, 104.18.219.95","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6811:b02c, 2606:4700::6812:db5f",True,cloudflare,,,,,,
,orchard.limeinternal.com,"104.17.176.44, 104.18.219.95","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6811:b02c, 2606:4700::6812:db5f",True,cloudflare,,,,,,
,pmm.limeinternal.com,"104.18.219.95, 104.17.176.44","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6812:db5f, 2606:4700::6811:b02c",True,cloudflare,,,,,,
,prod.li.me,"104.18.4.243, 104.18.5.243","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,prod.li.me.cdn.cloudflare.net,"2606:4700::6812:4f3, 2606:4700::6812:5f3",True,cloudflare,,,,,,
,production.li.me,"104.18.5.243, 104.18.4.243","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,production.li.me.cdn.cloudflare.net,"2606:4700::6812:4f3, 2606:4700::6812:5f3",True,cloudflare,,,,,,
,proshop.li.me,"104.16.51.111, 104.16.53.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,limegrove.zendesk.com,,True,cloudflare,,"pod=27, v=spf1 include:mail.zendesk.com ~all",mail-pod-27.int.zendesk.com,,,
,proxy-gen2-production-standby.lime.bike,"54.189.16.70, 52.25.103.42, 35.167.60.138","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,proxy-gen2-production.lime.bike,"52.88.96.215, 54.148.232.135, 52.42.92.63","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,prudence-paris.li.me,"104.18.5.243, 104.18.4.243","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,prudence-paris.li.me.cdn.cloudflare.net,"2606:4700::6812:5f3, 2606:4700::6812:4f3",True,cloudflare,,,,,,
,rasserver-staging.lime.bike,"104.18.13.237, 104.18.12.237","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,rasserver.lime.bike,"104.18.13.237, 104.18.12.237","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,ridegreen.li.me,"104.18.5.243, 104.18.4.243","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,ridegreen.li.me.cdn.cloudflare.net,"2606:4700::6812:4f3, 2606:4700::6812:5f3",True,cloudflare,,,,,,
,ridersafety.li.me,34.255.141.168,"ns-463.awsdns-57.com, awsdns-hostmaster.amazon.com",NOERROR,domains2.readymag.com,,,,,,,,,
,scooterlog-staging.lime.bike,"188.114.98.229, 188.114.99.229","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,scooterlog.lime.bike,"188.114.99.229, 188.114.98.229","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,sensor-upload-eks-production-b.lime.bike,"44.235.252.172, 52.89.145.233, 52.40.144.241","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,sensor-upload-staging.lime.bike,"104.18.12.237, 104.18.13.237","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,sensor-upload.lime.bike,"52.89.145.233, 52.40.144.241, 44.235.252.172","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,sherlock.li.me,"52.222.236.107, 52.222.236.86, 52.222.236.33, 52.222.236.70","ns-1868.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,rr-sherlock-li-me.getbynder.com,"2600:9000:223e:6600:4:5f0f:1900:93a1, 2600:9000:223e:dc00:4:5f0f:1900:93a1, 2600:9000:223e:c000:4:5f0f:1900:93a1, 2600:9000:223e:f800:4:5f0f:1900:93a1, 2600:9000:223e:e600:4:5f0f:1900:93a1, 2600:9000:223e:c00:4:5f0f:1900:93a1, 2600:9000:223e:da00:4:5f0f:1900:93a1, 2600:9000:223e:5800:4:5f0f:1900:93a1",True,cloudfront,amazon.com,,,,,
,shop.li.me,"104.18.5.243, 104.18.4.243","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,shop.li.me.cdn.cloudflare.net,"2606:4700::6812:5f3, 2606:4700::6812:4f3",True,cloudflare,,,,,,
,sidewalk-data-collection.limeinternal.com,"104.18.219.95, 104.17.176.44","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6812:db5f, 2606:4700::6811:b02c",True,cloudflare,,,,,,
,staging.li.me,"104.18.4.243, 104.18.5.243","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,staging.li.me.cdn.cloudflare.net,"2606:4700::6812:5f3, 2606:4700::6812:4f3",True,cloudflare,,,,,,
,tab.limeinternal.com,"104.17.176.44, 104.18.219.95","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6812:db5f, 2606:4700::6811:b02c",True,cloudflare,,,,,,
,tableau.limeinternal.com,"44.242.49.6, 54.71.189.54","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,test.limeinternal.com,"104.18.219.95, 104.17.176.44","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6812:db5f, 2606:4700::6811:b02c",True,cloudflare,,,,,,
,uswest1-vpn.li.me,204.236.168.245,"ns45.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
,v1.li.me,"104.18.4.243, 104.18.5.243","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,v1.li.me.cdn.cloudflare.net,"2606:4700::6812:5f3, 2606:4700::6812:4f3",True,cloudflare,,,,,,
,vendor-americas.li.me,"3.33.152.147, 15.197.142.173","ns45.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
,vision.li.me,34.255.141.168,"ns-463.awsdns-57.com, awsdns-hostmaster.amazon.com",NOERROR,domains2.readymag.com,,,,,,,,,
,web-staging.lime.bike,"188.114.99.229, 188.114.98.229","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,web.lime.bike,"188.114.98.229, 188.114.99.229","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,webviews-latest.lime.bike,"104.18.13.237, 104.18.12.237","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,webviews-staging.lime.bike,"104.18.13.237, 104.18.12.237","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,webviews.lime.bike,,"burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,www.li.me,"104.18.4.243, 104.18.5.243","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,www.li.me.cdn.cloudflare.net,"2606:4700::6812:5f3, 2606:4700::6812:4f3",True,cloudflare,,,,,,
