new,host,a,soa,status_code,cname,ns,txt,cdn,cdn-name,mx,aaaa,caa,has_internal_ips,internal_ips
[x],231-nat.hq.squareup.com,74.122.187.231,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],232-nat.hq.squareup.com,74.122.187.232,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],233-nat.hq.squareup.com,74.122.187.233,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],234-nat.hq.squareup.com,74.122.187.234,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],235-nat.hq.squareup.com,74.122.187.235,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],236-nat.hq.squareup.com,74.122.187.236,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],237-nat.hq.squareup.com,,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],239-nat.hq.squareup.com,74.122.187.239,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],241-nat.hq.squareup.com,74.122.187.241,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],243-nat.hq.squareup.com,74.122.187.243,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],244-nat.hq.squareup.com,74.122.187.244,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],245-nat.hq.squareup.com,74.122.187.245,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],248-nat.hq.squareup.com,74.122.187.248,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],249-nat.hq.squareup.com,74.122.187.249,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],250-nat.hq.squareup.com,,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],251-nat.hq.squareup.com,74.122.187.251,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,"ns-1248.awsdns-28.org, ns-1816.awsdns-35.co.uk, ns-311.awsdns-38.com, ns-810.awsdns-37.net",,,,,,,,
[x],253-nat.hq.squareup.com,74.122.187.253,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],255-nat.hq.squareup.com,74.122.187.255,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],29-courier2.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],2ap4-downloads.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],2march.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],3-ccc.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],3-oignons.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],3android.www.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],4-ecoquartier.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],4.ecobytes.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],4pc.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],5.circumvention.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],5.tanneries.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],547-4.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],56.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],5niquelebp.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],5zh.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],6-layouts.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],60.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],69-171-244-36.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,"ns-1248.awsdns-28.org, ns-1816.awsdns-35.co.uk, ns-311.awsdns-38.com, ns-810.awsdns-37.net",,,,,,,,
[x],6loadbalancer.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],7-akz-intern.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],71lb.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],7ios.www.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],7labordage.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],7wkal.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],8.connections-www.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],8partou.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,"ns-1248.awsdns-28.org, ns-1816.awsdns-35.co.uk, ns-311.awsdns-38.com, ns-810.awsdns-37.net",,,,,,,,
[x],9-partou.pad.squareup.com,74.122.187.76,,NOERROR,pad.squareup.com,,,,,,,,,
[x],911e333c.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],9dr.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],_github-challenge-squareup.squareup.com,,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,7725774663,,,,,,,
[x],a.www-73.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],a36.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],aa02.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],acc-sql.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],acc-www-25.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],acc.cccamp.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,"ns-1248.awsdns-28.org, ns-1816.awsdns-35.co.uk, ns-311.awsdns-38.com, ns-810.awsdns-37.net",,,,,,,,
[x],acc.www3-3.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,"ns-1248.awsdns-28.org, ns-1816.awsdns-35.co.uk, ns-311.awsdns-38.com, ns-810.awsdns-37.net",,,,,,,,
[x],accept.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],access-account-helpdeskcorporate.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],access-authwp-mysqlbackups-www-test.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],access-candidate-graphql.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accessdaws.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accessdevlogsauth-mirror-my-oceania.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accessimanager.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accessnewdevelip-git.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accessprivate-backup-chefapi-account-helpdeskcorporate.broadway.squareup.com,"75.2.48.152, 99.83.191.120",,NOERROR,broadway.squareup.com,,,,,,,,,
[x],account-acc-accantiviruspre.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],account-salesbetatemp-exchangedns.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],account.squareup.com,"13.248.205.93, 76.223.91.57","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],accountapps-intra-backups-www-test.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accountb2b.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accountbcstore.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accountenglishassets-defaultproduction.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accountpreferencesdaws-0-70.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accountprodww1exchangedns.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,"ns-1248.awsdns-28.org, ns-1816.awsdns-35.co.uk, ns-311.awsdns-38.com, ns-810.awsdns-37.net",,,,,,,,
[x],accountproxydevel-vpn.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accounts-es-la.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accounts-www-60.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],accounts.www-11.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],accountsccc.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],accuweatherforbusi.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],accwww-45.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],acircumvention.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],acpprdweb2-nic2.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],acs.squareup.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],active-c.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],ad-host112-53.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],admin-b2b-extranet-database-officebackups-domain.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],admin-b2bus.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],admin-ecobytes.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],admin-preferences-system-postgresgit.broadway.squareup.com,"99.83.191.120, 75.2.48.152",,NOERROR,broadway.squareup.com,,,,,,,,,
[x],admin-support.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],admin-tempsqldoc-corporate.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],admin-updatelink-master-backups-www-test.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],admin.squareup.com,"76.223.91.57, 13.248.205.93","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
[x],admin.www-81.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],admin1androidwww.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,"ns-1248.awsdns-28.org, ns-1816.awsdns-35.co.uk, ns-311.awsdns-38.com, ns-810.awsdns-37.net",,,,,,,,
[x],adminassetsmiembros.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],admindatawiki.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],administrator.layouts.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],administrator.www-6-9.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],adminwww6-8.broadway.squareup.com,"99.83.191.120, 75.2.48.152","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],adminwww6-8.pad.squareup.com,74.122.187.76,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,pad.squareup.com,,,,,,,,,
[x],adtest.broadway.squareup.com,"75.2.48.152, 99.83.191.120","ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,broadway.squareup.com,,,,,,,,,
[x],ae0-0.br01.iad1.squareup.com,74.122.191.194,"ns-1490.awsdns-58.org, ops+dns.squareup.com",NOERROR,,,,,,,,,,
