input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,csp_domains_,final_url
api.vcp.traveloka.com,,404,102,,443,https://api.vcp.traveloka.com:443,https,Hi,application/json,GET,99.83.219.206,/,-1304388156,75.2.53.159,,1,False,,api.vcp.traveloka.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2023-08-05T23:59:59Z,CN=*.vcp.traveloka.com,*.vcp.traveloka.com,*.vcp.traveloka.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,341091a66935b4bf7abeab39ed1e0527,f71ce5917c76646949804561e8533275db14ff3f4338bb349073992b74af16a1,ctls,api.vcp.traveloka.com,True,,,,
api.vsa.traveloka.com,503 Service Temporarily Unavailable,503,162,,443,https://api.vsa.traveloka.com:443,https,awselb/2.0,text/html,GET,3.1.230.43,/,1862162275,3.1.230.43,,7,False,,api.vsa.traveloka.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2023-09-14T23:59:59Z,CN=*.vsa.traveloka.com,*.vsa.traveloka.com,*.vsa.traveloka.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,564fe2c238b86cd0886d54a3a0955692,32411741a2cf64907b5858ad4af8b24e693346c346b5656439e2ca7c20801652,ctls,api.vsa.traveloka.com,True,,,,
api.wms.traveloka.com,,200,100,,443,https://api.wms.traveloka.com:443,https,,application/hal+json,GET,54.255.171.192,/,-1223365316,3.1.169.2,,7,False,,api.wms.traveloka.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2023-07-29T23:59:59Z,CN=*.wms.traveloka.com,*.wms.traveloka.com,*.wms.traveloka.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,dd089a46ffad200653d707682e708937,d1518164b2b0ae0e9e231f6c1e3e51bffb2f4c04ed8899badfb0902e0efec0dc,ctls,api.wms.traveloka.com,True,,,,
api.xpe.traveloka.com,,400,178,,443,https://api.xpe.traveloka.com:443,https,,application/json,GET,15.197.246.168,/,1840668860,3.33.216.140,Amazon Web Services,1,False,,api.xpe.traveloka.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-02-07T23:59:59Z,CN=*.xpe.traveloka.com,*.xpe.traveloka.com,*.xpe.traveloka.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d2c0a4c88a9718eb9b0b53df5714ac71,55385573835d23f1864661a3a49cccc5b2377dffe6d33c0483bb6b0ffbe7d79a,ctls,api.xpe.traveloka.com,True,,,,
api.xxt.traveloka.com,HTTP Status 404 – Not Found,404,427,,443,https://api.xxt.traveloka.com:443,https,,text/html,GET,52.221.64.118,/,-230353730,18.139.247.145,,1,False,,api.xxt.traveloka.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2023-09-11T23:59:59Z,CN=*.xxt.traveloka.com,*.xxt.traveloka.com,*.xxt.traveloka.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,cd92c80969c6950039583b8399f4a654,18a93d8f1ed9646f7c48fca9c690e513d5e9668f77092f628acff40a27d0f199,ctls,api.xxt.traveloka.com,True,,,,
aprv.eci.traveloka.com,Approval UI,403,760,cloudfront,443,https://aprv.eci.traveloka.com:443,https,AmazonS3,text/html,GET,13.32.99.69,/,695663187,13.32.99.48,React,1,False,True,aprv.eci.traveloka.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-17T00:00:00Z,2023-07-21T23:59:59Z,CN=aprv.eci.traveloka.com,aprv.eci.traveloka.com,aprv.eci.traveloka.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a5dd9bea20523f3361e87da3a24fea98,a9b6e177c2e1d7f966201689e4f58a9c2594460eec4102561ec03fdf49568255,ctls,aprv.eci.traveloka.com,,,,,
aries.txt.traveloka.com,,200,37891,cloudfront,443,https://aries.txt.traveloka.com:443,https,AmazonS3,text/html,GET,143.204.89.129,/,-1161490173,143.204.89.68,Amazon Web Services,1,False,True,aries.txt.traveloka.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-10-23T23:59:59Z,CN=aries.txt.traveloka.com,aries.txt.traveloka.com,aries.txt.traveloka.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,aa15628a38b356fb77eab7354a56c266,e38a20e282d63b767ff6ed75d48793d9453e27b5bac1f9328a4f6e5c72e9bfd3,ctls,aries.txt.traveloka.com,,,,,
asicm-ical.asi.traveloka.com,,403,255,cloudfront,443,https://asicm-ical.asi.traveloka.com:443,https,AmazonS3,application/xml,GET,65.9.66.63,/,827372481,65.9.66.70,Amazon Web Services,2,False,True,asicm-ical.asi.traveloka.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-11-11T23:59:59Z,CN=asicm-ical.asi.traveloka.com,asicm-ical.asi.traveloka.com,asicm-ical.asi.traveloka.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea4c561a27b8583b0437bc2af61034df,2fe38e9823017ce485d950388e61d5cbd25f69596c03b03a42469e40b3d0e4e5,ctls,asicm-ical.asi.traveloka.com,,,,,
asiprsv.asi.traveloka.com,,404,,,443,https://asiprsv.asi.traveloka.com:443,https,awselb/2.0,text/plain,GET,52.221.149.81,/,-1840324437,52.76.156.223,,1,False,,asiprsv.asi.traveloka.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,2024-02-17T23:59:59Z,CN=*.asi.traveloka.com,*.asi.traveloka.com,*.asi.traveloka.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1dfb9601a018ec34ba2779233ac207f4,2ed1809487b0b683db2ba2867efe83df25499a733159094e3a56bb0602beb19a,ctls,asiprsv.asi.traveloka.com,True,,,,
astcnt-static.ast.cnt.inadmv.con.axes.traveloka.com,,404,318,cloudfront,443,https://astcnt-static.ast.cnt.inadmv.con.axes.traveloka.com:443,https,AmazonS3,application/xml,GET,18.66.112.14,/,-280354958,18.66.112.39,Amazon Web Services,2,False,True,astcnt-static.ast.cnt.inadmv.con.axes.traveloka.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-21T00:00:00Z,2024-02-19T23:59:59Z,CN=axes.traveloka.com,axes.traveloka.com,*.axes.traveloka.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,20f5423c4760391f518a3be33b097095,7710ec77d966e64bc7a15a1bfda15524076ef0d89dd5881308262c440d85ea13,ctls,astcnt-static.ast.cnt.inadmv.con.axes.traveloka.com,True,True,,,
