new,host,a,soa,status_code,ns,txt,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips,mx,caa
,accom-dashboard.acd.traveloka.com,"108.157.4.49, 108.157.4.120, 108.157.4.2, 108.157.4.82","ns-1727.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,acd.traveloka.com,,"ns-1727.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-454.awsdns-56.com, ns-671.awsdns-19.net, ns-1157.awsdns-16.org, ns-1727.awsdns-23.co.uk",,,,,,,,,
,afb.xxt.traveloka.com,"13.225.78.28, 13.225.78.96, 13.225.78.120, 13.225.78.20","ns-1607.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,afc.traveloka.com,,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-311.awsdns-38.com, ns-521.awsdns-01.net, ns-1309.awsdns-35.org, ns-1586.awsdns-06.co.uk",,,,,,,,,
,affinfo.afc.traveloka.com,"108.157.214.2, 108.157.214.69, 108.157.214.109, 108.157.214.119","ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,afi.traveloka.com,,"ns-1815.awsdns-34.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1407.awsdns-47.org, ns-1815.awsdns-34.co.uk, ns-288.awsdns-36.com, ns-673.awsdns-20.net",,,,,,,,,
,akamai-secure-api-mfops.mfc.traveloka.com,"108.136.35.38, 43.218.65.168, 108.136.83.147","ns-752.awsdns-30.net, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-secure-api-mfops.mfc.traveloka.com,,,,,,
,alt-search-api.acd.traveloka.com,"99.83.131.161, 75.2.67.189","ns-1727.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1157.awsdns-16.org, ns-1727.awsdns-23.co.uk, ns-454.awsdns-56.com, ns-671.awsdns-19.net",,,origin-alt-search-api.acd.traveloka.com,,,,,,
,americanexauthenticationss.cfp.eci.traveloka.com,"18.66.122.11, 18.66.122.93, 18.66.122.31, 18.66.122.48","ns-882.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,ancillary-api.fpr.traveloka.com,"99.83.244.206, 75.2.9.88","ns-1825.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,androidtesttgin-stari.bpng.eci.traveloka.com,"18.66.147.83, 18.66.147.101, 18.66.147.65, 18.66.147.32","ns-882.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,anvirpaipg.mstd.eci.traveloka.com,"52.222.236.70, 52.222.236.83, 52.222.236.99, 52.222.236.125","ns-882.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,apar.eci.traveloka.com,"99.86.4.25, 99.86.4.66, 99.86.4.108, 99.86.4.88","ns-882.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,api-aries.txt.traveloka.com,"13.228.212.3, 54.151.241.130","ns-1102.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api-auth-mgmt.ath.traveloka.com,"54.251.76.67, 18.140.251.160","ns-1337.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api-auth-mgmt.partner.traveloka.com,"52.76.7.105, 54.251.114.82","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api-biz.xxt.traveloka.com,"52.74.81.35, 3.1.246.56, 3.1.192.4","ns-1607.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api-live.cnt.traveloka.com,"52.76.184.111, 46.137.198.217","ns-1561.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api-public.fsp.traveloka.com,,"ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,api-trip.txt.traveloka.com,"13.228.212.3, 54.151.241.130","ns-1102.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.bus.traveloka.com,"18.138.143.58, 18.138.33.240, 54.255.122.7","ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.cnt.traveloka.com,"52.76.227.79, 52.76.18.22, 52.220.47.140","ns-1561.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.ctv.traveloka.com,"54.255.129.25, 52.220.146.13","ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-api.ctv.traveloka.com,,,,,,
,api.fpr.traveloka.com,"76.223.24.201, 13.248.144.123","ns-1825.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.gtr.traveloka.com,"18.138.143.58, 54.255.122.7, 18.138.33.240","ns-56.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.gvo.traveloka.com,"13.215.204.241, 54.255.162.28","ns-1774.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1203.awsdns-22.org, ns-1774.awsdns-29.co.uk, ns-50.awsdns-06.com, ns-568.awsdns-07.net",,,,,,,,,
,api.hcn.traveloka.com,"15.197.191.103, 3.33.214.217","ns-831.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-api.hcn.traveloka.com,,,,,,
,api.hnetstaging16.axes.traveloka.com,"18.66.112.99, 18.66.112.14, 18.66.112.39, 18.66.112.64","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,api.mch.traveloka.com,"54.255.38.112, 18.140.124.98, 54.169.228.208","ns-1115.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.pay.traveloka.com,"35.71.168.70, 52.223.7.28","ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-api.pay.traveloka.com,,,,,,
,api.ppr.traveloka.com,"18.139.136.238, 13.214.77.131","ns-1871.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.pps.traveloka.com,"18.138.143.58, 18.138.33.240, 54.255.122.7","ns-1283.awsdns-32.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.pts.traveloka.com,"13.248.243.22, 76.223.111.165","ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1170.awsdns-18.org, ns-1701.awsdns-20.co.uk, ns-312.awsdns-39.com, ns-774.awsdns-32.net",,,origin-api.pts.traveloka.com,,,,,,
,api.trn.traveloka.com,"54.255.122.7, 18.138.143.58, 18.138.33.240","ns-1697.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.trp.traveloka.com,"75.2.13.157, 99.83.215.242","ns-1847.awsdns-38.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.txt.traveloka.com,"52.74.44.86, 13.213.152.136","ns-1102.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.usr.traveloka.com,"3.33.176.65, 15.197.167.252","ns-1570.awsdns-04.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.vcp.traveloka.com,"99.83.219.206, 75.2.53.159","ns-799.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-api.vcp.traveloka.com,,,,,,
,api.vsa.traveloka.com,3.1.230.43,"ns-116.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.wms.traveloka.com,"54.255.171.192, 3.1.169.2","ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,api.xpe.traveloka.com,"3.33.216.140, 15.197.246.168","ns-1616.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-api.xpe.traveloka.com,,,,,,
,api.xxt.traveloka.com,"18.136.228.245, 52.221.64.118, 18.139.247.145","ns-1607.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,apr.traveloka.com,,"ns-1998.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1998.awsdns-57.co.uk, ns-359.awsdns-44.com, ns-1054.awsdns-03.org, ns-630.awsdns-14.net",,,,,,,,,
,aprv.eci.traveloka.com,"13.32.99.48, 13.32.99.129, 13.32.99.69, 13.32.99.75","ns-882.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,aries.txt.traveloka.com,"108.138.51.99, 108.138.51.58, 108.138.51.124, 108.138.51.107","ns-1102.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,asicm-ical.asi.traveloka.com,"65.9.66.25, 65.9.66.119, 65.9.66.70, 65.9.66.63","ns-235.awsdns-29.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,asiprsv.asi.traveloka.com,"52.221.149.81, 54.251.171.160, 52.76.156.223","ns-235.awsdns-29.com, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-asiprsv.asi.traveloka.com,,,,,,
,asset-staging14.traveloka.com,,,NOERROR,,,,,,,,,,
,asset01.traveloka.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,d3j7brovh0lq3z.cloudfront.net,,,,,,
,astcnt-static.ast.cnt.inadmv.con.axes.traveloka.com,"18.66.112.14, 18.66.112.64, 18.66.112.99, 18.66.112.39","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,astcnt.ast.traveloka.com,"54.255.181.34, 54.169.195.219, 18.139.56.249","ns-1688.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-astcnt.ast.traveloka.com,,,,,,
,astiapitest-wiskey-orchestrator-vault-paytech-r54r0acoinbase.health.xxt.traveloka.com,"13.32.99.70, 13.32.99.94, 13.32.99.107, 13.32.99.84","ns-1607.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,ath.traveloka.com,127.0.0.1,"ns-1337.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1337.awsdns-39.org, ns-1996.awsdns-57.co.uk, ns-5.awsdns-00.com, ns-699.awsdns-23.net",,,,,,True,127.0.0.1,,
,athbck-m2m.ath.traveloka.com,"52.76.54.12, 13.250.74.65","ns-1337.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,auth-api.afc.traveloka.com,"108.157.214.3, 108.157.214.31, 108.157.214.18, 108.157.214.68","ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,auth-mgmt.ath.traveloka.com,,"ns-1337.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,auth-mgmt.partner.traveloka.com,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,auth-tracking.gaf.traveloka.com,"108.138.17.122, 108.138.17.93, 108.138.17.28, 108.138.17.77","ns-1690.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,auth.partner.traveloka.com,"18.244.140.101, 18.244.140.19, 18.244.140.47, 18.244.140.7","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1119.awsdns-11.org, ns-1833.awsdns-37.co.uk, ns-403.awsdns-50.com, ns-864.awsdns-44.net",,,,True,cloudfront,,,,
,axtcm.traveloka.com,,"ns-431.awsdns-53.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1672.awsdns-17.co.uk, ns-431.awsdns-53.com, ns-590.awsdns-09.net, ns-1206.awsdns-22.org",,,,,,,,,
,azjkamailer.bpng.eci.traveloka.com,"108.138.36.112, 108.138.36.21, 108.138.36.33, 108.138.36.8","ns-882.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,b2b.afc.traveloka.com,"13.32.121.113, 13.32.121.119, 13.32.121.9, 13.32.121.51","ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,b2b.ebi.traveloka.com,"18.141.21.181, 52.220.235.107","ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,b2btest-wiskey-orchestrator-vault-paytech-r54r0acoinbase.health.xxt.traveloka.com,"13.32.99.70, 13.32.99.94, 13.32.99.84, 13.32.99.107","ns-1607.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,bestprice-api.acd.traveloka.com,13.228.54.27,"ns-1727.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-bestprice-api.acd.traveloka.com,,,,,,
,beta.xxt.traveloka.com,"99.86.91.43, 99.86.91.78, 99.86.91.87, 99.86.91.58","ns-1607.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,blog.traveloka.com,"3.1.123.235, 18.138.185.175","ns-1355.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1019.awsdns-63.net, ns-1868.awsdns-41.co.uk, ns-1355.awsdns-41.org, ns-47.awsdns-05.com",,,,,,,,,
,book-api.acd.traveloka.com,"13.213.231.232, 52.76.211.49","ns-1727.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-book-api.acd.traveloka.com,,,,,,
,book-api.apr.traveloka.com,"13.213.231.232, 52.76.211.49","ns-1727.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-book-api.acd.traveloka.com,,,,,,
,book-api.ast.traveloka.com,,"ns-1688.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1393.awsdns-46.org, ns-1688.awsdns-19.co.uk, ns-314.awsdns-39.com, ns-536.awsdns-03.net",,,origin-book-api.ast.traveloka.com,,,,,,
,booking-api.ctv.traveloka.com,"52.74.145.90, 54.179.127.166","ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-management-api.ctv.traveloka.com,,,,,,
,bookmark-api.ugc.traveloka.com,"3.33.248.159, 15.197.217.39","ns-41.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1397.awsdns-46.org, ns-1608.awsdns-09.co.uk, ns-41.awsdns-05.com, ns-725.awsdns-26.net",,,origin-api.ugc.traveloka.com,,,,,,
,bpng.eci.traveloka.com,"18.173.233.87, 18.173.233.13, 18.173.233.40, 18.173.233.35","ns-882.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,bundle-api.acd.traveloka.com,"75.2.70.130, 99.83.243.187","ns-1727.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-bundle-api.acd.traveloka.com,,,,,,
,bus.traveloka.com,,"ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,bxt-api.txt.traveloka.com,"52.76.216.111, 54.151.157.45","ns-1102.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,campaign-api.usr.traveloka.com,"13.248.235.2, 76.223.115.193","ns-1570.awsdns-04.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,cc.pay.traveloka.com,"13.249.9.125, 13.249.9.103, 13.249.9.10, 13.249.9.68","ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,central-flow.eci.traveloka.com,,"ns-882.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,cfp.fsp.traveloka.com,"13.225.78.7, 13.225.78.51, 13.225.78.86, 13.225.78.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,checkin-api.fpr.traveloka.com,"15.197.230.109, 3.33.217.220","ns-1825.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,chinasvc.web.ipgchinauniversalakamaip51.mstd.eci.traveloka.com,"108.157.229.114, 108.157.229.72, 108.157.229.33, 108.157.229.9","ns-882.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,citi-api.pts.traveloka.com,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",NOERROR,,b3e59ada03c347edac61cdabf5d2d911,,,,,,,,
,cnt.traveloka.com,,"ns-1561.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1364.awsdns-42.org, ns-1561.awsdns-03.co.uk, ns-476.awsdns-59.com, ns-784.awsdns-34.net",,,,,,,,,
,cntatr.cnt.traveloka.com,"52.76.59.185, 13.214.144.233","ns-1561.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,cntcrr.cnt.traveloka.com,"3.1.14.128, 52.77.154.59, 52.76.11.44","ns-1561.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,coinbase-akamai-bundle-api.tool.ebi.traveloka.com,"18.66.97.98, 18.66.97.47, 18.66.97.94, 18.66.97.56","ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,coinbase-api-staging05.tool.ebi.traveloka.com,"18.66.97.56, 18.66.97.94, 18.66.97.47, 18.66.97.98","ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,coinbase-content.tool.ebi.traveloka.com,"18.160.46.34, 18.160.46.5, 18.160.46.20, 18.160.46.27","ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,coinbase-matchmaking.asset-staging04.tool.ebi.traveloka.com,"18.66.97.56, 18.66.97.94, 18.66.97.98, 18.66.97.47","ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,coinbase-matchmaking.asset-staging10.tool.ebi.traveloka.com,"99.86.91.27, 99.86.91.9, 99.86.91.91, 99.86.91.28","ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,coinbase-origin-api-biz.tool.ebi.traveloka.com,"18.66.97.98, 18.66.97.47, 18.66.97.56, 18.66.97.94","ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,coinbase-origin-api-public.tool.ebi.traveloka.com,,"ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,coinbase-www-staging03.tool.ebi.traveloka.com,"65.9.55.113, 65.9.55.50, 65.9.55.29, 65.9.55.11","ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,coinbase-xpebi.tool.ebi.traveloka.com,"65.9.55.29, 65.9.55.113, 65.9.55.50, 65.9.55.11","ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,coinbase.health.xxt.traveloka.com,,"ns-1607.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,con.traveloka.com,,"ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1331.awsdns-38.org, ns-1744.awsdns-26.co.uk, ns-497.awsdns-62.com, ns-979.awsdns-58.net",,,,,,,,,
,content-api.acd.traveloka.com,"52.220.64.83, 13.250.68.26, 54.251.106.160","ns-1727.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-content-api.acd.traveloka.com,,,,,,
,content-api.apr.traveloka.com,"54.251.106.160, 13.250.68.26, 52.220.64.83","ns-1727.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-content-api.acd.traveloka.com,,,,,,
,content-api.ast.traveloka.com,"52.220.117.236, 52.76.188.253","ns-1688.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-content-api.ast.traveloka.com,,,,,,
,corporates.ctv.traveloka.com,"65.9.55.26, 65.9.55.63, 65.9.55.60, 65.9.55.93","ns-108.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1357.awsdns-41.org, ns-1799.awsdns-32.co.uk, ns-887.awsdns-46.net, ns-108.awsdns-13.com",,"2600:9000:20fc:b200:4:77c6:87c0:93a1, 2600:9000:20fc:8c00:4:77c6:87c0:93a1, 2600:9000:20fc:7800:4:77c6:87c0:93a1, 2600:9000:20fc:1800:4:77c6:87c0:93a1, 2600:9000:20fc:400:4:77c6:87c0:93a1, 2600:9000:20fc:ec00:4:77c6:87c0:93a1, 2600:9000:20fc:6800:4:77c6:87c0:93a1, 2600:9000:20fc:7200:4:77c6:87c0:93a1","origin-corporates.ctv.traveloka.com, d3blmqrvo0e3of.cloudfront.net",True,cloudfront,,,,
,country.loc.traveloka.com,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,cst.web.traveloka.com,"13.250.187.246, 18.142.31.233","ns-578.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,ctv.traveloka.com,,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-93.awsdns-11.com, ns-1438.awsdns-51.org, ns-1575.awsdns-04.co.uk, ns-599.awsdns-10.net",,,,,,,,,
,cxp.traveloka.com,,"ns-154.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1041.awsdns-02.org, ns-154.awsdns-19.com, ns-1556.awsdns-02.co.uk, ns-916.awsdns-50.net",,,,,,,,,
,cxptool.cxp.traveloka.com,"18.138.181.233, 52.221.160.130, 54.169.122.9","ns-154.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,dashboard.ath.traveloka.com,"52.222.214.109, 52.222.214.102, 52.222.214.73, 52.222.214.24","ns-1337.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,delivery.traveloka.com,202.162.242.176,"ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,discovery-api.fpr.traveloka.com,"75.2.64.84, 99.83.221.199","ns-1825.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,dlvpapi.dlv.traveloka.com,,"ns-1376.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-dlvpapi.dlv.traveloka.com,,,,,,
,dlvtool.dlv.traveloka.com,,"ns-1376.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
