new,host,cname,soa,status_code,a,ns,caa,cdn,cdn-name,aaaa,mx,txt
,api-js.datadome.co,"geoprox-js-sdk.datadome.co, api-alb-eu-central-1.datadome.co","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"18.158.75.229, 3.68.140.144, 52.59.61.6",,,,,,,
,api-us-east-2.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,3.21.251.106,,,,,,,
,api-us-texas-1.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"45.76.58.134, 144.202.76.24, 104.156.237.220, 144.202.71.2, 137.220.49.119, 216.128.131.78",,,,,,,
,api-us-west-1.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,52.9.162.190,,,,,,,
,api-us-west-2.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,44.224.87.23,,,,,,,
,api.datadome.co,"geoprox.datadome.co, api-eu-central-1.datadome.co","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,18.157.207.8,,,,,,,
,apivarnish.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,52.51.18.21,,,,,,,
,app.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"52.208.224.115, 54.195.225.196, 52.30.175.37",,,,,,,
,ardene-endpoint.datadome.co,d1c2szu09trp9k.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,
,ardene-prod-endpoint.datadome.co,d28cc1e4r0erx8.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,
,athos.datadome.co,,,NOERROR,54.144.128.85,,,,,2602:fcbc:0:3::11,,
,atlantis.tooling.datadome.co,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,"184.72.140.126, 34.196.54.40",,,,,,,
,auth0-dev.tooling.datadome.co,dev-internal-tooling-auth-cd-qlx1pwkkki39adr6.edge.tenants.eu.auth0.com,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.171.55, 104.17.235.88",,"digicert.com, letsencrypt.org",True,cloudflare,"2606:4700::6811:ab37, 2606:4700::6811:eb58",,
,auth0.tooling.datadome.co,internal-tooling-auth-cd-2qrtu8ish218rimr.edge.tenants.eu.auth0.com,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.171.55, 104.17.235.88",,"digicert.com, letsencrypt.org",True,cloudflare,"2606:4700::6811:ab37, 2606:4700::6811:eb58",,
,bo.datadome.co,prod-auth-redirect-alb-1782525637.eu-west-3.elb.amazonaws.com,"ns-1549.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"13.36.122.177, 13.38.148.57",,,,,,,
,bot-tester.sdbx-sre.datadome.co,,"ns-312.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,"18.66.97.121, 18.66.97.2, 18.66.97.88, 18.66.97.15",,,True,cloudfront,,,
,calendar.datadome.co,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,172.253.122.121,,,,,2607:f8b0:4004:c09::79,,
,consul-eu-central-2.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,True,google,,,
,consul-us-utah-1.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"34.106.193.245, 34.106.40.52, 34.106.220.104",,,True,google,,,
,d.digital.hermes.first-party-js.datadome.co,d3hfoxv6i6m6my.cloudfront.net,"ns-58.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,"18.173.233.60, 18.173.233.57, 18.173.233.71, 18.173.233.89","ns-1491.awsdns-58.org, ns-1938.awsdns-50.co.uk, ns-58.awsdns-07.com, ns-942.awsdns-53.net",,True,cloudfront,,,
,dashboard.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"52.30.175.37, 54.195.225.196, 52.208.224.115",,,,,,,
,datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"13.32.121.99, 13.32.121.27, 13.32.121.116, 13.32.121.59","ns-1139.awsdns-14.org, ns-1801.awsdns-33.co.uk, ns-359.awsdns-44.com, ns-888.awsdns-47.net",,True,cloudfront,,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com","google-site-verification=NhZDKWbnGtiZ5HtvJSPhB5qygCbbh7piSk6iSJgcZdI, google-site-verification=ggmVRMvoATQMcac3QYx0hA-W74vJxftM5BIFGVunYwQ, hubspot-developer-verification=ZTVmYTMyMjMtZDIwNi00MDg4LWIyMDMtYzI5YTQ2OWFlNGYz, v=spf1 include:_spf.google.com include:sendgrid.net include:spf.zoho.com include:transmail.net include:zcsend.net include:mail.zendesk.com include:spf1.datadome.co -all, MS=ms94234578, OSSRH-68020, Sendinblue-code:1fe0df26fd85d0304071badec73a0149, apple-domain-verification=zyw8hLKxA4b5xXVG, atlassian-domain-verification=WMU7Fp3z06+E2oPZCHYKVpHhsPUKFIYsy6YqebgnghAp/hDFyF3r8e9hdTpNJN0w"
,datadomeiis8.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,34.244.12.125,,,,,,,
,db.datadome.co,"data-mysql-production.cqciz07pkn2b.eu-west-1.rds.amazonaws.com, ec2-176-34-70-183.eu-west-1.compute.amazonaws.com","dns-external-master.amazon.com, root.amazon.com",NOERROR,176.34.70.183,,,,,,,
,dev-app.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,35.187.121.229,,,True,google,,,
,dev-db.datadome.co,"data-mysql-staging.cqciz07pkn2b.eu-west-1.rds.amazonaws.com, ec2-54-220-160-238.eu-west-1.compute.amazonaws.com","dns-external-master.amazon.com, root.amazon.com",NOERROR,54.220.160.238,,,,,,,
,dev-es-loadtest-lb-us-east-1.sdbx-sre.datadome.co,,,NOERROR,,,,,,2602:fcbc:0:3::11,,
,dev-es-loadtest-lb-us-west-2.sdbx-sre.datadome.co,,,NOERROR,,,,,,,,
,dev-es-loadtest-monitoring-us-west-2.staging.datadome.co,,"ns-227.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,"34.208.238.208, 44.240.40.145","ns-1297.awsdns-34.org, ns-1616.awsdns-10.co.uk, ns-227.awsdns-28.com, ns-647.awsdns-16.net",,,,,,
,dev-monitoring-benoit-us-east-1.sdbx-sre.datadome.co,,,NOERROR,54.144.128.85,,,,,,,
