input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,tech_,lines,tls_subject_org_,webserver,cdn,tls_expired
auth.openbanking.bbp-mettle.co.uk,,,102,auth.openbanking.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,auth.openbanking.bbp-mettle.co.uk,443,https://auth.openbanking.bbp-mettle.co.uk:443,https,application/json,GET,13.41.168.201,HSTS,1,,,,
dex.oidc.bbp-mettle.co.uk,,,21,dex.oidc.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,dex.oidc.bbp-mettle.co.uk,443,https://dex.oidc.bbp-mettle.co.uk:443,https,text/plain,GET,3.11.224.194,HSTS,1,,,,
docs.openbanking.bbp-mettle.co.uk,Mettle Open Banking Documentation,,5040,docs.openbanking.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,docs.openbanking.bbp-mettle.co.uk,443,https://docs.openbanking.bbp-mettle.co.uk:443,https,text/html,GET,13.41.168.201,HSTS,99,,,,
docs.platform.bbp-mettle.co.uk,,,21,docs.platform.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,docs.platform.bbp-mettle.co.uk,443,https://docs.platform.bbp-mettle.co.uk:443,https,text/plain,GET,13.41.140.49,HSTS,1,,,,
form3-mock.ssv.bbp-mettle.co.uk,,,102,form3-mock.ssv.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,form3-mock.ssv.bbp-mettle.co.uk,443,https://form3-mock.ssv.bbp-mettle.co.uk:443,https,,GET,13.41.168.201,HSTS,1,,,,
form3.ssv.bbp-mettle.co.uk,,,126,form3.ssv.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,form3.ssv.bbp-mettle.co.uk,443,https://form3.ssv.bbp-mettle.co.uk:443,https,application/json,GET,13.41.168.201,HSTS,1,,,,
goldilocks.platform.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://goldilocks.platform.bbp-mettle.co.uk:443,https,text/html,GET,3.11.224.194,HSTS,52,"OneLogin, Inc.",AmazonS3,,
grafana-editable.monitoring.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://grafana-editable.monitoring.bbp-mettle.co.uk:443,https,text/html,GET,13.41.140.49,HSTS,52,"OneLogin, Inc.",AmazonS3,,
grafana.monitoring.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://grafana.monitoring.bbp-mettle.co.uk:443,https,text/html,GET,3.11.224.194,HSTS,52,"OneLogin, Inc.",AmazonS3,,
graphql-playground.eevee.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://graphql-playground.eevee.bbp-mettle.co.uk:443,https,text/html,GET,3.11.224.194,HSTS,52,"OneLogin, Inc.",AmazonS3,,
graphql.eevee.bbp-mettle.co.uk,403 Forbidden,,146,graphql.eevee.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-24T08:01:22Z,CN=graphql.eevee.bbp-mettle.co.uk,graphql.eevee.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,graphql.eevee.bbp-mettle.co.uk,443,https://graphql.eevee.bbp-mettle.co.uk:443,https,text/html,GET,13.41.140.49,HSTS,8,,,,
graphql.ssv.bbp-mettle.co.uk,Error,,139,graphql.ssv.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,graphql.ssv.bbp-mettle.co.uk,443,https://graphql.ssv.bbp-mettle.co.uk:443,https,text/html,GET,13.41.168.201,HSTS,11,,,,
https://mettle.onelogin.com/,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://mettle.onelogin.com:443,https,text/html,GET,23.183.113.6,HSTS,52,"OneLogin, Inc.",AmazonS3,,
https://mettle.report-uri.com/a/d/g,Report URI: Welcome to report-uri.com,,30914,report-uri.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T21:09:26Z,CN=*.report-uri.com,*.report-uri.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ctls,report-uri.com,443,https://mettle.report-uri.com:443/a/d/g,https,text/html,GET,104.17.182.88,HTTP/3,534,,cloudflare,True,
https://o119333.ingest.sentry.io/api/1189839/,,,14,o119333.ingest.sentry.io,443,tls13,TLS_AES_128_GCM_SHA256,2022-07-28T00:00:00Z,"CN=ingest.sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",ingest.sentry.io,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,o119333.ingest.sentry.io,443,https://o119333.ingest.sentry.io:443/api/1189839/,https,text/plain,GET,34.120.195.249,Nginx,2,Sentry,nginx,True,
https://region1.google-analytics.com,Error 404 (Not Found)!!1,,1561,region1.google-analytics.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:16:32Z,CN=*.google-analytics.com,*.google-analytics.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,region1.google-analytics.com,443,https://region1.google-analytics.com:443,https,text/html,GET,216.239.34.36,HTTP/3,12,,,,
ingress.platform.bbp-mettle.co.uk,,,21,ingress.platform.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,ingress.platform.bbp-mettle.co.uk,443,https://ingress.platform.bbp-mettle.co.uk:443,https,text/plain,GET,13.41.168.201,HSTS,1,,,,
kibana.eevee.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://kibana.eevee.bbp-mettle.co.uk:443,https,text/html,GET,13.41.140.49,HSTS,52,"OneLogin, Inc.",AmazonS3,,
kibana.logging.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://kibana.logging.bbp-mettle.co.uk:443,https,text/html,GET,13.41.140.49,HSTS,52,"OneLogin, Inc.",AmazonS3,,
opendata.openbanking.bbp-mettle.co.uk,,,102,opendata.openbanking.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,opendata.openbanking.bbp-mettle.co.uk,443,https://opendata.openbanking.bbp-mettle.co.uk:443,https,application/json,GET,3.11.224.194,HSTS,1,,,,
ops-tool.internal.bbp-mettle.co.uk,Mettle | Ops Tool,,755,ops-tool.internal.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,ops-tool.internal.bbp-mettle.co.uk,443,https://ops-tool.internal.bbp-mettle.co.uk:443,https,text/html,GET,13.41.140.49,HSTS,1,,,,
ops-tool.ssv.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://ops-tool.ssv.bbp-mettle.co.uk:443,https,text/html,GET,3.11.224.194,HSTS,52,"OneLogin, Inc.",AmazonS3,,
polaris.platform.bbp-mettle.co.uk,,,21,polaris.platform.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,polaris.platform.bbp-mettle.co.uk,443,https://polaris.platform.bbp-mettle.co.uk:443,https,text/plain,GET,3.11.224.194,HSTS,1,,,,
pps.eevee.bbp-mettle.co.uk,,,89,pps.eevee.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,pps.eevee.bbp-mettle.co.uk,443,https://pps.eevee.bbp-mettle.co.uk:443,https,application/json,GET,13.41.140.49,HSTS,1,,,,
probes.monitoring.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://probes.monitoring.bbp-mettle.co.uk:443,https,text/html,GET,13.41.140.49,HSTS,52,"OneLogin, Inc.",AmazonS3,,
prometheus.monitoring.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://prometheus.monitoring.bbp-mettle.co.uk:443,https,text/html,GET,13.41.168.201,HSTS,52,"OneLogin, Inc.",AmazonS3,,
pushgateway.monitoring.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://pushgateway.monitoring.bbp-mettle.co.uk:443,https,text/html,GET,13.41.168.201,HSTS,52,"OneLogin, Inc.",AmazonS3,,
resourcing.monitoring.bbp-mettle.co.uk,,,21,resourcing.monitoring.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,resourcing.monitoring.bbp-mettle.co.uk,443,https://resourcing.monitoring.bbp-mettle.co.uk:443,https,text/plain,GET,3.11.224.194,HSTS,1,,,,
ssv-external-api-docs.eevee.bbp-mettle.co.uk,401 Authorization Required,,172,ssv-external-api-docs.eevee.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,ssv-external-api-docs.eevee.bbp-mettle.co.uk,443,https://ssv-external-api-docs.eevee.bbp-mettle.co.uk:443,https,text/html,GET,13.41.168.201,HSTS,8,,,,
thanos-bucket.monitoring.bbp-mettle.co.uk,,,21,thanos-bucket.monitoring.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,thanos-bucket.monitoring.bbp-mettle.co.uk,443,https://thanos-bucket.monitoring.bbp-mettle.co.uk:443,https,text/plain,GET,3.11.224.194,HSTS,1,,,,
thanos.monitoring.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://thanos.monitoring.bbp-mettle.co.uk:443,https,text/html,GET,3.11.224.194,HSTS,52,"OneLogin, Inc.",AmazonS3,,
upgrade.eevee.bbp-mettle.co.uk,,,102,upgrade.eevee.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-24T08:01:08Z,CN=upgrade.eevee.bbp-mettle.co.uk,upgrade.eevee.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,upgrade.eevee.bbp-mettle.co.uk,443,https://upgrade.eevee.bbp-mettle.co.uk:443,https,application/json,GET,3.11.224.194,HSTS,1,,,,
web-app.eevee.bbp-mettle.co.uk,Mettle,,2518,web-app.eevee.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,web-app.eevee.bbp-mettle.co.uk,443,https://web-app.eevee.bbp-mettle.co.uk:443,https,text/html,GET,13.41.168.201,HSTS,1,,,,
website.eevee.bbp-mettle.co.uk,Mettle business account – apply in minutes | Mettle,,241840,website.eevee.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,website.eevee.bbp-mettle.co.uk,443,https://website.eevee.bbp-mettle.co.uk:443,https,text/html,GET,3.11.224.194,webpack,250,,,,
